ID;Gebieden;Beroepsklasse;Positie;Gezinshoofden_1;MeerDan2PersonenPerVertrek_2;Pagina_3
0;Nederland;Totaal van alle beroepsklassen;Totaal;1007630.0;409158.0;WS168
1;Nederland;Totaal van alle beroepsklassen;A: Hoofd, voor eigen rekening;;;     
2;Nederland;Totaal van alle beroepsklassen;B: Hoofd, voor rekening van een ander;;;     
3;Nederland;Totaal van alle beroepsklassen;C: Leiding of controle;;;     
4;Nederland;Totaal van alle beroepsklassen;D: Werklieden;;;     
5;Nederland; 1. Aardewerk, glas, kalk;Totaal;11960.0;7275.0;WS154
6;Nederland; 1. Aardewerk, glas, kalk;A: Hoofd, voor eigen rekening;794.0;138.0;WS154
7;Nederland; 1. Aardewerk, glas, kalk;B: Hoofd, voor rekening van een ander;92.0;11.0;WS154
8;Nederland; 1. Aardewerk, glas, kalk;C: Leiding of controle;899.0;369.0;WS154
9;Nederland; 1. Aardewerk, glas, kalk;D: Werklieden;10175.0;6757.0;WS154
10;Nederland; 2. Diamant;Totaal;5230.0;1321.0;WS154
11;Nederland; 2. Diamant;A: Hoofd, voor eigen rekening;498.0;100.0;WS154
12;Nederland; 2. Diamant;B: Hoofd, voor rekening van een ander;12.0;3.0;WS154
13;Nederland; 2. Diamant;C: Leiding of controle;72.0;13.0;WS154
14;Nederland; 2. Diamant;D: Werklieden;4648.0;1205.0;WS154
15;Nederland; 3. Boek- en steendruk;Totaal;5585.0;1405.0;WS154
16;Nederland; 3. Boek- en steendruk;A: Hoofd, voor eigen rekening;1014.0;121.0;WS154
17;Nederland; 3. Boek- en steendruk;B: Hoofd, voor rekening van een ander;64.0;4.0;WS154
18;Nederland; 3. Boek- en steendruk;C: Leiding of controle;565.0;110.0;WS154
19;Nederland; 3. Boek- en steendruk;D: Werklieden;3942.0;1170.0;WS154
20;Nederland; 4. Bouwbedrijven;Totaal;84847.0;36705.0;WS154
21;Nederland; 4. Bouwbedrijven;A: Hoofd, voor eigen rekening;28799.0;9898.0;WS154
22;Nederland; 4. Bouwbedrijven;B: Hoofd, voor rekening van een ander;174.0;36.0;WS154
23;Nederland; 4. Bouwbedrijven;C: Leiding of controle;2103.0;531.0;WS154
24;Nederland; 4. Bouwbedrijven;D: Werklieden;53771.0;26240.0;WS154
25;Nederland; 5. Chemische nijverheid;Totaal;5657.0;2265.0;WS154
26;Nederland; 5. Chemische nijverheid;A: Hoofd, voor eigen rekening;1055.0;40.0;WS154
27;Nederland; 5. Chemische nijverheid;B: Hoofd, voor rekening van een ander;113.0;12.0;WS154
28;Nederland; 5. Chemische nijverheid;C: Leiding of controle;731.0;192.0;WS154
29;Nederland; 5. Chemische nijverheid;D: Werklieden;3758.0;2021.0;WS154
30;Nederland; 6. Hout-, kurk- en stroobewerking;Totaal;20195.0;9529.0;WS154
31;Nederland; 6. Hout-, kurk- en stroobewerking;A: Hoofd, voor eigen rekening;9534.0;4251.0;WS154
32;Nederland; 6. Hout-, kurk- en stroobewerking;B: Hoofd, voor rekening van een ander;56.0;17.0;WS154
33;Nederland; 6. Hout-, kurk- en stroobewerking;C: Leiding of controle;555.0;230.0;WS154
34;Nederland; 6. Hout-, kurk- en stroobewerking;D: Werklieden;10050.0;5031.0;WS154
35;Nederland; 7. Kleeding en reiniging;Totaal;25842.0;7728.0;WS154
36;Nederland; 7. Kleeding en reiniging;A: Hoofd, voor eigen rekening;18219.0;5419.0;WS154
37;Nederland; 7. Kleeding en reiniging;B: Hoofd, voor rekening van een ander;92.0;9.0;WS154
38;Nederland; 7. Kleeding en reiniging;C: Leiding of controle;542.0;85.0;WS154
39;Nederland; 7. Kleeding en reiniging;D: Werklieden;6989.0;2215.0;WS154
40;Nederland; 8. Kunstnijverheid;Totaal;606.0;121.0;WS154
41;Nederland; 8. Kunstnijverheid;A: Hoofd, voor eigen rekening;317.0;64.0;WS154
42;Nederland; 8. Kunstnijverheid;B: Hoofd, voor rekening van een ander;1.0;0.0;WS154
43;Nederland; 8. Kunstnijverheid;C: Leiding of controle;27.0;3.0;WS154
44;Nederland; 8. Kunstnijverheid;D: Werklieden;261.0;54.0;WS154
45;Nederland; 9. Leder, wasdoek, caoutchouc;Totaal;19842.0;8700.0;WS154
46;Nederland; 9. Leder, wasdoek, caoutchouc;A: Hoofd, voor eigen rekening;13996.0;5858.0;WS154
47;Nederland; 9. Leder, wasdoek, caoutchouc;B: Hoofd, voor rekening van een ander;42.0;2.0;WS154
48;Nederland; 9. Leder, wasdoek, caoutchouc;C: Leiding of controle;227.0;82.0;WS154
49;Nederland; 9. Leder, wasdoek, caoutchouc;D: Werklieden;5577.0;2758.0;WS154
50;Nederland;10. Oer, steenkolen, turf;Totaal;8871.0;6608.0;WS154
51;Nederland;10. Oer, steenkolen, turf;A: Hoofd, voor eigen rekening;945.0;527.0;WS154
52;Nederland;10. Oer, steenkolen, turf;B: Hoofd, voor rekening van een ander;48.0;11.0;WS154
53;Nederland;10. Oer, steenkolen, turf;C: Leiding of controle;222.0;98.0;WS154
54;Nederland;10. Oer, steenkolen, turf;D: Werklieden;7656.0;5972.0;WS154
55;Nederland;11. Metalen (bewerking van);Totaal;18730.0;7398.0;WS154
56;Nederland;11. Metalen (bewerking van);A: Hoofd, voor eigen rekening;8567.0;3065.0;WS154
57;Nederland;11. Metalen (bewerking van);B: Hoofd, voor rekening van een ander;66.0;17.0;WS154
