ID;Perioden;Waarde_1;Prijs_2;Volume_3;Waarde_4;Prijs_5;Volume_6
138;2001 maart;112;105.0;107.0;8.2;5.8;2.3
139;2001 1e kwartaal;102;105.0;97.0;6.8;5.6;1.1
140;2001 april;103;105.0;98.0;6.2;5.5;0.6
141;2001 mei;112;105.0;107.0;8.2;5.6;2.4
142;2001 juni;111;105.0;105.0;9.5;5.5;3.8
143;2001 2e kwartaal;109;105.0;103.0;8.0;5.5;2.3
144;2001 juli;102;106.0;97.0;3.2;5.7;-2.4
145;2001 augustus;107;106.0;101.0;8.1;5.8;2.2
146;2001 september;102;106.0;96.0;1.8;5.6;-3.6
147;2001 3e kwartaal;104;106.0;98.0;4.4;5.7;-1.3
148;2001 oktober;106;106.0;100.0;8.3;5.7;2.4
149;2001 november;107;106.0;100.0;4.7;5.7;-1.0
150;2001 december;117;107.0;109.0;2.6;5.4;-2.7
151;2001 4e kwartaal;110;106.0;103.0;5.0;5.6;-0.5
152;2001;106;106.0;100.0;6.0;5.6;0.4
153;2002 januari;102;110.0;93.0;7.3;5.0;2.2
154;2002 februari;100;111.0;90.0;2.1;5.1;-2.9
155;2002 maart;115;111.0;103.0;2.0;5.2;-3.1
156;2002 1e kwartaal;106;111.0;96.0;3.7;5.1;-1.4
157;2002 april;106;111.0;95.0;2.0;5.6;-3.4
158;2002 mei;119;111.0;107.0;6.2;5.5;0.7
159;2002 juni;111;111.0;100.0;0.4;5.5;-4.8
160;2002 2e kwartaal;112;111.0;101.0;2.9;5.5;-2.5
161;2002 juli;110;111.0;99.0;8.0;5.5;2.4
162;2002 augustus;110;111.0;99.0;3.3;5.3;-1.9
163;2002 september;105;112.0;95.0;3.4;5.5;-2.0
164;2002 3e kwartaal;109;111.0;97.0;4.9;5.4;-0.5
165;2002 oktober;115;112.0;103.0;7.9;5.3;2.5
166;2002 november;111;112.0;100.0;4.6;5.2;-0.5
167;2002 december;119;112.0;106.0;2.0;5.2;-3.0
168;2002 4e kwartaal;115;112.0;103.0;4.9;5.2;-0.2
169;2002;110;111.0;99.0;4.1;5.3;-1.2
170;2003 januari;104;116.0;90.0;1.6;5.1;-3.3
171;2003 februari;101;117.0;86.0;1.3;5.8;-4.2
172;2003 maart;108;117.0;92.0;-5.6;5.8;-10.8
173;2003 1e kwartaal;104;117.0;89.0;-1.1;5.6;-6.3
174;2003 april;112;118.0;95.0;6.1;6.1;0.0
175;2003 mei;120;118.0;102.0;0.2;6.0;-5.5
176;2003 juni;113;118.0;96.0;1.5;6.1;-4.3
177;2003 2e kwartaal;115;118.0;98.0;2.5;6.1;-3.4
178;2003 juli;115;118.0;98.0;4.3;5.7;-1.3
179;2003 augustus;109;117.0;93.0;-1.6;5.4;-6.6
180;2003 september;105;118.0;89.0;-0.6;5.5;-5.8
181;2003 3e kwartaal;109;118.0;93.0;0.7;5.5;-4.5
182;2003 oktober;114;118.0;97.0;-0.6;5.2;-5.5
183;2003 november;109;117.0;93.0;-2.0;4.9;-6.6
184;2003 december;121;118.0;103.0;1.9;5.0;-3.0
185;2003 4e kwartaal;115;117.0;98.0;-0.4;5.0;-5.2
186;2003;111;117.0;94.0;0.4;5.5;-4.8
187;2004 januari;108;121.0;89.0;3.7;4.2;-0.5
188;2004 februari;105;121.0;86.0;3.4;3.4;-0.1
189;2004 maart;115;121.0;95.0;6.5;3.2;3.1
190;2004 1e kwartaal;109;121.0;90.0;4.5;3.6;0.9
191;2004 april;116;121.0;96.0;3.4;2.8;0.6
192;2004 mei;113;121.0;94.0;-5.6;2.5;-7.9
193;2004 juni;114;121.0;95.0;1.1;2.5;-1.4
194;2004 2e kwartaal;114;121.0;95.0;-0.5;2.6;-3.0
195;2004 juli;118;121.0;98.0;3.0;2.9;0.1
196;2004 augustus;104;121.0;86.0;-4.6;3.2;-7.5
197;2004 september;110;121.0;91.0;5.2;2.9;2.2
198;2004 3e kwartaal;111;121.0;91.0;1.2;3.0;-1.8
199;2004 oktober;114;121.0;94.0;-0.1;3.1;-3.1
200;2004 november;109;121.0;90.0;-0.2;3.5;-3.6
201;2004 december;131;121.0;108.0;8.3;3.0;5.2
202;2004 4e kwartaal;118;121.0;97.0;2.8;3.2;-0.3
203;2004;113;121.0;93.0;2.0;3.1;-1.1
204;2005 januari;103;123.0;84.0;-4.2;2.1;-6.1
205;2005 februari;104;123.0;84.0;-0.7;1.7;-2.3
206;2005 maart;121;123.0;98.0;4.8;1.7;3.0
207;2005 1e kwartaal;109;123.0;89.0;0.1;1.8;-1.7
208;2005 april;116;123.0;94.0;0.0;1.6;-1.5
209;2005 mei;113;123.0;92.0;0.1;2.0;-1.8
210;2005 juni;117;123.0;95.0;2.7;2.0;0.7
211;2005 2e kwartaal;116;123.0;94.0;1.0;1.8;-0.9
212;2005 juli;113;123.0;92.0;-4.2;1.9;-6.0
213;2005 augustus;107;123.0;86.0;3.0;1.9;1.0
214;2005 september;112;124.0;90.0;1.5;2.2;-0.7
215;2005 3e kwartaal;111;124.0;90.0;-0.1;2.0;-2.1
216;2005 oktober;109;124.0;88.0;-4.3;2.3;-6.5
217;2005 november;112;124.0;90.0;2.3;2.1;0.2
218;2005 december;133;124.0;107.0;1.4;2.3;-0.9
219;2005 4e kwartaal;118;124.0;95.0;-0.2;2.3;-2.4
220;2005;113;123.0;92.0;0.2;2.0;-1.7
221;2006 januari;103;126.0;81.0;-0.3;2.5;-2.7
222;2006 februari;105;127.0;83.0;1.1;3.3;-2.1
223;2006 maart;123;127.0;97.0;1.9;3.3;-1.3
224;2006 1e kwartaal;110;127.0;87.0;1.0;3.0;-2.0
225;2006 april;114;127.0;90.0;-1.6;3.4;-4.8
226;2006 mei;118;127.0;93.0;4.7;3.3;1.3
227;2006 juni;123;127.0;96.0;4.4;3.2;1.1
228;2006 2e kwartaal;118;127.0;93.0;2.5;3.3;-0.8
229;2006 juli;112;127.0;88.0;-0.8;3.2;-3.9
230;2006 augustus;116;127.0;91.0;8.9;3.2;5.5
231;2006 september;117;127.0;92.0;5.0;3.0;2.0
232;2006 3e kwartaal;115;127.0;91.0;4.3;3.2;1.1
233;2006 oktober;114;128.0;90.0;5.2;2.9;2.3
234;2006 november;119;128.0;93.0;6.4;3.2;3.1
235;2006 december;136;129.0;106.0;2.3;3.7;-1.4
236;2006 4e kwartaal;123;128.0;96.0;4.5;3.3;1.2
237;2006;117;127.0;92.0;3.1;3.2;-0.1
238;2007 januari;111;131.0;85.0;8.3;3.4;4.8
239;2007 februari;113;131.0;86.0;7.2;3.2;4.0
240;2007 maart;129;131.0;98.0;4.7;3.1;1.5
241;2007 1e kwartaal;118;131.0;90.0;6.6;3.2;3.3
242;2007 april;117;132.0;89.0;2.9;3.3;-0.4
243;2007 mei;125;132.0;95.0;5.8;3.5;2.3
244;2007 juni;130;132.0;99.0;6.2;3.7;2.4
245;2007 2e kwartaal;124;132.0;94.0;5.0;3.5;1.5
246;2007 juli;120;132.0;90.0;6.5;3.9;2.5
247;2007 augustus;123;132.0;93.0;6.2;3.8;2.3
248;2007 september;119;133.0;90.0;1.5;4.3;-2.6
249;2007 3e kwartaal;121;132.0;91.0;4.7;4.0;0.7
250;2007 oktober;123;133.0;92.0;7.8;4.5;3.1
251;2007 november;124;133.0;93.0;4.8;4.2;0.7
252;2007 december;137;133.0;103.0;0.7;3.6;-2.8
253;2007 4e kwartaal;128;133.0;96.0;4.2;4.1;0.1
254;2007;123;132.0;93.0;5.1;3.7;1.4
255;2008 januari;120;136.0;88.0;8.1;4.3;3.6
256;2008 februari;120;136.0;88.0;6.2;3.9;2.2
257;2008 maart;123;136.0;91.0;-4.3;3.8;-7.9
258;2008 1e kwartaal;121;136.0;89.0;2.9;4.0;-1.0
259;2008 april;128;136.0;94.0;8.9;3.6;5.1
260;2008 mei;130;136.0;96.0;4.1;3.3;0.7
261;2008 juni;124;136.0;91.0;-4.9;3.0;-7.7
262;2008 2e kwartaal;127;136.0;94.0;2.5;3.3;-0.8
263;2008 juli;125;136.0;92.0;4.5;3.0;1.5
264;2008 augustus;125;136.0;92.0;1.2;3.1;-1.8
265;2008 september;122;136.0;89.0;2.2;2.6;-0.5
266;2008 3e kwartaal;124;136.0;91.0;2.6;2.9;-0.3
267;2008 oktober;128;137.0;93.0;3.6;2.6;1.0
268;2008 november;120;137.0;88.0;-3.2;2.8;-5.8
269;2008 december;140;137.0;102.0;2.4;3.1;-0.7
270;2008 4e kwartaal;129;137.0;94.0;1.0;2.8;-1.8
271;2008;125;136.0;92.0;2.2;3.3;-1.0
