ID;BedrijfstakkenBranchesSBI93;Persoonskenmerken;Perioden;WerkzameBeroepsbevolking_1;GemArbeidsduurWerkzameBeroepsbev_2;TotaalWerknemers_3;WerknemersVasteArbeidsrelatie_4;WerknemersFlexArbeidsrelatie_5;TotaalZelfstandigen_6;ZelfstandigenZonderPersoneel_7;ZelfstMetPersoneelEnMeewGezinsl_8;PositieWerkkringOnbekend_9;k_12Tot20UurPerWeek_10;k_20Tot35UurPerWeek_11;k_35UurOfMeerPerWeek_12;ArbeidsduurOnbekend_13;k_1ElementairBeroepsniveau_14;k_2LaagBeroepsniveau_15;k_4MiddelbaarBeroepsniveau_16;k_6HoogBeroepsniveau_17;k_8WetenschappelijkBeroepsniveau_18;BeroepsniveauOnbekend_19
0;A-Q alle economische activiteiten;Totaal persoonskenmerken;1996;6185.0;36.7;5456.0;4648.0;808.0;728.0;397.0;331.0;;418.0;1323.0;4443.0;;432.0;1587.0;2459.0;1179.0;478.0;50.0
1;A-Q alle economische activiteiten;Totaal persoonskenmerken;1997;6384.0;36.4;5628.0;4767.0;862.0;755.0;414.0;341.0;;450.0;1393.0;4540.0;;451.0;1600.0;2537.0;1200.0;520.0;75.0
2;A-Q alle economische activiteiten;Totaal persoonskenmerken;1998;6587.0;36.1;5850.0;4935.0;915.0;737.0;407.0;330.0;;525.0;1463.0;4599.0;;457.0;1597.0;2578.0;1330.0;550.0;76.0
3;A-Q alle economische activiteiten;Totaal persoonskenmerken;1999;6768.0;36.0;6042.0;5150.0;891.0;726.0;400.0;326.0;;545.0;1528.0;4695.0;;477.0;1668.0;2614.0;1343.0;563.0;104.0
4;A-Q alle economische activiteiten;Totaal persoonskenmerken;2000;6917.0;35.8;6116.0;5290.0;826.0;801.0;445.0;356.0;;578.0;1645.0;4694.0;;466.0;1658.0;2690.0;1413.0;591.0;98.0
5;A-Q alle economische activiteiten;Totaal persoonskenmerken;2001 voor revisie;7021.0;35.5;6256.0;5452.0;804.0;765.0;436.0;330.0;;603.0;1691.0;4727.0;;476.0;1679.0;2735.0;1439.0;597.0;95.0
6;A-Q alle economische activiteiten;Totaal persoonskenmerken;2001 na revisie;6935.0;35.5;6070.0;5251.0;819.0;865.0;471.0;394.0;;646.0;1668.0;4622.0;;479.0;1768.0;2677.0;1374.0;532.0;105.0
7;A-Q alle economische activiteiten;Totaal persoonskenmerken;2002;7010.0;35.0;6142.0;5323.0;819.0;867.0;519.0;349.0;;673.0;1791.0;4546.0;;496.0;1730.0;2698.0;1446.0;546.0;95.0
8;A-Q alle economische activiteiten;Totaal persoonskenmerken;2003;6968.0;34.8;6088.0;5277.0;811.0;880.0;531.0;348.0;;677.0;1859.0;4431.0;;496.0;1659.0;2675.0;1476.0;568.0;94.0
9;A-Q alle economische activiteiten;Totaal persoonskenmerken;2004;6941.0;34.8;6031.0;5213.0;818.0;910.0;553.0;357.0;;688.0;1879.0;4374.0;;498.0;1707.0;2621.0;1534.0;526.0;55.0
