ID;Geslacht;Leeftijd;Herkomstgroeperingen;Perioden;TotaalAantalPersonen_1;AantalPersonenBijGeweldsdelicten_2;AantalPersonenBijVerkeersongevallen_3;AantalPersonenBijVermogensdelicten_4;AantalPersonenBijZedendelicten_5;AantalPersonenOverigeDelicten_6;TotaalAantalPersonen_7;AantalPersonenBijGeweldsdelicten_8;AantalPersonenBijVerkeersongevallen_9;AantalPersonenBijVermogensdelicten_10;AantalPersonenBijZedendelicten_11;AantalPersonenOverigeDelicten_12;TotaalAantalPersonen_13;AantalPersonenBijGeweldsdelicten_14;AantalPersonenBijVerkeersongevallen_15;AantalPersonenBijVermogensdelicten_16;AantalPersonenBijZedendelicten_17;AantalPersonenOverigeDelicten_18;TotaalAantalPersonen_19;AantalPersonenBijGeweldsdelicten_20;AantalPersonenBijVerkeersongevallen_21;AantalPersonenBijVermogensdelicten_22;AantalPersonenBijZedendelicten_23;AantalPersonenOverigeDelicten_24
0;Mannen en vrouwen;7;Alle herkomstgroeperingen;2006;90660.0;38820.0;21210.0;21590.0;4260.0;4770.0;561.0;240.0;131.0;134.0;26.0;30.0;65780.0;29300.0;14720.0;14150.0;3620.0;3990.0;407.0;181.0;91.0;87.0;22.0;25.0
1;Mannen en vrouwen;7;Alle herkomstgroeperingen;2007;99830.0;44950.0;23550.0;23060.0;4760.0;3520.0;615.0;277.0;145.0;142.0;29.0;22.0;71950.0;33140.0;16520.0;15480.0;3900.0;2920.0;444.0;204.0;102.0;95.0;24.0;18.0
2;Mannen en vrouwen;7;Autochtoon;2006;70370.0;28150.0;17710.0;17230.0;3490.0;3800.0;539.0;216.0;136.0;132.0;27.0;29.0;51230.0;21460.0;12260.0;11380.0;2960.0;3180.0;393.0;164.0;94.0;87.0;23.0;24.0
3;Mannen en vrouwen;7;Autochtoon;2007;75940.0;32060.0;19330.0;17940.0;3830.0;2780.0;582.0;246.0;148.0;137.0;29.0;21.0;55030.0;23900.0;13610.0;12040.0;3160.0;2320.0;422.0;183.0;104.0;92.0;24.0;18.0
4;Mannen en vrouwen;7;Totaal allochtonen;2006;20290.0;10670.0;3500.0;4370.0;780.0;970.0;650.0;342.0;112.0;140.0;25.0;31.0;14540.0;7840.0;2460.0;2770.0;660.0;810.0;466.0;251.0;79.0;89.0;21.0;26.0
5;Mannen en vrouwen;7;Totaal allochtonen;2007;23880.0;12890.0;4210.0;5120.0;920.0;730.0;755.0;407.0;133.0;162.0;29.0;23.0;16910.0;9230.0;2910.0;3430.0;740.0;590.0;534.0;292.0;92.0;108.0;23.0;19.0
6;Mannen en vrouwen;7;Totaal niet-westerse allochtonen;2006;12130.0;7050.0;1840.0;2300.0;420.0;520.0;712.0;414.0;108.0;135.0;25.0;31.0;8530.0;5100.0;1270.0;1380.0;360.0;420.0;501.0;299.0;75.0;81.0;21.0;25.0
7;Mannen en vrouwen;7;Totaal niet-westerse allochtonen;2007;14750.0;8720.0;2300.0;2830.0;530.0;360.0;852.0;504.0;133.0;164.0;31.0;21.0;10250.0;6120.0;1540.0;1880.0;410.0;300.0;592.0;354.0;89.0;109.0;24.0;17.0
8;Mannen en vrouwen;7;Marokko;2006;2430.0;1480.0;390.0;400.0;60.0;90.0;758.0;461.0;122.0;126.0;19.0;29.0;1700.0;1060.0;260.0;250.0;50.0;80.0;530.0;331.0;82.0;77.0;16.0;24.0
9;Mannen en vrouwen;7;Marokko;2007;2760.0;1670.0;490.0;450.0;80.0;60.0;845.0;513.0;150.0;139.0;26.0;17.0;1780.0;1110.0;290.0;280.0;60.0;50.0;546.0;339.0;90.0;85.0;18.0;15.0
10;Mannen en vrouwen;7;Turkije;2006;2300.0;1300.0;410.0;470.0;40.0;90.0;637.0;359.0;113.0;130.0;10.0;25.0;1630.0;940.0;290.0;300.0;30.0;70.0;450.0;261.0;81.0;82.0;7.0;19.0
11;Mannen en vrouwen;7;Turkije;2007;2730.0;1530.0;470.0;600.0;70.0;70.0;746.0;417.0;127.0;165.0;18.0;18.0;1950.0;1110.0;310.0;420.0;50.0;60.0;533.0;302.0;85.0;115.0;14.0;16.0
12;Mannen en vrouwen;7;Suriname;2006;2530.0;1480.0;310.0;490.0;120.0;130.0;768.0;448.0;94.0;150.0;37.0;39.0;1840.0;1120.0;230.0;290.0;100.0;110.0;559.0;340.0;69.0;86.0;32.0;32.0
13;Mannen en vrouwen;7;Suriname;2007;3480.0;2090.0;450.0;690.0;140.0;100.0;1048.0;630.0;137.0;208.0;43.0;29.0;2510.0;1520.0;320.0;470.0;120.0;80.0;755.0;458.0;97.0;140.0;35.0;25.0
14;Mannen en vrouwen;7;Nederlandse Antillen en Aruba;2006;1050.0;610.0;120.0;190.0;80.0;50.0;818.0;472.0;96.0;149.0;59.0;42.0;710.0;410.0;80.0;100.0;60.0;50.0;551.0;323.0;63.0;79.0;50.0;36.0
15;Mannen en vrouwen;7;Nederlandse Antillen en Aruba;2007;1280.0;800.0;180.0;190.0;70.0;40.0;980.0;616.0;134.0;145.0;53.0;31.0;900.0;570.0;120.0;120.0;60.0;30.0;689.0;438.0;91.0;90.0;45.0;25.0
16;Mannen en vrouwen;7;Overige niet-westerse allochtonen;2006;3820.0;2190.0;600.0;740.0;130.0;160.0;678.0;388.0;107.0;132.0;23.0;27.0;2650.0;1560.0;410.0;450.0;110.0;120.0;471.0;277.0;73.0;79.0;20.0;21.0
17;Mannen en vrouwen;7;Overige niet-westerse allochtonen;2007;4510.0;2630.0;720.0;900.0;170.0;100.0;783.0;456.0;125.0;156.0;29.0;18.0;3110.0;1820.0;490.0;600.0;120.0;80.0;540.0;316.0;85.0;104.0;22.0;13.0
18;Mannen en vrouwen;7;Westerse allochtonen;2006;8150.0;3620.0;1660.0;2060.0;350.0;450.0;575.0;255.0;117.0;145.0;25.0;32.0;6010.0;2740.0;1190.0;1390.0;310.0;390.0;424.0;193.0;84.0;98.0;22.0;27.0
19;Mannen en vrouwen;7;Westerse allochtonen;2007;9140.0;4170.0;1910.0;2290.0;400.0;370.0;637.0;291.0;133.0;159.0;28.0;26.0;6670.0;3110.0;1380.0;1550.0;330.0;300.0;465.0;217.0;96.0;108.0;23.0;21.0
20;Mannen en vrouwen;1;Alle herkomstgroeperingen;2006;15520.0;8700.0;3920.0;620.0;1810.0;480.0;411.0;230.0;104.0;16.0;48.0;13.0;11260.0;6240.0;2770.0;380.0;1490.0;380.0;298.0;165.0;73.0;10.0;39.0;10.0
21;Mannen en vrouwen;1;Alle herkomstgroeperingen;2007;18670.0;10930.0;4580.0;710.0;2150.0;300.0;496.0;290.0;122.0;19.0;57.0;8.0;13390.0;7740.0;3240.0;450.0;1710.0;250.0;356.0;206.0;86.0;12.0;46.0;7.0
22;Mannen en vrouwen;1;Autochtoon;2006;12260.0;6600.0;3290.0;480.0;1490.0;400.0;418.0;225.0;112.0;16.0;51.0;13.0;9000.0;4810.0;2350.0;300.0;1220.0;310.0;307.0;164.0;80.0;10.0;42.0;11.0
23;Mannen en vrouwen;1;Autochtoon;2007;14280.0;8050.0;3720.0;510.0;1760.0;240.0;489.0;276.0;128.0;17.0;60.0;8.0;10380.0;5790.0;2660.0;320.0;1410.0;210.0;356.0;198.0;91.0;11.0;48.0;7.0
