ID;Geslacht;Arbeidspositie;ArbeidspositiePartner;AanwezigheidKinderen;CaribischNederland;Perioden;PartnerInPaar_1
0;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Partner in paar;Caribisch Nederland;2014;8720
1;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Partner in paar;Caribisch Nederland;2016;9570
2;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Partner in paar;Caribisch Nederland;2018;9310
3;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Partner in paar;Caribisch Nederland;2020;10250
4;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Partner in paar;Caribisch Nederland;2022;10270
5;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Partner in paar;Bonaire;2014;7020
6;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Partner in paar;Bonaire;2016;7960
7;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Partner in paar;Bonaire;2018;7590
8;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Partner in paar;Bonaire;2020;8750
9;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Partner in paar;Bonaire;2022;8730
10;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Partner in paar;Sint Eustatius;2014;1140
11;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Partner in paar;Sint Eustatius;2016;1020
12;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Partner in paar;Sint Eustatius;2018;970
13;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Partner in paar;Sint Eustatius;2020;820
14;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Partner in paar;Sint Eustatius;2022;920
15;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Partner in paar;Saba;2014;560
16;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Partner in paar;Saba;2016;590
17;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Partner in paar;Saba;2018;760
18;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Partner in paar;Saba;2020;680
19;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Partner in paar;Saba;2022;630
20;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Partner in paar met kind;Caribisch Nederland;2014;5130
21;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Partner in paar met kind;Caribisch Nederland;2016;5250
22;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Partner in paar met kind;Caribisch Nederland;2018;4630
23;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Partner in paar met kind;Caribisch Nederland;2020;5360
24;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Partner in paar met kind;Caribisch Nederland;2022;5690
25;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Partner in paar met kind;Bonaire;2014;4200
26;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Partner in paar met kind;Bonaire;2016;4380
27;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Partner in paar met kind;Bonaire;2018;3760
28;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Partner in paar met kind;Bonaire;2020;4520
29;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Partner in paar met kind;Bonaire;2022;4930
30;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Partner in paar met kind;Sint Eustatius;2014;680
31;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Partner in paar met kind;Sint Eustatius;2016;590
