ID;Nationaliteit;Perioden;DerdelandersAantoonbaarVertrek_1
0;Totaal;2015;8630
1;Totaal;2016;12430
2;Totaal;2017;8390
3;Totaal;2018;8980
4;Totaal;2019;11185
5;Totaal;2020;8870
6;Totaal;2021;3200
7;Totaal;2022;3565
8;Totaal;2023;6855
9;Afghaans;2015;100
10;Afghaans;2016;375
11;Afghaans;2017;245
12;Afghaans;2018;115
13;Afghaans;2019;115
14;Afghaans;2020;60
15;Afghaans;2021;10
16;Afghaans;2022;5
17;Afghaans;2023;10
18;Albanees;2015;565
19;Albanees;2016;1835
20;Albanees;2017;1020
21;Albanees;2018;1185
22;Albanees;2019;885
23;Albanees;2020;455
24;Albanees;2021;600
25;Albanees;2022;240
26;Albanees;2023;270
27;Algerijns;2015;40
28;Algerijns;2016;120
29;Algerijns;2017;275
30;Algerijns;2018;240
31;Algerijns;2019;320
32;Algerijns;2020;155
33;Algerijns;2021;30
34;Algerijns;2022;45
35;Algerijns;2023;300
36;Amerikaans;2015;200
37;Amerikaans;2016;130
38;Amerikaans;2017;65
39;Amerikaans;2018;65
40;Amerikaans;2019;80
41;Amerikaans;2020;455
42;Amerikaans;2021;80
43;Amerikaans;2022;70
44;Amerikaans;2023;80
45;Angolees;2015;50
46;Angolees;2016;70
47;Angolees;2017;45
48;Angolees;2018;55
49;Angolees;2019;60
50;Angolees;2020;10
51;Angolees;2021;0
52;Angolees;2022;5
53;Angolees;2023;5
54;Argentijns;2015;35
55;Argentijns;2016;25
56;Argentijns;2017;20
57;Argentijns;2018;25
58;Argentijns;2019;65
59;Argentijns;2020;55
60;Argentijns;2021;20
61;Argentijns;2022;60
62;Argentijns;2023;30
63;Armeens;2015;175
64;Armeens;2016;100
65;Armeens;2017;75
66;Armeens;2018;95
67;Armeens;2019;90
68;Armeens;2020;55
69;Armeens;2021;20
70;Armeens;2022;15
71;Armeens;2023;25
72;Azerbeidzjaans;2015;35
73;Azerbeidzjaans;2016;35
74;Azerbeidzjaans;2017;55
75;Azerbeidzjaans;2018;175
76;Azerbeidzjaans;2019;295
77;Azerbeidzjaans;2020;110
78;Azerbeidzjaans;2021;15
79;Azerbeidzjaans;2022;20
80;Azerbeidzjaans;2023;15
81;Bengalees;2015;15
82;Bengalees;2016;15
83;Bengalees;2017;25
84;Bengalees;2018;30
85;Bengalees;2019;25
86;Bengalees;2020;5
87;Bengalees;2021;0
88;Bengalees;2022;10
