ID;TypeZelfstandige;Persoonskenmerken;BedrijfstakkenBranchesSBI2008;Perioden;Personen_1;PersonenMetBedrijfsvermogen_2;GemiddeldPersoonlijkInkomen_3;MediaanPersoonlijkInkomen_4;GemiddeldInkomenAlsZelfstandige_5;MediaanInkomenAlsZelfstandige_6;GemiddeldGestandaardiseerdInkomen_7;MediaanGestandaardiseerdInkomen_8;MediaanVermogenHuishoudens_9;MediaanBedrijfsvermogen_10;Personen_11;PersonenMetBedrijfsvermogen_12;GemiddeldPersoonlijkInkomen_13;MediaanPersoonlijkInkomen_14;GemiddeldInkomenAlsZelfstandige_15;MediaanInkomenAlsZelfstandige_16;GemiddeldGestandaardiseerdInkomen_17;MediaanGestandaardiseerdInkomen_18;MediaanVermogenHuishoudens_19;MediaanBedrijfsvermogen_20;ZelfstandigeAlleInkomensbronnen_21
0;Zelfstandige;Totaal personen;A-U Alle economische activiteiten;2007;1012.5;717.6;39.5;29.2;38.1;27.4;33.4;26.8;234.1;35.5;1547.4;908.4;38.4;29.1;26.1;12.4;31.8;26.0;206.9;28.1;1633.4
1;Zelfstandige;Totaal personen;A-U Alle economische activiteiten;2008;1066.7;850.3;40.2;29.8;38.9;28.1;32.1;27.3;220.0;32.9;1643.6;1075.5;39.2;29.8;26.6;12.5;30.9;26.5;191.4;26.0;1739.7
2;Zelfstandige;Totaal personen;A-U Alle economische activiteiten;2009;1074.0;895.6;36.9;27.0;35.9;25.7;29.8;26.0;189.0;28.8;1654.6;1137.1;36.9;28.1;24.4;11.1;29.4;25.8;166.3;22.7;1721.8
3;Zelfstandige;Totaal personen;A-U Alle economische activiteiten;2010;1054.2;862.0;38.6;28.5;37.5;27.1;30.8;26.4;178.5;29.8;1645.9;1095.6;38.2;29.3;25.2;12.3;30.0;26.0;155.6;23.5;1712.3
4;Zelfstandige;Totaal personen;A-U Alle economische activiteiten;2011;1099.4;898.4;38.8;29.4;37.5;27.8;34.6;29.4;167.1;27.7;1680.8;1123.6;38.9;30.3;25.7;13.0;33.6;28.9;148.7;22.7;1750.1
5;Zelfstandige;Totaal personen;A-U Alle economische activiteiten;2012;1112.3;917.4;38.1;28.3;36.8;26.8;34.4;29.1;143.7;27.1;1696.9;1149.8;38.5;29.6;25.3;12.7;33.5;28.7;126.7;22.2;1765.0
6;Zelfstandige;Totaal personen;A-U Alle economische activiteiten;2013;1126.6;930.2;37.9;27.8;36.2;26.2;33.6;28.8;112.0;26.1;1713.1;1167.4;38.6;29.3;25.1;12.7;33.1;28.7;96.7;21.5;1778.0
7;Zelfstandige;Totaal personen;A-U Alle economische activiteiten;2014;1156.3;960.4;39.1;28.9;37.4;27.2;38.2;30.2;108.0;25.2;1735.0;1203.7;39.7;30.1;26.3;13.8;37.1;29.9;94.6;20.8;1799.6
8;Zelfstandige;Totaal personen;A-U Alle economische activiteiten;2015;1178.5;983.5;38.3;28.5;36.6;27.1;37.3;30.2;115.2;25.8;1759.1;1234.4;39.3;30.0;26.0;13.8;36.6;30.2;101.7;21.2;1837.8
9;Zelfstandige;Totaal personen;A Landbouw, bosbouw en visserij;2007;91.2;76.0;31.0;24.8;31.1;23.6;29.6;27.1;547.2;182.6;116.5;96.1;29.6;24.3;24.3;16.8;28.5;26.3;534.6;167.5;118.5
10;Zelfstandige;Totaal personen;A Landbouw, bosbouw en visserij;2008;89.4;84.8;30.3;25.4;30.2;24.1;31.2;29.2;599.9;197.1;114.2;107.5;29.2;25.1;23.5;17.4;30.4;28.3;584.1;181.5;116.5
11;Zelfstandige;Totaal personen;A Landbouw, bosbouw en visserij;2009;84.3;82.6;23.1;20.9;23.2;20.0;24.0;24.7;597.9;204.3;108.9;106.5;23.2;21.5;17.2;13.3;23.8;24.6;582.7;188.6;110.8
12;Zelfstandige;Totaal personen;A Landbouw, bosbouw en visserij;2010;85.2;81.1;32.7;26.6;32.6;25.2;31.0;28.4;535.3;229.4;109.1;103.6;31.4;26.2;25.3;18.6;29.8;27.4;519.1;212.4;110.6
13;Zelfstandige;Totaal personen;A Landbouw, bosbouw en visserij;2011;87.6;84.8;33.1;28.7;32.7;27.0;33.4;31.8;518.4;225.7;111.1;107.0;32.0;28.2;25.5;20.2;32.1;30.9;507.6;209.6;112.8
14;Zelfstandige;Totaal personen;A Landbouw, bosbouw en visserij;2012;86.2;83.3;33.2;28.3;32.6;26.7;33.7;31.6;545.3;252.2;109.5;105.3;32.4;28.1;25.6;20.1;32.6;30.8;531.9;235.3;111.0
15;Zelfstandige;Totaal personen;A Landbouw, bosbouw en visserij;2013;85.6;83.0;35.1;30.3;34.2;28.6;35.0;33.0;572.1;290.2;108.2;104.5;34.3;29.9;27.2;22.0;34.0;32.1;554.4;268.0;109.8
16;Zelfstandige;Totaal personen;A Landbouw, bosbouw en visserij;2014;84.8;82.5;34.9;30.1;33.9;28.4;35.9;33.6;609.2;314.4;107.9;104.6;34.0;29.8;26.6;21.6;34.8;32.6;589.1;290.9;109.5
17;Zelfstandige;Totaal personen;A Landbouw, bosbouw en visserij;2015;83.7;80.8;29.9;25.1;28.8;24.2;32.6;30.7;642.5;337.2;107.8;103.0;30.5;26.3;22.6;18.1;32.2;30.5;622.6;313.7;109.9
18;Zelfstandige;Totaal personen;B-F Nijverheid en energie;2007;141.5;112.3;41.3;36.8;41.0;37.3;31.0;26.6;206.7;26.4;161.1;126.4;40.0;35.4;36.6;33.2;30.7;26.3;208.2;25.0;162.4
19;Zelfstandige;Totaal personen;B-F Nijverheid en energie;2008;154.0;139.2;41.9;37.7;41.8;38.2;29.7;26.9;183.8;22.7;174.8;156.3;40.7;36.4;37.4;34.1;29.5;26.6;185.9;21.5;176.2
20;Zelfstandige;Totaal personen;B-F Nijverheid en energie;2009;159.1;150.3;37.8;34.1;38.0;34.8;27.4;25.1;147.7;18.4;180.9;169.4;37.0;33.1;33.8;30.7;27.3;25.1;152.0;17.5;181.1
21;Zelfstandige;Totaal personen;B-F Nijverheid en energie;2010;167.1;149.0;37.1;32.7;37.0;33.0;27.2;24.6;142.6;19.2;193.4;170.1;36.5;31.9;32.5;28.5;27.1;24.5;143.3;17.8;193.7
22;Zelfstandige;Totaal personen;B-F Nijverheid en energie;2011;173.9;155.0;38.5;35.1;38.2;35.1;31.4;28.0;133.9;17.9;200.1;174.7;38.1;34.3;33.8;30.7;31.2;27.9;135.3;17.0;200.6
23;Zelfstandige;Totaal personen;B-F Nijverheid en energie;2012;174.7;156.6;36.3;32.2;35.9;32.2;30.3;27.0;111.6;17.8;201.7;177.4;36.1;31.9;31.6;27.9;30.3;27.0;114.0;16.8;202.1
24;Zelfstandige;Totaal personen;B-F Nijverheid en energie;2013;174.0;157.1;36.3;32.1;35.7;32.0;30.0;26.9;83.5;16.3;200.7;178.0;36.3;31.9;31.6;27.7;30.0;27.0;86.3;15.4;201.2
25;Zelfstandige;Totaal personen;B-F Nijverheid en energie;2014;178.6;163.0;37.8;33.8;37.2;33.5;33.4;28.5;81.2;15.9;206.1;184.6;37.8;33.4;32.9;29.3;33.4;28.5;83.8;15.1;206.4
26;Zelfstandige;Totaal personen;B-F Nijverheid en energie;2015;184.3;168.3;37.1;33.3;36.4;33.2;32.8;28.5;84.8;16.5;212.7;189.9;37.3;33.0;32.4;29.4;32.9;28.6;87.4;15.6;214.1
