ID;KenmerkenWonen;Cijfersoort;Perioden;ScoreGeluk_1;Ongelukkig_2;NietGelukkigNietOngelukkig_3;Gelukkig_4;ScoreTevredenheidMetHetLeven_5;Ontevreden_6;NietTevredenNietOntevreden_7;Tevreden_8;ScoreTevredenheidMetWoning_9;Ontevreden_10;NietTevredenNietOntevreden_11;Tevreden_12;ScoreTevredenheidMetWoonomgeving_13;Ontevreden_14;NietTevredenNietOntevreden_15;Tevreden_16;ScoreOnveiligheidsgevoelens_17;Veilig_18;NietVeiligNietOnveilig_19;Onveilig_20
0;Totaal;Gemiddelde/Percentage;2013;7.7;2.5;10.0;87.5;7.5;3.4;13.0;83.6;8.0;3.9;8.1;88.0;7.9;3.4;10.3;86.3;3.5;69.2;16.9;13.9
1;Totaal;Gemiddelde/Percentage;2014;7.7;2.4;9.7;87.9;7.6;3.3;12.1;84.6;8.0;3.8;8.4;87.9;7.8;3.9;10.7;85.4;3.5;70.1;16.1;13.8
2;Totaal;Gemiddelde/Percentage;2015;7.7;2.8;9.8;87.4;7.5;3.9;12.2;83.9;8.0;3.5;9.6;86.9;7.9;3.8;10.3;85.9;3.5;69.2;16.7;14.1
3;Totaal;Gemiddelde/Percentage;2016;7.7;2.6;9.1;88.3;7.6;3.0;11.8;85.2;8.0;3.9;8.5;87.6;7.8;4.0;10.0;86.0;3.6;68.5;17.3;14.3
4;Totaal;Gemiddelde/Percentage;2017;7.7;2.8;9.8;87.5;7.6;3.5;11.1;85.4;8.0;4.3;8.6;87.1;7.9;3.7;10.1;86.1;3.5;69.8;16.3;13.9
5;Totaal;Gemiddelde/Percentage;2018;7.7;2.8;9.4;87.7;7.6;2.4;11.8;85.7;7.9;4.4;9.1;86.5;7.8;4.1;10.1;85.8;3.3;73.7;14.8;11.4
6;Totaal;Gemiddelde/Percentage;2019;7.7;2.6;8.5;88.9;7.7;2.4;10.3;87.3;8.0;4.5;8.0;87.5;7.9;4.1;10.0;85.9;3.3;73.7;14.7;11.6
7;Totaal;Gemiddelde/Percentage;2020;7.7;2.7;10.5;86.8;7.6;2.7;12.4;84.8;8.0;4.1;8.4;87.5;7.8;4.2;9.9;85.9;3.3;74.4;13.9;11.7
8;Totaal;Gemiddelde/Percentage;2021;7.6;3.3;10.3;86.4;7.5;3.3;13.0;83.6;7.9;5.3;9.1;85.6;7.9;4.7;9.0;86.3;3.2;75.6;12.8;11.6
9;Totaal;Standaardfout;2013;0.0;0.2;0.4;0.4;0.0;0.2;0.4;0.4;0.0;0.2;0.3;0.4;0.0;0.2;0.4;0.4;0.0;0.6;0.4;0.4
10;Totaal;Standaardfout;2014;0.0;0.2;0.3;0.4;0.0;0.2;0.4;0.4;0.0;0.2;0.3;0.4;0.0;0.2;0.4;0.4;0.0;0.5;0.4;0.4
11;Totaal;Standaardfout;2015;0.0;0.2;0.4;0.4;0.0;0.2;0.4;0.4;0.0;0.2;0.3;0.4;0.0;0.2;0.4;0.4;0.0;0.5;0.4;0.4
12;Totaal;Standaardfout;2016;0.0;0.2;0.3;0.4;0.0;0.2;0.4;0.4;0.0;0.2;0.3;0.4;0.0;0.2;0.4;0.4;0.0;0.6;0.5;0.4
13;Totaal;Standaardfout;2017;0.0;0.2;0.3;0.4;0.0;0.2;0.4;0.4;0.0;0.2;0.3;0.4;0.0;0.2;0.4;0.4;0.0;0.5;0.4;0.4
14;Totaal;Standaardfout;2018;0.0;0.2;0.3;0.4;0.0;0.2;0.4;0.4;0.0;0.2;0.3;0.4;0.0;0.2;0.4;0.4;0.0;0.5;0.4;0.4
15;Totaal;Standaardfout;2019;0.0;0.2;0.3;0.4;0.0;0.2;0.4;0.4;0.0;0.2;0.3;0.4;0.0;0.2;0.4;0.4;0.0;0.5;0.4;0.4
16;Totaal;Standaardfout;2020;0.0;0.2;0.4;0.4;0.0;0.2;0.4;0.4;0.0;0.2;0.3;0.4;0.0;0.2;0.3;0.4;0.0;0.5;0.4;0.4
17;Totaal;Standaardfout;2021;0.0;0.2;0.4;0.4;0.0;0.2;0.4;0.5;0.0;0.3;0.4;0.4;0.0;0.3;0.4;0.4;0.0;0.5;0.4;0.4
18;Stedelijkheid: zeer sterk stedelijk;Gemiddelde/Percentage;2013;7.6;3.6;13.8;82.7;7.3;5.1;17.3;77.6;7.7;6.5;13.7;79.8;7.6;4.6;15.2;80.2;3.6;67.8;18.7;13.5
19;Stedelijkheid: zeer sterk stedelijk;Gemiddelde/Percentage;2014;7.6;3.4;10.7;85.9;7.5;4.2;14.1;81.7;7.6;6.2;12.2;81.6;7.6;5.7;13.2;81.2;3.5;71.7;16.3;12.0
20;Stedelijkheid: zeer sterk stedelijk;Gemiddelde/Percentage;2015;7.5;4.3;12.3;83.4;7.4;5.7;14.1;80.2;7.6;5.5;13.8;80.7;7.6;6.0;13.4;80.6;3.6;68.3;18.4;13.3
