ID;Geslacht;Leeftijd;TypeMisdrijf;Perioden;RegistratiesVanVerdachten_1;UniekeVerdachtenVanMisdrijven_2
0;Totaal mannen en vrouwen;Totaal;Totaal;2010;403340;272120
1;Totaal mannen en vrouwen;Totaal;Totaal;2011;394810;267210
2;Totaal mannen en vrouwen;Totaal;Totaal;2012;369790;249380
3;Totaal mannen en vrouwen;Totaal;Totaal;2013;347990;232390
4;Totaal mannen en vrouwen;Totaal;Totaal;2014;324250;217110
5;Totaal mannen en vrouwen;Totaal;Totaal;2015;298840;198510
6;Totaal mannen en vrouwen;Totaal;Totaal;2016;276840;185460
7;Totaal mannen en vrouwen;Totaal;Totaal;2017;256010;171240
8;Totaal mannen en vrouwen;Totaal;Totaal;2018;256860;164590
9;Totaal mannen en vrouwen;Totaal;Totaal;2019;274200;166610
10;Totaal mannen en vrouwen;Totaal;Totaal;2020;262450;152810
11;Totaal mannen en vrouwen;Totaal;Totaal;2021;242490;142040
12;Totaal mannen en vrouwen;Totaal;Totaal;2022;262880;155650
13;Totaal mannen en vrouwen;Totaal;Totaal;2023;260010;150300
14;Totaal mannen en vrouwen;Totaal;Totaal;2024;244820;140610
15;Totaal mannen en vrouwen;Totaal;1 Vermogensmisdrijven;2010;140690;91770
16;Totaal mannen en vrouwen;Totaal;1 Vermogensmisdrijven;2011;139180;91090
17;Totaal mannen en vrouwen;Totaal;1 Vermogensmisdrijven;2012;134970;87340
18;Totaal mannen en vrouwen;Totaal;1 Vermogensmisdrijven;2013;134470;85280
19;Totaal mannen en vrouwen;Totaal;1 Vermogensmisdrijven;2014;124380;79780
20;Totaal mannen en vrouwen;Totaal;1 Vermogensmisdrijven;2015;117240;74330
21;Totaal mannen en vrouwen;Totaal;1 Vermogensmisdrijven;2016;106190;68410
22;Totaal mannen en vrouwen;Totaal;1 Vermogensmisdrijven;2017;98410;63050
23;Totaal mannen en vrouwen;Totaal;1 Vermogensmisdrijven;2018;94770;59350
24;Totaal mannen en vrouwen;Totaal;1 Vermogensmisdrijven;2019;98970;60760
25;Totaal mannen en vrouwen;Totaal;1 Vermogensmisdrijven;2020;92160;55970
26;Totaal mannen en vrouwen;Totaal;1 Vermogensmisdrijven;2021;76590;46720
27;Totaal mannen en vrouwen;Totaal;1 Vermogensmisdrijven;2022;85610;51850
28;Totaal mannen en vrouwen;Totaal;1 Vermogensmisdrijven;2023;89580;52010
29;Totaal mannen en vrouwen;Totaal;1 Vermogensmisdrijven;2024;80530;48070
30;Totaal mannen en vrouwen;Totaal;11 Diefstal/verduistering en inbraak;2010;114380;76080
31;Totaal mannen en vrouwen;Totaal;11 Diefstal/verduistering en inbraak;2011;115160;76060
32;Totaal mannen en vrouwen;Totaal;11 Diefstal/verduistering en inbraak;2012;110900;73210
33;Totaal mannen en vrouwen;Totaal;11 Diefstal/verduistering en inbraak;2013;111180;71510
34;Totaal mannen en vrouwen;Totaal;11 Diefstal/verduistering en inbraak;2014;101070;65730
35;Totaal mannen en vrouwen;Totaal;11 Diefstal/verduistering en inbraak;2015;94040;60830
36;Totaal mannen en vrouwen;Totaal;11 Diefstal/verduistering en inbraak;2016;85310;56140
