ID;Geslacht;PositieInDeWerkkring;Persoonskenmerken;Perioden;Totaal_1;RegelmatigOfSomsOverwerken_2;RegelmatigOverwerken_3;SomsOverwerken_4;NietOverwerken_5;Onbekend_6;GemiddeldAantalOverwerkuren_7
0;Totaal mannen en vrouwen;Totaal;Totaal personen;2022;8009;5479;1814;3665;2246;284;1.4
1;Totaal mannen en vrouwen;Totaal;Totaal personen;2023;8151;5545;1741;3804;2336;270;1.3
2;Totaal mannen en vrouwen;Totaal;Totaal personen;2024;8183;5489;1619;3870;2415;279;1.2
3;Totaal mannen en vrouwen;Totaal;Leeftijd: 15 tot 25 jaar;2022;1533;872;243;628;539;122;1.1
4;Totaal mannen en vrouwen;Totaal;Leeftijd: 15 tot 25 jaar;2023;1564;906;238;668;539;118;1.1
5;Totaal mannen en vrouwen;Totaal;Leeftijd: 15 tot 25 jaar;2024;1557;896;231;665;537;124;1.1
6;Totaal mannen en vrouwen;Totaal;Leeftijd: 25 tot 35 jaar;2022;1759;1253;400;853;466;40;1.3
7;Totaal mannen en vrouwen;Totaal;Leeftijd: 25 tot 35 jaar;2023;1784;1254;386;868;485;45;1.3
8;Totaal mannen en vrouwen;Totaal;Leeftijd: 25 tot 35 jaar;2024;1815;1252;347;904;513;50;1.2
9;Totaal mannen en vrouwen;Totaal;Leeftijd: 35 tot 45 jaar;2022;1537;1112;378;734;385;41;1.4
10;Totaal mannen en vrouwen;Totaal;Leeftijd: 35 tot 45 jaar;2023;1555;1133;349;784;391;32;1.3
11;Totaal mannen en vrouwen;Totaal;Leeftijd: 35 tot 45 jaar;2024;1580;1130;332;798;419;30;1.3
12;Totaal mannen en vrouwen;Totaal;Leeftijd: 45 tot 55 jaar;2022;1611;1205;443;762;367;39;1.6
13;Totaal mannen en vrouwen;Totaal;Leeftijd: 45 tot 55 jaar;2023;1585;1165;417;748;384;36;1.5
14;Totaal mannen en vrouwen;Totaal;Leeftijd: 45 tot 55 jaar;2024;1532;1124;375;749;375;33;1.4
15;Totaal mannen en vrouwen;Totaal;Leeftijd: 55 tot 65 jaar;2022;1402;962;328;634;405;35;1.4
16;Totaal mannen en vrouwen;Totaal;Leeftijd: 55 tot 65 jaar;2023;1454;990;323;667;433;31;1.4
17;Totaal mannen en vrouwen;Totaal;Leeftijd: 55 tot 65 jaar;2024;1474;980;302;678;461;32;1.3
18;Totaal mannen en vrouwen;Totaal;Leeftijd: 65 tot 75 jaar;2022;167;76;23;54;84;7;1.2
19;Totaal mannen en vrouwen;Totaal;Leeftijd: 65 tot 75 jaar;2023;209;98;28;70;104;8;1.1
20;Totaal mannen en vrouwen;Totaal;Leeftijd: 65 tot 75 jaar;2024;225;107;32;75;109;9;1.0
21;Totaal mannen en vrouwen;Totaal;1 Basisonderwijs, vmbo, mbo1;2022;1586;899;253;646;593;95;1.2
22;Totaal mannen en vrouwen;Totaal;1 Basisonderwijs, vmbo, mbo1;2023;1694;954;238;716;647;94;1.1
23;Totaal mannen en vrouwen;Totaal;1 Basisonderwijs, vmbo, mbo1;2024;1697;934;240;694;657;107;1.1
24;Totaal mannen en vrouwen;Totaal;2 Havo, vwo, mbo2-4;2022;3103;2106;671;1435;885;112;1.3
25;Totaal mannen en vrouwen;Totaal;2 Havo, vwo, mbo2-4;2023;3145;2131;648;1483;906;108;1.3
26;Totaal mannen en vrouwen;Totaal;2 Havo, vwo, mbo2-4;2024;3110;2083;576;1507;920;107;1.2
27;Totaal mannen en vrouwen;Totaal;3 Hbo, wo;2022;3276;2452;884;1568;751;73;1.5
28;Totaal mannen en vrouwen;Totaal;3 Hbo, wo;2023;3270;2444;852;1592;763;63;1.4
29;Totaal mannen en vrouwen;Totaal;3 Hbo, wo;2024;3332;2449;799;1650;821;62;1.4
30;Totaal mannen en vrouwen;Totaal;Onderwijsniveau: weet niet of onbekend;2022;44;22;6;16;18;4;
31;Totaal mannen en vrouwen;Totaal;Onderwijsniveau: weet niet of onbekend;2023;42;16;4;13;20;5;
32;Totaal mannen en vrouwen;Totaal;Onderwijsniveau: weet niet of onbekend;2024;44;23;4;19;18;4;
33;Totaal mannen en vrouwen;Totaal;Arbeidsduur: deeltijd;2022;4021;2529;717;1812;1325;167;1.1
