ID;Gezondheid;Geslacht;Persoonskenmerken;Perioden;BeroepsEnNietBeroepsbevolking_1;Beroepsbevolking_2;WerkzameBeroepsbevolking_3;Werknemer_4;WerknemerMetVasteArbeidsrelatie_5;WerknemerMetFlexibeleArbeidsrelatie_6;Zelfstandige_7;ZelfstandigeZonderPersoneelZzp_8;ZelfstandigeMetPersoneel_9;MeewerkendGezinslid_10;PositieInDeWerkkringOnbekend_11;Deeltijd_12;MinderDan20UurPerWeek_13;MinderDan12UurPerWeek_14;k_12Tot20UurPerWeek_15;k_20Tot35UurPerWeek_16;k_20Tot28UurPerWeek_17;k_28Tot35UurPerWeek_18;Voltijd_19;WerklozeBeroepsbevolking_20;Werkloosheidspercentage_21;NietBeroepsbevolking_22;BrutoArbeidsparticipatie_23;NettoArbeidsparticipatie_24
0;Totaal;Totaal mannen en vrouwen;Totaal personen;2021;13147;9663;9255;7810;5230;2580;1445;1078;333;34;0;4455;1563;829;735;2892;1249;1643;4800;408;4.2;3483;73.5;70.4
1;Totaal;Totaal mannen en vrouwen;Totaal personen;2022;13228;9898;9548;8009;5318;2692;1539;1176;325;38;0;4563;1550;815;735;3013;1265;1749;4985;350;3.5;3330;74.8;72.2
2;Totaal;Totaal mannen en vrouwen;Totaal personen;2023;13326;10096;9737;8151;5416;2735;1586;1230;324;32;0;4673;1563;824;738;3110;1301;1809;5064;359;3.6;3230;75.8;73.1
3;Totaal;Totaal mannen en vrouwen;Totaal personen;2024;13387;10170;9798;8183;5500;2682;1615;1262;321;31;0;4717;1565;822;743;3153;1296;1857;5080;372;3.7;3217;76.0;73.2
4;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2021;2120;1676;1520;1451;252;1199;69;60;4;6;0;1137;792;515;277;345;177;168;383;156;9.3;444;79.1;71.7
5;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2022;2147;1755;1621;1533;274;1259;88;79;4;5;0;1194;821;518;303;373;184;189;427;134;7.6;392;81.8;75.5
6;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2023;2169;1808;1659;1564;282;1282;95;86;4;5;0;1240;827;525;302;413;207;206;419;149;8.2;361;83.4;76.5
7;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2024;2175;1810;1653;1557;278;1279;96;84;5;7;0;1238;834;525;309;404;200;204;415;157;8.7;364;83.2;76.0
8;Totaal;Totaal mannen en vrouwen;Leeftijd: 25 tot 45 jaar;2021;4316;3857;3728;3215;2318;897;513;395;111;7;0;1459;265;96;169;1194;475;719;2269;129;3.3;459;89.4;86.4
9;Totaal;Totaal mannen en vrouwen;Leeftijd: 25 tot 45 jaar;2022;4400;3953;3840;3296;2357;939;544;421;116;7;0;1475;241;85;156;1234;481;753;2365;113;2.9;447;89.8;87.3
10;Totaal;Totaal mannen en vrouwen;Leeftijd: 25 tot 45 jaar;2023;4489;4044;3927;3339;2385;954;588;465;117;5;0;1510;242;84;158;1268;486;782;2417;117;2.9;445;90.1;87.5
11;Totaal;Totaal mannen en vrouwen;Leeftijd: 25 tot 45 jaar;2024;4556;4105;3980;3395;2469;926;585;470;110;5;0;1538;241;81;159;1297;477;820;2442;125;3.0;451;90.1;87.4
12;Totaal;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;2021;2238;2024;1949;1750;1135;615;199;165;31;3;0;707;133;54;80;574;212;362;1242;75;3.7;215;90.4;87.1
13;Totaal;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;2022;2280;2063;1994;1759;1137;622;235;194;37;4;0;711;125;48;77;586;213;373;1282;69;3.3;218;90.5;87.4
14;Totaal;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;2023;2325;2102;2031;1784;1147;637;247;206;39;2;0;715;121;46;75;595;209;385;1316;71;3.4;223;90.4;87.3
15;Totaal;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;2024;2356;2139;2064;1815;1203;612;249;211;34;3;0;732;124;46;78;608;207;401;1332;75;3.5;217;90.8;87.6
16;Totaal;Totaal mannen en vrouwen;Leeftijd: 35 tot 45 jaar;2021;2077;1833;1779;1465;1183;282;314;230;80;4;0;752;132;43;90;620;263;357;1027;54;2.9;245;88.2;85.6
17;Totaal;Totaal mannen en vrouwen;Leeftijd: 35 tot 45 jaar;2022;2119;1890;1846;1537;1220;317;309;227;79;3;0;764;116;37;79;648;267;381;1082;44;2.3;230;89.2;87.1
18;Totaal;Totaal mannen en vrouwen;Leeftijd: 35 tot 45 jaar;2023;2163;1942;1896;1555;1238;317;340;259;78;3;0;795;121;39;83;673;277;397;1101;46;2.4;222;89.8;87.6
19;Totaal;Totaal mannen en vrouwen;Leeftijd: 35 tot 45 jaar;2024;2200;1966;1916;1580;1265;314;336;258;75;3;0;806;116;35;81;690;270;420;1110;50;2.5;234;89.4;87.1
20;Totaal;Totaal mannen en vrouwen;Leeftijd: 45 tot 75 jaar;2021;6710;4130;4008;3145;2661;484;863;623;218;22;0;1859;506;217;289;1353;597;756;2148;123;3.0;2580;61.5;59.7
21;Totaal;Totaal mannen en vrouwen;Leeftijd: 45 tot 75 jaar;2022;6681;4190;4087;3180;2686;494;906;675;205;26;0;1894;488;212;276;1406;600;806;2193;104;2.5;2491;62.7;61.2
22;Totaal;Totaal mannen en vrouwen;Leeftijd: 45 tot 75 jaar;2023;6667;4243;4151;3248;2749;499;903;679;203;21;0;1922;493;215;278;1429;609;821;2229;92;2.2;2424;63.6;62.3
23;Totaal;Totaal mannen en vrouwen;Leeftijd: 45 tot 75 jaar;2024;6657;4255;4165;3231;2753;477;934;708;207;19;0;1942;490;216;274;1452;620;832;2223;90;2.1;2402;63.9;62.6
24;Totaal;Totaal mannen en vrouwen;Leeftijd: 45 tot 55 jaar;2021;2373;2074;2020;1629;1381;248;391;272;111;7;0;831;168;57;111;663;281;382;1189;54;2.6;299;87.4;85.1
25;Totaal;Totaal mannen en vrouwen;Leeftijd: 45 tot 55 jaar;2022;2333;2044;2007;1611;1364;247;396;280;108;7;0;802;148;48;100;654;260;394;1205;37;1.8;289;87.6;86.0
26;Totaal;Totaal mannen en vrouwen;Leeftijd: 45 tot 55 jaar;2023;2295;2012;1976;1585;1347;238;391;287;99;5;0;797;135;41;95;662;253;409;1178;36;1.8;284;87.6;86.1
27;Totaal;Totaal mannen en vrouwen;Leeftijd: 45 tot 55 jaar;2024;2248;1969;1933;1532;1314;218;401;296;101;4;0;787;122;43;79;665;264;401;1146;36;1.8;279;87.6;86.0
28;Totaal;Totaal mannen en vrouwen;Leeftijd: 55 tot 65 jaar;2021;2390;1762;1704;1361;1193;167;343;250;84;9;0;821;210;76;134;611;268;342;883;59;3.3;628;73.7;71.3
29;Totaal;Totaal mannen en vrouwen;Leeftijd: 55 tot 65 jaar;2022;2414;1820;1768;1402;1226;176;366;273;84;9;0;856;207;81;126;649;279;370;912;52;2.8;594;75.4;73.2
30;Totaal;Totaal mannen en vrouwen;Leeftijd: 55 tot 65 jaar;2023;2434;1861;1819;1454;1274;180;365;268;89;8;0;865;205;77;128;660;293;367;953;42;2.3;573;76.5;74.7
31;Totaal;Totaal mannen en vrouwen;Leeftijd: 55 tot 65 jaar;2024;2453;1881;1839;1474;1303;171;366;270;87;8;0;871;201;70;131;671;291;380;968;41;2.2;573;76.7;75.0
32;Totaal;Totaal mannen en vrouwen;Leeftijd: 65 tot 75 jaar;2021;1947;294;284;155;87;68;129;100;22;6;0;208;128;84;44;80;48;32;76;10;3.5;1653;15.1;14.6
33;Totaal;Totaal mannen en vrouwen;Leeftijd: 65 tot 75 jaar;2022;1934;327;312;167;96;71;145;122;14;9;0;236;133;83;50;103;62;42;76;15;4.5;1607;16.9;16.1
34;Totaal;Totaal mannen en vrouwen;Leeftijd: 65 tot 75 jaar;2023;1938;370;357;209;128;81;147;124;15;8;0;260;153;97;56;107;62;45;97;14;3.7;1567;19.1;18.4
35;Totaal;Totaal mannen en vrouwen;Leeftijd: 65 tot 75 jaar;2024;1955;405;393;225;136;89;167;142;19;7;0;283;167;103;65;116;65;51;109;13;3.1;1550;20.7;20.1
