ID;Geslacht;Onderwijssoort;Leerjaar;Regiokenmerken;Perioden;AantalLeerlingen_1
0;Totaal mannen en vrouwen;Totaal leerlingen;Totaal leerjaren;Nederland;2011/'12;948670.0
1;Totaal mannen en vrouwen;Totaal leerlingen;Totaal leerjaren;Nederland;2012/'13;960680.0
2;Totaal mannen en vrouwen;Totaal leerlingen;Totaal leerjaren;Nederland;2013/'14;973510.0
3;Totaal mannen en vrouwen;Totaal leerlingen;Totaal leerjaren;Nederland;2014/'15;985070.0
4;Totaal mannen en vrouwen;Totaal leerlingen;Totaal leerjaren;Nederland;2015/'16;995340.0
5;Totaal mannen en vrouwen;Totaal leerlingen;Totaal leerjaren;Nederland;2016/'17;995480.0
6;Totaal mannen en vrouwen;Totaal leerlingen;Totaal leerjaren;Nederland;2017/'18;985250.0
7;Totaal mannen en vrouwen;Totaal leerlingen;Totaal leerjaren;Nederland;2018/'19;968240.0
8;Totaal mannen en vrouwen;Totaal leerlingen;Totaal leerjaren;Nederland;2019/'20;950460.0
9;Totaal mannen en vrouwen;Totaal leerlingen;Totaal leerjaren;Nederland;2020/'21;934230.0
10;Totaal mannen en vrouwen;Totaal leerlingen;Totaal leerjaren;Nederland;2021/'22;929570.0
11;Totaal mannen en vrouwen;Totaal leerlingen;Totaal leerjaren;Nederland;2022/'23;936560.0
12;Totaal mannen en vrouwen;Totaal leerlingen;Totaal leerjaren;Nederland;2023/'24;940540.0
13;Totaal mannen en vrouwen;Totaal leerlingen;Totaal leerjaren;Nederland;2024/'25;929670.0
14;Totaal mannen en vrouwen;Totaal leerlingen;Totaal leerjaren;Noord-Nederland (LD);2011/'12;98360.0
15;Totaal mannen en vrouwen;Totaal leerlingen;Totaal leerjaren;Noord-Nederland (LD);2012/'13;99450.0
16;Totaal mannen en vrouwen;Totaal leerlingen;Totaal leerjaren;Noord-Nederland (LD);2013/'14;100770.0
17;Totaal mannen en vrouwen;Totaal leerlingen;Totaal leerjaren;Noord-Nederland (LD);2014/'15;101770.0
18;Totaal mannen en vrouwen;Totaal leerlingen;Totaal leerjaren;Noord-Nederland (LD);2015/'16;102420.0
19;Totaal mannen en vrouwen;Totaal leerlingen;Totaal leerjaren;Noord-Nederland (LD);2016/'17;101520.0
20;Totaal mannen en vrouwen;Totaal leerlingen;Totaal leerjaren;Noord-Nederland (LD);2017/'18;99970.0
21;Totaal mannen en vrouwen;Totaal leerlingen;Totaal leerjaren;Noord-Nederland (LD);2018/'19;97120.0
22;Totaal mannen en vrouwen;Totaal leerlingen;Totaal leerjaren;Noord-Nederland (LD);2019/'20;94190.0
23;Totaal mannen en vrouwen;Totaal leerlingen;Totaal leerjaren;Noord-Nederland (LD);2020/'21;91360.0
24;Totaal mannen en vrouwen;Totaal leerlingen;Totaal leerjaren;Noord-Nederland (LD);2021/'22;90260.0
25;Totaal mannen en vrouwen;Totaal leerlingen;Totaal leerjaren;Noord-Nederland (LD);2022/'23;90660.0
26;Totaal mannen en vrouwen;Totaal leerlingen;Totaal leerjaren;Noord-Nederland (LD);2023/'24;90900.0
27;Totaal mannen en vrouwen;Totaal leerlingen;Totaal leerjaren;Noord-Nederland (LD);2024/'25;89270.0
28;Totaal mannen en vrouwen;Totaal leerlingen;Totaal leerjaren;Oost-Nederland (LD);2011/'12;212550.0
29;Totaal mannen en vrouwen;Totaal leerlingen;Totaal leerjaren;Oost-Nederland (LD);2012/'13;215840.0
30;Totaal mannen en vrouwen;Totaal leerlingen;Totaal leerjaren;Oost-Nederland (LD);2013/'14;219390.0
31;Totaal mannen en vrouwen;Totaal leerlingen;Totaal leerjaren;Oost-Nederland (LD);2014/'15;222300.0
32;Totaal mannen en vrouwen;Totaal leerlingen;Totaal leerjaren;Oost-Nederland (LD);2015/'16;225690.0
33;Totaal mannen en vrouwen;Totaal leerlingen;Totaal leerjaren;Oost-Nederland (LD);2016/'17;226150.0
34;Totaal mannen en vrouwen;Totaal leerlingen;Totaal leerjaren;Oost-Nederland (LD);2017/'18;223110.0
35;Totaal mannen en vrouwen;Totaal leerlingen;Totaal leerjaren;Oost-Nederland (LD);2018/'19;218520.0
36;Totaal mannen en vrouwen;Totaal leerlingen;Totaal leerjaren;Oost-Nederland (LD);2019/'20;213210.0
37;Totaal mannen en vrouwen;Totaal leerlingen;Totaal leerjaren;Oost-Nederland (LD);2020/'21;207980.0
38;Totaal mannen en vrouwen;Totaal leerlingen;Totaal leerjaren;Oost-Nederland (LD);2021/'22;205780.0
39;Totaal mannen en vrouwen;Totaal leerlingen;Totaal leerjaren;Oost-Nederland (LD);2022/'23;206340.0
40;Totaal mannen en vrouwen;Totaal leerlingen;Totaal leerjaren;Oost-Nederland (LD);2023/'24;205860.0
41;Totaal mannen en vrouwen;Totaal leerlingen;Totaal leerjaren;Oost-Nederland (LD);2024/'25;202450.0
42;Totaal mannen en vrouwen;Totaal leerlingen;Totaal leerjaren;West-Nederland (LD);2011/'12;435860.0
43;Totaal mannen en vrouwen;Totaal leerlingen;Totaal leerjaren;West-Nederland (LD);2012/'13;442960.0
44;Totaal mannen en vrouwen;Totaal leerlingen;Totaal leerjaren;West-Nederland (LD);2013/'14;449800.0
45;Totaal mannen en vrouwen;Totaal leerlingen;Totaal leerjaren;West-Nederland (LD);2014/'15;456600.0
46;Totaal mannen en vrouwen;Totaal leerlingen;Totaal leerjaren;West-Nederland (LD);2015/'16;462750.0
47;Totaal mannen en vrouwen;Totaal leerlingen;Totaal leerjaren;West-Nederland (LD);2016/'17;464670.0
48;Totaal mannen en vrouwen;Totaal leerlingen;Totaal leerjaren;West-Nederland (LD);2017/'18;462840.0
49;Totaal mannen en vrouwen;Totaal leerlingen;Totaal leerjaren;West-Nederland (LD);2018/'19;458190.0
50;Totaal mannen en vrouwen;Totaal leerlingen;Totaal leerjaren;West-Nederland (LD);2019/'20;453230.0
51;Totaal mannen en vrouwen;Totaal leerlingen;Totaal leerjaren;West-Nederland (LD);2020/'21;449290.0
52;Totaal mannen en vrouwen;Totaal leerlingen;Totaal leerjaren;West-Nederland (LD);2021/'22;449830.0
53;Totaal mannen en vrouwen;Totaal leerlingen;Totaal leerjaren;West-Nederland (LD);2022/'23;454730.0
54;Totaal mannen en vrouwen;Totaal leerlingen;Totaal leerjaren;West-Nederland (LD);2023/'24;458280.0
55;Totaal mannen en vrouwen;Totaal leerlingen;Totaal leerjaren;West-Nederland (LD);2024/'25;455790.0
56;Totaal mannen en vrouwen;Totaal leerlingen;Totaal leerjaren;Zuid-Nederland (LD);2011/'12;199770.0
57;Totaal mannen en vrouwen;Totaal leerlingen;Totaal leerjaren;Zuid-Nederland (LD);2012/'13;200270.0
58;Totaal mannen en vrouwen;Totaal leerlingen;Totaal leerjaren;Zuid-Nederland (LD);2013/'14;201460.0
59;Totaal mannen en vrouwen;Totaal leerlingen;Totaal leerjaren;Zuid-Nederland (LD);2014/'15;202310.0
60;Totaal mannen en vrouwen;Totaal leerlingen;Totaal leerjaren;Zuid-Nederland (LD);2015/'16;202270.0
