ID;CountryOfUltimateControllingInstance;CharacteristicsOfCompanies;EducationLevelOfEducation;CharacteristicsOfJobsAndEmployees;Periods;EmployeeJobs_1
0;Total domestic and foreign;Total Jobs;Total;Total ;2008;7950.0
1;Total domestic and foreign;Total Jobs;Total;Total ;2009;7838.0
2;Total domestic and foreign;Total Jobs;Total;Total ;2010;7861.0
3;Total domestic and foreign;Total Jobs;Total;Total ;2011;7999.0
4;Total domestic and foreign;Total Jobs;Total;Total ;2012;7927.0
5;Total domestic and foreign;Total Jobs;Total;Total ;2013;7782.0
6;Total domestic and foreign;Total Jobs;Total;Total ;2014;7774.0
7;Total domestic and foreign;Total Jobs;Total;Total ;2015;7862.0
8;Total domestic and foreign;Total Jobs;Total;Type of contract: specified time;2008;2208.0
9;Total domestic and foreign;Total Jobs;Total;Type of contract: specified time;2009;2213.0
10;Total domestic and foreign;Total Jobs;Total;Type of contract: specified time;2010;2240.0
11;Total domestic and foreign;Total Jobs;Total;Type of contract: specified time;2011;2329.0
12;Total domestic and foreign;Total Jobs;Total;Type of contract: specified time;2012;2360.0
13;Total domestic and foreign;Total Jobs;Total;Type of contract: specified time;2013;2367.0
14;Total domestic and foreign;Total Jobs;Total;Type of contract: specified time;2014;2460.0
15;Total domestic and foreign;Total Jobs;Total;Type of contract: specified time;2015;2631.0
16;Total domestic and foreign;Total Jobs;Total;Type of contract: unspecified time;2008;5536.0
17;Total domestic and foreign;Total Jobs;Total;Type of contract: unspecified time;2009;5407.0
18;Total domestic and foreign;Total Jobs;Total;Type of contract: unspecified time;2010;5409.0
19;Total domestic and foreign;Total Jobs;Total;Type of contract: unspecified time;2011;5447.0
20;Total domestic and foreign;Total Jobs;Total;Type of contract: unspecified time;2012;5344.0
21;Total domestic and foreign;Total Jobs;Total;Type of contract: unspecified time;2013;5195.0
22;Total domestic and foreign;Total Jobs;Total;Type of contract: unspecified time;2014;5093.0
23;Total domestic and foreign;Total Jobs;Total;Type of contract: unspecified time;2015;4999.0
24;Total domestic and foreign;Total Jobs;Total;Type of contract: other;2008;206.0
25;Total domestic and foreign;Total Jobs;Total;Type of contract: other;2009;198.0
26;Total domestic and foreign;Total Jobs;Total;Type of contract: other;2010;197.0
27;Total domestic and foreign;Total Jobs;Total;Type of contract: other;2011;224.0
28;Total domestic and foreign;Total Jobs;Total;Type of contract: other;2012;223.0
29;Total domestic and foreign;Total Jobs;Total;Type of contract: other;2013;221.0
30;Total domestic and foreign;Total Jobs;Total;Type of contract: other;2014;222.0
31;Total domestic and foreign;Total Jobs;Total;Type of contract: other;2015;228.0
32;Total domestic and foreign;Total Jobs;Total;Sex: Male;2008;4294.0
33;Total domestic and foreign;Total Jobs;Total;Sex: Male;2009;4186.0
34;Total domestic and foreign;Total Jobs;Total;Sex: Male;2010;4159.0
35;Total domestic and foreign;Total Jobs;Total;Sex: Male;2011;4224.0
36;Total domestic and foreign;Total Jobs;Total;Sex: Male;2012;4163.0
37;Total domestic and foreign;Total Jobs;Total;Sex: Male;2013;4083.0
38;Total domestic and foreign;Total Jobs;Total;Sex: Male;2014;4075.0
39;Total domestic and foreign;Total Jobs;Total;Sex: Male;2015;4131.0
40;Total domestic and foreign;Total Jobs;Total;Sex: Female;2008;3656.0
41;Total domestic and foreign;Total Jobs;Total;Sex: Female;2009;3652.0
42;Total domestic and foreign;Total Jobs;Total;Sex: Female;2010;3703.0
43;Total domestic and foreign;Total Jobs;Total;Sex: Female;2011;3775.0
44;Total domestic and foreign;Total Jobs;Total;Sex: Female;2012;3764.0
45;Total domestic and foreign;Total Jobs;Total;Sex: Female;2013;3700.0
46;Total domestic and foreign;Total Jobs;Total;Sex: Female;2014;3699.0
47;Total domestic and foreign;Total Jobs;Total;Sex: Female;2015;3731.0
48;Total domestic and foreign;Total Jobs;Total;Age: 15 to 34 years;2008;3054.0
49;Total domestic and foreign;Total Jobs;Total;Age: 15 to 34 years;2009;2963.0
