ID;LandVanUiteindelijkeZeggenschap;KenmerkenBedrijf;HoogstbehaaldOnderwijsniveau;KenmerkenBaanEnWerknemer;Perioden;BanenVanWerknemers_1;Arbeidsvolume_2
0;Totaal binnen- en buitenland;Totaal;Totaal;Totaal;2010;7874.0;5933.0
1;Totaal binnen- en buitenland;Totaal;Totaal;Totaal;2011;7954.0;5936.0
2;Totaal binnen- en buitenland;Totaal;Totaal;Totaal;2012;7900.0;5878.0
3;Totaal binnen- en buitenland;Totaal;Totaal;Totaal;2013;7766.0;5785.0
4;Totaal binnen- en buitenland;Totaal;Totaal;Totaal;2014;7726.0;5752.0
5;Totaal binnen- en buitenland;Totaal;Totaal;Totaal;2015;7802.0;5805.0
6;Totaal binnen- en buitenland;Totaal;Totaal;Totaal;2016;7909.0;5913.0
7;Totaal binnen- en buitenland;Totaal;Totaal;Contractsoort: bepaalde tijd;2010;2277.0;1479.0
8;Totaal binnen- en buitenland;Totaal;Totaal;Contractsoort: bepaalde tijd;2011;2342.0;1501.0
9;Totaal binnen- en buitenland;Totaal;Totaal;Contractsoort: bepaalde tijd;2012;2390.0;1520.0
10;Totaal binnen- en buitenland;Totaal;Totaal;Contractsoort: bepaalde tijd;2013;2387.0;1519.0
11;Totaal binnen- en buitenland;Totaal;Totaal;Contractsoort: bepaalde tijd;2014;2452.0;1564.0
12;Totaal binnen- en buitenland;Totaal;Totaal;Contractsoort: bepaalde tijd;2015;2629.0;1681.0
13;Totaal binnen- en buitenland;Totaal;Totaal;Contractsoort: bepaalde tijd;2016;2782.0;1802.0
14;Totaal binnen- en buitenland;Totaal;Totaal;Contractsoort: onbepaalde tijd;2010;5373.0;4255.0
15;Totaal binnen- en buitenland;Totaal;Totaal;Contractsoort: onbepaalde tijd;2011;5387.0;4237.0
16;Totaal binnen- en buitenland;Totaal;Totaal;Contractsoort: onbepaalde tijd;2012;5286.0;4162.0
17;Totaal binnen- en buitenland;Totaal;Totaal;Contractsoort: onbepaalde tijd;2013;5157.0;4072.0
18;Totaal binnen- en buitenland;Totaal;Totaal;Contractsoort: onbepaalde tijd;2014;5051.0;3995.0
19;Totaal binnen- en buitenland;Totaal;Totaal;Contractsoort: onbepaalde tijd;2015;4945.0;3926.0
20;Totaal binnen- en buitenland;Totaal;Totaal;Contractsoort: onbepaalde tijd;2016;4893.0;3910.0
21;Totaal binnen- en buitenland;Totaal;Totaal;Contractsoort: niet van toepassing;2010;224.0;199.0
22;Totaal binnen- en buitenland;Totaal;Totaal;Contractsoort: niet van toepassing;2011;225.0;198.0
23;Totaal binnen- en buitenland;Totaal;Totaal;Contractsoort: niet van toepassing;2012;224.0;197.0
24;Totaal binnen- en buitenland;Totaal;Totaal;Contractsoort: niet van toepassing;2013;222.0;194.0
25;Totaal binnen- en buitenland;Totaal;Totaal;Contractsoort: niet van toepassing;2014;223.0;193.0
26;Totaal binnen- en buitenland;Totaal;Totaal;Contractsoort: niet van toepassing;2015;228.0;198.0
27;Totaal binnen- en buitenland;Totaal;Totaal;Contractsoort: niet van toepassing;2016;234.0;202.0
28;Totaal binnen- en buitenland;Totaal;Totaal;Geslacht: mannen;2010;4170.0;3558.0
29;Totaal binnen- en buitenland;Totaal;Totaal;Geslacht: mannen;2011;4195.0;3549.0
30;Totaal binnen- en buitenland;Totaal;Totaal;Geslacht: mannen;2012;4143.0;3494.0
31;Totaal binnen- en buitenland;Totaal;Totaal;Geslacht: mannen;2013;4061.0;3427.0
32;Totaal binnen- en buitenland;Totaal;Totaal;Geslacht: mannen;2014;4040.0;3402.0
33;Totaal binnen- en buitenland;Totaal;Totaal;Geslacht: mannen;2015;4089.0;3435.0
34;Totaal binnen- en buitenland;Totaal;Totaal;Geslacht: mannen;2016;4148.0;3493.0
35;Totaal binnen- en buitenland;Totaal;Totaal;Geslacht: vrouwen;2010;3704.0;2374.0
36;Totaal binnen- en buitenland;Totaal;Totaal;Geslacht: vrouwen;2011;3759.0;2387.0
37;Totaal binnen- en buitenland;Totaal;Totaal;Geslacht: vrouwen;2012;3757.0;2384.0
38;Totaal binnen- en buitenland;Totaal;Totaal;Geslacht: vrouwen;2013;3705.0;2358.0
39;Totaal binnen- en buitenland;Totaal;Totaal;Geslacht: vrouwen;2014;3686.0;2350.0
40;Totaal binnen- en buitenland;Totaal;Totaal;Geslacht: vrouwen;2015;3713.0;2370.0
41;Totaal binnen- en buitenland;Totaal;Totaal;Geslacht: vrouwen;2016;3762.0;2421.0
42;Totaal binnen- en buitenland;Totaal;Totaal;Leeftijd: 15 tot 35 jaar;2010;2999.0;2077.0
43;Totaal binnen- en buitenland;Totaal;Totaal;Leeftijd: 15 tot 35 jaar;2011;3028.0;2062.0
44;Totaal binnen- en buitenland;Totaal;Totaal;Leeftijd: 15 tot 35 jaar;2012;2996.0;2022.0
45;Totaal binnen- en buitenland;Totaal;Totaal;Leeftijd: 15 tot 35 jaar;2013;2928.0;1974.0
46;Totaal binnen- en buitenland;Totaal;Totaal;Leeftijd: 15 tot 35 jaar;2014;2918.0;1957.0
47;Totaal binnen- en buitenland;Totaal;Totaal;Leeftijd: 15 tot 35 jaar;2015;2968.0;1984.0
48;Totaal binnen- en buitenland;Totaal;Totaal;Leeftijd: 15 tot 35 jaar;2016;3028.0;2040.0
49;Totaal binnen- en buitenland;Totaal;Totaal;Leeftijd: 35 tot 55 jaar;2010;3691.0;2954.0
50;Totaal binnen- en buitenland;Totaal;Totaal;Leeftijd: 35 tot 55 jaar;2011;3672.0;2927.0
51;Totaal binnen- en buitenland;Totaal;Totaal;Leeftijd: 35 tot 55 jaar;2012;3612.0;2880.0
52;Totaal binnen- en buitenland;Totaal;Totaal;Leeftijd: 35 tot 55 jaar;2013;3516.0;2811.0
53;Totaal binnen- en buitenland;Totaal;Totaal;Leeftijd: 35 tot 55 jaar;2014;3450.0;2762.0
54;Totaal binnen- en buitenland;Totaal;Totaal;Leeftijd: 35 tot 55 jaar;2015;3420.0;2741.0
55;Totaal binnen- en buitenland;Totaal;Totaal;Leeftijd: 35 tot 55 jaar;2016;3404.0;2741.0
56;Totaal binnen- en buitenland;Totaal;Totaal;Leeftijd: 55 jaar of ouder;2010;1184.0;901.0
57;Totaal binnen- en buitenland;Totaal;Totaal;Leeftijd: 55 jaar of ouder;2011;1254.0;947.0
58;Totaal binnen- en buitenland;Totaal;Totaal;Leeftijd: 55 jaar of ouder;2012;1293.0;975.0
59;Totaal binnen- en buitenland;Totaal;Totaal;Leeftijd: 55 jaar of ouder;2013;1322.0;1000.0
60;Totaal binnen- en buitenland;Totaal;Totaal;Leeftijd: 55 jaar of ouder;2014;1357.0;1033.0
61;Totaal binnen- en buitenland;Totaal;Totaal;Leeftijd: 55 jaar of ouder;2015;1414.0;1080.0
62;Totaal binnen- en buitenland;Totaal;Totaal;Leeftijd: 55 jaar of ouder;2016;1477.0;1132.0
63;Totaal binnen- en buitenland;Totaal;Totaal;Loon: laag (bij laagste 30 procent);2010;792.0;378.0
64;Totaal binnen- en buitenland;Totaal;Totaal;Loon: laag (bij laagste 30 procent);2011;847.0;394.0
65;Totaal binnen- en buitenland;Totaal;Totaal;Loon: laag (bij laagste 30 procent);2012;918.0;423.0
66;Totaal binnen- en buitenland;Totaal;Totaal;Loon: laag (bij laagste 30 procent);2013;884.0;420.0
67;Totaal binnen- en buitenland;Totaal;Totaal;Loon: laag (bij laagste 30 procent);2014;851.0;404.0
68;Totaal binnen- en buitenland;Totaal;Totaal;Loon: laag (bij laagste 30 procent);2015;838.0;403.0
69;Totaal binnen- en buitenland;Totaal;Totaal;Loon: laag (bij laagste 30 procent);2016;818.0;388.0
70;Totaal binnen- en buitenland;Totaal;Totaal;Loon: midden;2010;4931.0;3653.0
71;Totaal binnen- en buitenland;Totaal;Totaal;Loon: midden;2011;4960.0;3651.0
72;Totaal binnen- en buitenland;Totaal;Totaal;Loon: midden;2012;4899.0;3614.0
73;Totaal binnen- en buitenland;Totaal;Totaal;Loon: midden;2013;4818.0;3537.0
74;Totaal binnen- en buitenland;Totaal;Totaal;Loon: midden;2014;4788.0;3499.0
75;Totaal binnen- en buitenland;Totaal;Totaal;Loon: midden;2015;4832.0;3511.0
76;Totaal binnen- en buitenland;Totaal;Totaal;Loon: midden;2016;4905.0;3575.0
77;Totaal binnen- en buitenland;Totaal;Totaal;Loon: hoog (bij hoogste 20 procent);2010;2151.0;1902.0
78;Totaal binnen- en buitenland;Totaal;Totaal;Loon: hoog (bij hoogste 20 procent);2011;2147.0;1891.0
79;Totaal binnen- en buitenland;Totaal;Totaal;Loon: hoog (bij hoogste 20 procent);2012;2083.0;1841.0
80;Totaal binnen- en buitenland;Totaal;Totaal;Loon: hoog (bij hoogste 20 procent);2013;2064.0;1829.0
81;Totaal binnen- en buitenland;Totaal;Totaal;Loon: hoog (bij hoogste 20 procent);2014;2086.0;1849.0
82;Totaal binnen- en buitenland;Totaal;Totaal;Loon: hoog (bij hoogste 20 procent);2015;2132.0;1891.0
83;Totaal binnen- en buitenland;Totaal;Totaal;Loon: hoog (bij hoogste 20 procent);2016;2186.0;1951.0
84;Totaal binnen- en buitenland;Totaal;Totaal;Nationaliteit: Nederlands;2010;7452.0;5601.0
