ID;Persoonskenmerken;Perioden;WanbetalersZorgverzekering_1;WanbetalersZorgverzekeringRelatief_2
0;Totaal personen in huishoudens;2006;190210;1.5
1;Totaal personen in huishoudens;2007;240250;1.9
2;Totaal personen in huishoudens;2008;256690;2.0
3;Totaal personen in huishoudens;2009;318480;2.4
4;Thuiswonend kind (meerderjarig);2006;27810;2.2
5;Thuiswonend kind (meerderjarig);2007;35610;2.8
6;Thuiswonend kind (meerderjarig);2008;36660;2.9
7;Thuiswonend kind (meerderjarig);2009;44890;3.5
8;Alleenstaande;2006;41300;1.7
9;Alleenstaande;2007;57070;2.3
10;Alleenstaande;2008;62530;2.5
11;Alleenstaande;2009;79030;3.1
12;Partner in ongehuwd paar zonder kinderen;2006;15460;1.6
13;Partner in ongehuwd paar zonder kinderen;2007;19560;2.0
14;Partner in ongehuwd paar zonder kinderen;2008;20830;2.1
15;Partner in ongehuwd paar zonder kinderen;2009;25930;2.6
16;Partner in gehuwd paar zonder kinderen;2006;14500;0.5
17;Partner in gehuwd paar zonder kinderen;2007;14840;0.5
18;Partner in gehuwd paar zonder kinderen;2008;14590;0.5
19;Partner in gehuwd paar zonder kinderen;2009;17220;0.5
20;Partner in ongehuwd paar met kinderen;2006;15620;3.0
21;Partner in ongehuwd paar met kinderen;2007;22190;4.0
22;Partner in ongehuwd paar met kinderen;2008;24790;4.2
23;Partner in ongehuwd paar met kinderen;2009;30780;4.9
24;Partner in gehuwd paar met kinderen;2006;44420;1.2
25;Partner in gehuwd paar met kinderen;2007;47340;1.3
26;Partner in gehuwd paar met kinderen;2008;47200;1.3
27;Partner in gehuwd paar met kinderen;2009;56420;1.6
28;Ouder in éénouderhuishouden;2006;15550;3.5
29;Ouder in éénouderhuishouden;2007;23090;5.1
30;Ouder in éénouderhuishouden;2008;26370;5.7
31;Ouder in éénouderhuishouden;2009;32970;7.0
32;In institutioneel huishouden;2006;1710;1.0
33;In institutioneel huishouden;2007;2750;1.6
34;In institutioneel huishouden;2008;3520;2.1
35;In institutioneel huishouden;2009;5150;3.0
36;Overig lid huishouden;2006;13840;4.3
37;Overig lid huishouden;2007;17810;5.2
38;Overig lid huishouden;2008;20220;5.5
39;Overig lid huishouden;2009;26090;7.0
40;Totaal studenten;2006;5120;1.0
41;Totaal studenten;2007;3780;0.7
42;Totaal studenten;2008;3630;0.6
43;Totaal studenten;2009;5020;0.8
44;2;2006;3750;1.1
45;2;2007;3050;0.9
46;2;2008;2980;0.8
47;2;2009;4220;1.1
48;1;2006;1380;0.7
49;1;2007;730;0.4
50;1;2008;630;0.3
51;1;2009;800;0.4
52;20;2006;38500;2.9
53;20;2007;51170;4.2
54;20;2008;59030;5.0
55;20;2009;99820;7.0
56;30;2006;14960;1.9
57;30;2007;19850;2.7
58;30;2008;21210;3.0
59;30;2009;30790;4.0
60;40;2006;17600;4.6
61;40;2007;24980;7.0
62;40;2008;30440;8.6
63;40;2009;49920;12.8
64;50;2006;6820;3.4
65;50;2007;7380;4.7
66;50;2008;8290;5.7
67;50;2009;20720;7.6
68;60;2006;110;0.9
69;60;2007;180;1.6
70;60;2008;300;2.5
71;60;2009;510;3.5
