ID;Geslacht;Cijfersoort;Perioden;Overgewicht_1;ErnstigOvergewicht_2
0;Totaal jongens en meisjes;Percentages;1981;11.3;3.1
1;Totaal jongens en meisjes;Percentages;1982;9.1;2.3
2;Totaal jongens en meisjes;Percentages;1983;9.4;2.7
3;Totaal jongens en meisjes;Percentages;1984;8.5;1.9
4;Totaal jongens en meisjes;Percentages;1985;9.1;2.1
5;Totaal jongens en meisjes;Percentages;1986;7.7;1.7
6;Totaal jongens en meisjes;Percentages;1987;8.9;1.7
7;Totaal jongens en meisjes;Percentages;1988;8.5;1.6
8;Totaal jongens en meisjes;Percentages;1989;9.6;1.9
9;Totaal jongens en meisjes;Percentages;1990;11.2;3.5
10;Totaal jongens en meisjes;Percentages;1991;12.6;2.8
11;Totaal jongens en meisjes;Percentages;1992;11.9;2.7
12;Totaal jongens en meisjes;Percentages;1993;12.6;3.7
13;Totaal jongens en meisjes;Percentages;1994;11.7;3.8
14;Totaal jongens en meisjes;Percentages;1995;9.7;2.6
15;Totaal jongens en meisjes;Percentages;1996;11.7;3.3
16;Totaal jongens en meisjes;Percentages;1997;11.8;3.0
17;Totaal jongens en meisjes;Percentages;1998;11.3;2.3
18;Totaal jongens en meisjes;Percentages;1999;12.0;2.9
19;Totaal jongens en meisjes;Percentages;2000;11.2;2.0
20;Totaal jongens en meisjes;Percentages;2001;11.9;2.9
21;Totaal jongens en meisjes;Percentages;2002;12.3;3.0
22;Totaal jongens en meisjes;Percentages;2003;10.5;2.9
23;Totaal jongens en meisjes;Percentages;2004;12.8;3.3
24;Totaal jongens en meisjes;Percentages;2005;12.6;2.3
25;Totaal jongens en meisjes;Percentages;2006;11.7;2.8
26;Totaal jongens en meisjes;Percentages;2007;11.2;2.5
27;Totaal jongens en meisjes;Percentages;2008;13.2;3.1
28;Totaal jongens en meisjes;Percentages;2009;13.0;2.1
29;Totaal jongens en meisjes;Standaardfout;1981;0.6;0.3
30;Totaal jongens en meisjes;Standaardfout;1982;0.6;0.3
31;Totaal jongens en meisjes;Standaardfout;1983;0.6;0.3
32;Totaal jongens en meisjes;Standaardfout;1984;0.6;0.3
33;Totaal jongens en meisjes;Standaardfout;1985;0.6;0.3
34;Totaal jongens en meisjes;Standaardfout;1986;0.6;0.3
35;Totaal jongens en meisjes;Standaardfout;1987;0.6;0.3
36;Totaal jongens en meisjes;Standaardfout;1988;0.7;0.3
37;Totaal jongens en meisjes;Standaardfout;1989;0.7;0.3
38;Totaal jongens en meisjes;Standaardfout;1990;0.8;0.5
39;Totaal jongens en meisjes;Standaardfout;1991;0.9;0.4
40;Totaal jongens en meisjes;Standaardfout;1992;0.8;0.4
41;Totaal jongens en meisjes;Standaardfout;1993;0.8;0.4
42;Totaal jongens en meisjes;Standaardfout;1994;0.7;0.4
43;Totaal jongens en meisjes;Standaardfout;1995;0.7;0.4
44;Totaal jongens en meisjes;Standaardfout;1996;0.8;0.4
45;Totaal jongens en meisjes;Standaardfout;1997;0.7;0.4
46;Totaal jongens en meisjes;Standaardfout;1998;0.7;0.3
47;Totaal jongens en meisjes;Standaardfout;1999;0.7;0.4
