ID;Geslacht;TypeZelfstandigeOpStopmoment;SociaaleconomischePositieBijUitstroom;Persoonskenmerken;BedrijfstakkenBranchesSBI2008;Perioden;StoppendeZelfstandigen_1
0;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;A-U Alle economische activiteiten;2008;180.3
1;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;A-U Alle economische activiteiten;2009;191.7
2;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;A-U Alle economische activiteiten;2010;229.3
3;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;A-U Alle economische activiteiten;2011;182.1
4;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;A-U Alle economische activiteiten;2012;189.2
5;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;A-U Alle economische activiteiten;2013;200.2
6;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;A-U Alle economische activiteiten;2014;195.6
7;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;A-U Alle economische activiteiten;2015;195.4
8;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;A-U Alle economische activiteiten;2016;190.2
9;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;A-U Alle economische activiteiten;2017;188.1
10;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;B-E Nijverheid (geen bouw) en energie;2008;2.6
11;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;B-E Nijverheid (geen bouw) en energie;2009;2.6
12;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;B-E Nijverheid (geen bouw) en energie;2010;2.7
13;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;B-E Nijverheid (geen bouw) en energie;2011;2.6
14;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;B-E Nijverheid (geen bouw) en energie;2012;3.3
15;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;B-E Nijverheid (geen bouw) en energie;2013;3.6
16;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;B-E Nijverheid (geen bouw) en energie;2014;3.2
