ID;Geslacht;Migratieachtergrond;Onderwijssoort;Leeftijd;Perioden;AantalLeerlingenOnderzoekspopulatie_1;AantalVsvErsOnderzoekspopulatie_2;AantalNietVsvErsOnderzoekspopulatie_3;PercentageVsvErsOnderzoekspopulatie_4
0;Totaal mannen en vrouwen;Totaal;Totaal onderwijssoort;Totaal;2004/'05;1300100.0;76150.0;1223960.0;5.9
1;Totaal mannen en vrouwen;Totaal;Totaal onderwijssoort;Totaal;2005/'06;1399710.0;74510.0;1325190.0;5.3
2;Totaal mannen en vrouwen;Totaal;Totaal onderwijssoort;Totaal;2006/'07;1419500.0;72610.0;1346900.0;5.1
3;Totaal mannen en vrouwen;Totaal;Totaal onderwijssoort;Totaal;2007/'08;1434710.0;71480.0;1363230.0;5.0
4;Totaal mannen en vrouwen;Totaal;Totaal onderwijssoort;Totaal;2008/'09;1435120.0;64270.0;1370860.0;4.5
5;Totaal mannen en vrouwen;Totaal;Totaal onderwijssoort;Totaal;2009/'10;1446080.0;65350.0;1380740.0;4.5
6;Totaal mannen en vrouwen;Totaal;Totaal onderwijssoort;Totaal;2010/'11;1458660.0;66640.0;1392020.0;4.6
7;Totaal mannen en vrouwen;Totaal;Totaal onderwijssoort;Totaal;2011/'12;1455290.0;60360.0;1394930.0;4.1
8;Totaal mannen en vrouwen;Totaal;Totaal onderwijssoort;Totaal;2012/'13 Oude methode;1454220.0;52820.0;1401400.0;3.6
9;Totaal mannen en vrouwen;Totaal;Totaal onderwijssoort;Totaal;2012/'13 Nieuwe methode;1448020.0;48200.0;1399820.0;3.3
10;Totaal mannen en vrouwen;Totaal;Totaal onderwijssoort;Totaal;2013/'14;1447970.0;43880.0;1404090.0;3.0
11;Totaal mannen en vrouwen;Totaal;Totaal onderwijssoort;Totaal;2014/'15;1440910.0;36590.0;1404320.0;2.5
12;Totaal mannen en vrouwen;Totaal;Totaal onderwijssoort;Totaal;2015/'16;1442500.0;34690.0;1407820.0;2.4
13;Totaal mannen en vrouwen;Totaal;Totaal onderwijssoort;Totaal;2016/'17;1451100.0;35280.0;1415830.0;2.4
14;Totaal mannen en vrouwen;Totaal;Totaal onderwijssoort;Totaal;2017/'18;1446520.0;37000.0;1409530.0;2.6
15;Totaal mannen en vrouwen;Totaal;Totaal onderwijssoort;Jonger dan 13 jaar;2004/'05;5780.0;30.0;5750.0;0.5
16;Totaal mannen en vrouwen;Totaal;Totaal onderwijssoort;Jonger dan 13 jaar;2005/'06;6320.0;20.0;6300.0;0.3
17;Totaal mannen en vrouwen;Totaal;Totaal onderwijssoort;Jonger dan 13 jaar;2006/'07;6480.0;30.0;6450.0;0.5
18;Totaal mannen en vrouwen;Totaal;Totaal onderwijssoort;Jonger dan 13 jaar;2007/'08;6740.0;30.0;6710.0;0.5
19;Totaal mannen en vrouwen;Totaal;Totaal onderwijssoort;Jonger dan 13 jaar;2008/'09;7090.0;40.0;7050.0;0.5
20;Totaal mannen en vrouwen;Totaal;Totaal onderwijssoort;Jonger dan 13 jaar;2009/'10;7150.0;20.0;7130.0;0.3
21;Totaal mannen en vrouwen;Totaal;Totaal onderwijssoort;Jonger dan 13 jaar;2010/'11;7950.0;30.0;7920.0;0.4
22;Totaal mannen en vrouwen;Totaal;Totaal onderwijssoort;Jonger dan 13 jaar;2011/'12;8990.0;30.0;8960.0;0.3
23;Totaal mannen en vrouwen;Totaal;Totaal onderwijssoort;Jonger dan 13 jaar;2012/'13 Oude methode;10810.0;40.0;10770.0;0.4
24;Totaal mannen en vrouwen;Totaal;Totaal onderwijssoort;Jonger dan 13 jaar;2012/'13 Nieuwe methode;10750.0;10.0;10740.0;0.1
25;Totaal mannen en vrouwen;Totaal;Totaal onderwijssoort;Jonger dan 13 jaar;2013/'14;12860.0;;12860.0;
26;Totaal mannen en vrouwen;Totaal;Totaal onderwijssoort;Jonger dan 13 jaar;2014/'15;15550.0;;15550.0;
27;Totaal mannen en vrouwen;Totaal;Totaal onderwijssoort;Jonger dan 13 jaar;2015/'16;17410.0;10.0;17400.0;0.1
28;Totaal mannen en vrouwen;Totaal;Totaal onderwijssoort;Jonger dan 13 jaar;2016/'17;18850.0;10.0;18840.0;0.1
29;Totaal mannen en vrouwen;Totaal;Totaal onderwijssoort;Jonger dan 13 jaar;2017/'18;19940.0;20.0;19910.0;0.1
30;Totaal mannen en vrouwen;Totaal;Totaal onderwijssoort;Jonger dan 16 jaar;2004/'05;509360.0;3610.0;505750.0;0.7
31;Totaal mannen en vrouwen;Totaal;Totaal onderwijssoort;Jonger dan 16 jaar;2005/'06;528530.0;3720.0;524810.0;0.7
32;Totaal mannen en vrouwen;Totaal;Totaal onderwijssoort;Jonger dan 16 jaar;2006/'07;523210.0;3420.0;519790.0;0.7
