ID;Functies;Aanbieders;Perioden;UitgavenZorgVoorIngezetenen_1
0;Totaal zorgrekeningen;Totaal Zorgrekeningen;2005;67614.0
1;Totaal zorgrekeningen;Totaal Zorgrekeningen;2006;70722.0
2;Totaal zorgrekeningen;Totaal Zorgrekeningen;2007;74643.0
3;Totaal zorgrekeningen;Totaal Zorgrekeningen;2008;79755.0
4;Totaal zorgrekeningen;Totaal Zorgrekeningen;2009;83884.0
5;Totaal zorgrekeningen;Totaal Zorgrekeningen;2010;87342.0
6;Totaal zorgrekeningen;Totaal Zorgrekeningen;2011;89330.0
7;Totaal zorgrekeningen;Totaal Zorgrekeningen;2012;92767.0
8;Totaal zorgrekeningen;Totaal Zorgrekeningen;2013;93901.0
9;Totaal zorgrekeningen;Totaal aanbieders gezondheidszorg;2005;62405.0
10;Totaal zorgrekeningen;Totaal aanbieders gezondheidszorg;2006;65331.0
11;Totaal zorgrekeningen;Totaal aanbieders gezondheidszorg;2007;68974.0
12;Totaal zorgrekeningen;Totaal aanbieders gezondheidszorg;2008;73646.0
13;Totaal zorgrekeningen;Totaal aanbieders gezondheidszorg;2009;77320.0
14;Totaal zorgrekeningen;Totaal aanbieders gezondheidszorg;2010;80527.0
15;Totaal zorgrekeningen;Totaal aanbieders gezondheidszorg;2011;82474.0
16;Totaal zorgrekeningen;Totaal aanbieders gezondheidszorg;2012;86065.0
17;Totaal zorgrekeningen;Totaal aanbieders gezondheidszorg;2013;87413.0
18;Totaal zorgrekeningen;HP1: Ziekenhuizen;2005;18571.0
19;Totaal zorgrekeningen;HP1: Ziekenhuizen;2006;19419.0
20;Totaal zorgrekeningen;HP1: Ziekenhuizen;2007;20621.0
21;Totaal zorgrekeningen;HP1: Ziekenhuizen;2008;22208.0
22;Totaal zorgrekeningen;HP1: Ziekenhuizen;2009;23525.0
23;Totaal zorgrekeningen;HP1: Ziekenhuizen;2010;25249.0
24;Totaal zorgrekeningen;HP1: Ziekenhuizen;2011;25425.0
25;Totaal zorgrekeningen;HP1: Ziekenhuizen;2012;26385.0
26;Totaal zorgrekeningen;HP1: Ziekenhuizen;2013;27810.0
27;Totaal zorgrekeningen;HP11:Algemene en academ. Ziekenhuizen;2005;13770.0
28;Totaal zorgrekeningen;HP11:Algemene en academ. Ziekenhuizen;2006;14411.0
29;Totaal zorgrekeningen;HP11:Algemene en academ. Ziekenhuizen;2007;15207.0
30;Totaal zorgrekeningen;HP11:Algemene en academ. Ziekenhuizen;2008;16509.0
31;Totaal zorgrekeningen;HP11:Algemene en academ. Ziekenhuizen;2009;17444.0
32;Totaal zorgrekeningen;HP11:Algemene en academ. Ziekenhuizen;2010;18973.0
33;Totaal zorgrekeningen;HP11:Algemene en academ. Ziekenhuizen;2011;18902.0
34;Totaal zorgrekeningen;HP11:Algemene en academ. Ziekenhuizen;2012;19661.0
