ID;Geslacht;Leeftijd;BeroepenInZorgEnWelzijn;Zorgaanbieders;Perioden;Banen_1;Arbeidsvolume_2;Zelfstandigen_3;WerkzamePersonen_4;JaarloonInclusiefBijzondereBeloning_5;JaarloonExclusiefBijzondereBeloning_6;BrutoLoonSocialeVerzekeringen_7
0;Totaal mannen en vrouwen;Totaal;Totaal beroepen in zorg en welzijn;Totaal aanbieders zorg en welzijn;2009;1319.7;912.3;103.0;1321.3;39.0;32.6;32.0
1;Totaal mannen en vrouwen;Totaal;Totaal beroepen in zorg en welzijn;Totaal aanbieders zorg en welzijn;2010;1380.0;933.7;108.9;1366.1;39.6;33.1;32.3
2;Totaal mannen en vrouwen;Totaal;Totaal beroepen in zorg en welzijn;Totaal aanbieders zorg en welzijn;2011;1422.8;959.7;115.3;1401.5;40.4;33.6;32.8
3;Totaal mannen en vrouwen;Totaal;Totaal beroepen in zorg en welzijn;Totaal aanbieders zorg en welzijn;2012;1434.5;966.7;122.2;1407.5;41.4;34.5;33.7
4;Totaal mannen en vrouwen;Totaal;Totaal beroepen in zorg en welzijn;Totaal aanbieders zorg en welzijn;2013;1422.4;960.4;122.8;1385.5;42.8;35.5;34.6
5;Totaal mannen en vrouwen;Totaal;Totaal beroepen in zorg en welzijn;Totaal aanbieders zorg en welzijn;2014;1384.1;940.1;121.4;1352.8;43.4;36.0;35.1
6;Totaal mannen en vrouwen;Totaal;Totaal beroepen in zorg en welzijn;Totaal aanbieders zorg en welzijn;2015;1371.9;935.4;127.4;1351.2;44.4;37.0;36.2
7;Totaal mannen en vrouwen;Totaal;Totaal beroepen in zorg en welzijn;Totaal aanbieders zorg en welzijn;2016;1360.8;930.6;130.9;1357.1;45.7;37.5;37.2
8;Totaal mannen en vrouwen;Totaal;Totaal beroepen in zorg en welzijn;Totaal aanbieders zorg en welzijn;2017;1391.0;940.1;136.9;1394.1;47.2;38.4;38.4
9;Totaal mannen en vrouwen;Totaal;Totaal beroepen in zorg en welzijn;Totaal aanbieders zorg en welzijn;2018;1430.3;970.3;142.8;1441.1;47.5;39.1;38.8
10;Totaal mannen en vrouwen;Totaal;Totaal beroepen in zorg en welzijn;Totaal aanbieders zorg en welzijn;2019;1480.6;1007.5;149.4;1494.5;48.8;39.8;39.6
11;Totaal mannen en vrouwen;Totaal;Totaal beroepen in zorg en welzijn;Totaal aanbieders zorg en welzijn;2020;1512.9;1032.1;155.3;1535.4;51.4;41.6;41.7
12;Totaal mannen en vrouwen;Totaal;Totaal beroepen in zorg en welzijn;Totaal aanbieders zorg en welzijn;2021;1558.4;1065.9;158.7;1552.1;52.5;42.7;42.4
13;Totaal mannen en vrouwen;Totaal;Totaal beroepen in zorg en welzijn;GLZ: Totaal aanb. geneesk., langd. Zorg;2009;1097.4;749.3;73.4;1095.6;40.5;33.9;33.2
14;Totaal mannen en vrouwen;Totaal;Totaal beroepen in zorg en welzijn;GLZ: Totaal aanb. geneesk., langd. Zorg;2010;1149.1;765.1;78.7;1133.7;41.0;34.3;33.5
15;Totaal mannen en vrouwen;Totaal;Totaal beroepen in zorg en welzijn;GLZ: Totaal aanb. geneesk., langd. Zorg;2011;1183.8;786.6;83.8;1164.9;41.8;34.8;34.0
16;Totaal mannen en vrouwen;Totaal;Totaal beroepen in zorg en welzijn;GLZ: Totaal aanb. geneesk., langd. Zorg;2012;1203.5;801.0;87.4;1182.2;42.8;35.6;34.8
17;Totaal mannen en vrouwen;Totaal;Totaal beroepen in zorg en welzijn;GLZ: Totaal aanb. geneesk., langd. Zorg;2013;1209.2;808.3;89.9;1177.9;44.1;36.6;35.6
18;Totaal mannen en vrouwen;Totaal;Totaal beroepen in zorg en welzijn;GLZ: Totaal aanb. geneesk., langd. Zorg;2014;1181.7;795.0;92.7;1150.8;44.7;37.1;36.1
19;Totaal mannen en vrouwen;Totaal;Totaal beroepen in zorg en welzijn;GLZ: Totaal aanb. geneesk., langd. Zorg;2015;1171.3;792.1;97.8;1147.7;45.8;38.0;37.3
20;Totaal mannen en vrouwen;Totaal;Totaal beroepen in zorg en welzijn;GLZ: Totaal aanb. geneesk., langd. Zorg;2016;1156.9;784.6;99.7;1146.3;47.2;38.7;38.3
21;Totaal mannen en vrouwen;Totaal;Totaal beroepen in zorg en welzijn;GLZ: Totaal aanb. geneesk., langd. Zorg;2017;1175.4;787.8;105.2;1172.0;48.8;39.6;39.5
22;Totaal mannen en vrouwen;Totaal;Totaal beroepen in zorg en welzijn;GLZ: Totaal aanb. geneesk., langd. Zorg;2018;1206.4;811.5;109.9;1209.2;49.1;40.3;39.9
23;Totaal mannen en vrouwen;Totaal;Totaal beroepen in zorg en welzijn;GLZ: Totaal aanb. geneesk., langd. Zorg;2019;1248.0;840.9;116.0;1254.7;50.4;41.1;40.8
24;Totaal mannen en vrouwen;Totaal;Totaal beroepen in zorg en welzijn;GLZ: Totaal aanb. geneesk., langd. Zorg;2020;1274.0;861.4;120.2;1289.3;52.4;42.4;42.4
25;Totaal mannen en vrouwen;Totaal;Totaal beroepen in zorg en welzijn;GLZ: Totaal aanb. geneesk., langd. Zorg;2021;1305.1;884.9;122.1;1306.4;53.7;43.6;43.2
26;Totaal mannen en vrouwen;Totaal;Totaal beroepen in zorg en welzijn;GLZ: Aanb. medisch-specialistische zorg;2009;283.0;210.2;7.9;278.5;47.5;39.3;38.6
27;Totaal mannen en vrouwen;Totaal;Totaal beroepen in zorg en welzijn;GLZ: Aanb. medisch-specialistische zorg;2010;293.3;216.8;8.5;285.6;48.6;39.8;39.1
28;Totaal mannen en vrouwen;Totaal;Totaal beroepen in zorg en welzijn;GLZ: Aanb. medisch-specialistische zorg;2011;298.0;219.5;8.5;287.9;49.8;40.5;39.8
29;Totaal mannen en vrouwen;Totaal;Totaal beroepen in zorg en welzijn;GLZ: Aanb. medisch-specialistische zorg;2012;299.0;221.4;8.7;288.2;51.2;41.7;41.0
30;Totaal mannen en vrouwen;Totaal;Totaal beroepen in zorg en welzijn;GLZ: Aanb. medisch-specialistische zorg;2013;299.9;223.0;8.9;288.2;53.1;43.1;42.1
31;Totaal mannen en vrouwen;Totaal;Totaal beroepen in zorg en welzijn;GLZ: Aanb. medisch-specialistische zorg;2014;296.6;220.9;8.9;286.0;53.7;43.8;42.9
32;Totaal mannen en vrouwen;Totaal;Totaal beroepen in zorg en welzijn;GLZ: Aanb. medisch-specialistische zorg;2015;295.6;221.2;9.2;284.5;55.7;45.4;44.9
33;Totaal mannen en vrouwen;Totaal;Totaal beroepen in zorg en welzijn;GLZ: Aanb. medisch-specialistische zorg;2016;295.4;222.2;8.9;286.0;57.1;46.1;46.0
34;Totaal mannen en vrouwen;Totaal;Totaal beroepen in zorg en welzijn;GLZ: Aanb. medisch-specialistische zorg;2017;299.7;225.4;9.2;290.6;57.7;46.6;46.5
35;Totaal mannen en vrouwen;Totaal;Totaal beroepen in zorg en welzijn;GLZ: Aanb. medisch-specialistische zorg;2018;304.8;230.1;9.3;295.5;58.7;47.5;47.2
36;Totaal mannen en vrouwen;Totaal;Totaal beroepen in zorg en welzijn;GLZ: Aanb. medisch-specialistische zorg;2019;311.2;235.1;9.7;301.7;59.6;48.3;47.9
37;Totaal mannen en vrouwen;Totaal;Totaal beroepen in zorg en welzijn;GLZ: Aanb. medisch-specialistische zorg;2020;317.2;239.7;10.2;310.3;63.0;50.3;50.4
38;Totaal mannen en vrouwen;Totaal;Totaal beroepen in zorg en welzijn;GLZ: Aanb. medisch-specialistische zorg;2021;327.2;246.3;10.1;315.6;63.6;51.7;50.9
39;Totaal mannen en vrouwen;Totaal;Totaal beroepen in zorg en welzijn;GLZ: Aanb. geestelijke gezondheidszorg;2009;86.3;67.4;8.2;87.8;48.4;38.9;38.3
40;Totaal mannen en vrouwen;Totaal;Totaal beroepen in zorg en welzijn;GLZ: Aanb. geestelijke gezondheidszorg;2010;86.4;66.0;9.2;87.4;48.3;40.6;39.1
41;Totaal mannen en vrouwen;Totaal;Totaal beroepen in zorg en welzijn;GLZ: Aanb. geestelijke gezondheidszorg;2011;90.3;69.8;10.2;91.7;48.8;40.6;39.3
