ID;SoortCijfers;Perioden;BrutoMarktprijzen_1;NettoMarktprijzen_2;ExplOverschotGemInkomenNetto_3;NationaalVorderingensaldo_4;OverheidstekortOverschot_5;BrutoMarktprijzen_6;NettoMarktprijzen_7;BrutoMarktprijzen_8;SaldoLopendeTransactiesBuitenland_9;ArbeidsvolumeWerkzamePersonen_10;GemiddeldeBevolking_11;Lonen_12;SocialePremiesTLVWerkgevers_13;SaldoBelastOpProdInvoerEnSubsi_14;Afschrijvingen_15;ExplOverschotGemInkomenNetto_16;SaldoLopendeTransactiesBuitenland_17;SaldoUitHetBtlOntvPrimaireInk_18;SaldoInkomensoverdrachtenBuitenland_19;BinnenlandsProductBrutoMarktprijzen_20;Invoer_21;HuishoudensInclIZWh_22;Overheid_23;VennootschappenHuishoudensEnIZWh_24;Overheid_25;VeranderingenInVoorraden_26;Uitvoer_27
0;Lopende prijzen, mln euro;1900;;752.0;;;;;815.0;;;;;;;44.0;;;;63.0;;;;;;;;;
1;Lopende prijzen, mln euro;1901;;783.0;;;;;845.0;;;;;;;46.0;;;;63.0;;;;;;;;;
2;Lopende prijzen, mln euro;1902;;801.0;;;;;863.0;;;;;;;47.0;;;;62.0;;;;;;;;;
3;Lopende prijzen, mln euro;1903;;814.0;;;;;886.0;;;;;;;49.0;;;;72.0;;;;;;;;;
4;Lopende prijzen, mln euro;1904;;837.0;;;;;904.0;;;;;;;49.0;;;;68.0;;;;;;;;;
5;Lopende prijzen, mln euro;1905;;866.0;;;;;934.0;;;;;;;50.0;;;;68.0;;;;;;;;;
6;Lopende prijzen, mln euro;1906;;896.0;;;;;978.0;;;;;;;52.0;;;;83.0;;;;;;;;;
7;Lopende prijzen, mln euro;1907;;922.0;;;;;996.0;;;;;;;52.0;;;;74.0;;;;;;;;;
8;Lopende prijzen, mln euro;1908;;945.0;;;;;1023.0;;;;;;;52.0;;;;79.0;;;;;;;;;
9;Lopende prijzen, mln euro;1909;;975.0;;;;;1054.0;;;;;;;54.0;;;;79.0;;;;;;;;;
10;Lopende prijzen, mln euro;1910;;1007.0;;;;;1093.0;;;;;;;57.0;;;;85.0;;;;;;;;;
11;Lopende prijzen, mln euro;1911;;1048.0;;;;;1139.0;;;;;;;58.0;;;;92.0;;;;;;;;;
12;Lopende prijzen, mln euro;1912;;1118.0;;;;;1220.0;;;;;;;60.0;;;;102.0;;;;;;;;;
13;Lopende prijzen, mln euro;1913;;1150.0;;;;;1274.0;;;;;;;62.0;;;;123.0;;;;;;;;;
14;Lopende prijzen, mln euro;1914;;1137.0;;;;;1239.0;;;;;;;61.0;;;;102.0;;;;;;;;;
15;Lopende prijzen, mln euro;1915;;1368.0;;;;;1464.0;;;;;;;61.0;;;;96.0;;;;;;;;;
16;Lopende prijzen, mln euro;1916;;1556.0;;;;;1675.0;;;;;;;64.0;;;;120.0;;;;;;;;;
17;Lopende prijzen, mln euro;1917;;1545.0;;;;;1664.0;;;;;;;33.0;;;;118.0;;;;;;;;;
18;Lopende prijzen, mln euro;1918;;;;;;;1860.0;;;;;;;-10.0;;;;;;;;;;;;;
19;Lopende prijzen, mln euro;1919;;;;;;;2509.0;;;;;;;35.0;;;;;;;;;;;;;
20;Lopende prijzen, mln euro;1920;;;;;;;2852.0;;;;;;;127.0;;;;;;;;;;;;;
