ID;Zorgaanbieders;Zorgfinanciering;Perioden;UitgavenGezondheidsEnWelzijnszorg_1
0;Totaal aanbieders zorg en welzijn;Totaal alle financieringsvormen;1998;39380.0
1;Totaal aanbieders zorg en welzijn;Totaal alle financieringsvormen;1999;42394.0
2;Totaal aanbieders zorg en welzijn;Totaal alle financieringsvormen;2000;45361.0
3;Totaal aanbieders zorg en welzijn;Totaal alle financieringsvormen;2001;50767.0
4;Totaal aanbieders zorg en welzijn;Totaal alle financieringsvormen;2002;56663.0
5;Totaal aanbieders zorg en welzijn;Totaal alle financieringsvormen;2003;60888.0
6;Totaal aanbieders zorg en welzijn;Totaal alle financieringsvormen;2004;63003.0
7;Totaal aanbieders zorg en welzijn;Totaal alle financieringsvormen;2005;65424.0
8;Totaal aanbieders zorg en welzijn;Totaal alle financieringsvormen;2006;68495.0
9;Totaal aanbieders zorg en welzijn;Totaal alle financieringsvormen;2007;72713.0
10;Totaal aanbieders zorg en welzijn;Totaal alle financieringsvormen;2008;77705.0
11;Totaal aanbieders zorg en welzijn;Totaal alle financieringsvormen;2009;82298.0
12;Totaal aanbieders zorg en welzijn;Totaal alle financieringsvormen;2010;85790.0
13;Totaal aanbieders zorg en welzijn;Totaal alle financieringsvormen;2011;88125.0
14;Totaal aanbieders zorg en welzijn;Totaal alle financieringsvormen;2012;90622.0
15;Totaal aanbieders zorg en welzijn;Totaal alle financieringsvormen;2013;90954.0
16;Totaal aanbieders zorg en welzijn;Totaal alle financieringsvormen;2014;91927.0
17;Totaal aanbieders zorg en welzijn;Totaal alle financieringsvormen;2015;92323.0
18;Totaal aanbieders zorg en welzijn;Totaal alle financieringsvormen;2016;94842.0
19;Totaal aanbieders zorg en welzijn;Totaal alle financieringsvormen;2017;96972.0
20;Totaal aanbieders zorg en welzijn;Totaal alle financieringsvormen;2018;101031.0
21;Totaal aanbieders zorg en welzijn;Totaal alle financieringsvormen;2019;107429.0
22;Totaal aanbieders zorg en welzijn;Totaal alle financieringsvormen;2020;116384.0
23;Totaal aanbieders zorg en welzijn;Totaal alle financieringsvormen;2021;124794.0
24;Totaal aanbieders zorg en welzijn;Totaal alle financieringsvormen;2022;127306.0
25;Totaal aanbieders zorg en welzijn;HF11: Overheid;1998;5481.0
