ID;KenmerkenBaanBedrijfsgrootte;CaoSector;Perioden;TotaalBanen_1;Minimumloon_2;k_105Minimumloon_3;k_110Minimumloon_4;k_115Minimumloon_5;k_120Minimumloon_6;k_130Minimumloon_7;TotaalArbeidsvolume_8;Minimumloon_9;k_105Minimumloon_10;k_110Minimumloon_11;k_115Minimumloon_12;k_120Minimumloon_13;k_130Minimumloon_14
0;Totaal;Totaal;2006;7542.5;450.4;595.3;775.6;1001.2;1224.0;1692.7;5722.5;251.9;332.1;433.4;561.2;698.1;995.4
1;Totaal;Totaal;2007;7755.5;486.1;642.3;832.0;1070.9;1309.4;1802.8;5902.5;280.2;367.1;476.1;612.7;758.5;1071.4
2;Totaal;Totaal;2008;7880.4;464.2;624.8;812.0;1028.5;1268.1;1758.9;6009.5;273.4;363.7;472.4;601.1;746.3;1060.2
3;Totaal;Totaal;2009;7818.7;478.4;639.7;826.7;1021.3;1251.8;1734.8;5923.1;275.3;365.2;474.2;590.9;730.1;1035.0
4;Totaal;Particuliere bedrijven;2006;5332.3;370.9;491.8;642.0;830.1;1007.2;1370.1;4037.1;199.3;263.9;345.2;447.4;552.7;776.0
5;Totaal;Particuliere bedrijven;2007;5504.2;392.2;524.9;683.5;886.7;1079.9;1468.4;4181.0;216.2;287.7;375.8;488.3;602.8;842.3
6;Totaal;Particuliere bedrijven;2008;5588.5;371.5;508.7;665.5;845.9;1041.7;1427.6;4248.6;207.4;282.0;369.7;473.8;588.4;828.9
7;Totaal;Particuliere bedrijven;2009;5475.1;375.0;509.9;665.8;825.9;1011.5;1394.6;4131.0;201.7;273.8;361.4;454.4;561.2;797.0
8;Totaal;Gesubsidieerde instellingen;2006;1207.9;56.1;78.3;106.1;139.9;179.3;265.6;847.4;36.7;51.1;69.5;92.6;119.7;179.7
9;Totaal;Gesubsidieerde instellingen;2007;1236.7;70.2;91.8;120.8;152.9;192.9;279.4;874.1;47.2;61.3;80.8;102.4;129.9;190.5
10;Totaal;Gesubsidieerde instellingen;2008;1264.3;71.3;92.9;121.0;153.4;192.0;279.9;902.0;49.9;64.4;83.8;106.0;133.1;194.5
11;Totaal;Gesubsidieerde instellingen;2009;1305.3;82.2;106.7;135.2;165.9;205.4;288.8;926.4;57.2;73.7;93.5;114.6;143.1;200.6
12;Totaal;Overheid;2006;1002.3;23.4;25.2;27.5;31.3;37.5;57.1;838.0;15.9;17.1;18.7;21.3;25.7;39.7
13;Totaal;Overheid;2007;1014.5;23.7;25.5;27.8;31.3;36.7;55.0;847.5;16.9;18.1;19.6;22.0;25.8;38.7
14;Totaal;Overheid;2008;1027.6;21.4;23.1;25.5;29.2;34.4;51.4;858.9;16.1;17.2;18.8;21.3;24.8;36.9
15;Totaal;Overheid;2009;1038.3;21.2;23.0;25.6;29.4;34.9;51.4;865.7;16.4;17.7;19.3;21.9;25.7;37.4
16;Dienstverband: voltijd;Totaal;2006;3844.2;126.8;162.5;207.7;264.5;335.1;495.3;3844.2;126.8;162.5;207.7;264.5;335.1;495.3
17;Dienstverband: voltijd;Totaal;2007;3938.1;139.8;177.8;227.0;288.3;361.9;529.7;3938.1;139.8;177.8;227.0;288.3;361.9;529.7
18;Dienstverband: voltijd;Totaal;2008;4013.9;141.3;181.5;230.0;290.5;360.9;526.6;4013.9;141.3;181.5;230.0;290.5;360.9;526.6
19;Dienstverband: voltijd;Totaal;2009;3892.1;135.9;174.9;223.9;278.9;347.3;501.8;3892.1;135.9;174.9;223.9;278.9;347.3;501.8
20;Dienstverband: voltijd;Particuliere bedrijven;2006;2905.2;98.5;127.7;164.1;208.4;262.8;384.3;2905.2;98.5;127.7;164.1;208.4;262.8;384.3
21;Dienstverband: voltijd;Particuliere bedrijven;2007;2995.1;106.7;138.3;178.3;228.1;286.1;415.9;2995.1;106.7;138.3;178.3;228.1;286.1;415.9
22;Dienstverband: voltijd;Particuliere bedrijven;2008;3032.7;105.5;138.9;177.8;226.4;281.3;409.1;3032.7;105.5;138.9;177.8;226.4;281.3;409.1
