ID;Geslacht;Persoonskenmerken;GeboortelandOuders;Herkomstland;Perioden;BeroepsEnNietBeroepsbevolking_1;WerkzameBeroepsbevolking_2;NettoArbeidsparticipatie_3;Werknemer_4;WerknemerMetVasteArbeidsrelatie_5;WerknemerMetFlexibeleArbeidsrelatie_6;Zelfstandige_7
0;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;2021;13140080.0;9116940.0;69.0;83.0;56.0;27.0;17.0
1;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;2022;13219140.0;9386470.0;71.0;83.0;55.0;28.0;17.0
2;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;2023;13315630.0;9519120.0;71.0;83.0;55.0;28.0;17.0
3;Totaal mannen en vrouwen;Totaal personen;Totaal;Nederland;2021;9678910.0;6937070.0;72.0;83.0;59.0;25.0;17.0
4;Totaal mannen en vrouwen;Totaal personen;Totaal;Nederland;2022;9592130.0;7024280.0;73.0;83.0;58.0;25.0;17.0
5;Totaal mannen en vrouwen;Totaal personen;Totaal;Nederland;2023;9515760.0;7027400.0;74.0;83.0;58.0;25.0;17.0
6;Totaal mannen en vrouwen;Totaal personen;Totaal;Indonesië;2021;313620.0;204360.0;65.0;81.0;62.0;19.0;19.0
7;Totaal mannen en vrouwen;Totaal personen;Totaal;Indonesië;2022;308290.0;203840.0;66.0;81.0;61.0;20.0;19.0
8;Totaal mannen en vrouwen;Totaal personen;Totaal;Indonesië;2023;301790.0;200000.0;66.0;81.0;61.0;19.0;19.0
9;Totaal mannen en vrouwen;Totaal personen;Totaal;Marokko;2021;305230.0;169950.0;56.0;84.0;46.0;38.0;16.0
10;Totaal mannen en vrouwen;Totaal personen;Totaal;Marokko;2022;313490.0;180950.0;58.0;82.0;44.0;38.0;18.0
11;Totaal mannen en vrouwen;Totaal personen;Totaal;Marokko;2023;321030.0;186020.0;58.0;80.0;44.0;36.0;20.0
12;Totaal mannen en vrouwen;Totaal personen;Totaal;Suriname;2021;299220.0;197300.0;66.0;88.0;55.0;33.0;12.0
13;Totaal mannen en vrouwen;Totaal personen;Totaal;Suriname;2022;301420.0;205140.0;68.0;87.0;53.0;34.0;13.0
14;Totaal mannen en vrouwen;Totaal personen;Totaal;Suriname;2023;303420.0;206440.0;68.0;86.0;54.0;33.0;14.0
15;Totaal mannen en vrouwen;Totaal personen;Totaal;Turkije;2021;341140.0;202900.0;59.0;79.0;46.0;33.0;21.0
16;Totaal mannen en vrouwen;Totaal personen;Totaal;Turkije;2022;351840.0;217010.0;62.0;78.0;45.0;34.0;22.0
