ID;Monumentencategorieen;AantalObjecten_1;VerstrekteSubsidies_2;SubsidiabelGesteldeKosten_3;HerleideTotaleBouwkosten_4
0;1;3802;46757;74667;90720
1;2;42;4936;6605;8521
2;3;41;867;1691;2181
3;4;14;1015;1625;2096
4;5;7;17;44;48
5;6;487;7468;15508;23417
6;7;0;0;0;0
7;8;3;3;5;7
8;9;436;16291;21043;22306
9;10;36;908;1232;1306
10;11;56;1135;1434;1520
11;12;19;263;366;388
12;13;880;4990;8680;9461
13;14;366;83;206;216
14;15;4;198;249;429
15;16;3;53;74;128
16;17;5;118;171;294
17;18;32;98;244;327
18;19;46;1041;1942;2330
19;20;40;988;1728;2073
20;21;216;1045;2367;2675
21;22;222;1564;3776;4380
22;23;6;69;152;177
23;24;73;189;473;473
24;25;88;1522;2162;2248
25;26;640;762;1560;2293
26;27;12;322;449;544
27;28;0;0;0;0
28;29;0;0;0;0
29;30;9;77;107;108
30;31;7;48;87;87
31;32;12;687;687;687
