ID;Inkomensbegrippen;Inkomensklassen;KenmerkenVanHuishoudens;Perioden;ParticuliereHuishoudens_1;PersonenPerHuishouden_2;PersonenMetInkomenPerHuishouden_3;GemiddeldInkomen_4;MediaanInkomen_5
0;Primair inkomen;Totaal;Particuliere huishoudens;2011;7347.6;2.2;1.7;46.8;34.9
1;Primair inkomen;Totaal;Particuliere huishoudens;2012;7412.1;2.2;1.7;47.2;34.1
2;Primair inkomen;Totaal;Particuliere huishoudens;2013;7467.8;2.2;1.7;47.1;33.3
3;Primair inkomen;Totaal;Particuliere huishoudens;2014;7496.4;2.2;1.7;49.2;33.7
4;Primair inkomen;Totaal;Particuliere huishoudens;2015;7568.5;2.2;1.7;47.9;33.4
5;Primair inkomen;Totaal;Particuliere huishoudens;2016;7623.2;2.2;1.7;49.5;34.4
6;Primair inkomen;Totaal;Particuliere huishoudens;2017;7694.9;2.2;1.7;51.4;35.8
7;Primair inkomen;Totaal;Particuliere huishoudens;2018;7760.6;2.2;1.7;53.8;37.8
8;Primair inkomen;Totaal;Particuliere huishoudens;2019;7827.4;2.2;1.8;58.2;40.0
9;Primair inkomen;Totaal;Particuliere huishoudens;2020;7894.5;2.2;1.7;58.3;40.8
10;Primair inkomen;Totaal;Particuliere huishoudens;2021;7951.4;2.2;1.8;60.8;42.3
11;Primair inkomen;Totaal;Particuliere huishoudens;2022;8041.4;2.1;1.8;65.7;46.1
12;Primair inkomen;Totaal;Particuliere huishoudens;2023;8156.9;2.1;1.8;70.3;48.7
13;Primair inkomen;Totaal;Type: Eenpersoonshuishouden;2011;2623.5;1.0;1.0;20.7;7.0
14;Primair inkomen;Totaal;Type: Eenpersoonshuishouden;2012;2673.3;1.0;1.0;21.0;7.0
15;Primair inkomen;Totaal;Type: Eenpersoonshuishouden;2013;2713.4;1.0;1.0;20.9;7.0
16;Primair inkomen;Totaal;Type: Eenpersoonshuishouden;2014;2721.7;1.0;1.0;21.6;7.2
17;Primair inkomen;Totaal;Type: Eenpersoonshuishouden;2015;2782.7;1.0;1.0;21.2;7.2
18;Primair inkomen;Totaal;Type: Eenpersoonshuishouden;2016;2820.4;1.0;1.0;21.7;7.4
19;Primair inkomen;Totaal;Type: Eenpersoonshuishouden;2017;2872.5;1.0;1.0;22.4;7.5
20;Primair inkomen;Totaal;Type: Eenpersoonshuishouden;2018;2910.1;1.0;1.0;23.4;7.9
21;Primair inkomen;Totaal;Type: Eenpersoonshuishouden;2019;2949.8;1.0;1.0;25.1;8.5
22;Primair inkomen;Totaal;Type: Eenpersoonshuishouden;2020;2985.9;1.0;1.0;25.4;8.4
23;Primair inkomen;Totaal;Type: Eenpersoonshuishouden;2021;3014.0;1.0;1.0;26.5;8.8
24;Primair inkomen;Totaal;Type: Eenpersoonshuishouden;2022;3085.0;1.0;1.0;28.7;9.9
25;Primair inkomen;Totaal;Type: Eenpersoonshuishouden;2023;3164.0;1.0;1.0;30.8;10.9
26;Primair inkomen;Totaal;Type: Alleenstaande onder AOW-lft;2011;1800.4;1.0;1.0;28.5;23.2
27;Primair inkomen;Totaal;Type: Alleenstaande onder AOW-lft;2012;1822.1;1.0;1.0;28.8;22.8
28;Primair inkomen;Totaal;Type: Alleenstaande onder AOW-lft;2013;1835.2;1.0;1.0;28.8;22.1
29;Primair inkomen;Totaal;Type: Alleenstaande onder AOW-lft;2014;1838.3;1.0;1.0;29.8;22.4
30;Primair inkomen;Totaal;Type: Alleenstaande onder AOW-lft;2015;1873.0;1.0;1.0;29.4;22.7
31;Primair inkomen;Totaal;Type: Alleenstaande onder AOW-lft;2016;1890.0;1.0;1.0;30.3;23.8
32;Primair inkomen;Totaal;Type: Alleenstaande onder AOW-lft;2017;1924.1;1.0;1.0;31.3;25.0
33;Primair inkomen;Totaal;Type: Alleenstaande onder AOW-lft;2018;1955.0;1.0;1.0;32.7;26.8
34;Primair inkomen;Totaal;Type: Alleenstaande onder AOW-lft;2019;1981.0;1.0;1.0;34.9;28.8
35;Primair inkomen;Totaal;Type: Alleenstaande onder AOW-lft;2020;2010.6;1.0;1.0;35.5;29.5
36;Primair inkomen;Totaal;Type: Alleenstaande onder AOW-lft;2021;2016.4;1.0;1.0;37.2;31.0
37;Primair inkomen;Totaal;Type: Alleenstaande onder AOW-lft;2022;2063.2;1.0;1.0;40.4;34.5
38;Primair inkomen;Totaal;Type: Alleenstaande onder AOW-lft;2023;2130.9;1.0;1.0;42.9;36.3
39;Primair inkomen;Totaal;Type: Alleenstaande vanaf AOW-lft;2011;823.2;1.0;1.0;3.9;0.4
40;Primair inkomen;Totaal;Type: Alleenstaande vanaf AOW-lft;2012;851.2;1.0;1.0;4.2;0.5
41;Primair inkomen;Totaal;Type: Alleenstaande vanaf AOW-lft;2013;878.2;1.0;1.0;4.2;0.5
42;Primair inkomen;Totaal;Type: Alleenstaande vanaf AOW-lft;2014;883.4;1.0;1.0;4.6;0.4
43;Primair inkomen;Totaal;Type: Alleenstaande vanaf AOW-lft;2015;909.8;1.0;1.0;4.2;0.3
44;Primair inkomen;Totaal;Type: Alleenstaande vanaf AOW-lft;2016;930.4;1.0;1.0;4.2;0.2
45;Primair inkomen;Totaal;Type: Alleenstaande vanaf AOW-lft;2017;948.4;1.0;1.0;4.5;0.1
46;Primair inkomen;Totaal;Type: Alleenstaande vanaf AOW-lft;2018;955.1;1.0;1.0;4.4;0.0
47;Primair inkomen;Totaal;Type: Alleenstaande vanaf AOW-lft;2019;968.8;1.0;1.0;5.1;0.0
48;Primair inkomen;Totaal;Type: Alleenstaande vanaf AOW-lft;2020;975.3;1.0;1.0;4.6;0.0
49;Primair inkomen;Totaal;Type: Alleenstaande vanaf AOW-lft;2021;997.6;1.0;1.0;4.8;0.0
50;Primair inkomen;Totaal;Type: Alleenstaande vanaf AOW-lft;2022;1021.7;1.0;1.0;5.2;0.0
51;Primair inkomen;Totaal;Type: Alleenstaande vanaf AOW-lft;2023;1033.2;1.0;1.0;6.0;0.4
52;Primair inkomen;Totaal;Type: Meerpersoonshuishouden;2011;4724.0;2.9;2.2;61.3;54.7
53;Primair inkomen;Totaal;Type: Meerpersoonshuishouden;2012;4738.8;2.9;2.2;61.9;54.7
54;Primair inkomen;Totaal;Type: Meerpersoonshuishouden;2013;4754.4;2.9;2.2;62.1;54.4
55;Primair inkomen;Totaal;Type: Meerpersoonshuishouden;2014;4774.7;2.9;2.2;65.0;55.3
56;Primair inkomen;Totaal;Type: Meerpersoonshuishouden;2015;4785.8;2.9;2.2;63.4;55.6
57;Primair inkomen;Totaal;Type: Meerpersoonshuishouden;2016;4802.8;2.9;2.2;65.8;57.7
58;Primair inkomen;Totaal;Type: Meerpersoonshuishouden;2017;4822.4;2.9;2.2;68.7;60.5
59;Primair inkomen;Totaal;Type: Meerpersoonshuishouden;2018;4850.5;2.9;2.2;72.1;63.7
60;Primair inkomen;Totaal;Type: Meerpersoonshuishouden;2019;4877.5;2.9;2.2;78.1;67.4
61;Primair inkomen;Totaal;Type: Meerpersoonshuishouden;2020;4908.6;2.9;2.2;78.4;69.1
62;Primair inkomen;Totaal;Type: Meerpersoonshuishouden;2021;4937.4;2.9;2.2;81.7;72.0
63;Primair inkomen;Totaal;Type: Meerpersoonshuishouden;2022;4956.4;2.8;2.2;88.7;78.4
64;Primair inkomen;Totaal;Type: Meerpersoonshuishouden;2023;4992.9;2.8;2.2;95.4;83.6
65;Primair inkomen;Totaal;Type: Eenoudergezin;2011;472.2;2.5;1.7;32.0;25.7
66;Primair inkomen;Totaal;Type: Eenoudergezin;2012;485.9;2.5;1.7;32.6;25.7
67;Primair inkomen;Totaal;Type: Eenoudergezin;2013;496.9;2.5;1.7;32.6;25.6
68;Primair inkomen;Totaal;Type: Eenoudergezin;2014;510.9;2.5;1.7;33.6;25.7
69;Primair inkomen;Totaal;Type: Eenoudergezin;2015;518.2;2.5;1.7;33.5;26.1
70;Primair inkomen;Totaal;Type: Eenoudergezin;2016;531.0;2.5;1.7;35.0;27.3
71;Primair inkomen;Totaal;Type: Eenoudergezin;2017;534.5;2.5;1.7;37.0;29.0
72;Primair inkomen;Totaal;Type: Eenoudergezin;2018;544.8;2.5;1.8;39.5;31.3
73;Primair inkomen;Totaal;Type: Eenoudergezin;2019;554.8;2.5;1.8;42.9;33.7
74;Primair inkomen;Totaal;Type: Eenoudergezin;2020;562.0;2.5;1.8;44.2;35.1
75;Primair inkomen;Totaal;Type: Eenoudergezin;2021;566.3;2.5;1.8;46.5;37.2
76;Primair inkomen;Totaal;Type: Eenoudergezin;2022;569.3;2.5;1.8;51.4;41.9
