ID;Periods;TotalRegisteredUnemployed_1;ChangeComparedToThePreviousYear_2
411;1986 April;466;-40.0
412;1986 May;458;-36.0
413;1986 June;458;-31.0
414;1986 July;476;-27.0
415;1986 August;474;-40.0
416;1986 September;469;-33.0
417;1986 October;464;-30.0
418;1986 November;461;-34.0
419;1986 December;470;-31.0
420;1987 January;473;-37.0
421;1987 February;469;-33.0
422;1987 March;456;-29.0
423;1987 April;438;-28.0
424;1987 May;427;-31.0
425;1987 June;429;-29.0
426;1987 July;453;-23.0
427;1987 August;460;-14.0
428;1987 September;460;-9.0
429;1987 October;463;-1.0
430;1987 November;466;5.0
431;1987 December;482;12.0
432;1988 January;491;18.0
433;1988 February;493;24.0
434;1988 March;468;12.0
435;1988 April;432;-6.0
436;1988 May;428;1.0
437;1988 June;437;8.0
438;1988 July;447;-6.0
439;1988 August;450;-10.0
440;1988 September;439;-21.0
441;1988 October;444;-19.0
442;1988 November;443;-23.0
443;1988 December;443;-39.0
444;1988 December - 1989 February;441;-50.0
445;1989 January - 1989 March;432;-61.0
446;1989 February - 1989 April;421;-47.0
447;1989 March - 1989 May;405;-27.0
448;1989 April - 1989 June;395;-33.0
449;1989 May - 1989 July;407;-30.0
450;1989 June - 1989 August;418;-29.0
451;1989 July - 1989 September;417;-33.0
452;1989 August - 1989 October;400;-39.0
453;1989 September - 1989 November;391;-53.0
454;1989 October - 1989 December;383;-60.0
455;1989 November - 1990 January;382;-61.0
456;1989 December - 1990 February;379;-62.0
457;1990 January - 1990 March;377;-55.0
458;1990 February - 1990 April;366;-55.0
459;1990 March - 1990 May;351;-54.0
460;1990 April - 1990 June;351;-44.0
461;1990 May - 1990 July;355;-52.0
462;1990 June - 1990 August;359;-59.0
463;1990 July - 1990 September;355;-62.0
464;1990 August - 1990 October;354;-46.0
465;1990 September - 1990 November;348;-43.0
466;1990 October - 1990 December;349;-34.0
467;1990 November - 1991 January;353;-29.0
468;1990 December - 1991 February;356;-23.0
469;1991 January - 1991 March;360;-17.0
470;1991 February - 1991 April;343;-23.0
471;1991 March - 1991 May;332;-19.0
472;1991 April - 1991 June;323;-28.0
473;1991 May - 1991 July;332;-23.0
474;1991 June - 1991 August;333;-26.0
475;1991 July - 1991 September;332;-23.0
476;1991 August - 1991 October;321;-33.0
477;1991 September - 1991 November;321;-27.0
478;1991 October - 1991 December;323;-26.0
479;1991 November - 1992 January;322;-31.0
480;1991 December - 1992 February;329;-27.0
481;1992 January - 1992 March;329;-31.0
482;1992 February - 1992 April;338;-5.0
483;1992 March - 1992 May;328;-4.0
484;1992 April - 1992 June;323;0.0
485;1992 May - 1992 July;323;-9.0
486;1992 June - 1992 August;326;-7.0
487;1992 July-  1992 September;341;9.0
488;1992 August - 1992 October;341;20.0
489;1992 September - 1992 November;352;31.0
490;1992 October - 1992 December;353;30.0
491;1992 November - 1993 January;364;42.0
492;1992 December - 1993 February;382;53.0
493;1993 January - 1993 March;391;62.0
494;1993 February - 1993 April;400;62.0
495;1993 March - 1993 May;387;59.0
496;1993 April - 1993 June;394;71.0
497;1993 May - 1993 July;394;71.0
498;1993 June - 1993 August;416;90.0
499;1993 July - 1993 September;421;80.0
500;1993 August - 1993 October;438;97.0
501;1993 September - 1993 November;448;96.0
502;1993 October - 1993 December;453;100.0
503;1993 November - 1994 January;480;116.0
504;1993 December - 1994 February;495;113.0
505;1994 January - 1994 March;520;129.0
506;1994 February - 1994 April;500;100.0
507;1994 March - 1994 May;483;96.0
508;1994 April - 1994 June;461;67.0
509;1994 May - 1994 July;465;71.0
510;1994 June - 1994 August;470;54.0
511;1994 July - 1994 September;484;63.0
512;1994 August - 1994 October;484;46.0
513;1994 September - 1994 November;490;42.0
514;1994 October - 1994 December;480;27.0
515;1994 November - 1995 January;492;12.0
516;1994 December - 1995 February;484;-11.0
517;1995 January - 1995 March;497;-23.0
518;1995 February - 1995 April;477;-23.0
519;1995 March - 1995 May;465;-18.0
520;1995 April - 1995 June;446;-15.0
521;1995 May - 1995 July;445;-20.0
522;1995 June - 1995 August;453;-17.0
523;1995 July - 1995 September;453;-31.0
524;1995 August - 1995 October;450;-34.0
525;1995 September - 1995 November;451;-39.0
526;1995 October - 1995 December;459;-21.0
527;1995 November - 1996 January;463;-29.0
528;1995 December - 1996 February;468;-16.0
529;1996 January - 1996 March;469;-28.0
530;1996 February - 1996 April;465;-12.0
531;1996 March - 1996 May;441;-24.0
532;1996 April - 1996 June;418;-28.0
533;1996 May - 1996 July;415;-30.0
534;1996 June - 1996 August;433;-20.0
535;1996 July - 1996 September;441;-12.0
536;1996 August - 1996 October;438;-12.0
537;1996 September - 1996 November;431;-20.0
538;1996 October - 1996 December;432;-27.0
539;1996 November - 1997 January;437;-26.0
540;1996 December - 1997 February;429;-39.0
541;1997 January - 1997 March;415;-54.0
542;1997 February - 1997 April;399;-66.0
543;1997 March - 1997 May;381;-60.0
544;1997 April - 1997 June;376;-42.0
545;1997 May - 1997 July;378;-37.0
546;1997 June - 1997 August;379;-54.0
547;1997 July - 1997 September;372;-69.0
548;1997 August - 1997 October;351;-87.0
549;1997 September - 1997 November;349;-82.0
550;1997 October - 1997 December;336;-96.0
551;1997 November - 1998 January;340;-97.0
552;1997 December - 1998 February;346;-83.0
553;1998 January - 1998 March;346;-69.0
554;1998 February - 1998 April;318;-81.0
555;1998 March - 1998 May;289;-92.0
556;1998 April - 1998 June;270;-106.0
557;1998 May - 1998 July;270;-108.0
558;1998 June - 1998 August;273;-106.0
559;1998 July - 1998 September;271;-101.0
560;1998 August - 1998 October;265;-86.0
561;1998 September - 1998 November;262;-87.0
562;1998 October - 1998 December;260;-76.0
563;1998 November - 1999 January;265;-75.0
564;1998 December - 1999 February;263;-83.0
565;1999 January - 1999 March;265;-81.0
566;1999 February - 1999 April;246;-72.0
567;1999 March - 1999 May;227;-62.0
568;1999 April - 1999 June;216;-54.0
569;1999 May - 1999 July;209;-61.0
570;1999 June - 1999 August;213;-60.0
571;1999 July - 1999 September;212;-59.0
572;1999 August - 1999 October;211;-54.0
573;1999 September - 1999 November;206;-56.0
574;1999 October - 1999 December;189;-71.0
575;1999 November - 2000 January;201;-64.0
576;1999 December - 2000 February;201;-62.0
577;2000 January - 2000 March;217;-48.0
578;2000 February - 2000 April;201;-45.0
579;2000 March - 2000 May;195;-32.0
580;2000 April - 2000 June;173;-43.0
581;2000 May - 2000 July;171;-38.0
582;2000 June - 2000 August;169;-44.0
583;2000 July - 2000 September;176;-36.0
584;2000 August - 2000 October;181;-30.0
585;2000 September - 2000 November;190;-16.0
586;2000 October - 2000 December;186;-3.0
587;2000 November - 2001 January;187;-14.0
588;2000 December - 2001 February;184;-17.0
589;2001 January - 2001 March;176;-41.0
590;2001 February - 2001 April;155;-46.0
591;2001 March - 2001 May;134;-61.0
592;2001 April - 2001 June;132;-41.0
593;2001 May - 2001 July;132;-39.0
594;2001 June - 2001 August;135;-34.0
595;2001 July - 2001 September;141;-35.0
596;2001 August - 2001 October;140;-41.0
597;2001 September - 2001 November;141;-49.0
598;2001 October - 2001 December;135;-51.0
599;2001 November - 2002 January;146;-41.0
600;2001 December - 2002 February;152;-32.0
601;2002 January - 2002 March;162;-14.0
602;2002 February - 2002 April;167;12.0
603;2002 March - 2002 May;159;25.0
604;2002 April - 2002 June;163;31.0
605;2002 May - 2002 July;160;28.0
606;2002 June - 2002 August;166;31.0
607;2002 July - 2002 September;172;31.0
608;2002 August - 2002 October;177;37.0
609;2002 September - 2002 November;183;42.0
610;2002 October - 2002 December;182;47.0
611;2002 November - 2003 January;196;50.0
612;2003 December - 2003 February;215;63.0
613;2003 January - 2003 March;241;79.0
614;2003 February - 2003 April;243;76.0
615;2003 March - 2003 May;241;82.0
616;2003 April - 2003 June;239;76.0
617;2003 May - 2003 July;244;84.0
618;2003 June - 2003 August;254;88.0
619;2003 July - 2003 September;262;90.0
620;2003 August - 2003 October;264;87.0
621;2003 September - 2003 November;271;88.0
622;2003 October - 2003 December;279;97.0
623;2003 November - 2004 January;302;106.0
624;2003 December - 2004 February;315;100.0
625;2004 January - 2004 March;327;86.0
626;2004 February - 2004 April;325;82.0
627;2004 March - 2004 May;324;83.0
628;2004 April - 2004 June;315;76.0
629;2004 May - 2004 July;312;68.0
630;2004 June - 2004 August;316;62.0
631;2004 July - 2004 September;315;53.0
632;2004 August - 2004 October;315;51.0
633;2004 September - 2004 November;316;45.0
634;2004 October - 2004 December;321;42.0
635;2004 November - 2005 January;329;27.0
636;2004 December - 2005 February;335;20.0
637;2005 January - 2005 March;339;12.0
638;2005 February - 2005 April;331;6.0
639;2005 March - 2005 May;317;-7.0
640;2005 April - 2005 June;310;-5.0
641;2005 May - 2005 July;308;-4.0
642;2005 June - 2005 August;304;-12.0
643;2005 July - 2005 September;300;-15.0
644;2005 August - 2005 October;301;-14.0
645;2005 September - 2005 November;297;-19.0
646;2005 October - 2005 December;294;-27.0
647;2005 November - 2006 January;299;-30.0
648;2005 December - 2006 February;303;-32.0
649;2006 January - 2006 March;302;-37.0
650;2006 February - 2006 April;298;-33.0
651;2006 March - 2006 May;291;-26.0
652;2006 April - 2006 June;276;-34.0
653;2006 May - 2006 July;261;-47.0
654;2006 June - 2006 August;252;-52.0
655;2006 July - 2006 September;245;-55.0
656;2006 August - 2006 October;236;-65.0
657;2006 September - 2006 November;224;-73.0
658;2006 October - 2006 December;217;-77.0
659;2006 November - 2007 January;215;-84.0
660;2006 December - 2007 February;215;-88.0
661;2007 January - 2007 March;218;-84.0
662;2007 February - 2007 April;205;-93.0
663;2007 March - 2007 May;198;-93.0
664;2007 April - 2007 June;183;-93.0
665;2007 May - 2007 July;178;-83.0
666;2007 June - 2007 August;170;-82.0
667;2007 July - 2007 September;171;-74.0
668;2007 August - 2007 October;172;-64.0
669;2007 September - 2007 November;161;-63.0
670;2007 October - 2007 December;157;-60.0
671;2007 November - 2008 January;157;-58.0
672;2007 December - 2008 February;158;-57.0
673;2008 January - 2008 March;157;-61.0
674;2008 February - 2008 April;157;-48.0
675;2008 March - 2008 May;155;-43.0
676;2008 April - 2008 June;150;-33.0
677;2008 May - 2008 July;143;-35.0
678;2008 June - 2008 August;141;-29.0
679;2008 July - 2008 September;135;-36.0
680;2008 August - 2008 October;133;-39.0
681;2008 September - 2008 November;134;-27.0
682;2008 October - 2008 December;138;-19.0
683;2008 November - 2009 January;147;-10.0
684;2008 December - 2009 February;160;2.0
685;2009 January - 2009 March;164;7.0
686;2009 February - 2009 April;176;19.0
687;2009 March - 2009 May;177;22.0
688;2009 April - 2009 June;189;39.0
689;2009 May - 2009 July;186;43.0
690;2009 June - 2009 August;192;51.0
691;2009 July - 2009 September;195;60.0
692;2009 Augustus - 2009 October;201;68.0
693;2009 September - 2009 November;209;75.0
694;2009 October - 2009 December;214;76.0
695;2009 November - 2010 January;230;83.0
696;2009 December - 2010 February;237;77.0
697;2010 January - 2010 March;250;86.0
698;2010 February - 2010 April;249;73.0
699;2010 March - 2010 May;247;70.0
700;2010 April - 2010 June;241;52.0
