ID;Zorgfuncties;FinancieringsregelingenZorg;Perioden;UitgavenAanZorg_1
0;Totaal uitgaven zorg en welzijn;Totaal alle financieringsregelingen;2005;67151.0
1;Totaal uitgaven zorg en welzijn;Totaal alle financieringsregelingen;2006;70350.0
2;Totaal uitgaven zorg en welzijn;Totaal alle financieringsregelingen;2007;74666.0
3;Totaal uitgaven zorg en welzijn;Totaal alle financieringsregelingen;2008;79911.0
4;Totaal uitgaven zorg en welzijn;Totaal alle financieringsregelingen;2009;84177.0
5;Totaal uitgaven zorg en welzijn;Totaal alle financieringsregelingen;2010;87632.0
6;Totaal uitgaven zorg en welzijn;Totaal alle financieringsregelingen;2011;89676.0
7;Totaal uitgaven zorg en welzijn;Totaal alle financieringsregelingen;2012;92943.0
8;Totaal uitgaven zorg en welzijn;Totaal alle financieringsregelingen;2013;93099.0
9;Totaal uitgaven zorg en welzijn;Totaal alle financieringsregelingen;2014;94452.0
10;Totaal uitgaven zorg en welzijn;Totaal alle financieringsregelingen;2015;94494.0
11;Totaal uitgaven zorg en welzijn;Totaal alle financieringsregelingen;2016;96711.0
12;Totaal uitgaven zorg en welzijn;Totaal financiering van ingezetenen;2005;67046.0
13;Totaal uitgaven zorg en welzijn;Totaal financiering van ingezetenen;2006;70255.0
14;Totaal uitgaven zorg en welzijn;Totaal financiering van ingezetenen;2007;74579.0
15;Totaal uitgaven zorg en welzijn;Totaal financiering van ingezetenen;2008;79821.0
16;Totaal uitgaven zorg en welzijn;Totaal financiering van ingezetenen;2009;84093.0
17;Totaal uitgaven zorg en welzijn;Totaal financiering van ingezetenen;2010;87525.0
18;Totaal uitgaven zorg en welzijn;Totaal financiering van ingezetenen;2011;89573.0
19;Totaal uitgaven zorg en welzijn;Totaal financiering van ingezetenen;2012;92840.0
20;Totaal uitgaven zorg en welzijn;Totaal financiering van ingezetenen;2013;92992.0
21;Totaal uitgaven zorg en welzijn;Totaal financiering van ingezetenen;2014;94341.0
22;Totaal uitgaven zorg en welzijn;Totaal financiering van ingezetenen;2015;94379.0
23;Totaal uitgaven zorg en welzijn;Totaal financiering van ingezetenen;2016;96596.0
24;Totaal uitgaven zorg en welzijn;HF1: Publieke sector;2005;46174.0
25;Totaal uitgaven zorg en welzijn;HF1: Publieke sector;2006;56978.0
26;Totaal uitgaven zorg en welzijn;HF1: Publieke sector;2007;60531.0
27;Totaal uitgaven zorg en welzijn;HF1: Publieke sector;2008;63676.0
28;Totaal uitgaven zorg en welzijn;HF1: Publieke sector;2009;67516.0
29;Totaal uitgaven zorg en welzijn;HF1: Publieke sector;2010;70369.0
30;Totaal uitgaven zorg en welzijn;HF1: Publieke sector;2011;71478.0
31;Totaal uitgaven zorg en welzijn;HF1: Publieke sector;2012;74226.0
32;Totaal uitgaven zorg en welzijn;HF1: Publieke sector;2013;73959.0
33;Totaal uitgaven zorg en welzijn;HF1: Publieke sector;2014;75043.0
34;Totaal uitgaven zorg en welzijn;HF1: Publieke sector;2015;75335.0
35;Totaal uitgaven zorg en welzijn;HF1: Publieke sector;2016;77266.0
36;Totaal uitgaven zorg en welzijn;HF11: Overheid;2005;8417.0
37;Totaal uitgaven zorg en welzijn;HF11: Overheid;2006;8849.0
38;Totaal uitgaven zorg en welzijn;HF11: Overheid;2007;11290.0
39;Totaal uitgaven zorg en welzijn;HF11: Overheid;2008;11874.0
40;Totaal uitgaven zorg en welzijn;HF11: Overheid;2009;12697.0
41;Totaal uitgaven zorg en welzijn;HF11: Overheid;2010;13123.0
42;Totaal uitgaven zorg en welzijn;HF11: Overheid;2011;12839.0
43;Totaal uitgaven zorg en welzijn;HF11: Overheid;2012;12875.0
44;Totaal uitgaven zorg en welzijn;HF11: Overheid;2013;11631.0
45;Totaal uitgaven zorg en welzijn;HF11: Overheid;2014;12015.0
46;Totaal uitgaven zorg en welzijn;HF11: Overheid;2015;17065.0
47;Totaal uitgaven zorg en welzijn;HF11: Overheid;2016;17537.0
48;Totaal uitgaven zorg en welzijn;HF12: Verplichte premiegeb verzekeringen;2005;37758.0
49;Totaal uitgaven zorg en welzijn;HF12: Verplichte premiegeb verzekeringen;2006;48129.0
50;Totaal uitgaven zorg en welzijn;HF12: Verplichte premiegeb verzekeringen;2007;49242.0
51;Totaal uitgaven zorg en welzijn;HF12: Verplichte premiegeb verzekeringen;2008;51802.0
52;Totaal uitgaven zorg en welzijn;HF12: Verplichte premiegeb verzekeringen;2009;54820.0
53;Totaal uitgaven zorg en welzijn;HF12: Verplichte premiegeb verzekeringen;2010;57246.0
54;Totaal uitgaven zorg en welzijn;HF12: Verplichte premiegeb verzekeringen;2011;58640.0
55;Totaal uitgaven zorg en welzijn;HF12: Verplichte premiegeb verzekeringen;2012;61351.0
56;Totaal uitgaven zorg en welzijn;HF12: Verplichte premiegeb verzekeringen;2013;62327.0
57;Totaal uitgaven zorg en welzijn;HF12: Verplichte premiegeb verzekeringen;2014;63028.0
