ID;Geslacht;Leeftijd;Leerjaar;Migratieachtergrond;Perioden;TotaalLeerlingen_1;TotaalVmboHavoVwo_2;AlgemeneLeerjaren123_3;VwoLeerjaar36_4;HavoLeerjaar35_5;VmboLeerjaar34_6;VmboGTLeerjaar34_7;VmboTLeerjaar34_8;VmboGLeerjaar34_9;VmboBKLeerjaar34_10;VmboKLeerjaar34_11;VmboBLeerjaar34_12;AlgemeneLeerjarenExclusiefLwoo_13;VmboExclusiefLwooLeerjaar34_14;VmboGTExclusiefLwooLeerjaar34_15;VmboBKExclusiefLwooLeerjaar34_16;TotaalLwoo14_17;AlgemeneLeerjarenLwoo_18;LwooLeerjaar34_19;LwooGTLeerjaar34_20;LwooBKLeerjaar34_21;Praktijkonderwijs_22
0;Totaal mannen en vrouwen;Totaal leeftijden;Totaal leerjaren;Totaal;2003/'04;920666;896098;404436.0;136303.0;128545.0;226277.0;98358.0;80233.0;18125.0;127919.0;55484.0;72435.0;354095.0;187152.0;96584.0;90568.0;89466.0;50341.0;39125.0;1774.0;37351.0;24568.0
1;Totaal mannen en vrouwen;Totaal leeftijden;Totaal leerjaren;Totaal;2004/'05;934761;908324;407153.0;142566.0;132555.0;225572.0;99552.0;79343.0;20209.0;126020.0;57230.0;68790.0;354421.0;183656.0;97228.0;86428.0;94648.0;52732.0;41916.0;2324.0;39592.0;26437.0
2;Totaal mannen en vrouwen;Totaal leeftijden;Totaal leerjaren;Totaal;2005/'06;939896;912601;399531.0;149673.0;137215.0;226182.0;102057.0;79939.0;22118.0;124125.0;59997.0;64128.0;344728.0;182320.0;99448.0;82872.0;98665.0;54803.0;43862.0;2609.0;41253.0;27295.0
3;Totaal mannen en vrouwen;Totaal leeftijden;Totaal leerjaren;Totaal;2006/'07;942773;915245;394118.0;155935.0;141824.0;223368.0;103623.0;80557.0;23066.0;119745.0;60386.0;59359.0;339840.0;177659.0;100494.0;77165.0;99987.0;54278.0;45709.0;3129.0;42580.0;27528.0
4;Totaal mannen en vrouwen;Totaal leeftijden;Totaal leerjaren;Totaal;2007/'08;941136;914058;390017.0;161290.0;145291.0;217460.0;103105.0;79089.0;24016.0;114355.0;59027.0;55328.0;336096.0;169566.0;99335.0;70231.0;101815.0;53921.0;47894.0;3770.0;44124.0;27078.0
5;Totaal mannen en vrouwen;Totaal leeftijden;Totaal leerjaren;Totaal;2008/'09;934560;907684;385408.0;164446.0;145617.0;212213.0;102279.0;77583.0;24696.0;109934.0;58052.0;51882.0;333222.0;163946.0;98041.0;65905.0;100453.0;52186.0;48267.0;4238.0;44029.0;26876.0
6;Totaal mannen en vrouwen;Totaal leeftijden;Totaal leerjaren;Totaal;2009/'10;934943;908185;387600.0;163659.0;149403.0;207523.0;101817.0;77063.0;24754.0;105706.0;56542.0;49164.0;336171.0;159599.0;97108.0;62491.0;99353.0;51429.0;47924.0;4709.0;43215.0;26758.0
7;Totaal mannen en vrouwen;Totaal leeftijden;Totaal leerjaren;Totaal;2010/'11;939534;912915;393354.0;164687.0;151193.0;203681.0;101714.0;76999.0;24715.0;101967.0;55373.0;46594.0;341072.0;156168.0;96736.0;59432.0;99795.0;52282.0;47513.0;4978.0;42535.0;26619.0
8;Totaal mannen en vrouwen;Totaal leeftijden;Totaal leerjaren;Totaal;2011/'12;948673;921929;402286.0;163477.0;152245.0;203921.0;103893.0;78482.0;25411.0;100028.0;55690.0;44338.0;348386.0;156685.0;98890.0;57795.0;101136.0;53900.0;47236.0;5003.0;42233.0;26744.0
9;Totaal mannen en vrouwen;Totaal leeftijden;Totaal leerjaren;Totaal;2012/'13;960682;933093;409554.0;161814.0;153679.0;208046.0;107970.0;81486.0;26484.0;100076.0;56233.0;43843.0;354176.0;160249.0;102886.0;57363.0;103175.0;55378.0;47797.0;5084.0;42713.0;27589.0
10;Totaal mannen en vrouwen;Totaal leeftijden;Totaal leerjaren;Totaal;2013/'14;973514;944888;413877.0;161264.0;156687.0;213060.0;111637.0;84282.0;27355.0;101423.0;57954.0;43469.0;358723.0;164179.0;106421.0;57758.0;104035.0;55154.0;48881.0;5216.0;43665.0;28626.0
11;Totaal mannen en vrouwen;Totaal leeftijden;Totaal leerjaren;Totaal;2014/'15;985069;955795;414100.0;163470.0;160028.0;218197.0;114866.0;86075.0;28791.0;103331.0;59600.0;43731.0;359938.0;167676.0;109531.0;58145.0;104683.0;54162.0;50521.0;5335.0;45186.0;29274.0
12;Totaal mannen en vrouwen;Totaal leeftijden;Totaal leerjaren;Totaal;2015/'16;995336;965564;413563.0;166951.0;163640.0;221410.0;117095.0;88214.0;28881.0;104315.0;60647.0;43668.0;360615.0;170820.0;111813.0;59007.0;103538.0;52948.0;50590.0;5282.0;45308.0;29772.0
13;Totaal mannen en vrouwen;Totaal leeftijden;Totaal leerjaren;Totaal;2016/'17;995477;965700;410500.0;171073.0;164222.0;219905.0;116397.0;87023.0;29374.0;103508.0;61095.0;42413.0;365646.0;170993.0;111494.0;59499.0;93766.0;44854.0;48912.0;4903.0;44009.0;29777.0
14;Totaal mannen en vrouwen;Totaal leeftijden;Totaal leerjaren;Totaal;2017/'18;985252;955699;399480.0;173706.0;167118.0;215395.0;115171.0;85908.0;29263.0;100224.0;60408.0;39816.0;364606.0;170028.0;110513.0;59515.0;80241.0;34874.0;45367.0;4658.0;40709.0;29553.0
15;Totaal mannen en vrouwen;Totaal leeftijden;Totaal leerjaren;Totaal;2018/'19;968243;939023;389034.0;173895.0;166251.0;209843.0;113839.0;85520.0;28319.0;96004.0;59066.0;36938.0;362099.0;173850.0;109996.0;63854.0;62928.0;26935.0;35993.0;3843.0;32150.0;29220.0
16;Totaal mannen en vrouwen;Totaal leeftijden;Totaal leerjaren;Totaal;2019/'20;950461;921207;382438.0;172955.0;164305.0;201509.0;110334.0;82463.0;27871.0;91175.0;56595.0;34580.0;360144.0;174035.0;107391.0;66644.0;49768.0;22294.0;27474.0;2943.0;24531.0;29254.0
17;Totaal mannen en vrouwen;Totaal leeftijden;Totaal leerjaren;Totaal;2020/'21;934228;904449;377782.0;173345.0;162866.0;190456.0;104079.0;77082.0;26997.0;86377.0;54472.0;31905.0;360018.0;170126.0;101783.0;68343.0;38094.0;17764.0;20330.0;2296.0;18034.0;29779.0
