ID;Geslacht;Leeftijd;WoonregioS;WerkregioS;Perioden;BanenVanWerknemers_1;WoonWerkAfstand_2
0;Totaal mannen en vrouwen;Totaal;Nederland;Nederland;2014 december;7516.1;22.7
1;Totaal mannen en vrouwen;Totaal;Nederland;Nederland;2015 december;7616.5;22.6
2;Totaal mannen en vrouwen;Totaal;Nederland;Nederland;2016 december;7735.5;22.5
3;Totaal mannen en vrouwen;Totaal;Nederland;Nederland;2017 december;7935.4;22.1
4;Totaal mannen en vrouwen;Totaal;Nederland;Nederland;2018 december;8126.9;22.5
5;Totaal mannen en vrouwen;Totaal;Nederland;Nederland;2019 december;8258.2;22.2
6;Totaal mannen en vrouwen;Totaal;Nederland;Nederland;2020 december;8125.7;22.0
7;Totaal mannen en vrouwen;Totaal;Nederland;Groningen (PV);2014 december;241.2;21.8
8;Totaal mannen en vrouwen;Totaal;Nederland;Groningen (PV);2015 december;242.2;20.1
9;Totaal mannen en vrouwen;Totaal;Nederland;Groningen (PV);2016 december;249.0;20.0
10;Totaal mannen en vrouwen;Totaal;Nederland;Groningen (PV);2017 december;258.1;18.8
11;Totaal mannen en vrouwen;Totaal;Nederland;Groningen (PV);2018 december;260.9;19.5
12;Totaal mannen en vrouwen;Totaal;Nederland;Groningen (PV);2019 december;264.2;19.1
13;Totaal mannen en vrouwen;Totaal;Nederland;Groningen (PV);2020 december;261.5;18.9
14;Totaal mannen en vrouwen;Totaal;Nederland;Fryslân (PV);2014 december;243.2;20.7
15;Totaal mannen en vrouwen;Totaal;Nederland;Fryslân (PV);2015 december;246.4;19.2
16;Totaal mannen en vrouwen;Totaal;Nederland;Fryslân (PV);2016 december;251.7;18.8
17;Totaal mannen en vrouwen;Totaal;Nederland;Fryslân (PV);2017 december;256.8;18.0
18;Totaal mannen en vrouwen;Totaal;Nederland;Fryslân (PV);2018 december;261.5;17.7
19;Totaal mannen en vrouwen;Totaal;Nederland;Fryslân (PV);2019 december;269.5;18.0
20;Totaal mannen en vrouwen;Totaal;Nederland;Fryslân (PV);2020 december;267.4;17.8
21;Totaal mannen en vrouwen;Totaal;Nederland;Drenthe (PV);2014 december;188.8;23.1
22;Totaal mannen en vrouwen;Totaal;Nederland;Drenthe (PV);2015 december;188.7;22.9
23;Totaal mannen en vrouwen;Totaal;Nederland;Drenthe (PV);2016 december;187.7;23.0
24;Totaal mannen en vrouwen;Totaal;Nederland;Drenthe (PV);2017 december;193.9;23.3
25;Totaal mannen en vrouwen;Totaal;Nederland;Drenthe (PV);2018 december;197.7;23.3
26;Totaal mannen en vrouwen;Totaal;Nederland;Drenthe (PV);2019 december;200.2;22.9
27;Totaal mannen en vrouwen;Totaal;Nederland;Drenthe (PV);2020 december;199.1;22.9
28;Totaal mannen en vrouwen;Totaal;Nederland;Overijssel (PV);2014 december;505.3;21.3
29;Totaal mannen en vrouwen;Totaal;Nederland;Overijssel (PV);2015 december;511.3;21.1
30;Totaal mannen en vrouwen;Totaal;Nederland;Overijssel (PV);2016 december;524.7;20.2
31;Totaal mannen en vrouwen;Totaal;Nederland;Overijssel (PV);2017 december;544.9;21.6
32;Totaal mannen en vrouwen;Totaal;Nederland;Overijssel (PV);2018 december;562.2;22.0
33;Totaal mannen en vrouwen;Totaal;Nederland;Overijssel (PV);2019 december;567.2;21.3
34;Totaal mannen en vrouwen;Totaal;Nederland;Overijssel (PV);2020 december;552.2;19.2
35;Totaal mannen en vrouwen;Totaal;Nederland;Flevoland (PV);2014 december;141.6;27.6
36;Totaal mannen en vrouwen;Totaal;Nederland;Flevoland (PV);2015 december;138.9;26.4
37;Totaal mannen en vrouwen;Totaal;Nederland;Flevoland (PV);2016 december;139.6;25.6
38;Totaal mannen en vrouwen;Totaal;Nederland;Flevoland (PV);2017 december;144.0;26.3
39;Totaal mannen en vrouwen;Totaal;Nederland;Flevoland (PV);2018 december;149.9;26.2
40;Totaal mannen en vrouwen;Totaal;Nederland;Flevoland (PV);2019 december;153.2;25.0
