ID;Geslacht;Persoonskenmerken;PositieInDeWerkkring;ArbeidspositiePartner;Perioden;WerkzameBeroepsbevolkingMetPartner_1;WerkzameBeroepsbevolkingInkomen_2;GemiddeldPersoonlijkPrimairInkomen_3;GemiddeldPersoonlijkInkomen_4;GemiddeldGestandaardiseerdInkomen_5;WerkzBeroepsbevPartnerInkOnbekend_6
0;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal personen;2003;5432;;;;;
1;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal personen;2004;5413;;;;;
2;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal personen;2005;5409;5357.0;38.8;32.2;23.8;52.0
3;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal personen;2006;5478;5425.0;40.3;33.9;25.3;53.0
4;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal personen;2007;5579;5525.0;41.8;35.6;27.4;54.0
5;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal personen;2008;5714;5657.0;42.9;37.0;28.0;57.0
6;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal personen;2009;5721;5662.0;43.2;37.6;28.2;59.0
7;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal personen;2010;5692;5624.0;44.2;38.3;28.4;68.0
8;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal personen;2011;5652;5575.0;45.1;38.9;28.4;77.0
9;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal personen;2012;5646;5552.0;45.6;39.2;28.5;94.0
10;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal personen;2013;5547;5389.0;46.7;40.6;29.3;158.0
11;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal personen;2014;5502;5309.0;47.7;41.6;30.8;193.0
12;Totaal mannen en vrouwen;Totaal personen;Totaal;Arb.pos.: Beroepsbevolking;2003;4438;;;;;
13;Totaal mannen en vrouwen;Totaal personen;Totaal;Arb.pos.: Beroepsbevolking;2004;4447;;;;;
14;Totaal mannen en vrouwen;Totaal personen;Totaal;Arb.pos.: Beroepsbevolking;2005;4477;4435.0;37.1;30.4;24.2;42.0
15;Totaal mannen en vrouwen;Totaal personen;Totaal;Arb.pos.: Beroepsbevolking;2006;4571;4529.0;38.8;32.2;25.7;42.0
16;Totaal mannen en vrouwen;Totaal personen;Totaal;Arb.pos.: Beroepsbevolking;2007;4710;4666.0;40.2;33.8;27.7;44.0
17;Totaal mannen en vrouwen;Totaal personen;Totaal;Arb.pos.: Beroepsbevolking;2008;4863;4819.0;41.7;35.4;28.4;44.0
18;Totaal mannen en vrouwen;Totaal personen;Totaal;Arb.pos.: Beroepsbevolking;2009;4875;4828.0;42.2;36.2;28.6;47.0
19;Totaal mannen en vrouwen;Totaal personen;Totaal;Arb.pos.: Beroepsbevolking;2010;4866;4810.0;43.3;36.9;28.8;56.0
20;Totaal mannen en vrouwen;Totaal personen;Totaal;Arb.pos.: Beroepsbevolking;2011;4837;4775.0;44.1;37.5;28.9;62.0
21;Totaal mannen en vrouwen;Totaal personen;Totaal;Arb.pos.: Beroepsbevolking;2012;4848;4771.0;44.9;38.0;29.0;77.0
22;Totaal mannen en vrouwen;Totaal personen;Totaal;Arb.pos.: Beroepsbevolking;2013;4764;4630.0;46.0;39.3;29.8;134.0
23;Totaal mannen en vrouwen;Totaal personen;Totaal;Arb.pos.: Beroepsbevolking;2014;4698;4536.0;47.1;40.3;31.4;162.0
24;Totaal mannen en vrouwen;Totaal personen;Totaal;Arb.pos.: Werkzame beroepsbevolking;2003;4313;;;;;
25;Totaal mannen en vrouwen;Totaal personen;Totaal;Arb.pos.: Werkzame beroepsbevolking;2004;4298;;;;;
26;Totaal mannen en vrouwen;Totaal personen;Totaal;Arb.pos.: Werkzame beroepsbevolking;2005;4322;4283.0;36.9;30.3;24.3;39.0
27;Totaal mannen en vrouwen;Totaal personen;Totaal;Arb.pos.: Werkzame beroepsbevolking;2006;4439;4400.0;38.6;32.0;25.8;40.0
28;Totaal mannen en vrouwen;Totaal personen;Totaal;Arb.pos.: Werkzame beroepsbevolking;2007;4600;4558.0;40.0;33.7;27.8;42.0
29;Totaal mannen en vrouwen;Totaal personen;Totaal;Arb.pos.: Werkzame beroepsbevolking;2008;4764;4721.0;41.6;35.3;28.5;43.0
30;Totaal mannen en vrouwen;Totaal personen;Totaal;Arb.pos.: Werkzame beroepsbevolking;2009;4756;4710.0;42.1;36.1;28.7;45.0
31;Totaal mannen en vrouwen;Totaal personen;Totaal;Arb.pos.: Werkzame beroepsbevolking;2010;4730;4676.0;43.2;36.8;29.0;54.0
32;Totaal mannen en vrouwen;Totaal personen;Totaal;Arb.pos.: Werkzame beroepsbevolking;2011;4700;4640.0;44.0;37.3;29.1;60.0
33;Totaal mannen en vrouwen;Totaal personen;Totaal;Arb.pos.: Werkzame beroepsbevolking;2012;4690;4615.0;44.8;37.9;29.2;74.0
