ID;Geslacht;MboSectorOpleidingsrichtBijInstroom;MaatschappelijkePositie1JaarTerug;HoogstBehaaldeVoorafgaandeDiploma;Persoonskenmerken;Perioden;TotaalInstromersInHetMbo_1;BolVoltijd_2;BolDeeltijd_3;Bbl_4;Niveau1_5;Niveau2_6;Niveau3_7;Niveau4_8;BolVoltijdNiveau1_9;BolVoltijdNiveau2_10;BolVoltijdNiveau3_11;BolVoltijdNiveau4_12;BolDeeltijdNiveau1_13;BolDeeltijdNiveau2_14;BolDeeltijdNiveau3_15;BolDeeltijdNiveau4_16;BblNiveau1_17;BblNiveau2_18;BblNiveau3_19;BblNiveau4_20
0;Mannen en vrouwen;0;0;Totaal;0;2006/'07;147420.0;103020.0;5530.0;38870.0;15770.0;49410.0;27610.0;54640.0;8240.0;26640.0;19350.0;48790.0;1090.0;1400.0;1580.0;1450.0;6440.0;21370.0;6670.0;4390.0
1;Mannen en vrouwen;0;0;Totaal;0;2007/'08;149190.0;98400.0;4180.0;46620.0;14850.0;51690.0;28270.0;54380.0;7080.0;24690.0;19020.0;47610.0;730.0;1070.0;1280.0;1090.0;7030.0;25930.0;7970.0;5680.0
2;Mannen en vrouwen;0;0;Totaal;0;2008/'09;146460.0;96280.0;3330.0;46860.0;14130.0;49920.0;29120.0;53290.0;6170.0;23650.0;19220.0;47240.0;750.0;800.0;900.0;880.0;7210.0;25470.0;9010.0;5170.0
3;Mannen en vrouwen;0;0;Totaal;0;2009/'10;144960.0;97280.0;3260.0;44430.0;15850.0;46650.0;29350.0;53110.0;6370.0;24420.0;19840.0;46650.0;630.0;860.0;890.0;890.0;8850.0;21380.0;8630.0;5570.0
4;Mannen en vrouwen;0;0;Totaal;15 jaar of jonger;2006/'07;610.0;570.0;;40.0;270.0;110.0;60.0;160.0;250.0;90.0;60.0;160.0;;0.0;0.0;0.0;20.0;30.0;0.0;0.0
5;Mannen en vrouwen;0;0;Totaal;15 jaar of jonger;2007/'08;450.0;420.0;10.0;30.0;220.0;70.0;50.0;120.0;200.0;50.0;50.0;120.0;;;0.0;0.0;10.0;20.0;0.0;0.0
6;Mannen en vrouwen;0;0;Totaal;15 jaar of jonger;2008/'09;440.0;400.0;;40.0;180.0;50.0;60.0;150.0;160.0;40.0;60.0;150.0;;0.0;0.0;0.0;20.0;20.0;;
7;Mannen en vrouwen;0;0;Totaal;15 jaar of jonger;2009/'10;370.0;340.0;;30.0;150.0;50.0;40.0;130.0;140.0;40.0;40.0;130.0;;0.0;0.0;0.0;10.0;10.0;;0.0
8;Mannen en vrouwen;0;0;Totaal;16 jaar;2006/'07;44110.0;39140.0;80.0;4890.0;3010.0;12680.0;8650.0;19770.0;2460.0;8860.0;8170.0;19650.0;40.0;30.0;;;510.0;3790.0;480.0;120.0
9;Mannen en vrouwen;0;0;Totaal;16 jaar;2007/'08;42270.0;36980.0;30.0;5270.0;2690.0;11930.0;8600.0;19060.0;2120.0;7870.0;8020.0;18960.0;20.0;;;;550.0;4050.0;570.0;100.0
10;Mannen en vrouwen;0;0;Totaal;16 jaar;2008/'09;41170.0;35840.0;30.0;5300.0;2390.0;11620.0;8530.0;18620.0;1870.0;7540.0;7900.0;18530.0;20.0;10.0;0.0;;500.0;4070.0;640.0;100.0
11;Mannen en vrouwen;0;0;Totaal;16 jaar;2009/'10;39380.0;35280.0;30.0;4070.0;2180.0;10480.0;8490.0;18240.0;1830.0;7370.0;7930.0;18150.0;20.0;;;;330.0;3100.0;560.0;90.0
12;Mannen en vrouwen;0;0;Totaal;17 jaar;2006/'07;48400.0;41190.0;120.0;7090.0;3510.0;17750.0;8190.0;18950.0;2730.0;12130.0;7600.0;18740.0;50.0;50.0;10.0;;740.0;5570.0;580.0;200.0
13;Mannen en vrouwen;0;0;Totaal;17 jaar;2007/'08;49970.0;41600.0;50.0;8320.0;3260.0;18550.0;8770.0;19390.0;2410.0;12020.0;8010.0;19160.0;30.0;20.0;;;830.0;6510.0;760.0;230.0
14;Mannen en vrouwen;0;0;Totaal;17 jaar;2008/'09;50550.0;41560.0;60.0;8930.0;3140.0;18770.0;9220.0;19420.0;2230.0;11790.0;8350.0;19190.0;40.0;10.0;;;870.0;6960.0;860.0;230.0
15;Mannen en vrouwen;0;0;Totaal;17 jaar;2009/'10;49230.0;42220.0;50.0;6960.0;2900.0;17780.0;9570.0;18980.0;2220.0;12460.0;8720.0;18820.0;40.0;10.0;;0.0;650.0;5300.0;850.0;160.0
16;Mannen en vrouwen;0;0;Totaal;18 jaar;2006/'07;14020.0;11580.0;80.0;2360.0;1380.0;4830.0;2150.0;5660.0;1020.0;3170.0;1890.0;5510.0;20.0;30.0;20.0;10.0;340.0;1640.0;240.0;140.0
17;Mannen en vrouwen;0;0;Totaal;18 jaar;2007/'08;13580.0;10940.0;60.0;2580.0;1400.0;4690.0;2050.0;5440.0;970.0;2920.0;1760.0;5290.0;20.0;10.0;10.0;10.0;410.0;1760.0;280.0;140.0
18;Mannen en vrouwen;0;0;Totaal;18 jaar;2008/'09;14170.0;11280.0;40.0;2860.0;1260.0;4790.0;2350.0;5770.0;860.0;2820.0;1980.0;5610.0;20.0;;10.0;;380.0;1960.0;360.0;150.0
19;Mannen en vrouwen;0;0;Totaal;18 jaar;2009/'10;13920.0;11630.0;40.0;2250.0;1380.0;4540.0;2340.0;5670.0;1040.0;3020.0;2060.0;5520.0;10.0;;10.0;;330.0;1510.0;260.0;140.0
20;Mannen en vrouwen;0;0;Totaal;19 jaar;2006/'07;4390.0;3290.0;90.0;1000.0;540.0;1320.0;660.0;1860.0;370.0;670.0;500.0;1760.0;20.0;30.0;30.0;20.0;160.0;620.0;140.0;80.0
21;Mannen en vrouwen;0;0;Totaal;19 jaar;2007/'08;3970.0;2920.0;50.0;1000.0;510.0;1090.0;560.0;1810.0;330.0;540.0;380.0;1680.0;20.0;;10.0;10.0;170.0;550.0;170.0;120.0
22;Mannen en vrouwen;0;0;Totaal;19 jaar;2008/'09;3980.0;2890.0;40.0;1040.0;520.0;1020.0;560.0;1870.0;290.0;480.0;360.0;1760.0;10.0;;10.0;10.0;210.0;540.0;190.0;100.0
23;Mannen en vrouwen;0;0;Totaal;19 jaar;2009/'10;4050.0;3090.0;40.0;920.0;540.0;950.0;600.0;1960.0;370.0;500.0;400.0;1830.0;20.0;;;20.0;160.0;440.0;200.0;120.0
24;Mannen en vrouwen;0;0;Totaal;20 jaar;2006/'07;3010.0;1800.0;130.0;1080.0;420.0;1030.0;490.0;1070.0;250.0;370.0;250.0;940.0;20.0;30.0;40.0;30.0;150.0;630.0;200.0;100.0
