ID;SBI93;Perioden;k_0mzet_1;Prijs_2;Volume_3;k_0mzet_4;Prijs_5;Volume_6
0;521 t/m 526 Totale detailhandel;1994 januari;87.0;98.0;89.0;;;
1;521 t/m 526 Totale detailhandel;1994 februari;83.0;99.0;84.0;;;
2;521 t/m 526 Totale detailhandel;1994 maart;99.0;101.0;99.0;;;
3;521 t/m 526 Totale detailhandel;1994 1e kwartaal;90.0;99.0;91.0;;;
4;521 t/m 526 Totale detailhandel;1994 april;100.0;101.0;99.0;;;
5;521 t/m 526 Totale detailhandel;1994 mei;99.0;101.0;99.0;;;
6;521 t/m 526 Totale detailhandel;1994 juni;103.0;100.0;103.0;;;
7;521 t/m 526 Totale detailhandel;1994 2e kwartaal;101.0;101.0;100.0;;;
8;521 t/m 526 Totale detailhandel;1994 juli;98.0;98.0;100.0;;;
9;521 t/m 526 Totale detailhandel;1994 augustus;95.0;99.0;96.0;;;
10;521 t/m 526 Totale detailhandel;1994 september;103.0;101.0;101.0;;;
11;521 t/m 526 Totale detailhandel;1994 3e kwartaal;99.0;99.0;99.0;;;
12;521 t/m 526 Totale detailhandel;1994 oktober;101.0;102.0;99.0;;;
13;521 t/m 526 Totale detailhandel;1994 november;100.0;101.0;99.0;;;
14;521 t/m 526 Totale detailhandel;1994 december;120.0;100.0;120.0;;;
15;521 t/m 526 Totale detailhandel;1994 4e kwartaal;107.0;101.0;106.0;;;
16;521 t/m 526 Totale detailhandel;1994;99.0;100.0;99.0;;;
17;521 t/m 526 Totale detailhandel;1995 januari;89.0;99.0;90.0;;;
18;521 t/m 526 Totale detailhandel;1995 februari;84.0;100.0;84.0;;;
19;521 t/m 526 Totale detailhandel;1995 maart;100.0;101.0;99.0;;;
20;521 t/m 526 Totale detailhandel;1995 1e kwartaal;91.0;100.0;91.0;1.4;0.5;0.9
21;521 t/m 526 Totale detailhandel;1995 april;98.0;101.0;97.0;;;
22;521 t/m 526 Totale detailhandel;1995 mei;103.0;101.0;102.0;;;
23;521 t/m 526 Totale detailhandel;1995 juni;107.0;100.0;107.0;;;
24;521 t/m 526 Totale detailhandel;1995 2e kwartaal;103.0;101.0;102.0;1.6;0.3;1.3
25;521 t/m 526 Totale detailhandel;1995 juli;98.0;98.0;101.0;;;
26;521 t/m 526 Totale detailhandel;1995 augustus;98.0;98.0;99.0;;;
27;521 t/m 526 Totale detailhandel;1995 september;105.0;100.0;105.0;;;
28;521 t/m 526 Totale detailhandel;1995 3e kwartaal;100.0;99.0;102.0;1.6;-0.6;2.2
29;521 t/m 526 Totale detailhandel;1995 oktober;99.0;100.0;99.0;;;
30;521 t/m 526 Totale detailhandel;1995 november;104.0;100.0;103.0;;;
31;521 t/m 526 Totale detailhandel;1995 december;119.0;99.0;119.0;;;
32;521 t/m 526 Totale detailhandel;1995 4e kwartaal;107.0;100.0;107.0;0.0;-0.9;0.9
33;521 t/m 526 Totale detailhandel;1995;100.0;100.0;100.0;1.3;-0.2;1.5
34;521 t/m 526 Totale detailhandel;1996 januari;91.0;99.0;92.0;2.6;-0.1;2.7
35;521 t/m 526 Totale detailhandel;1996 februari;88.0;100.0;88.0;3.9;-0.5;4.3
36;521 t/m 526 Totale detailhandel;1996 maart;100.0;101.0;99.0;0.2;0.1;0.1
37;521 t/m 526 Totale detailhandel;1996 1e kwartaal;93.0;100.0;93.0;1.9;-0.1;2.0
38;521 t/m 526 Totale detailhandel;1996 april;101.0;101.0;100.0;3.8;0.0;3.7
39;521 t/m 526 Totale detailhandel;1996 mei;109.0;100.0;109.0;6.2;0.0;6.2
40;521 t/m 526 Totale detailhandel;1996 juni;106.0;100.0;107.0;0.1;-0.5;0.6
41;521 t/m 526 Totale detailhandel;1996 2e kwartaal;105.0;100.0;105.0;3.7;-0.2;3.8
42;521 t/m 526 Totale detailhandel;1996 juli;102.0;99.0;103.0;4.4;0.0;4.4
43;521 t/m 526 Totale detailhandel;1996 augustus;104.0;99.0;105.0;7.4;-0.6;8.1
44;521 t/m 526 Totale detailhandel;1996 september;101.0;100.0;102.0;-2.9;-0.2;-2.7
45;521 t/m 526 Totale detailhandel;1996 3e kwartaal;102.0;99.0;103.0;2.9;-0.3;3.2
46;521 t/m 526 Totale detailhandel;1996 oktober;108.0;100.0;108.0;9.5;0.3;9.1
47;521 t/m 526 Totale detailhandel;1996 november;107.0;100.0;107.0;4.0;0.1;3.9
48;521 t/m 526 Totale detailhandel;1996 december;118.0;100.0;117.0;-0.4;0.6;-1.1
49;521 t/m 526 Totale detailhandel;1996 4e kwartaal;111.0;100.0;111.0;4.2;0.4;3.8
50;521 t/m 526 Totale detailhandel;1996;103.0;100.0;103.0;3.2;-0.1;3.3
51;521 t/m 526 Totale detailhandel;1997 januari;98.0;100.0;98.0;8.1;0.8;7.3
52;521 t/m 526 Totale detailhandel;1997 februari;90.0;100.0;92.0;2.4;0.3;2.1
53;521 t/m 526 Totale detailhandel;1997 maart;105.0;101.0;104.0;4.4;-0.3;4.7
54;521 t/m 526 Totale detailhandel;1997 1e kwartaal;98.0;100.0;98.0;5.1;0.3;4.8
55;521 t/m 526 Totale detailhandel;1997 april;106.0;101.0;105.0;4.0;-0.4;4.4
56;521 t/m 526 Totale detailhandel;1997 mei;118.0;101.0;117.0;7.9;0.9;7.0
57;521 t/m 526 Totale detailhandel;1997 juni;110.0;101.0;109.0;3.0;1.0;2.0
58;521 t/m 526 Totale detailhandel;1997 2e kwartaal;111.0;101.0;110.0;5.0;0.5;4.5
59;521 t/m 526 Totale detailhandel;1997 juli;111.0;100.0;111.0;8.1;0.9;7.2
60;521 t/m 526 Totale detailhandel;1997 augustus;104.0;100.0;104.0;0.1;1.4;-1.3
61;521 t/m 526 Totale detailhandel;1997 september;111.0;101.0;110.0;9.4;1.7;7.7
62;521 t/m 526 Totale detailhandel;1997 3e kwartaal;109.0;100.0;109.0;5.6;1.3;3.6
63;521 t/m 526 Totale detailhandel;1997 oktober;119.0;101.0;119.0;9.6;1.5;8.1
64;521 t/m 526 Totale detailhandel;1997 november;112.0;102.0;111.0;3.8;2.0;1.8
65;521 t/m 526 Totale detailhandel;1997 december;128.0;102.0;127.0;9.2;1.4;7.8
66;521 t/m 526 Totale detailhandel;1997 4e kwartaal;120.0;102.0;119.0;7.4;1.6;5.8
67;521 t/m 526 Totale detailhandel;1997;109.0;101.0;108.0;5.9;0.9;5.0
68;521 t/m 526 Totale detailhandel;1998 januari;107.0;100.0;107.0;8.8;0.9;7.8
69;521 t/m 526 Totale detailhandel;1998 februari;95.0;101.0;94.0;6.3;2.1;4.1
70;521 t/m 526 Totale detailhandel;1998 maart;107.0;104.0;103.0;2.4;2.4;0.1
71;521 t/m 526 Totale detailhandel;1998 1e kwartaal;103.0;102.0;101.0;5.8;1.8;3.9
72;521 t/m 526 Totale detailhandel;1998 april;115.0;104.0;111.0;9.2;2.5;6.5
73;521 t/m 526 Totale detailhandel;1998 mei;123.0;104.0;118.0;4.6;1.9;2.7
74;521 t/m 526 Totale detailhandel;1998 juni;117.0;103.0;114.0;7.0;2.2;4.7
75;521 t/m 526 Totale detailhandel;1998 2e kwartaal;118.0;104.0;114.0;6.8;2.2;4.5
76;521 t/m 526 Totale detailhandel;1998 juli;121.0;101.0;119.0;9.5;2.4;7.0
77;521 t/m 526 Totale detailhandel;1998 augustus;109.0;101.0;107.0;5.6;2.0;3.5
78;521 t/m 526 Totale detailhandel;1998 september;116.0;104.0;111.0;4.9;1.5;3.3
79;521 t/m 526 Totale detailhandel;1998 3e kwartaal;115.0;102.0;113.0;6.7;2.0;4.6
80;521 t/m 526 Totale detailhandel;1998 oktober;125.0;104.0;121.0;6.3;1.8;4.5
81;521 t/m 526 Totale detailhandel;1998 november;114.0;104.0;110.0;3.1;1.6;1.5
82;521 t/m 526 Totale detailhandel;1998 december;139.0;104.0;134.0;8.4;1.8;6.5
83;521 t/m 526 Totale detailhandel;1998 4e kwartaal;126.0;104.0;121.0;6.1;1.7;4.3
84;521 t/m 526 Totale detailhandel;1998;116.0;103.0;112.0;6.4;1.9;4.3
85;521 t/m 526 Totale detailhandel;1999 januari;106.0;102.0;104.0;-0.2;2.5;-2.6
86;521 t/m 526 Totale detailhandel;1999 februari;99.0;103.0;96.0;3.9;2.1;1.7
87;521 t/m 526 Totale detailhandel;1999 maart;118.0;106.0;111.0;10.0;1.9;8.0
88;521 t/m 526 Totale detailhandel;1999 1e kwartaal;108.0;104.0;104.0;4.6;2.2;2.4
89;521 t/m 526 Totale detailhandel;1999 april;121.0;106.0;115.0;5.5;1.6;3.9
90;521 t/m 526 Totale detailhandel;1999 mei;124.0;106.0;118.0;1.2;1.8;-0.6
91;521 t/m 526 Totale detailhandel;1999 juni;125.0;104.0;120.0;7.4;1.7;5.6
92;521 t/m 526 Totale detailhandel;1999 2e kwartaal;124.0;105.0;118.0;4.7;1.7;2.9
93;521 t/m 526 Totale detailhandel;1999 juli;126.0;102.0;124.0;4.5;1.0;3.5
94;521 t/m 526 Totale detailhandel;1999 augustus;112.0;103.0;108.0;2.4;2.0;0.3
95;521 t/m 526 Totale detailhandel;1999 september;119.0;105.0;114.0;3.2;0.8;2.3
96;521 t/m 526 Totale detailhandel;1999 3e kwartaal;119.0;103.0;115.0;3.4;1.3;2.1
97;521 t/m 526 Totale detailhandel;1999 oktober;126.0;104.0;120.0;0.3;0.5;-0.2
98;521 t/m 526 Totale detailhandel;1999 november;122.0;105.0;117.0;6.9;0.7;6.1
99;521 t/m 526 Totale detailhandel;1999 december;148.0;104.0;142.0;6.8;0.4;6.4
100;521 t/m 526 Totale detailhandel;1999 4e kwartaal;132.0;104.0;126.0;4.7;0.6;4.1
101;521 t/m 526 Totale detailhandel;1999;121.0;104.0;116.0;4.3;1.4;2.9
102;521 t/m 526 Totale detailhandel;2000 januari;109.0;102.0;106.0;2.0;0.2;1.8
103;521 t/m 526 Totale detailhandel;2000 februari;108.0;103.0;105.0;9.4;-0.3;9.7
104;521 t/m 526 Totale detailhandel;2000 maart;125.0;105.0;118.0;5.9;-0.4;6.3
105;521 t/m 526 Totale detailhandel;2000 1e kwartaal;114.0;104.0;110.0;5.7;-0.2;5.9
106;521 t/m 526 Totale detailhandel;2000 april;125.0;106.0;118.0;2.6;0.2;2.4
107;521 t/m 526 Totale detailhandel;2000 mei;131.0;106.0;124.0;5.7;0.5;5.2
108;521 t/m 526 Totale detailhandel;2000 juni;129.0;105.0;123.0;3.0;1.0;2.0
109;521 t/m 526 Totale detailhandel;2000 2e kwartaal;128.0;106.0;121.0;3.8;0.5;3.2
110;521 t/m 526 Totale detailhandel;2000 juli;125.0;103.0;121.0;-1.3;1.1;-2.3
111;521 t/m 526 Totale detailhandel;2000 augustus;123.0;104.0;118.0;10.0;0.7;9.3
112;521 t/m 526 Totale detailhandel;2000 september;130.0;106.0;122.0;8.7;1.5;7.0
113;521 t/m 526 Totale detailhandel;2000 3e kwartaal;126.0;105.0;120.0;5.6;1.1;4.4
114;521 t/m 526 Totale detailhandel;2000 oktober;127.0;107.0;119.0;0.9;2.2;-1.3
115;521 t/m 526 Totale detailhandel;2000 november;133.0;107.0;124.0;8.8;2.2;6.4
116;521 t/m 526 Totale detailhandel;2000 december;154.0;106.0;145.0;3.9;2.3;1.5
117;521 t/m 526 Totale detailhandel;2000 4e kwartaal;138.0;107.0;129.0;4.4;2.2;2.1
118;521 t/m 526 Totale detailhandel;2000;126.0;105.0;120.0;4.8;0.9;3.9
119;521 t/m 525 Detailhandel in winkel;1994 januari;87.0;98.0;89.0;;;
120;521 t/m 525 Detailhandel in winkel;1994 februari;82.0;99.0;83.0;;;
121;521 t/m 525 Detailhandel in winkel;1994 maart;99.0;101.0;98.0;;;
122;521 t/m 525 Detailhandel in winkel;1994 1e kwartaal;89.0;99.0;90.0;;;
123;521 t/m 525 Detailhandel in winkel;1994 april;100.0;101.0;99.0;;;
124;521 t/m 525 Detailhandel in winkel;1994 mei;99.0;101.0;99.0;;;
125;521 t/m 525 Detailhandel in winkel;1994 juni;103.0;100.0;104.0;;;
126;521 t/m 525 Detailhandel in winkel;1994 2e kwartaal;101.0;101.0;101.0;;;
127;521 t/m 525 Detailhandel in winkel;1994 juli;99.0;98.0;101.0;;;
128;521 t/m 525 Detailhandel in winkel;1994 augustus;94.0;99.0;96.0;;;
129;521 t/m 525 Detailhandel in winkel;1994 september;102.0;101.0;101.0;;;
130;521 t/m 525 Detailhandel in winkel;1994 3e kwartaal;98.0;99.0;99.0;;;
131;521 t/m 525 Detailhandel in winkel;1994 oktober;101.0;102.0;99.0;;;
132;521 t/m 525 Detailhandel in winkel;1994 november;100.0;101.0;99.0;;;
133;521 t/m 525 Detailhandel in winkel;1994 december;121.0;100.0;121.0;;;
134;521 t/m 525 Detailhandel in winkel;1994 4e kwartaal;107.0;101.0;106.0;;;
135;521 t/m 525 Detailhandel in winkel;1994;99.0;100.0;99.0;;;
136;521 t/m 525 Detailhandel in winkel;1995 januari;88.0;99.0;89.0;;;
137;521 t/m 525 Detailhandel in winkel;1995 februari;84.0;100.0;84.0;;;
138;521 t/m 525 Detailhandel in winkel;1995 maart;100.0;101.0;99.0;;;
139;521 t/m 525 Detailhandel in winkel;1995 1e kwartaal;91.0;100.0;91.0;1.4;0.5;0.9
140;521 t/m 525 Detailhandel in winkel;1995 april;98.0;101.0;96.0;;;
141;521 t/m 525 Detailhandel in winkel;1995 mei;103.0;101.0;102.0;;;
142;521 t/m 525 Detailhandel in winkel;1995 juni;106.0;100.0;106.0;;;
143;521 t/m 525 Detailhandel in winkel;1995 2e kwartaal;102.0;101.0;101.0;1.2;0.3;1.0
144;521 t/m 525 Detailhandel in winkel;1995 juli;98.0;98.0;100.0;;;
145;521 t/m 525 Detailhandel in winkel;1995 augustus;97.0;98.0;99.0;;;
146;521 t/m 525 Detailhandel in winkel;1995 september;105.0;101.0;104.0;;;
147;521 t/m 525 Detailhandel in winkel;1995 3e kwartaal;100.0;99.0;101.0;1.2;-0.7;1.8
