ID;KenmerkenVanHetHuishouden;Vermogensbestanddelen;Perioden;Aantal_1;Aandeel_2;Totaal_3;Aandeel_4;Gemiddeld_5;k_25ePercentiel_6;k_50ePercentielMediaan_7;k_75ePercentiel_8
0;1;1. Vermogen;2002;6862;100.0;914.0;72.2;133.0;4.0;33.0;161.0
1;1;1. Vermogen;2003;6919;100.0;976.6;71.0;141.0;3.0;37.0;176.0
2;1;1. Vermogen;2004;6948;100.0;980.7;68.6;141.0;3.0;35.0;177.0
3;1;1. Vermogen;2005;6990;100.0;1046.8;67.4;150.0;3.0;39.0;188.0
4;1;1. Vermogen;2006;7063;100.0;1113.6;65.8;158.0;2.0;38.0;195.0
5;1;1. Vermogen;2007;7109;100.0;1223.8;66.1;172.0;3.0;43.0;210.0
6;1;1. Vermogen;2008;7166;100.0;1299.6;65.9;181.0;3.0;47.0;223.0
7;1;1. Vermogen;2009;7242;100.0;1248.5;63.9;172.0;3.0;42.0;215.0
8;1;1. Vermogen;2010;7303;100.0;1213.4;62.2;166.0;2.0;33.0;199.0
9;1;1. Vermogen;2011 voor methodewijziging;7337;100.0;1168.4;61.0;159.0;1.0;30.0;190.0
10;1;1. Vermogen;2011 na methodewijziging;7337;100.0;1191.1;61.5;162.0;1.0;30.0;191.0
11;1;1. Vermogen;2012;7406;100.0;1180.0;60.5;159.0;1.0;27.0;186.0
12;1;1. Vermogen;2013;7458;100.0;1085.0;58.1;145.0;1.0;19.0;160.0
13;1;1. Vermogen;2014;7481;100.0;1189.5;60.3;159.0;1.0;19.0;161.0
14;1;1.1 Bezittingen;2002;6862;100.0;1266.1;100.0;185.0;5.0;100.0;240.0
15;1;1.1 Bezittingen;2003;6919;100.0;1376.0;100.0;199.0;5.0;124.0;260.0
16;1;1.1 Bezittingen;2004;6948;100.0;1429.0;100.0;206.0;5.0;133.0;272.0
17;1;1.1 Bezittingen;2005;6990;100.0;1552.9;100.0;222.0;5.0;148.0;290.0
18;1;1.1 Bezittingen;2006;7063;100.0;1691.1;100.0;239.0;5.0;159.0;305.0
