ID;Behandelingsduur;Jaren;TotaalVerzoekenOmSurseance_1;NatuurlijkePersonen_2;Totaal_3;Eenmanszaken_4;BeslotenVennootschappen_5;VennootschappenOnderFirma_6;OverigeVennootschappen_7
0;1;1996;344;19;325;89;203;18;15
1;1;1997;326;13;313;65;207;29;12
2;2;1996;276;11;265;66;175;13;11
3;2;1997;257;4;253;40;181;22;10
4;3;1996;29;2;27;7;17;3;0
5;3;1997;25;2;23;8;14;1;0
6;4;1996;14;1;13;7;3;1;2
7;4;1997;23;4;19;8;6;3;2
8;5;1996;11;1;10;5;4;1;0
9;5;1997;11;2;9;5;3;1;0
10;6;1996;8;4;4;2;2;0;0
11;6;1997;3;0;3;1;1;1;0
12;7;1996;5;0;5;2;2;0;1
13;7;1997;4;1;3;3;0;0;0
14;8;1996;1;0;1;0;0;0;1
15;8;1997;1;0;1;0;1;0;0
16;9;1996;0;0;0;0;0;0;0
17;9;1997;2;0;2;0;1;1;0
