ID;Woningkenmerken;GebruiksOppervlakteklasse;BewonersklasseWoningen;Percentielen;Perioden;ElektriciteitsleveringenOpenbareNet_1
0;Appartement;Totaal;Totaal;Gemiddelde;2012;1431.6
1;Appartement;Totaal;Totaal;Gemiddelde;2013;1451.6
2;Appartement;Totaal;Totaal;Gemiddelde;2014;1409.0
3;Appartement;Totaal;Totaal;Gemiddelde;2015;1387.3
4;Appartement;Totaal;Totaal;Gemiddelde;2016;1366.2
5;Appartement;Totaal;Totaal;Gemiddelde;2017;1351.1
6;Appartement;Totaal;Totaal;Gemiddelde;2018;1335.0
7;Appartement;Totaal;Totaal;Gemiddelde;2019;1304.7
8;Appartement;Totaal;Totaal;5e percentiel;2012;575.8
9;Appartement;Totaal;Totaal;5e percentiel;2013;589.7
10;Appartement;Totaal;Totaal;5e percentiel;2014;571.0
11;Appartement;Totaal;Totaal;5e percentiel;2015;564.3
12;Appartement;Totaal;Totaal;5e percentiel;2016;553.0
13;Appartement;Totaal;Totaal;5e percentiel;2017;545.0
14;Appartement;Totaal;Totaal;5e percentiel;2018;535.0
15;Appartement;Totaal;Totaal;5e percentiel;2019;523.2
16;Appartement;Totaal;Totaal;25e percentiel;2012;950.0
17;Appartement;Totaal;Totaal;25e percentiel;2013;964.0
18;Appartement;Totaal;Totaal;25e percentiel;2014;934.0
19;Appartement;Totaal;Totaal;25e percentiel;2015;919.7
20;Appartement;Totaal;Totaal;25e percentiel;2016;904.0
21;Appartement;Totaal;Totaal;25e percentiel;2017;893.0
22;Appartement;Totaal;Totaal;25e percentiel;2018;879.0
23;Appartement;Totaal;Totaal;25e percentiel;2019;857.0
24;Appartement;Totaal;Totaal;50e percentiel;2012;1320.0
25;Appartement;Totaal;Totaal;50e percentiel;2013;1339.0
26;Appartement;Totaal;Totaal;50e percentiel;2014;1298.0
27;Appartement;Totaal;Totaal;50e percentiel;2015;1277.0
28;Appartement;Totaal;Totaal;50e percentiel;2016;1259.0
29;Appartement;Totaal;Totaal;50e percentiel;2017;1244.3
30;Appartement;Totaal;Totaal;50e percentiel;2018;1228.0
31;Appartement;Totaal;Totaal;50e percentiel;2019;1197.0
32;Appartement;Totaal;Totaal;75e percentiel;2012;1798.0
33;Appartement;Totaal;Totaal;75e percentiel;2013;1824.0
34;Appartement;Totaal;Totaal;75e percentiel;2014;1771.0
35;Appartement;Totaal;Totaal;75e percentiel;2015;1743.0
36;Appartement;Totaal;Totaal;75e percentiel;2016;1718.0
37;Appartement;Totaal;Totaal;75e percentiel;2017;1699.0
38;Appartement;Totaal;Totaal;75e percentiel;2018;1681.0
39;Appartement;Totaal;Totaal;75e percentiel;2019;1642.0
40;Appartement;Totaal;Totaal;95e percentiel;2012;2702.0
41;Appartement;Totaal;Totaal;95e percentiel;2013;2732.0
42;Appartement;Totaal;Totaal;95e percentiel;2014;2654.0
43;Appartement;Totaal;Totaal;95e percentiel;2015;2611.0
44;Appartement;Totaal;Totaal;95e percentiel;2016;2575.0
45;Appartement;Totaal;Totaal;95e percentiel;2017;2551.0
46;Appartement;Totaal;Totaal;95e percentiel;2018;2533.0
47;Appartement;Totaal;Totaal;95e percentiel;2019;2481.0
48;Appartement;Totaal;1 persoon;Gemiddelde;2012;1718.6
49;Appartement;Totaal;1 persoon;Gemiddelde;2013;1726.2
50;Appartement;Totaal;1 persoon;Gemiddelde;2014;1681.3
51;Appartement;Totaal;1 persoon;Gemiddelde;2015;1657.6
52;Appartement;Totaal;1 persoon;Gemiddelde;2016;1633.3
53;Appartement;Totaal;1 persoon;Gemiddelde;2017;1617.2
54;Appartement;Totaal;1 persoon;Gemiddelde;2018;1597.0
55;Appartement;Totaal;1 persoon;Gemiddelde;2019;1564.0
56;Appartement;Totaal;1 persoon;5e percentiel;2012;816.0
57;Appartement;Totaal;1 persoon;5e percentiel;2013;823.0
58;Appartement;Totaal;1 persoon;5e percentiel;2014;809.0
59;Appartement;Totaal;1 persoon;5e percentiel;2015;803.0
60;Appartement;Totaal;1 persoon;5e percentiel;2016;790.0
61;Appartement;Totaal;1 persoon;5e percentiel;2017;784.0
62;Appartement;Totaal;1 persoon;5e percentiel;2018;768.0
