ID;Sex;Ages;MedicineGroupATC;Periods;PersonsWithDispensedMedicines_1;PersonsWithMedicinesRelative_2;DefinedDailyDosesDDD_3;DefinedDailyDosesDDDRelative_4
0;Total male and female;Total age;Total;2006;11241725.0;67.54;;
1;Total male and female;Total age;Total;2007;11320680.0;67.86;;
2;Total male and female;Total age;Total;2008;11704500.0;69.83;;
3;Total male and female;Total age;Total;2009;11803505.0;70.09;;
4;Total male and female;Total age;Total;2010;11859005.0;70.05;;
5;Total male and female;Total age;Total;2011;11696090.0;68.74;;
6;Total male and female;Total age;Total;2012;11587020.0;67.85;;
7;Total male and female;Total age;Total;2013;11439885.0;66.78;;
8;Total male and female;Total age;Total;2014;11420305.0;66.4;;
9;Total male and female;Total age;Total;2015;11454920.0;66.26;;
10;Total male and female;Total age;Total;2016;11517975.0;66.24;;
11;Total male and female;Total age;Total;2017;11482350.0;65.65;;
12;Total male and female;Total age;Total;2018;11591535.0;65.87;;
13;Total male and female;Total age;Total;2019;11591365.0;65.4;;
14;Total male and female;Total age;Total;2020;11177900.0;62.8;9042636.0;508053.0
15;Total male and female;Total age;Total;2021;11341405.0;63.33;9177238.0;512472.0
16;Total male and female;Total age;Total;2022;11617275.0;63.99;9277338.0;510975.0
17;Total male and female;Total age;Total;2023;11715720.0;64.01;8786468.0;480027.0
18;Total male and female;Total age;A Alimentary tract and metabolism;2006;3127780.0;18.79;;
19;Total male and female;Total age;A Alimentary tract and metabolism;2007;3369155.0;20.2;;
20;Total male and female;Total age;A Alimentary tract and metabolism;2008;3588285.0;21.41;;
21;Total male and female;Total age;A Alimentary tract and metabolism;2009;3812715.0;22.64;;
22;Total male and female;Total age;A Alimentary tract and metabolism;2010;4053230.0;23.94;;
23;Total male and female;Total age;A Alimentary tract and metabolism;2011;4239530.0;24.92;;
24;Total male and female;Total age;A Alimentary tract and metabolism;2012;3567995.0;20.89;;
25;Total male and female;Total age;A Alimentary tract and metabolism;2013;3695510.0;21.57;;
26;Total male and female;Total age;A Alimentary tract and metabolism;2014;3888135.0;22.61;;
27;Total male and female;Total age;A Alimentary tract and metabolism;2015;4056530.0;23.47;;
28;Total male and female;Total age;A Alimentary tract and metabolism;2016;4205595.0;24.19;;
