ID;Geslacht;Arbeidsduur;Persoonskenmerken;Perioden;WerkzameJongeren_1;JongerenInkomenBekend_2;JongerenEconomischZelfstandig_3;JongerenNietEconomischZelfstandig_4;JongerenEconomischZelfstandig_5;JongerenNietEconomischZelfstandig_6;JongerenInkomenOnbekend_7
0;Totaal mannen en vrouwen;Totaal;Totaal;2008;1610;1580;701;878;44.4;55.6;30
1;Totaal mannen en vrouwen;Totaal;Totaal;2009;1583;1545;659;886;42.6;57.4;38
2;Totaal mannen en vrouwen;Totaal;Totaal;2010;1541;1500;613;887;40.9;59.1;41
3;Totaal mannen en vrouwen;Totaal;Totaal;2011;1559;1511;615;895;40.7;59.3;48
4;Totaal mannen en vrouwen;Totaal;Totaal;2012;1571;1524;607;917;39.8;60.2;47
5;Totaal mannen en vrouwen;Totaal;Totaal;2013;1559;1496;570;926;38.1;61.9;63
6;Totaal mannen en vrouwen;Totaal;Migratieachtergrond: Nederland;2008;1304;1284;580;705;45.1;54.9;20
7;Totaal mannen en vrouwen;Totaal;Migratieachtergrond: Nederland;2009;1266;1241;544;697;43.8;56.2;25
8;Totaal mannen en vrouwen;Totaal;Migratieachtergrond: Nederland;2010;1249;1220;515;705;42.2;57.8;29
9;Totaal mannen en vrouwen;Totaal;Migratieachtergrond: Nederland;2011;1271;1237;521;715;42.2;57.8;34
10;Totaal mannen en vrouwen;Totaal;Migratieachtergrond: Nederland;2012;1282;1250;514;736;41.1;58.9;32
11;Totaal mannen en vrouwen;Totaal;Migratieachtergrond: Nederland;2013;1257;1212;485;727;40.0;60.0;45
12;Totaal mannen en vrouwen;Totaal;Migratieachtergrond: met migratieacht...;2008;301;293;121;173;41.1;58.9;7
13;Totaal mannen en vrouwen;Totaal;Migratieachtergrond: met migratieacht...;2009;311;301;114;187;37.8;62.2;10
14;Totaal mannen en vrouwen;Totaal;Migratieachtergrond: met migratieacht...;2010;287;277;96;181;34.8;65.2;10
