ID;Populatie;KenmerkenVanHuishoudens;RegioS;Perioden;ParticuliereHuishoudens_1;ParticuliereHuishoudensRelatief_2;GemiddeldGestandaardiseerdInkomen_3;MediaanGestandaardiseerdInkomen_4;GemiddeldBesteedbaarInkomen_5;MediaanBesteedbaarInkomen_6;GestandaardiseerdInkomen1e10Groep_7;GestandaardiseerdInkomen2e10Groep_8;GestandaardiseerdInkomen3e10Groep_9;GestandaardiseerdInkomen4e10Groep_10;GestandaardiseerdInkomen5e10Groep_11;GestandaardiseerdInkomen6e10Groep_12;GestandaardiseerdInkomen7e10Groep_13;GestandaardiseerdInkomen8e10Groep_14;GestandaardiseerdInkomen9e10Groep_15;GestandaardiseerdInkomen10e10Groep_16
0;Particuliere huishoudens incl. studenten;Particuliere huishoudens;Nederland;2011;7347.5;100;25.6;22.8;36.6;31.3;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0
1;Particuliere huishoudens incl. studenten;Particuliere huishoudens;Nederland;2012;7412.1;100;25.8;23.0;36.8;31.4;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0
2;Particuliere huishoudens incl. studenten;Particuliere huishoudens;Nederland;2013;7467.8;100;25.9;23.2;37.0;31.4;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0
3;Particuliere huishoudens incl. studenten;Particuliere huishoudens;Nederland;2014;7496.4;100;27.3;23.9;39.0;32.2;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0
4;Particuliere huishoudens incl. studenten;Particuliere huishoudens;Nederland;2015;7568.5;100;27.1;24.3;38.6;32.5;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0
5;Particuliere huishoudens incl. studenten;Particuliere huishoudens;Nederland;2016;7623.2;100;28.2;25.2;40.2;33.4;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0
6;Particuliere huishoudens incl. studenten;Particuliere huishoudens;Nederland;2017;7694.9;100;29.2;25.8;41.6;34.1;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0
7;Particuliere huishoudens incl. studenten;Particuliere huishoudens;Nederland;2018;7760.6;100;29.5;26.3;42.5;35.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0
8;Particuliere huishoudens incl. studenten;Particuliere huishoudens;Nederland;2019;7827.4;100;31.6;27.6;45.7;36.7;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0
9;Particuliere huishoudens incl. studenten;Particuliere huishoudens;Nederland;2020;7894.5;100;32.1;28.7;46.4;38.1;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0
10;Particuliere huishoudens incl. studenten;Particuliere huishoudens;Nederland;2021;7951.4;100;33.6;30.0;48.5;39.7;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0
11;Particuliere huishoudens incl. studenten;Particuliere huishoudens;Nederland;2022;8041.4;100;35.6;31.7;51.2;41.7;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0
12;Particuliere huishoudens incl. studenten;Particuliere huishoudens;Nederland;2023;8156.9;100;38.3;34.0;55.0;44.6;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0
13;Particuliere huishoudens incl. studenten;Particuliere huishoudens;Noord-Nederland (LD);2011;763.2;100;23.4;21.3;33.3;29.4;11.0;11.0;12.0;11.0;11.0;10.0;10.0;9.0;8.0;7.0
14;Particuliere huishoudens incl. studenten;Particuliere huishoudens;Noord-Nederland (LD);2012;768.2;100;23.5;21.6;33.4;29.5;11.0;11.0;12.0;11.0;11.0;11.0;10.0;9.0;8.0;7.0
15;Particuliere huishoudens incl. studenten;Particuliere huishoudens;Noord-Nederland (LD);2013;772.8;100;23.7;21.8;33.6;29.5;11.0;11.0;11.0;11.0;11.0;11.0;10.0;9.0;8.0;7.0
16;Particuliere huishoudens incl. studenten;Particuliere huishoudens;Noord-Nederland (LD);2014;774.0;100;24.8;22.4;35.1;30.2;11.0;11.0;11.0;11.0;11.0;10.0;10.0;9.0;8.0;7.0
17;Particuliere huishoudens incl. studenten;Particuliere huishoudens;Noord-Nederland (LD);2015;779.0;100;24.8;22.7;35.0;30.4;11.0;11.0;11.0;11.0;11.0;10.0;10.0;9.0;8.0;7.0
18;Particuliere huishoudens incl. studenten;Particuliere huishoudens;Noord-Nederland (LD);2016;781.3;100;25.8;23.6;36.4;31.3;11.0;11.0;11.0;11.0;11.0;10.0;10.0;9.0;8.0;7.0
19;Particuliere huishoudens incl. studenten;Particuliere huishoudens;Noord-Nederland (LD);2017;786.3;100;26.5;24.1;37.4;31.8;12.0;11.0;11.0;11.0;11.0;11.0;10.0;9.0;8.0;7.0
20;Particuliere huishoudens incl. studenten;Particuliere huishoudens;Noord-Nederland (LD);2018;789.9;100;26.8;24.5;38.4;32.6;12.0;11.0;11.0;11.0;11.0;11.0;10.0;9.0;8.0;7.0
21;Particuliere huishoudens incl. studenten;Particuliere huishoudens;Noord-Nederland (LD);2019;794.3;100;28.3;25.7;40.5;34.0;12.0;11.0;11.0;11.0;11.0;11.0;10.0;9.0;8.0;6.0
22;Particuliere huishoudens incl. studenten;Particuliere huishoudens;Noord-Nederland (LD);2020;799.0;100;29.1;26.8;41.7;35.3;12.0;11.0;11.0;11.0;11.0;11.0;10.0;9.0;8.0;6.0
23;Particuliere huishoudens incl. studenten;Particuliere huishoudens;Noord-Nederland (LD);2021;803.8;100;30.5;28.0;43.6;36.6;12.0;11.0;11.0;11.0;11.0;11.0;10.0;9.0;8.0;6.0
24;Particuliere huishoudens incl. studenten;Particuliere huishoudens;Noord-Nederland (LD);2022;810.8;100;32.2;29.5;45.8;38.4;12.0;11.0;11.0;11.0;11.0;11.0;10.0;9.0;8.0;6.0
