ID;Geslacht;EconomischeActiviteit;Perioden;Oorspronkelijk_1;Seizoengecorrigeerd_2
0;Totaal mannen en vrouwen;1;2001 1e kwartaal;7415.0;7508.0
1;Totaal mannen en vrouwen;1;2001 2e kwartaal;7581.0;7549.0
2;Totaal mannen en vrouwen;1;2001 3e kwartaal;7658.0;7581.0
3;Totaal mannen en vrouwen;1;2001 4e kwartaal;7581.0;7596.0
4;Totaal mannen en vrouwen;1;2002 1e kwartaal;7510.0;7603.0
5;Totaal mannen en vrouwen;1;2002 2e kwartaal;7639.0;7608.0
6;Totaal mannen en vrouwen;1;2002 3e kwartaal;7684.0;7609.0
7;Totaal mannen en vrouwen;1;2002 4e kwartaal;7595.0;7610.0
8;Totaal mannen en vrouwen;1;2003 1e kwartaal;7502.0;7591.0
9;Totaal mannen en vrouwen;1;2003 2e kwartaal;7607.0;7577.0
10;Totaal mannen en vrouwen;1;2003 3e kwartaal;7620.0;7549.0
11;Totaal mannen en vrouwen;1;2003 4e kwartaal;7511.0;7527.0
12;Totaal mannen en vrouwen;1;2004 1e kwartaal;7395.0;7476.0
13;Totaal mannen en vrouwen;1;2004 2e kwartaal;7501.0;7473.0
14;Totaal mannen en vrouwen;1;2004 3e kwartaal;7544.0;7478.0
15;Totaal mannen en vrouwen;1;2004 4e kwartaal;7450.0;7464.0
16;Totaal mannen en vrouwen;1;2005 1e kwartaal;7415.0;7492.0
17;Totaal mannen en vrouwen;1;2005 2e kwartaal;7528.0;7501.0
18;Totaal mannen en vrouwen;1;2005 3e kwartaal;7563.0;7504.0
19;Totaal mannen en vrouwen;1;2005 4e kwartaal;7482.0;7493.0
20;Totaal mannen en vrouwen;1;2006 1e kwartaal;7498.0;7571.0
21;Totaal mannen en vrouwen;1;2006 2e kwartaal;7615.0;7590.0
22;Totaal mannen en vrouwen;1;2006 3e kwartaal;7686.0;7632.0
23;Totaal mannen en vrouwen;1;2006 4e kwartaal;7707.0;7711.0
24;Totaal mannen en vrouwen;1;2007 1e kwartaal;7682.0;7756.0
25;Totaal mannen en vrouwen;1;2007 2e kwartaal;7839.0;7815.0
26;Totaal mannen en vrouwen;1;2007 3e kwartaal;7918.0;7871.0
27;Totaal mannen en vrouwen;1;2007 4e kwartaal;7903.0;7897.0
28;Totaal mannen en vrouwen;1;2008 1e kwartaal;7858.0;7935.0
29;Totaal mannen en vrouwen;1;2008 2e kwartaal;7990.0;7965.0
30;Totaal mannen en vrouwen;1;2008 3e kwartaal;8024.0;7985.0
31;Totaal mannen en vrouwen;1;2008 4e kwartaal;8005.0;7989.0
32;Totaal mannen en vrouwen;1;2009 1e kwartaal;7878.0;7956.0
33;Totaal mannen en vrouwen;1;2009 2e kwartaal;7925.0;7898.0
34;Totaal mannen en vrouwen;1;2009 3e kwartaal;7882.0;7853.0
35;Totaal mannen en vrouwen;1;2009 4e kwartaal;7861.0;7839.0
36;Totaal mannen en vrouwen;1;2010 1e kwartaal;7732.0;7809.0
37;Totaal mannen en vrouwen;1;2010 2e kwartaal;7862.0;7835.0
38;Totaal mannen en vrouwen;1;2010 3e kwartaal;7869.0;7845.0
39;Totaal mannen en vrouwen;1;2010 4e kwartaal;7895.0;7866.0
40;Totaal mannen en vrouwen;1;2011 1e kwartaal;7773.0;7853.0
41;Totaal mannen en vrouwen;2;2001 1e kwartaal;123.0;137.0
42;Totaal mannen en vrouwen;2;2001 2e kwartaal;137.0;136.0
43;Totaal mannen en vrouwen;2;2001 3e kwartaal;152.0;136.0
44;Totaal mannen en vrouwen;2;2001 4e kwartaal;133.0;137.0
45;Totaal mannen en vrouwen;2;2002 1e kwartaal;124.0;138.0
46;Totaal mannen en vrouwen;2;2002 2e kwartaal;139.0;138.0
47;Totaal mannen en vrouwen;2;2002 3e kwartaal;153.0;137.0
48;Totaal mannen en vrouwen;2;2002 4e kwartaal;132.0;135.0
49;Totaal mannen en vrouwen;2;2003 1e kwartaal;120.0;134.0
50;Totaal mannen en vrouwen;2;2003 2e kwartaal;135.0;134.0
51;Totaal mannen en vrouwen;2;2003 3e kwartaal;148.0;133.0
52;Totaal mannen en vrouwen;2;2003 4e kwartaal;128.0;130.0
53;Totaal mannen en vrouwen;2;2004 1e kwartaal;121.0;135.0
54;Totaal mannen en vrouwen;2;2004 2e kwartaal;133.0;133.0
55;Totaal mannen en vrouwen;2;2004 3e kwartaal;149.0;133.0
