ID;Kenmerken;Marges;Perioden;VertrouwenInAndereMensen_1;Kerken_2;Rechters_3;Politie_4;Leger_5;Gezondheidszorg_6;Pers_7;Ambtenaren_8;Politici_9;Gemeenteraad_10;TweedeKamer_11;EuropeseUnie_12;Banken_13;GroteBedrijven_14
0;Totaal;Waarde;2012;58.3;31.0;68.8;67.7;59.3;;30.9;44.3;;;36.3;39.2;41.6;45.25
1;Totaal;Waarde;2013;58.3;28.7;69.0;67.5;61.7;;31.8;40.8;;;31.5;34.3;34.3;40.3
2;Totaal;Waarde;2014;57.9;29.4;68.0;67.9;62.2;;31.3;41.9;;;34.6;36.4;36.6;40.1
3;Totaal;Waarde;2015;59.7;30.3;69.0;68.8;64.8;;30.3;42.3;;;34.4;35.8;35.4;39.17
4;Totaal;Waarde;2016;59.9;30.4;71.5;70.3;64.9;;31.2;42.6;27.5;;36.8;36.0;36.3;37.37
5;Totaal;Waarde;2017;62.2;31.2;72.9;74.5;64.8;;31.9;45.5;31.6;;40.8;43.1;39.9;39.36
6;Totaal;Waarde;2018;61.7;29.5;72.6;74.8;63.5;;36.0;46.6;32.1;;42.0;45.2;42.8;39.65
7;Totaal;Waarde;2019;61.8;28.2;73.6;75.3;66.9;;36.1;46.3;30.0;;40.0;45.7;41.5;37.5
8;Totaal;Waarde;2020;63.0;30.9;77.3;78.1;71.8;;39.3;49.7;39.7;55.1;53.2;48.1;46.6;39.14
9;Totaal;Waarde;2021;66.3;29.2;79.2;79.3;72.0;83.9;45.9;46.2;33.3;;42.3;53.4;48.7;39.24
10;Totaal;Waarde;2022;66.0;29.6;76.6;77.0;63.7;78.3;39.8;42.5;23.8;50.6;30.4;48.7;48.5;35.8
11;Totaal;Waarde;2023;66.7;29.6;77.5;77.4;67.3;74.5;36.6;43.9;23.8;51.5;29.0;47.1;50.0;35.8
12;Totaal;Ondergrens 95%-interval;2012;57.1;29.8;67.7;66.6;58.1;;29.8;43.1;;;35.1;38.0;40.4;44.03
13;Totaal;Ondergrens 95%-interval;2013;57.0;27.5;67.9;66.3;60.4;;30.6;39.6;;;30.3;33.1;33.2;39.08
14;Totaal;Ondergrens 95%-interval;2014;56.7;28.3;66.9;66.8;61.0;;30.2;40.7;;;33.4;35.2;35.4;38.9
15;Totaal;Ondergrens 95%-interval;2015;58.5;29.2;67.9;67.7;63.6;;29.2;41.1;;;33.3;34.7;34.2;37.98
16;Totaal;Ondergrens 95%-interval;2016;58.7;29.2;70.4;69.2;63.8;;30.1;41.4;26.4;;35.7;34.9;35.1;36.17
17;Totaal;Ondergrens 95%-interval;2017;61.0;30.1;71.8;73.5;63.6;;30.8;44.3;30.5;;39.6;41.9;38.7;38.16
18;Totaal;Ondergrens 95%-interval;2018;60.6;28.4;71.5;73.8;62.3;;34.9;45.4;31.0;;40.9;44.0;41.6;38.46
19;Totaal;Ondergrens 95%-interval;2019;60.6;27.0;72.5;74.2;65.7;;34.9;45.0;28.9;;38.8;44.5;40.3;36.29
20;Totaal;Ondergrens 95%-interval;2020;61.8;29.7;76.3;77.1;70.7;;38.2;48.5;38.5;53.8;52.0;46.9;45.4;37.92
21;Totaal;Ondergrens 95%-interval;2021;65.1;28.0;78.1;78.2;70.8;82.9;44.6;44.9;32.1;;41.1;52.0;47.4;37.93
22;Totaal;Ondergrens 95%-interval;2022;64.9;28.5;75.6;76.0;62.5;77.3;38.7;41.3;22.8;49.4;29.3;47.5;47.3;34.65
23;Totaal;Ondergrens 95%-interval;2023;65.6;28.5;76.4;76.4;66.2;73.5;35.5;42.7;22.8;50.3;27.9;45.9;48.8;34.7
24;Totaal;Bovengrens 95%-interval;2012;59.5;32.1;69.9;68.8;60.5;;32.0;45.6;;;37.4;40.4;42.8;46.48
25;Totaal;Bovengrens 95%-interval;2013;59.5;29.8;70.2;68.6;62.9;;33.0;42.1;;;32.6;35.5;35.5;41.54
26;Totaal;Bovengrens 95%-interval;2014;59.1;30.5;69.1;69.0;63.3;;32.4;43.1;;;35.7;37.5;37.8;41.31
27;Totaal;Bovengrens 95%-interval;2015;60.8;31.4;70.1;69.9;65.9;;31.4;43.5;;;35.6;37.0;36.5;40.37
28;Totaal;Bovengrens 95%-interval;2016;61.1;31.5;72.6;71.4;66.1;;32.3;43.9;28.6;;38.0;37.2;37.5;38.59
29;Totaal;Bovengrens 95%-interval;2017;63.3;32.4;73.9;75.6;66.0;;33.0;46.7;32.7;;42.0;44.3;41.1;40.58
30;Totaal;Bovengrens 95%-interval;2018;62.9;30.6;73.7;75.9;64.6;;37.2;47.8;33.2;;43.2;46.4;44.0;40.86
31;Totaal;Bovengrens 95%-interval;2019;63.0;29.3;74.7;76.3;68.0;;37.3;47.5;31.1;;41.2;46.9;42.7;38.72
32;Totaal;Bovengrens 95%-interval;2020;64.2;32.1;78.4;79.1;72.9;;40.6;50.9;40.9;56.3;54.4;49.4;47.8;40.38
33;Totaal;Bovengrens 95%-interval;2021;67.6;30.5;80.3;80.4;73.1;84.8;47.2;47.5;34.6;;43.6;54.7;50.0;40.56
34;Totaal;Bovengrens 95%-interval;2022;67.1;30.7;77.6;77.9;64.8;79.3;41.0;43.7;24.8;51.8;31.5;49.9;49.6;36.97
35;Totaal;Bovengrens 95%-interval;2023;67.8;30.8;78.5;78.4;68.5;75.6;37.8;45.2;24.8;52.8;30.1;48.4;51.2;37.0
36;Geslacht: mannen;Waarde;2012;60.8;29.9;70.4;66.6;60.3;;31.3;44.2;;;37.2;37.2;37.1;45.82
37;Geslacht: mannen;Waarde;2013;60.9;27.1;68.7;64.6;61.2;;31.4;40.5;;;30.8;32.4;32.1;41.95
38;Geslacht: mannen;Waarde;2014;61.6;28.7;68.0;65.6;60.9;;31.6;42.4;;;34.7;34.7;33.0;41.11
39;Geslacht: mannen;Waarde;2015;63.0;28.8;68.7;67.2;62.7;;31.4;42.0;;;34.4;33.9;31.0;39.36
40;Geslacht: mannen;Waarde;2016;62.8;29.2;71.7;70.0;63.6;;32.7;43.6;26.6;;36.8;34.9;34.3;37.47
41;Geslacht: mannen;Waarde;2017;64.8;29.3;72.7;72.6;62.8;;33.9;45.2;30.4;;39.1;40.6;35.9;39.7
42;Geslacht: mannen;Waarde;2018;63.4;28.0;71.6;72.2;61.2;;37.3;46.3;30.0;;41.2;42.1;40.5;39.37
43;Geslacht: mannen;Waarde;2019;63.9;26.9;74.4;74.2;64.9;;38.7;48.0;29.5;;40.5;43.2;38.1;38.47
44;Geslacht: mannen;Waarde;2020;65.7;29.8;77.9;77.5;71.3;;42.6;50.2;38.7;55.4;53.4;45.9;44.1;38.53
45;Geslacht: mannen;Waarde;2021;68.5;28.2;78.7;78.2;71.3;84.6;48.5;46.9;33.2;;42.5;50.4;46.8;39.63
46;Geslacht: mannen;Waarde;2022;68.4;28.7;75.7;75.1;62.0;79.6;42.8;43.9;24.5;50.7;31.1;47.9;47.0;36.96
47;Geslacht: mannen;Waarde;2023;66.5;28.7;76.4;76.1;66.1;75.6;38.6;44.9;24.8;51.2;30.1;46.6;47.7;37.6
48;Geslacht: mannen;Ondergrens 95%-interval;2012;59.1;28.3;68.8;64.9;58.6;;29.7;42.5;;;35.6;35.5;35.5;44.1
49;Geslacht: mannen;Ondergrens 95%-interval;2013;59.1;25.5;67.0;63.0;59.5;;29.8;38.8;;;29.2;30.8;30.5;40.22
50;Geslacht: mannen;Ondergrens 95%-interval;2014;59.9;27.1;66.3;64.0;59.2;;30.0;40.7;;;33.0;33.1;31.4;39.41
51;Geslacht: mannen;Ondergrens 95%-interval;2015;61.3;27.3;67.1;65.5;61.0;;29.9;40.3;;;32.8;32.2;29.4;37.67
52;Geslacht: mannen;Ondergrens 95%-interval;2016;61.1;27.7;70.1;68.4;61.9;;31.1;41.9;25.1;;35.2;33.3;32.7;35.79
53;Geslacht: mannen;Ondergrens 95%-interval;2017;63.1;27.8;71.2;71.1;61.1;;32.3;43.5;28.8;;37.4;38.9;34.2;38.02
54;Geslacht: mannen;Ondergrens 95%-interval;2018;61.7;26.4;70.0;70.7;59.5;;35.7;44.6;28.4;;39.5;40.4;38.9;37.7
55;Geslacht: mannen;Ondergrens 95%-interval;2019;62.2;25.3;72.8;72.6;63.2;;37.0;46.3;27.9;;38.7;41.5;36.4;36.73
56;Geslacht: mannen;Ondergrens 95%-interval;2020;64.0;28.2;76.4;76.0;69.7;;40.9;48.5;37.0;53.7;51.7;44.2;42.4;36.82
57;Geslacht: mannen;Ondergrens 95%-interval;2021;66.8;26.4;77.1;76.6;69.6;83.2;46.6;45.0;31.5;;40.7;48.5;44.9;37.79
58;Geslacht: mannen;Ondergrens 95%-interval;2022;66.9;27.1;74.2;73.6;60.4;78.3;41.2;42.3;23.1;49.0;29.6;46.2;45.3;35.33
59;Geslacht: mannen;Ondergrens 95%-interval;2023;64.9;27.1;74.9;74.6;64.5;74.1;37.0;43.2;23.3;49.5;28.5;44.9;46.1;36.0
60;Geslacht: mannen;Bovengrens 95%-interval;2012;62.4;31.5;71.9;68.2;62.0;;32.9;45.9;;;38.9;38.9;38.8;47.55
61;Geslacht: mannen;Bovengrens 95%-interval;2013;62.6;28.7;70.3;66.3;63.0;;33.1;42.3;;;32.5;34.1;33.8;43.7
62;Geslacht: mannen;Bovengrens 95%-interval;2014;63.3;30.3;69.5;67.2;62.5;;33.2;44.1;;;36.3;36.4;34.6;42.82
63;Geslacht: mannen;Bovengrens 95%-interval;2015;64.6;30.5;70.3;68.8;64.3;;33.0;43.7;;;36.0;35.5;32.6;41.08
64;Geslacht: mannen;Bovengrens 95%-interval;2016;64.4;30.9;73.2;71.5;65.3;;34.4;45.3;28.2;;38.5;36.6;36.0;39.18
65;Geslacht: mannen;Bovengrens 95%-interval;2017;66.4;31.0;74.2;74.1;64.5;;35.5;46.9;32.0;;40.8;42.3;37.5;41.41
66;Geslacht: mannen;Bovengrens 95%-interval;2018;65.0;29.6;73.1;73.7;62.9;;38.9;48.0;31.6;;42.9;43.8;42.2;41.06
67;Geslacht: mannen;Bovengrens 95%-interval;2019;65.6;28.5;75.9;75.7;66.6;;40.5;49.8;31.2;;42.2;45.0;39.9;40.23
68;Geslacht: mannen;Bovengrens 95%-interval;2020;67.3;31.5;79.3;78.9;72.8;;44.3;52.0;40.5;57.1;55.2;47.7;45.9;40.26
69;Geslacht: mannen;Bovengrens 95%-interval;2021;70.3;30.0;80.2;79.7;73.0;86.0;50.4;48.8;35.0;;44.4;52.3;48.6;41.5
70;Geslacht: mannen;Bovengrens 95%-interval;2022;70.0;30.3;77.1;76.5;63.6;80.9;44.5;45.6;26.0;52.4;32.7;49.6;48.7;38.62
71;Geslacht: mannen;Bovengrens 95%-interval;2023;68.1;30.4;77.8;77.6;67.8;77.0;40.3;46.6;26.3;52.9;31.7;48.4;49.4;39.3
72;Geslacht: vrouwen;Waarde;2012;55.8;32.1;67.2;68.8;58.2;;30.5;44.5;;;35.3;41.2;46.1;44.64
73;Geslacht: vrouwen;Waarde;2013;55.7;30.2;69.4;70.3;62.1;;32.1;41.1;;;32.1;36.2;36.6;38.59
74;Geslacht: vrouwen;Waarde;2014;54.3;30.1;68.0;70.2;63.5;;31.0;41.4;;;34.5;38.1;40.2;39.03
75;Geslacht: vrouwen;Waarde;2015;56.4;31.8;69.4;70.4;67.0;;29.1;42.6;;;34.5;37.9;39.8;38.96
76;Geslacht: vrouwen;Waarde;2016;57.1;31.5;71.3;70.6;66.3;;29.6;41.6;28.4;;36.9;37.2;38.3;37.26
77;Geslacht: vrouwen;Waarde;2017;59.6;33.2;73.0;76.4;66.8;;29.8;45.8;32.8;;42.5;45.7;44.1;39.01
78;Geslacht: vrouwen;Waarde;2018;60.1;31.0;73.7;77.4;65.8;;34.8;46.9;34.3;;42.9;48.5;45.1;39.95
79;Geslacht: vrouwen;Waarde;2019;59.8;29.4;72.9;76.3;68.9;;33.4;44.5;30.4;;39.6;48.3;44.9;36.5
80;Geslacht: vrouwen;Waarde;2020;60.4;32.0;76.8;78.7;72.4;;35.9;49.1;40.7;54.7;52.9;50.5;49.1;39.8
81;Geslacht: vrouwen;Waarde;2021;64.1;30.3;79.8;80.5;72.7;83.1;43.2;45.5;33.4;;42.1;56.4;50.8;38.83
82;Geslacht: vrouwen;Waarde;2022;63.6;30.5;77.6;78.8;65.4;77.0;36.7;40.9;23.0;50.6;29.6;49.7;50.0;34.55
83;Geslacht: vrouwen;Waarde;2023;66.9;30.6;78.6;78.7;68.6;73.5;34.5;43.0;22.8;51.9;27.8;47.7;52.4;33.9
84;Geslacht: vrouwen;Ondergrens 95%-interval;2012;54.2;30.5;65.6;67.2;56.5;;29.0;42.8;;;33.7;39.5;44.4;42.91
85;Geslacht: vrouwen;Ondergrens 95%-interval;2013;54.0;28.6;67.7;68.7;60.4;;30.5;39.4;;;30.5;34.5;34.9;36.86
86;Geslacht: vrouwen;Ondergrens 95%-interval;2014;52.6;28.6;66.4;68.6;61.8;;29.4;39.7;;;32.9;36.4;38.6;37.35
87;Geslacht: vrouwen;Ondergrens 95%-interval;2015;54.8;30.2;67.8;68.9;65.3;;27.6;40.9;;;32.9;36.3;38.2;37.29
88;Geslacht: vrouwen;Ondergrens 95%-interval;2016;55.4;29.8;69.7;69.0;64.6;;28.1;39.9;26.8;;35.2;35.5;36.6;35.55
89;Geslacht: vrouwen;Ondergrens 95%-interval;2017;57.9;31.5;71.4;74.9;65.2;;28.3;44.1;31.2;;40.8;44.0;42.3;37.28
90;Geslacht: vrouwen;Ondergrens 95%-interval;2018;58.5;29.4;72.1;76.0;64.1;;33.2;45.2;32.6;;41.2;46.7;43.4;38.24
91;Geslacht: vrouwen;Ondergrens 95%-interval;2019;58.1;27.8;71.3;74.8;67.2;;31.9;42.8;28.9;;37.9;46.5;43.2;34.82
92;Geslacht: vrouwen;Ondergrens 95%-interval;2020;58.7;30.3;75.3;77.3;70.8;;34.3;47.4;39.0;53.0;51.2;48.7;47.4;38.07
93;Geslacht: vrouwen;Ondergrens 95%-interval;2021;62.3;28.5;78.2;78.9;70.9;81.7;41.4;43.6;31.7;;40.3;54.6;48.9;36.99
94;Geslacht: vrouwen;Ondergrens 95%-interval;2022;62.1;28.9;76.2;77.5;63.8;75.6;35.1;39.2;21.6;48.9;28.1;48.0;48.4;32.94
95;Geslacht: vrouwen;Ondergrens 95%-interval;2023;65.3;29.0;77.2;77.3;66.9;72.0;32.9;41.3;21.4;50.2;26.3;45.9;50.7;32.3
96;Geslacht: vrouwen;Bovengrens 95%-interval;2012;57.5;33.8;68.8;70.4;59.9;;32.1;46.2;;;36.9;42.9;47.8;46.39
97;Geslacht: vrouwen;Bovengrens 95%-interval;2013;57.4;31.9;71.0;71.9;63.8;;33.8;42.9;;;33.8;38.0;38.3;40.35
98;Geslacht: vrouwen;Bovengrens 95%-interval;2014;55.9;31.8;69.6;71.7;65.2;;32.6;43.1;;;36.1;39.8;41.9;40.74
99;Geslacht: vrouwen;Bovengrens 95%-interval;2015;58.0;33.4;70.9;71.9;68.5;;30.6;44.2;;;36.1;39.6;41.5;40.65
100;Geslacht: vrouwen;Bovengrens 95%-interval;2016;58.7;33.2;72.8;72.1;68.0;;31.2;43.3;30.0;;38.6;38.9;40.0;39.0
101;Geslacht: vrouwen;Bovengrens 95%-interval;2017;61.3;34.9;74.5;77.9;68.5;;31.4;47.5;34.5;;44.2;47.5;45.8;40.76
102;Geslacht: vrouwen;Bovengrens 95%-interval;2018;61.8;32.6;75.1;78.8;67.4;;36.4;48.7;35.9;;44.6;50.2;46.9;41.69
103;Geslacht: vrouwen;Bovengrens 95%-interval;2019;61.4;31.1;74.4;77.8;70.5;;35.1;46.2;32.0;;41.3;50.0;46.6;38.2
104;Geslacht: vrouwen;Bovengrens 95%-interval;2020;62.0;33.7;78.3;80.1;74.0;;37.6;50.9;42.4;56.5;54.7;52.2;50.9;41.57
105;Geslacht: vrouwen;Bovengrens 95%-interval;2021;65.9;32.1;81.2;81.9;74.3;84.4;45.0;47.3;35.2;;44.0;58.3;52.6;40.69
106;Geslacht: vrouwen;Bovengrens 95%-interval;2022;65.2;32.2;79.0;80.2;67.0;78.3;38.3;42.6;24.4;52.3;31.1;51.4;51.7;36.2
107;Geslacht: vrouwen;Bovengrens 95%-interval;2023;68.4;32.3;79.9;80.0;70.2;74.9;36.1;44.7;24.2;53.6;29.4;49.4;54.1;35.6
108;Leeftijd: 15 tot 25 jaar;Waarde;2012;59.0;37.9;78.6;68.8;74.8;;31.3;55.3;;;46.9;57.3;57.5;64.28
109;Leeftijd: 15 tot 25 jaar;Waarde;2013;60.5;33.3;80.1;69.2;77.1;;30.6;53.4;;;41.3;55.0;49.3;61.11
110;Leeftijd: 15 tot 25 jaar;Waarde;2014;60.4;32.8;79.5;69.9;77.2;;30.1;52.7;;;44.3;56.4;55.1;60.21
111;Leeftijd: 15 tot 25 jaar;Waarde;2015;62.0;31.3;78.5;70.4;74.2;;26.1;51.0;;;43.2;54.5;52.5;57.19
112;Leeftijd: 15 tot 25 jaar;Waarde;2016;60.8;30.9;81.2;73.6;77.3;;26.7;53.2;39.9;;47.3;57.1;57.1;57.22
113;Leeftijd: 15 tot 25 jaar;Waarde;2017;63.4;32.2;83.4;78.9;77.0;;28.0;56.9;47.0;;54.3;66.5;58.5;57.74
114;Leeftijd: 15 tot 25 jaar;Waarde;2018;64.0;35.4;80.3;79.1;76.3;;32.8;58.0;43.5;;55.5;71.5;66.1;58.3
115;Leeftijd: 15 tot 25 jaar;Waarde;2019;60.3;35.7;81.3;80.1;78.5;;31.9;59.6;41.7;;50.8;69.6;62.8;54.72
116;Leeftijd: 15 tot 25 jaar;Waarde;2020;61.5;36.7;85.2;80.9;83.4;;37.1;62.5;54.9;67.6;68.1;73.6;68.7;55.98
117;Leeftijd: 15 tot 25 jaar;Waarde;2021;66.9;35.8;86.8;81.1;84.7;90.3;43.0;63.7;46.5;;52.5;75.9;71.7;52.95
118;Leeftijd: 15 tot 25 jaar;Waarde;2022;61.5;37.0;82.9;78.2;76.1;86.3;36.9;56.8;35.6;67.7;41.2;70.4;69.4;52.22
119;Leeftijd: 15 tot 25 jaar;Waarde;2023;61.3;33.9;81.9;74.0;75.4;82.9;31.7;55.2;31.0;65.5;34.1;66.6;67.8;50.5
120;Leeftijd: 15 tot 25 jaar;Ondergrens 95%-interval;2012;55.7;34.6;75.8;65.7;71.8;;28.3;52.0;;;43.6;54.0;54.2;61.01
121;Leeftijd: 15 tot 25 jaar;Ondergrens 95%-interval;2013;57.2;30.1;77.3;66.1;74.1;;27.6;50.0;;;38.0;51.6;46.0;57.78
122;Leeftijd: 15 tot 25 jaar;Ondergrens 95%-interval;2014;57.2;29.7;76.7;66.8;74.3;;27.2;49.4;;;41.1;53.1;51.8;56.93
123;Leeftijd: 15 tot 25 jaar;Ondergrens 95%-interval;2015;58.7;28.2;75.6;67.3;71.2;;23.3;47.7;;;39.9;51.2;49.1;53.82
124;Leeftijd: 15 tot 25 jaar;Ondergrens 95%-interval;2016;57.6;27.8;78.5;70.6;74.4;;23.9;49.8;36.7;;44.1;53.8;53.9;53.9
125;Leeftijd: 15 tot 25 jaar;Ondergrens 95%-interval;2017;60.2;29.1;80.7;76.0;74.0;;25.1;53.5;43.7;;51.0;63.2;55.1;54.36
126;Leeftijd: 15 tot 25 jaar;Ondergrens 95%-interval;2018;60.8;32.1;77.6;76.3;73.3;;29.8;54.6;40.3;;52.2;68.3;62.9;54.98
127;Leeftijd: 15 tot 25 jaar;Ondergrens 95%-interval;2019;56.8;32.2;78.3;77.0;75.4;;28.7;56.0;38.2;;47.3;66.1;59.3;51.12
