ID;WisselingWerkgever;PositieInWerkkringVoorgaandePeriode;Persoonskenmerken;Perioden;Werknemer_1
0;Totaal;Totaal;Totaal personen;2004;6311.0
1;Totaal;Totaal;Totaal personen;2005;6295.0
2;Totaal;Totaal;Totaal personen;2006;6340.0
3;Totaal;Totaal;Totaal personen;2007;6481.0
4;Totaal;Totaal;Totaal personen;2008;6594.0
5;Totaal;Totaal;Totaal personen;2009;6632.0
6;Totaal;Totaal;Totaal personen;2010;6557.0
7;Totaal;Totaal;Totaal personen;2011;6492.0
8;Totaal;Totaal;Totaal personen;2012;6488.0
9;Totaal;Totaal;Totaal personen;2013;6463.0
10;Totaal;Totaal;Totaal personen;2014;6337.0
11;Totaal;Totaal;Totaal personen;2015;6341.0
12;Totaal;Totaal;Totaal personen;2016;6440.0
13;Totaal;Totaal;Totaal personen;2017;6534.0
14;Totaal;Totaal;Totaal personen;2003 2e kwartaal;6624.0
15;Totaal;Totaal;Totaal personen;2003 3e kwartaal;6630.0
16;Totaal;Totaal;Totaal personen;2003 4e kwartaal;6598.0
17;Totaal;Totaal;Totaal personen;2004 1e kwartaal;6532.0
18;Totaal;Totaal;Totaal personen;2004 2e kwartaal;6533.0
19;Totaal;Totaal;Totaal personen;2004 3e kwartaal;6540.0
20;Totaal;Totaal;Totaal personen;2004 4e kwartaal;6556.0
21;Totaal;Totaal;Totaal personen;2005 1e kwartaal;6537.0
22;Totaal;Totaal;Totaal personen;2005 2e kwartaal;6546.0
23;Totaal;Totaal;Totaal personen;2005 3e kwartaal;6583.0
24;Totaal;Totaal;Totaal personen;2005 4e kwartaal;6602.0
25;Totaal;Totaal;Totaal personen;2006 1e kwartaal;6578.0
26;Totaal;Totaal;Totaal personen;2006 2e kwartaal;6599.0
27;Totaal;Totaal;Totaal personen;2006 3e kwartaal;6626.0
28;Totaal;Totaal;Totaal personen;2006 4e kwartaal;6668.0
29;Totaal;Totaal;Totaal personen;2007 1e kwartaal;6687.0
30;Totaal;Totaal;Totaal personen;2007 2e kwartaal;6742.0
31;Totaal;Totaal;Totaal personen;2007 3e kwartaal;6810.0
32;Totaal;Totaal;Totaal personen;2007 4e kwartaal;6858.0
33;Totaal;Totaal;Totaal personen;2008 1e kwartaal;6847.0
34;Totaal;Totaal;Totaal personen;2008 2e kwartaal;6896.0
35;Totaal;Totaal;Totaal personen;2008 3e kwartaal;6932.0
36;Totaal;Totaal;Totaal personen;2008 4e kwartaal;6923.0
37;Totaal;Totaal;Totaal personen;2009 1e kwartaal;6922.0
38;Totaal;Totaal;Totaal personen;2009 2e kwartaal;6908.0
39;Totaal;Totaal;Totaal personen;2009 3e kwartaal;6886.0
40;Totaal;Totaal;Totaal personen;2009 4e kwartaal;6840.0
41;Totaal;Totaal;Totaal personen;2010 1e kwartaal;6776.0
42;Totaal;Totaal;Totaal personen;2010 2e kwartaal;6762.0
43;Totaal;Totaal;Totaal personen;2010 3e kwartaal;6795.0
44;Totaal;Totaal;Totaal personen;2010 4e kwartaal;6801.0
45;Totaal;Totaal;Totaal personen;2011 1e kwartaal;6780.0
46;Totaal;Totaal;Totaal personen;2011 2e kwartaal;6806.0
47;Totaal;Totaal;Totaal personen;2011 3e kwartaal;6812.0
48;Totaal;Totaal;Totaal personen;2011 4e kwartaal;6804.0
49;Totaal;Totaal;Totaal personen;2012 1e kwartaal;6805.0
50;Totaal;Totaal;Totaal personen;2012 2e kwartaal;6803.0
51;Totaal;Totaal;Totaal personen;2012 3e kwartaal;6818.0
52;Totaal;Totaal;Totaal personen;2012 4e kwartaal;6856.0
53;Totaal;Totaal;Totaal personen;2013 1e kwartaal;6760.0
54;Totaal;Totaal;Totaal personen;2013 2e kwartaal;6745.0
55;Totaal;Totaal;Totaal personen;2013 3e kwartaal;6727.0
56;Totaal;Totaal;Totaal personen;2013 4e kwartaal;6696.0
57;Totaal;Totaal;Totaal personen;2014 1e kwartaal;6636.0
58;Totaal;Totaal;Totaal personen;2014 2e kwartaal;6618.0
59;Totaal;Totaal;Totaal personen;2014 3e kwartaal;6640.0
60;Totaal;Totaal;Totaal personen;2014 4e kwartaal;6677.0
61;Totaal;Totaal;Totaal personen;2015 1e kwartaal;6685.0
62;Totaal;Totaal;Totaal personen;2015 2e kwartaal;6711.0
63;Totaal;Totaal;Totaal personen;2015 3e kwartaal;6723.0
64;Totaal;Totaal;Totaal personen;2015 4e kwartaal;6726.0
65;Totaal;Totaal;Totaal personen;2016 1e kwartaal;6717.0
66;Totaal;Totaal;Totaal personen;2016 2e kwartaal;6770.0
67;Totaal;Totaal;Totaal personen;2016 3e kwartaal;6849.0
68;Totaal;Totaal;Totaal personen;2016 4e kwartaal;6870.0
69;Totaal;Totaal;Totaal personen;2017 1e kwartaal;6873.0
70;Totaal;Totaal;Totaal personen;2017 2e kwartaal;6907.0
71;Totaal;Totaal;Totaal personen;2017 3e kwartaal;6980.0
72;Totaal;Totaal;Totaal personen;2017 4e kwartaal;7035.0
73;Totaal;Totaal;Totaal personen;2018 1e kwartaal;7096.0
74;Totaal;Totaal;Totaal personen;2018 2e kwartaal;7112.0
75;Totaal;Totaal;Totaal personen;2018 3e kwartaal;7140.0
76;Totaal;Totaal;Totaal personen;2018 4e kwartaal;7199.0
77;Totaal;Totaal;Totaal personen;2018;6736.0
78;Totaal;Totaal;Totaal personen;2019 1e kwartaal;7241.0
79;Totaal;Totaal;Totaal personen;2019 2e kwartaal;7286.0
80;Totaal;Totaal;Totaal personen;2019 3e kwartaal;7337.0
81;Totaal;Totaal;Totaal personen;2019 4e kwartaal;7336.0
