ID;Geslacht;PositieInDeEersteWerkkring;PositieInDeTweedeWerkkring;Persoonskenmerken;Perioden;Werknemer_1
0;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2003 1e kwartaal;6753
1;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2003 2e kwartaal;6786
2;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2003 3e kwartaal;6817
3;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2003 4e kwartaal;6774
4;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2003;6783
5;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2004 1e kwartaal;6702
6;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2004 2e kwartaal;6726
7;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2004 3e kwartaal;6770
8;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2004 4e kwartaal;6755
9;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2004;6738
10;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2005 1e kwartaal;6691
11;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2005 2e kwartaal;6749
12;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2005 3e kwartaal;6800
13;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2005 4e kwartaal;6811
14;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2005;6763
15;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2006 1e kwartaal;6767
16;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2006 2e kwartaal;6816
17;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2006 3e kwartaal;6890
18;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2006 4e kwartaal;6913
19;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2006;6847
20;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2007 1e kwartaal;6909
21;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2007 2e kwartaal;7004
22;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2007 3e kwartaal;7076
23;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2007 4e kwartaal;7090
24;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2007;7020
25;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2008 1e kwartaal;7091
26;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2008 2e kwartaal;7166
27;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2008 3e kwartaal;7204
28;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2008 4e kwartaal;7195
29;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2008;7164
30;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2009 1e kwartaal;7171
31;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2009 2e kwartaal;7169
32;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2009 3e kwartaal;7136
33;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2009 4e kwartaal;7060
34;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2009;7134
35;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2010 1e kwartaal;6988
36;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2010 2e kwartaal;7037
37;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2010 3e kwartaal;7063
38;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2010 4e kwartaal;7050
39;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2010;7035
40;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2011 1e kwartaal;6987
41;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2011 2e kwartaal;7027
42;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2011 3e kwartaal;7050
43;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2011 4e kwartaal;7058
44;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2011;7031
45;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2012 1e kwartaal;7010
46;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2012 2e kwartaal;7059
47;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2012 3e kwartaal;7100
48;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2012 4e kwartaal;7057
49;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2012;7057
50;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2013 1e kwartaal;6959
51;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2013 2e kwartaal;6961
52;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2013 3e kwartaal;6949
53;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2013 4e kwartaal;6921
54;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2013;6947
55;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2014 1e kwartaal;6815
56;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2014 2e kwartaal;6836
57;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2014 3e kwartaal;6893
58;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2014 4e kwartaal;6895
59;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2014;6860
60;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2015 1e kwartaal;6867
61;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2015 2e kwartaal;6912
62;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2015 3e kwartaal;6941
63;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2015 4e kwartaal;6917
64;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2015;6909
65;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2016 1e kwartaal;6894
66;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2016 2e kwartaal;7000
67;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2016 3e kwartaal;7058
68;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2016 4e kwartaal;7047
69;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2016;7000
70;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2017 1e kwartaal;7050
71;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2017 2e kwartaal;7132
72;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2017 3e kwartaal;7213
73;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2017 4e kwartaal;7222
74;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2017;7154
75;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2018 1e kwartaal;7212
76;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2018 2e kwartaal;7295
77;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2018 3e kwartaal;7375
78;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2018 4e kwartaal;7406
79;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2018;7322
80;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2019 1e kwartaal;7394
81;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2019 2e kwartaal;7470
82;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2019 3e kwartaal;7528
83;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2019 4e kwartaal;7509
84;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2019;7475
85;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2020 1e kwartaal;7501
86;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2020 2e kwartaal;7355
87;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2020 3e kwartaal;7402
88;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2020 4e kwartaal;7427
89;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2020;7421
90;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2021 1e kwartaal;7699
91;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2021 2e kwartaal;7776
92;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2021 3e kwartaal;7866
93;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2021 4e kwartaal;7900
94;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2021;7810
95;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2022 1e kwartaal;7926
96;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2003 1e kwartaal;740
97;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2003 2e kwartaal;755
98;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2003 3e kwartaal;715
99;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2003 4e kwartaal;749
100;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2003;740
101;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2004 1e kwartaal;738
102;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2004 2e kwartaal;740
103;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2004 3e kwartaal;712
104;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2004 4e kwartaal;762
105;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2004;738
106;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2005 1e kwartaal;760
107;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2005 2e kwartaal;752
108;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2005 3e kwartaal;720
109;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2005 4e kwartaal;762
110;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2005;748
111;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2006 1e kwartaal;753
112;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2006 2e kwartaal;744
113;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2006 3e kwartaal;716
114;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2006 4e kwartaal;762
115;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2006;744
116;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2007 1e kwartaal;762
117;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2007 2e kwartaal;756
118;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2007 3e kwartaal;725
119;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2007 4e kwartaal;773
120;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2007;754
121;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2008 1e kwartaal;766
122;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2008 2e kwartaal;760
123;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2008 3e kwartaal;725
124;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2008 4e kwartaal;758
125;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2008;752
126;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2009 1e kwartaal;772
127;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2009 2e kwartaal;769
128;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2009 3e kwartaal;732
129;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2009 4e kwartaal;777
130;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2009;763
131;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2010 1e kwartaal;780
132;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2010 2e kwartaal;772
133;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2010 3e kwartaal;720
134;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2010 4e kwartaal;748
135;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2010;755
136;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2011 1e kwartaal;754
137;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2011 2e kwartaal;769
138;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2011 3e kwartaal;741
139;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2011 4e kwartaal;786
140;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2011;762
141;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2012 1e kwartaal;790
142;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2012 2e kwartaal;790
143;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2012 3e kwartaal;775
144;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2012 4e kwartaal;815
145;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2012;793
146;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2013 1e kwartaal;803
147;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2013 2e kwartaal;803
148;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2013 3e kwartaal;779
149;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2013 4e kwartaal;827
150;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2013;803
151;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2014 1e kwartaal;820
152;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2014 2e kwartaal;810
153;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2014 3e kwartaal;775
154;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2014 4e kwartaal;825
155;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2014;808
156;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2015 1e kwartaal;840
157;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2015 2e kwartaal;834
158;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2015 3e kwartaal;771
159;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2015 4e kwartaal;794
160;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2015;810
161;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2016 1e kwartaal;793
162;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2016 2e kwartaal;803
163;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2016 3e kwartaal;771
164;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2016 4e kwartaal;791
165;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2016;789
166;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2017 1e kwartaal;809
167;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2017 2e kwartaal;816
168;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2017 3e kwartaal;781
169;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2017 4e kwartaal;816
170;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2017;806
171;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2018 1e kwartaal;816
172;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2018 2e kwartaal;798
173;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2018 3e kwartaal;747
174;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2018 4e kwartaal;796
175;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2018;789
176;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2019 1e kwartaal;803
177;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2019 2e kwartaal;807
178;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2019 3e kwartaal;756
179;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2019 4e kwartaal;786
180;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2019;788
181;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2020 1e kwartaal;788
182;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2020 2e kwartaal;753
