ID;GemeenschappelijkeRegelingenTaakvelden;Perioden;Baten_1;Lasten_2;Saldo_3
0;Totaal gemeensch. regelingen taakvelden;2018;11207;11207;0
1;Totaal gemeensch. regelingen taakvelden;2019;11081;11081;0
2;Totaal gemeensch. regelingen taakvelden;2020;12286;12286;0
3;Totaal gemeensch. regelingen taakvelden;2021;13575;13575;0
4;Totaal bestuur en ondersteuning;2018;2001;2399;-397
5;Totaal bestuur en ondersteuning;2019;1859;2315;-456
6;Totaal bestuur en ondersteuning;2020;1918;2516;-597
7;Totaal bestuur en ondersteuning;2021;2235;2861;-625
8;Bestuur en burgerzaken;2018;268;262;6
9;Bestuur en burgerzaken;2019;179;180;-1
10;Bestuur en burgerzaken;2020;180;178;1
11;Bestuur en burgerzaken;2021;115;118;-3
12;Overhead;2018;1098;1509;-411
13;Overhead;2019;1091;1594;-504
14;Overhead;2020;1197;1708;-512
15;Overhead;2021;1410;2109;-699
16;Belastingen;2018;98;158;-60
17;Belastingen;2019;100;162;-62
18;Belastingen;2020;108;146;-38
19;Belastingen;2021;71;144;-74
20;AU en ov. uitkeringen gemeentefonds;2018;4;1;3
21;AU en ov. uitkeringen gemeentefonds;2019;0;0;0
22;AU en ov. uitkeringen gemeentefonds;2020;0;1;-1
23;AU en ov. uitkeringen gemeentefonds;2021;2;2;0
24;Overig bestuur en ondersteuning;2018;308;117;191
25;Overig bestuur en ondersteuning;2019;293;112;181
26;Overig bestuur en ondersteuning;2020;260;118;142
27;Overig bestuur en ondersteuning;2021;357;143;214
28;Toevoeging/onttrekking reserves;2018;193;179;14
29;Toevoeging/onttrekking reserves;2019;158;138;20
30;Toevoeging/onttrekking reserves;2020;160;171;-10
31;Toevoeging/onttrekking reserves;2021;252;183;69
32;Resultaat van de rekening;2018;33;172;-139
33;Resultaat van de rekening;2019;37;128;-91
34;Resultaat van de rekening;2020;15;194;-179
35;Resultaat van de rekening;2021;28;160;-132
36;Totaal veiligheid;2018;1264;1078;186
37;Totaal veiligheid;2019;1347;1082;265
38;Totaal veiligheid;2020;1392;1126;266
39;Totaal veiligheid;2021;1511;1234;276
40;Veiligheid;2018;1264;1078;186
41;Veiligheid;2019;1347;1082;265
42;Veiligheid;2020;1392;1126;266
43;Veiligheid;2021;1511;1234;276
44;Totaal verkeer, vervoer en waterstaat;2018;1368;1350;17
45;Totaal verkeer, vervoer en waterstaat;2019;1443;1435;7
46;Totaal verkeer, vervoer en waterstaat;2020;1583;1573;11
47;Totaal verkeer, vervoer en waterstaat;2021;1459;1440;19
48;Verkeer en parkeren;2018;325;325;0
49;Verkeer en parkeren;2019;528;485;43
50;Verkeer en parkeren;2020;455;458;-2
51;Verkeer en parkeren;2021;134;343;-209
52;Havens en waterwegen;2018;124;113;11
53;Havens en waterwegen;2019;119;106;13
54;Havens en waterwegen;2020;121;107;14
55;Havens en waterwegen;2021;50;43;7
56;Openbaar vervoer;2018;918;912;6
57;Openbaar vervoer;2019;796;845;-48
58;Openbaar vervoer;2020;1007;1008;-1
59;Openbaar vervoer;2021;1275;1054;220
60;Totaal economie;2018;168;181;-13
61;Totaal economie;2019;185;188;-4
62;Totaal economie;2020;232;223;9
63;Totaal economie;2021;218;210;7
64;Economisch beleid en ondersteuning;2018;82;107;-25
65;Economisch beleid en ondersteuning;2019;95;114;-18
66;Economisch beleid en ondersteuning;2020;104;104;0
67;Economisch beleid en ondersteuning;2021;76;86;-10
68;Fysieke bedrijfsinfrastructuur;2018;85;74;12
69;Fysieke bedrijfsinfrastructuur;2019;89;74;15
70;Fysieke bedrijfsinfrastructuur;2020;128;120;8
71;Fysieke bedrijfsinfrastructuur;2021;142;125;17
72;Totaal onderwijs;2018;55;57;-2
73;Totaal onderwijs;2019;49;51;-2
74;Totaal onderwijs;2020;57;57;0
75;Totaal onderwijs;2021;60;59;1
76;Onderwijs exclusief huisvesting;2018;51;52;-1
77;Onderwijs exclusief huisvesting;2019;47;49;-2
78;Onderwijs exclusief huisvesting;2020;54;54;0
79;Onderwijs exclusief huisvesting;2021;59;56;2
80;Onderwijshuisvesting;2018;5;6;-1
81;Onderwijshuisvesting;2019;1;2;0
82;Onderwijshuisvesting;2020;2;3;0
83;Onderwijshuisvesting;2021;1;2;-1
84;Totaal sport, cultuur en recreatie;2018;137;156;-19
85;Totaal sport, cultuur en recreatie;2019;147;159;-13
86;Totaal sport, cultuur en recreatie;2020;168;157;11
87;Totaal sport, cultuur en recreatie;2021;222;211;11
88;Sportbeleid en activering;2018;1;2;-1
89;Sportbeleid en activering;2019;1;2;-1
90;Sportbeleid en activering;2020;1;1;0
91;Sportbeleid en activering;2021;2;1;0
92;Sportaccommodaties;2018;3;7;-4
93;Sportaccommodaties;2019;4;5;-1
94;Sportaccommodaties;2020;6;6;0
95;Sportaccommodaties;2021;6;6;0
96;Cultuurpresentatie, - productie en - par;2018;1;6;-5
97;Cultuurpresentatie, - productie en - par;2019;1;5;-4
98;Cultuurpresentatie, - productie en - par;2020;2;6;-4
99;Cultuurpresentatie, - productie en - par;2021;6;5;1
100;Musea;2018;73;75;-2
101;Musea;2019;73;74;-2
102;Musea;2020;75;74;1
103;Musea;2021;76;63;13
104;Cultureel erfgoed;2018;1;1;-1
105;Cultureel erfgoed;2019;1;1;-1
106;Cultureel erfgoed;2020;1;1;0
107;Cultureel erfgoed;2021;1;2;-1
108;Media;2018;5;1;3
109;Media;2019;4;1;3
110;Media;2020;5;1;3
111;Media;2021;0;0;0
112;Openbaar groen en (openlucht) recreatie;2018;53;63;-10
113;Openbaar groen en (openlucht) recreatie;2019;63;71;-8
114;Openbaar groen en (openlucht) recreatie;2020;78;67;11
115;Openbaar groen en (openlucht) recreatie;2021;131;134;-3
116;Totaal sociaal domein;2018;4439;4320;119
117;Totaal sociaal domein;2019;4179;4104;75
118;Totaal sociaal domein;2020;4589;4428;161
119;Totaal sociaal domein;2021;4291;4194;97
120;Algemene voorzieningen incl. wijkteams;2018;66;65;0
121;Algemene voorzieningen incl. wijkteams;2019;74;75;-1
122;Algemene voorzieningen incl. wijkteams;2020;93;87;5
123;Algemene voorzieningen incl. wijkteams;2021;104;103;1
124;Inkomensregelingen;2018;1162;1165;-3
125;Inkomensregelingen;2019;1086;1069;17
126;Inkomensregelingen;2020;1336;1318;18
127;Inkomensregelingen;2021;1158;1140;19
128;Participatie;2018;2335;2219;116
129;Participatie;2019;2126;2022;104
130;Participatie;2020;2174;2026;149
131;Participatie;2021;1994;1886;108
132;Maatwerkvoorziening (WMO);2018;27;37;-11
133;Maatwerkvoorziening (WMO);2019;39;34;5
134;Maatwerkvoorziening (WMO);2020;53;30;23
135;Maatwerkvoorziening (WMO);2021;21;27;-6
136;Maatwerkdienstverlening 18+;2018;220;210;10
137;Maatwerkdienstverlening 18+;2019;174;208;-34
138;Maatwerkdienstverlening 18+;2020;194;224;-30
139;Maatwerkdienstverlening 18+;2021;236;301;-66
140;Maatwerkdienstverlening 18-;2018;465;450;15
141;Maatwerkdienstverlening 18-;2019;500;489;12
142;Maatwerkdienstverlening 18-;2020;518;504;14
143;Maatwerkdienstverlening 18-;2021;617;479;138
144;Geëscaleerde zorg 18+;2018;52;51;1
145;Geëscaleerde zorg 18+;2019;40;59;-19
146;Geëscaleerde zorg 18+;2020;59;74;-16
147;Geëscaleerde zorg 18+;2021;46;71;-25
148;Geëscaleerde zorg 18-;2018;113;123;-10
149;Geëscaleerde zorg 18-;2019;141;148;-8
150;Geëscaleerde zorg 18-;2020;163;165;-1
151;Geëscaleerde zorg 18-;2021;115;186;-71
152;Totaal volksgezondheid en milieu;2018;1645;1527;118
153;Totaal volksgezondheid en milieu;2019;1741;1605;137
154;Totaal volksgezondheid en milieu;2020;2211;2067;144
155;Totaal volksgezondheid en milieu;2021;3399;3193;206
156;Volksgezondheid;2018;846;766;81
157;Volksgezondheid;2019;914;814;99
158;Volksgezondheid;2020;1363;1272;91
159;Volksgezondheid;2021;2440;2364;76
160;Riolering;2018;9;11;-2
161;Riolering;2019;8;8;1
162;Riolering;2020;13;12;1
163;Riolering;2021;14;14;1
164;Afval;2018;309;289;21
165;Afval;2019;322;303;19
166;Afval;2020;334;307;27
167;Afval;2021;375;336;39
168;Milieubeheer en begraafplaatsen;2018;480;462;18
169;Milieubeheer en begraafplaatsen;2019;498;480;18
170;Milieubeheer en begraafplaatsen;2020;501;476;25
171;Milieubeheer en begraafplaatsen;2021;569;479;90
172;Totaal volkshuisvesting, RO en sted. ver;2018;130;139;-9
173;Totaal volkshuisvesting, RO en sted. ver;2019;132;142;-9
174;Totaal volkshuisvesting, RO en sted. ver;2020;137;140;-4
175;Totaal volkshuisvesting, RO en sted. ver;2021;181;173;8
176;Grondexploitatie (niet-bedrijventerrei..;2018;57;56;1
177;Grondexploitatie (niet-bedrijventerrei..;2019;56;56;0
178;Grondexploitatie (niet-bedrijventerrei..;2020;34;33;0
179;Grondexploitatie (niet-bedrijventerrei..;2021;44;37;6
180;Ruimtelijke ordening, wonen en bouwen;2018;73;83;-9
181;Ruimtelijke ordening, wonen en bouwen;2019;76;86;-10
182;Ruimtelijke ordening, wonen en bouwen;2020;103;107;-4
183;Ruimtelijke ordening, wonen en bouwen;2021;137;136;1
