ID;Bedrijfsgroep;Positie;Geslacht;KerkelijkeGezindte;Personen_1
0;0;Totaal der klasse of groep;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;7935565.0
1;0;Totaal der klasse of groep;Totaal mannen en vrouwen;Nederduitsch Hervormd;2732333.0
2;0;Totaal der klasse of groep;Totaal mannen en vrouwen;Waalsch Hervormd;6358.0
3;0;Totaal der klasse of groep;Totaal mannen en vrouwen;Remonstrant;29719.0
4;0;Totaal der klasse of groep;Totaal mannen en vrouwen;Christelijk Gereformeerd;50230.0
5;0;Totaal der klasse of groep;Totaal mannen en vrouwen;Doopsgezind;62012.0
6;0;Totaal der klasse of groep;Totaal mannen en vrouwen;Evangelisch Luthersch;78330.0
7;0;Totaal der klasse of groep;Totaal mannen en vrouwen;Hersteld Evangelisch Luthersch;11937.0
8;0;Totaal der klasse of groep;Totaal mannen en vrouwen;Behorend tot de gereformeerde kerken;638372.0
9;0;Totaal der klasse of groep;Totaal mannen en vrouwen;Roomsch-Katholiek;2890022.0
10;0;Totaal der klasse of groep;Totaal mannen en vrouwen;Israëliet;111917.0
11;0;Totaal der klasse of groep;Totaal mannen en vrouwen;Tot een andere kerk. gezindte behorend;179757.0
12;0;Totaal der klasse of groep;Totaal mannen en vrouwen;Tot geen kerkelijke gezindte behorend;1144393.0
13;0;Totaal der klasse of groep;Totaal mannen en vrouwen;Kerkelijke gezindte onbekend;185.0
14;0;Totaal der klasse of groep;Mannen;Totaal alle kerkelijke gezindten;3942676.0
15;0;Totaal der klasse of groep;Mannen;Nederduitsch Hervormd;1343693.0
16;0;Totaal der klasse of groep;Mannen;Waalsch Hervormd;2770.0
17;0;Totaal der klasse of groep;Mannen;Remonstrant;11852.0
18;0;Totaal der klasse of groep;Mannen;Christelijk Gereformeerd;24205.0
19;0;Totaal der klasse of groep;Mannen;Doopsgezind;26838.0
20;0;Totaal der klasse of groep;Mannen;Evangelisch Luthersch;33757.0
21;0;Totaal der klasse of groep;Mannen;Hersteld Evangelisch Luthersch;5228.0
22;0;Totaal der klasse of groep;Mannen;Behorend tot de gereformeerde kerken;311213.0
23;0;Totaal der klasse of groep;Mannen;Roomsch-Katholiek;1431298.0
24;0;Totaal der klasse of groep;Mannen;Israëliet;53685.0
25;0;Totaal der klasse of groep;Mannen;Tot een andere kerk. gezindte behorend;84333.0
26;0;Totaal der klasse of groep;Mannen;Tot geen kerkelijke gezindte behorend;613705.0
27;0;Totaal der klasse of groep;Mannen;Kerkelijke gezindte onbekend;99.0
28;0;Totaal der klasse of groep;Vrouwen;Totaal alle kerkelijke gezindten;3992889.0
29;0;Totaal der klasse of groep;Vrouwen;Nederduitsch Hervormd;1388640.0
30;0;Totaal der klasse of groep;Vrouwen;Waalsch Hervormd;3588.0
31;0;Totaal der klasse of groep;Vrouwen;Remonstrant;17867.0
32;0;Totaal der klasse of groep;Vrouwen;Christelijk Gereformeerd;26025.0
33;0;Totaal der klasse of groep;Vrouwen;Doopsgezind;35174.0
34;0;Totaal der klasse of groep;Vrouwen;Evangelisch Luthersch;44573.0
35;0;Totaal der klasse of groep;Vrouwen;Hersteld Evangelisch Luthersch;6709.0
36;0;Totaal der klasse of groep;Vrouwen;Behorend tot de gereformeerde kerken;327159.0
37;0;Totaal der klasse of groep;Vrouwen;Roomsch-Katholiek;1458724.0
38;0;Totaal der klasse of groep;Vrouwen;Israëliet;58232.0
39;0;Totaal der klasse of groep;Vrouwen;Tot een andere kerk. gezindte behorend;95424.0
40;0;Totaal der klasse of groep;Vrouwen;Tot geen kerkelijke gezindte behorend;530688.0
41;0;Totaal der klasse of groep;Vrouwen;Kerkelijke gezindte onbekend;86.0
42;0;Posities A + B;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;
43;0;Posities A + B;Totaal mannen en vrouwen;Nederduitsch Hervormd;
44;0;Posities A + B;Totaal mannen en vrouwen;Waalsch Hervormd;
45;0;Posities A + B;Totaal mannen en vrouwen;Remonstrant;
46;0;Posities A + B;Totaal mannen en vrouwen;Christelijk Gereformeerd;
47;0;Posities A + B;Totaal mannen en vrouwen;Doopsgezind;
48;0;Posities A + B;Totaal mannen en vrouwen;Evangelisch Luthersch;
49;0;Posities A + B;Totaal mannen en vrouwen;Hersteld Evangelisch Luthersch;
50;0;Posities A + B;Totaal mannen en vrouwen;Behorend tot de gereformeerde kerken;
51;0;Posities A + B;Totaal mannen en vrouwen;Roomsch-Katholiek;
52;0;Posities A + B;Totaal mannen en vrouwen;Israëliet;
53;0;Posities A + B;Totaal mannen en vrouwen;Tot een andere kerk. gezindte behorend;
54;0;Posities A + B;Totaal mannen en vrouwen;Tot geen kerkelijke gezindte behorend;
55;0;Posities A + B;Totaal mannen en vrouwen;Kerkelijke gezindte onbekend;
56;0;Posities A + B;Mannen;Totaal alle kerkelijke gezindten;
57;0;Posities A + B;Mannen;Nederduitsch Hervormd;
58;0;Posities A + B;Mannen;Waalsch Hervormd;
59;0;Posities A + B;Mannen;Remonstrant;
60;0;Posities A + B;Mannen;Christelijk Gereformeerd;
61;0;Posities A + B;Mannen;Doopsgezind;
62;0;Posities A + B;Mannen;Evangelisch Luthersch;
63;0;Posities A + B;Mannen;Hersteld Evangelisch Luthersch;
64;0;Posities A + B;Mannen;Behorend tot de gereformeerde kerken;
65;0;Posities A + B;Mannen;Roomsch-Katholiek;
66;0;Posities A + B;Mannen;Israëliet;
67;0;Posities A + B;Mannen;Tot een andere kerk. gezindte behorend;
68;0;Posities A + B;Mannen;Tot geen kerkelijke gezindte behorend;
69;0;Posities A + B;Mannen;Kerkelijke gezindte onbekend;
70;0;Posities A + B;Vrouwen;Totaal alle kerkelijke gezindten;
71;0;Posities A + B;Vrouwen;Nederduitsch Hervormd;
72;0;Posities A + B;Vrouwen;Waalsch Hervormd;
73;0;Posities A + B;Vrouwen;Remonstrant;
74;0;Posities A + B;Vrouwen;Christelijk Gereformeerd;
75;0;Posities A + B;Vrouwen;Doopsgezind;
76;0;Posities A + B;Vrouwen;Evangelisch Luthersch;
77;0;Posities A + B;Vrouwen;Hersteld Evangelisch Luthersch;
78;0;Posities A + B;Vrouwen;Behorend tot de gereformeerde kerken;
79;0;Posities A + B;Vrouwen;Roomsch-Katholiek;
80;0;Posities A + B;Vrouwen;Israëliet;
81;0;Posities A + B;Vrouwen;Tot een andere kerk. gezindte behorend;
82;0;Posities A + B;Vrouwen;Tot geen kerkelijke gezindte behorend;
83;0;Posities A + B;Vrouwen;Kerkelijke gezindte onbekend;
84;1;Totaal der klasse of groep;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;4749749.0
85;1;Totaal der klasse of groep;Totaal mannen en vrouwen;Nederduitsch Hervormd;1631955.0
86;1;Totaal der klasse of groep;Totaal mannen en vrouwen;Waalsch Hervormd;3966.0
87;1;Totaal der klasse of groep;Totaal mannen en vrouwen;Remonstrant;18405.0
88;1;Totaal der klasse of groep;Totaal mannen en vrouwen;Christelijk Gereformeerd;31494.0
89;1;Totaal der klasse of groep;Totaal mannen en vrouwen;Doopsgezind;38315.0
90;1;Totaal der klasse of groep;Totaal mannen en vrouwen;Evangelisch Luthersch;42643.0
91;1;Totaal der klasse of groep;Totaal mannen en vrouwen;Hersteld Evangelisch Luthersch;6936.0
92;1;Totaal der klasse of groep;Totaal mannen en vrouwen;Behorend tot de gereformeerde kerken;399943.0
93;1;Totaal der klasse of groep;Totaal mannen en vrouwen;Roomsch-Katholiek;1738090.0
94;1;Totaal der klasse of groep;Totaal mannen en vrouwen;Israëliet;62094.0
95;1;Totaal der klasse of groep;Totaal mannen en vrouwen;Tot een andere kerk. gezindte behorend;106636.0
96;1;Totaal der klasse of groep;Totaal mannen en vrouwen;Tot geen kerkelijke gezindte behorend;669142.0
97;1;Totaal der klasse of groep;Totaal mannen en vrouwen;Kerkelijke gezindte onbekend;130.0
98;1;Totaal der klasse of groep;Mannen;Totaal alle kerkelijke gezindten;1524439.0
99;1;Totaal der klasse of groep;Mannen;Nederduitsch Hervormd;489811.0
100;1;Totaal der klasse of groep;Mannen;Waalsch Hervormd;1096.0
101;1;Totaal der klasse of groep;Mannen;Remonstrant;4375.0
102;1;Totaal der klasse of groep;Mannen;Christelijk Gereformeerd;9777.0
103;1;Totaal der klasse of groep;Mannen;Doopsgezind;9377.0
104;1;Totaal der klasse of groep;Mannen;Evangelisch Luthersch;10812.0
105;1;Totaal der klasse of groep;Mannen;Hersteld Evangelisch Luthersch;1795.0
106;1;Totaal der klasse of groep;Mannen;Behorend tot de gereformeerde kerken;126040.0
107;1;Totaal der klasse of groep;Mannen;Roomsch-Katholiek;590722.0
108;1;Totaal der klasse of groep;Mannen;Israëliet;17564.0
109;1;Totaal der klasse of groep;Mannen;Tot een andere kerk. gezindte behorend;32107.0
110;1;Totaal der klasse of groep;Mannen;Tot geen kerkelijke gezindte behorend;230897.0
111;1;Totaal der klasse of groep;Mannen;Kerkelijke gezindte onbekend;66.0
112;1;Totaal der klasse of groep;Vrouwen;Totaal alle kerkelijke gezindten;3225310.0
113;1;Totaal der klasse of groep;Vrouwen;Nederduitsch Hervormd;1142144.0
114;1;Totaal der klasse of groep;Vrouwen;Waalsch Hervormd;2870.0
115;1;Totaal der klasse of groep;Vrouwen;Remonstrant;14030.0
116;1;Totaal der klasse of groep;Vrouwen;Christelijk Gereformeerd;21717.0
117;1;Totaal der klasse of groep;Vrouwen;Doopsgezind;28938.0
118;1;Totaal der klasse of groep;Vrouwen;Evangelisch Luthersch;31831.0
119;1;Totaal der klasse of groep;Vrouwen;Hersteld Evangelisch Luthersch;5141.0
120;1;Totaal der klasse of groep;Vrouwen;Behorend tot de gereformeerde kerken;273903.0
121;1;Totaal der klasse of groep;Vrouwen;Roomsch-Katholiek;1147368.0
122;1;Totaal der klasse of groep;Vrouwen;Israëliet;44530.0
123;1;Totaal der klasse of groep;Vrouwen;Tot een andere kerk. gezindte behorend;74529.0
124;1;Totaal der klasse of groep;Vrouwen;Tot geen kerkelijke gezindte behorend;438245.0
125;1;Totaal der klasse of groep;Vrouwen;Kerkelijke gezindte onbekend;64.0
126;1;Posities A + B;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;
127;1;Posities A + B;Totaal mannen en vrouwen;Nederduitsch Hervormd;
128;1;Posities A + B;Totaal mannen en vrouwen;Waalsch Hervormd;
129;1;Posities A + B;Totaal mannen en vrouwen;Remonstrant;
130;1;Posities A + B;Totaal mannen en vrouwen;Christelijk Gereformeerd;
131;1;Posities A + B;Totaal mannen en vrouwen;Doopsgezind;
132;1;Posities A + B;Totaal mannen en vrouwen;Evangelisch Luthersch;
133;1;Posities A + B;Totaal mannen en vrouwen;Hersteld Evangelisch Luthersch;
134;1;Posities A + B;Totaal mannen en vrouwen;Behorend tot de gereformeerde kerken;
135;1;Posities A + B;Totaal mannen en vrouwen;Roomsch-Katholiek;
136;1;Posities A + B;Totaal mannen en vrouwen;Israëliet;
137;1;Posities A + B;Totaal mannen en vrouwen;Tot een andere kerk. gezindte behorend;
138;1;Posities A + B;Totaal mannen en vrouwen;Tot geen kerkelijke gezindte behorend;
139;1;Posities A + B;Totaal mannen en vrouwen;Kerkelijke gezindte onbekend;
140;1;Posities A + B;Mannen;Totaal alle kerkelijke gezindten;
141;1;Posities A + B;Mannen;Nederduitsch Hervormd;
142;1;Posities A + B;Mannen;Waalsch Hervormd;
143;1;Posities A + B;Mannen;Remonstrant;
144;1;Posities A + B;Mannen;Christelijk Gereformeerd;
145;1;Posities A + B;Mannen;Doopsgezind;
146;1;Posities A + B;Mannen;Evangelisch Luthersch;
147;1;Posities A + B;Mannen;Hersteld Evangelisch Luthersch;
148;1;Posities A + B;Mannen;Behorend tot de gereformeerde kerken;
149;1;Posities A + B;Mannen;Roomsch-Katholiek;
150;1;Posities A + B;Mannen;Israëliet;
151;1;Posities A + B;Mannen;Tot een andere kerk. gezindte behorend;
152;1;Posities A + B;Mannen;Tot geen kerkelijke gezindte behorend;
153;1;Posities A + B;Mannen;Kerkelijke gezindte onbekend;
154;1;Posities A + B;Vrouwen;Totaal alle kerkelijke gezindten;
155;1;Posities A + B;Vrouwen;Nederduitsch Hervormd;
156;1;Posities A + B;Vrouwen;Waalsch Hervormd;
157;1;Posities A + B;Vrouwen;Remonstrant;
158;1;Posities A + B;Vrouwen;Christelijk Gereformeerd;
159;1;Posities A + B;Vrouwen;Doopsgezind;
160;1;Posities A + B;Vrouwen;Evangelisch Luthersch;
161;1;Posities A + B;Vrouwen;Hersteld Evangelisch Luthersch;
162;1;Posities A + B;Vrouwen;Behorend tot de gereformeerde kerken;
163;1;Posities A + B;Vrouwen;Roomsch-Katholiek;
164;1;Posities A + B;Vrouwen;Israëliet;
165;1;Posities A + B;Vrouwen;Tot een andere kerk. gezindte behorend;
166;1;Posities A + B;Vrouwen;Tot geen kerkelijke gezindte behorend;
167;1;Posities A + B;Vrouwen;Kerkelijke gezindte onbekend;
168;2;Totaal der klasse of groep;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;3185816.0
169;2;Totaal der klasse of groep;Totaal mannen en vrouwen;Nederduitsch Hervormd;1100378.0
170;2;Totaal der klasse of groep;Totaal mannen en vrouwen;Waalsch Hervormd;2392.0
171;2;Totaal der klasse of groep;Totaal mannen en vrouwen;Remonstrant;11314.0
172;2;Totaal der klasse of groep;Totaal mannen en vrouwen;Christelijk Gereformeerd;18736.0
173;2;Totaal der klasse of groep;Totaal mannen en vrouwen;Doopsgezind;23697.0
174;2;Totaal der klasse of groep;Totaal mannen en vrouwen;Evangelisch Luthersch;35687.0
175;2;Totaal der klasse of groep;Totaal mannen en vrouwen;Hersteld Evangelisch Luthersch;5001.0
176;2;Totaal der klasse of groep;Totaal mannen en vrouwen;Behorend tot de gereformeerde kerken;238429.0
177;2;Totaal der klasse of groep;Totaal mannen en vrouwen;Roomsch-Katholiek;1151932.0
178;2;Totaal der klasse of groep;Totaal mannen en vrouwen;Israëliet;49823.0
179;2;Totaal der klasse of groep;Totaal mannen en vrouwen;Tot een andere kerk. gezindte behorend;73121.0
