ID;Geslacht;Leeftijd;BurgerlijkeStaat;Herkomstland;Geboorteland;GeboortelandOuders;Perioden;Bevolking_1
0;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal;Totaal;2022;17590672.0
1;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal;Totaal;2023;17811291.0
2;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal;Totaal;2024;17942942.0
3;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal;Twee ouders geboren in Nederland;2022;13151772.0
4;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal;Twee ouders geboren in Nederland;2023;13116438.0
5;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal;Twee ouders geboren in Nederland;2024;13079846.0
6;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal;Eén ouder in NL, één ouder buiten NL;2022;1228104.0
7;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal;Eén ouder in NL, één ouder buiten NL;2023;1240228.0
8;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal;Eén ouder in NL, één ouder buiten NL;2024;1251595.0
9;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal;Twee ouders geboren buiten Nederland;2022;3210796.0
10;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal;Twee ouders geboren buiten Nederland;2023;3454625.0
11;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal;Twee ouders geboren buiten Nederland;2024;3611501.0
12;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Personen geboren in Nederland;Totaal;2022;15039835.0
13;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Personen geboren in Nederland;Totaal;2023;15034341.0
14;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Personen geboren in Nederland;Totaal;2024;15028003.0
15;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Personen geboren in Nederland;Twee ouders geboren in Nederland;2022;13013279.0
16;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Personen geboren in Nederland;Twee ouders geboren in Nederland;2023;12978154.0
