ID;Geslacht;Onderwijssoort;Migratieachtergrond;Generatie;WoonregioSchoolregio;Regiokenmerken;Perioden;Examenkandidaten_1;Gediplomeerden_2;GediplomeerdenRelatief_3
0;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Totaal;Woonregio;Nederland;2005/'06;31633.0;29287.0;93.0
1;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Totaal;Woonregio;Nederland;2006/'07;32961.0;30331.0;92.0
2;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Totaal;Woonregio;Nederland;2007/'08;35150.0;32398.0;92.0
3;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Totaal;Woonregio;Nederland;2008/'09;37434.0;34078.0;91.0
4;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Totaal;Woonregio;Nederland;2009/'10;35385.0;31572.0;89.0
5;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Totaal;Woonregio;Nederland;2010/'11;36763.0;32641.0;89.0
6;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Totaal;Woonregio;Nederland;2011/'12;36755.0;32089.0;87.0
7;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Totaal;Woonregio;Nederland;2012/'13;35733.0;32842.0;92.0
8;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Totaal;Woonregio;Nederland;2013/'14;35450.0;31816.0;90.0
9;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Totaal;Woonregio;Nederland;2014/'15;35946.0;33182.0;92.0
10;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Totaal;Woonregio;Nederland;2015/'16;35844.0;32677.0;91.0
11;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Totaal;Woonregio;Nederland;2016/'17;37899.0;34478.0;91.0
12;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Totaal;Woonregio;Nederland;2017/'18;38488.0;35221.0;92.0
13;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Totaal;Woonregio;Nederland;2018/'19;38690.0;35094.0;91.0
14;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Totaal;Woonregio;Nederland;2019/'20;38871.0;38462.0;99.0
15;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Totaal;Woonregio;Nederland;2020/'21;39149.0;36793.0;94.0
16;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Totaal;Woonregio;Vier grootste gemeenten (G4);2005/'06;3059.0;2717.0;89.0
17;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Totaal;Woonregio;Vier grootste gemeenten (G4);2006/'07;3069.0;2708.0;88.0
18;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Totaal;Woonregio;Vier grootste gemeenten (G4);2007/'08;3260.0;2909.0;89.0
19;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Totaal;Woonregio;Vier grootste gemeenten (G4);2008/'09;3560.0;3143.0;88.0
20;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Totaal;Woonregio;Vier grootste gemeenten (G4);2009/'10;3290.0;2852.0;87.0
21;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Totaal;Woonregio;Vier grootste gemeenten (G4);2010/'11;3411.0;2922.0;86.0
22;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Totaal;Woonregio;Vier grootste gemeenten (G4);2011/'12;3657.0;3101.0;85.0
23;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Totaal;Woonregio;Vier grootste gemeenten (G4);2012/'13;3487.0;3099.0;89.0
24;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Totaal;Woonregio;Vier grootste gemeenten (G4);2013/'14;3684.0;3228.0;88.0
25;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Totaal;Woonregio;Vier grootste gemeenten (G4);2014/'15;3764.0;3433.0;91.0
26;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Totaal;Woonregio;Vier grootste gemeenten (G4);2015/'16;3761.0;3380.0;90.0
27;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Totaal;Woonregio;Vier grootste gemeenten (G4);2016/'17;4217.0;3760.0;89.0
28;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Totaal;Woonregio;Vier grootste gemeenten (G4);2017/'18;4310.0;3883.0;90.0
29;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Totaal;Woonregio;Vier grootste gemeenten (G4);2018/'19;4581.0;4079.0;89.0
30;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Totaal;Woonregio;Vier grootste gemeenten (G4);2019/'20;4755.0;4691.0;99.0
31;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Totaal;Woonregio;Vier grootste gemeenten (G4);2020/'21;5005.0;4598.0;92.0
32;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Totaal;Woonregio;Amsterdam;2005/'06;1067.0;963.0;90.0
33;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Totaal;Woonregio;Amsterdam;2006/'07;1119.0;982.0;88.0
34;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Totaal;Woonregio;Amsterdam;2007/'08;1156.0;1061.0;92.0
35;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Totaal;Woonregio;Amsterdam;2008/'09;1190.0;1071.0;90.0
36;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Totaal;Woonregio;Amsterdam;2009/'10;1183.0;1047.0;89.0
37;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Totaal;Woonregio;Amsterdam;2010/'11;1297.0;1125.0;87.0
38;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Totaal;Woonregio;Amsterdam;2011/'12;1338.0;1140.0;85.0
39;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Totaal;Woonregio;Amsterdam;2012/'13;1355.0;1202.0;89.0
40;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Totaal;Woonregio;Amsterdam;2013/'14;1347.0;1183.0;88.0
41;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Totaal;Woonregio;Amsterdam;2014/'15;1449.0;1305.0;90.0
42;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Totaal;Woonregio;Amsterdam;2015/'16;1499.0;1330.0;89.0
43;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Totaal;Woonregio;Amsterdam;2016/'17;1622.0;1439.0;89.0
44;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Totaal;Woonregio;Amsterdam;2017/'18;1649.0;1470.0;89.0
45;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Totaal;Woonregio;Amsterdam;2018/'19;1671.0;1481.0;89.0
46;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Totaal;Woonregio;Amsterdam;2019/'20;1788.0;1753.0;98.0
47;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Totaal;Woonregio;Amsterdam;2020/'21;1794.0;1626.0;91.0
48;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Totaal;Woonregio;'s-Gravenhage;2005/'06;807.0;717.0;89.0
49;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Totaal;Woonregio;'s-Gravenhage;2006/'07;738.0;644.0;87.0
