ID;Geslacht;Leeftijdsklasse;Herkomstgroepering;Perioden;NederlandseBevolking_1;PersonenMetEenUitkering_2;PersonenMetWAOWajongWAZUitkering_3;PersonenMetEenABWUitkering_4;PersonenMetWWUitkering_5;PersonenMetIOAWIOAZUitkering_6;PersonenMetEenUitkering_7;PersonenMetWAOWajongWAZUitkering_8;PersonenMetEenABWUitkering_9;PersonenMetWWUitkering_10;PersonenMetIOAWIOAZUitkering_11
0;Mannen en vrouwen;15 tot 65 jaar;Totaal herkomstgroeperingen;1999;10766.0;1509.5;891.8;420.3;205.0;42.7;14.0;8.3;3.9;1.9;0.4
1;Mannen en vrouwen;15 tot 65 jaar;Totaal herkomstgroeperingen;2000;10835.0;1479.2;923.2;390.5;174.9;38.4;13.7;8.5;3.6;1.6;0.4
2;Mannen en vrouwen;15 tot 65 jaar;Totaal herkomstgroeperingen;2001;10908.3;1469.7;948.4;375.2;155.6;37.6;13.5;8.7;3.4;1.4;0.3
3;Mannen en vrouwen;15 tot 65 jaar;Totaal herkomstgroeperingen;2002;10962.0;1511.1;960.6;372.5;192.8;35.9;13.8;8.8;3.4;1.8;0.3
4;Mannen en vrouwen;15 tot 65 jaar;Totaal herkomstgroeperingen;2003;10991.2;1582.5;946.4;390.5;272.3;31.3;14.4;8.6;3.6;2.5;0.3
5;Mannen en vrouwen;15 tot 65 jaar;Autochtonen;1999;8820.2;1118.6;737.7;223.3;160.6;34.6;12.7;8.4;2.5;1.8;0.4
6;Mannen en vrouwen;15 tot 65 jaar;Autochtonen;2000;8822.6;1092.9;759.8;201.5;135.7;30.9;12.4;8.6;2.3;1.5;0.4
7;Mannen en vrouwen;15 tot 65 jaar;Autochtonen;2001;8827.5;1080.0;777.3;188.1;118.4;30.4;12.2;8.8;2.1;1.3;0.3
8;Mannen en vrouwen;15 tot 65 jaar;Autochtonen;2002;8828.2;1102.8;784.2;182.8;143.5;29.1;12.5;8.9;2.1;1.6;0.3
9;Mannen en vrouwen;15 tot 65 jaar;Autochtonen;2003;8822.5;1141.0;770.3;188.7;198.6;25.1;12.9;8.7;2.1;2.3;0.3
10;Mannen en vrouwen;15 tot 65 jaar;Allochtonen;1999;1945.9;390.9;154.1;197.0;44.4;8.1;20.1;7.9;10.1;2.3;0.4
11;Mannen en vrouwen;15 tot 65 jaar;Allochtonen;2000;2012.4;386.3;163.4;188.9;39.2;7.5;19.2;8.1;9.4;1.9;0.4
12;Mannen en vrouwen;15 tot 65 jaar;Allochtonen;2001;2080.8;389.7;171.1;187.1;37.2;7.2;18.7;8.2;9.0;1.8;0.3
13;Mannen en vrouwen;15 tot 65 jaar;Allochtonen;2002;2133.8;408.3;176.4;189.8;49.3;6.8;19.1;8.3;8.9;2.3;0.3
14;Mannen en vrouwen;15 tot 65 jaar;Allochtonen;2003;2168.7;441.6;176.1;201.9;73.8;6.2;20.4;8.1;9.3;3.4;0.3
15;Mannen en vrouwen;15 tot 65 jaar;Allochtonen, 1e generatie;1999;1200.8;289.5;96.1;166.9;30.5;5.7;24.1;8.0;13.9;2.5;0.5
16;Mannen en vrouwen;15 tot 65 jaar;Allochtonen, 1e generatie;2000;1252.0;287.5;103.4;161.4;27.2;5.3;23.0;8.3;12.9;2.2;0.4
17;Mannen en vrouwen;15 tot 65 jaar;Allochtonen, 1e generatie;2001;1304.1;290.6;109.3;160.3;25.9;5.0;22.3;8.4;12.3;2.0;0.4
18;Mannen en vrouwen;15 tot 65 jaar;Allochtonen, 1e generatie;2002;1341.1;304.1;113.6;162.3;34.2;4.8;22.7;8.5;12.1;2.5;0.4
19;Mannen en vrouwen;15 tot 65 jaar;Allochtonen, 1e generatie;2003;1359.0;328.3;113.9;171.4;51.1;4.5;24.2;8.4;12.6;3.8;0.3
20;Mannen en vrouwen;15 tot 65 jaar;Allochtonen, 2e generatie;1999;745.0;101.4;58.0;30.1;13.9;2.5;13.6;7.8;4.0;1.9;0.3
21;Mannen en vrouwen;15 tot 65 jaar;Allochtonen, 2e generatie;2000;760.4;98.7;60.0;27.6;12.0;2.2;13.0;7.9;3.6;1.6;0.3
22;Mannen en vrouwen;15 tot 65 jaar;Allochtonen, 2e generatie;2001;776.7;99.1;61.8;26.9;11.3;2.1;12.8;8.0;3.5;1.5;0.3
23;Mannen en vrouwen;15 tot 65 jaar;Allochtonen, 2e generatie;2002;792.8;104.2;62.8;27.4;15.1;2.0;13.1;7.9;3.5;1.9;0.3
24;Mannen en vrouwen;15 tot 65 jaar;Allochtonen, 2e generatie;2003;809.7;113.3;62.2;30.4;22.7;1.7;14.0;7.7;3.8;2.8;0.2
25;Mannen en vrouwen;15 tot 65 jaar;Westerse allochtonen;1999;1000.2;156.1;86.0;48.0;22.9;4.3;15.6;8.6;4.8;2.3;0.4
26;Mannen en vrouwen;15 tot 65 jaar;Westerse allochtonen;2000;1012.2;150.8;88.2;44.0;19.5;3.9;14.9;8.7;4.3;1.9;0.4
27;Mannen en vrouwen;15 tot 65 jaar;Westerse allochtonen;2001;1023.9;148.6;90.0;41.7;17.9;3.8;14.5;8.8;4.1;1.7;0.4
28;Mannen en vrouwen;15 tot 65 jaar;Westerse allochtonen;2002;1027.9;152.8;90.8;41.2;22.5;3.5;14.9;8.8;4.0;2.2;0.3
29;Mannen en vrouwen;15 tot 65 jaar;Westerse allochtonen;2003;1025.9;160.7;89.0;42.9;31.7;3.0;15.7;8.7;4.2;3.1;0.3
30;Mannen en vrouwen;15 tot 65 jaar;Westerse allochtonen, 1e generatie;1999;414.3;67.5;32.1;25.4;10.4;1.9;16.3;7.7;6.1;2.5;0.5
31;Mannen en vrouwen;15 tot 65 jaar;Westerse allochtonen, 1e generatie;2000;427.7;65.3;33.1;23.7;8.9;1.7;15.3;7.7;5.5;2.1;0.4
32;Mannen en vrouwen;15 tot 65 jaar;Westerse allochtonen, 1e generatie;2001;440.7;64.5;34.0;22.6;8.3;1.7;14.6;7.7;5.1;1.9;0.4
33;Mannen en vrouwen;15 tot 65 jaar;Westerse allochtonen, 1e generatie;2002;446.8;66.6;34.6;22.5;10.2;1.6;14.9;7.8;5.0;2.3;0.3
34;Mannen en vrouwen;15 tot 65 jaar;Westerse allochtonen, 1e generatie;2003;447.3;70.7;34.2;23.4;14.4;1.4;15.8;7.6;5.2;3.2;0.3
35;Mannen en vrouwen;15 tot 65 jaar;Westerse allochtonen, 2e generatie;1999;585.8;88.5;53.9;22.6;12.4;2.4;15.1;9.2;3.9;2.1;0.4
36;Mannen en vrouwen;15 tot 65 jaar;Westerse allochtonen, 2e generatie;2000;584.6;85.5;55.1;20.3;10.6;2.2;14.6;9.4;3.5;1.8;0.4
37;Mannen en vrouwen;15 tot 65 jaar;Westerse allochtonen, 2e generatie;2001;583.2;84.2;56.0;19.1;9.6;2.1;14.4;9.6;3.3;1.7;0.4
38;Mannen en vrouwen;15 tot 65 jaar;Westerse allochtonen, 2e generatie;2002;581.0;86.2;56.2;18.7;12.2;2.0;14.8;9.7;3.2;2.1;0.3
39;Mannen en vrouwen;15 tot 65 jaar;Westerse allochtonen, 2e generatie;2003;578.7;90.0;54.8;19.4;17.2;1.7;15.6;9.5;3.4;3.0;0.3
40;Mannen en vrouwen;15 tot 65 jaar;Niet-westerse allochtonen;1999;945.7;234.8;68.1;149.0;21.6;3.8;24.8;7.2;15.8;2.3;0.4
41;Mannen en vrouwen;15 tot 65 jaar;Niet-westerse allochtonen;2000;1000.2;235.5;75.2;144.9;19.7;3.6;23.5;7.5;14.5;2.0;0.4
42;Mannen en vrouwen;15 tot 65 jaar;Niet-westerse allochtonen;2001;1056.9;241.0;81.0;145.4;19.3;3.4;22.8;7.7;13.8;1.8;0.3
43;Mannen en vrouwen;15 tot 65 jaar;Niet-westerse allochtonen;2002;1106.0;255.4;85.6;148.6;26.8;3.3;23.1;7.7;13.4;2.4;0.3
44;Mannen en vrouwen;15 tot 65 jaar;Niet-westerse allochtonen;2003;1142.7;280.8;87.1;159.0;42.1;3.2;24.6;7.6;13.9;3.7;0.3
45;Mannen en vrouwen;15 tot 65 jaar;Niet-westerse allochtonen, 1e generatie;1999;786.4;221.9;64.0;141.5;20.1;3.8;28.2;8.1;18.0;2.6;0.5
46;Mannen en vrouwen;15 tot 65 jaar;Niet-westerse allochtonen, 1e generatie;2000;824.4;222.2;70.3;137.7;18.3;3.6;27.0;8.5;16.7;2.2;0.4
47;Mannen en vrouwen;15 tot 65 jaar;Niet-westerse allochtonen, 1e generatie;2001;863.4;226.1;75.2;137.6;17.6;3.4;26.2;8.7;15.9;2.0;0.4
48;Mannen en vrouwen;15 tot 65 jaar;Niet-westerse allochtonen, 1e generatie;2002;894.2;237.5;78.9;139.8;23.9;3.3;26.6;8.8;15.6;2.7;0.4
49;Mannen en vrouwen;15 tot 65 jaar;Niet-westerse allochtonen, 1e generatie;2003;911.7;257.6;79.7;148.0;36.6;3.1;28.3;8.7;16.2;4.0;0.3
50;Mannen en vrouwen;15 tot 65 jaar;Niet-westerse allochtonen, 2e generatie;1999;159.2;12.8;4.1;7.5;1.5;0.0;8.1;2.6;4.7;0.9;0.0
51;Mannen en vrouwen;15 tot 65 jaar;Niet-westerse allochtonen, 2e generatie;2000;175.8;13.3;4.9;7.3;1.4;0.0;7.6;2.8;4.1;0.8;0.0
52;Mannen en vrouwen;15 tot 65 jaar;Niet-westerse allochtonen, 2e generatie;2001;193.5;14.9;5.8;7.8;1.7;0.0;7.7;3.0;4.0;0.9;0.0
53;Mannen en vrouwen;15 tot 65 jaar;Niet-westerse allochtonen, 2e generatie;2002;211.7;17.9;6.6;8.8;2.9;0.0;8.5;3.1;4.1;1.4;0.0
54;Mannen en vrouwen;15 tot 65 jaar;Niet-westerse allochtonen, 2e generatie;2003;231.0;23.3;7.4;11.0;5.5;0.0;10.1;3.2;4.8;2.4;0.0
55;Mannen en vrouwen;15 tot 65 jaar;Marokkanen;1999;167.8;47.7;15.0;29.6;3.8;1.4;28.4;8.9;17.6;2.3;0.9
56;Mannen en vrouwen;15 tot 65 jaar;Marokkanen;2000;174.8;48.5;16.7;29.0;3.7;1.3;27.7;9.6;16.6;2.1;0.8
57;Mannen en vrouwen;15 tot 65 jaar;Marokkanen;2001;182.2;49.5;17.9;29.1;3.6;1.2;27.2;9.8;15.9;2.0;0.7
58;Mannen en vrouwen;15 tot 65 jaar;Marokkanen;2002;189.6;51.8;18.8;29.4;4.9;1.2;27.3;9.9;15.5;2.6;0.6
59;Mannen en vrouwen;15 tot 65 jaar;Marokkanen;2003;196.6;56.5;19.0;31.3;7.8;1.1;28.7;9.7;15.9;4.0;0.6
60;Mannen en vrouwen;15 tot 65 jaar;Marokkanen, 1e generatie;1999;140.5;45.9;14.5;28.4;3.6;1.4;32.6;10.3;20.2;2.6;1.0
61;Mannen en vrouwen;15 tot 65 jaar;Marokkanen, 1e generatie;2000;143.7;46.4;16.0;27.8;3.5;1.3;32.3;11.2;19.3;2.4;0.9
62;Mannen en vrouwen;15 tot 65 jaar;Marokkanen, 1e generatie;2001;147.0;47.0;17.0;27.6;3.4;1.2;32.0;11.6;18.8;2.3;0.8
63;Mannen en vrouwen;15 tot 65 jaar;Marokkanen, 1e generatie;2002;150.2;48.6;17.7;27.7;4.4;1.2;32.4;11.8;18.4;2.9;0.8
64;Mannen en vrouwen;15 tot 65 jaar;Marokkanen, 1e generatie;2003;152.7;52.1;17.8;29.0;6.8;1.1;34.1;11.7;19.0;4.4;0.7
