ID;InstitutionalInvestors;Periods;TotalInvestments_1;DirectProperty_2;MortgageLoans_3;TotalSharesAndOtherEquity_4;IndirectProperty_5;OtherSharesAndOtherEquity_6;BondsShortTermSecOtherThanShares_7;FinancialDerivatives_8;LongTermLoans_9;OtherInvestments_10;TotalInvestments_11;DirectProperty_12;MortgageLoans_13;TotalSharesAndOtherEquity_14;IndirectProperty_15;OtherSharesAndOtherEquity_16;BondsShortTermSecOtherThanShares_17;FinancialDerivatives_18;LongTermLoans_19;OtherInvestments_20
0;Total institutional investors;1996;527.9;39.8;32.9;148.9;8.1;140.7;153.5;0.8;125.2;26.8;100;7.5;6.2;28.2;1.5;26.7;29.1;0.2;23.7;5.1
1;Total institutional investors;1997;607.0;43.4;34.3;196.5;12.8;183.7;186.8;2.5;116.8;26.7;100;7.1;5.6;32.4;2.1;30.3;30.8;0.4;19.2;4.4
2;Total institutional investors;1998;684.2;47.5;38.5;246.0;15.7;230.3;216.4;4.0;109.4;22.4;100;6.9;5.6;35.9;2.3;33.7;31.6;0.6;16.0;3.3
3;Total institutional investors;1999;795.7;52.8;41.4;351.2;21.7;329.5;223.5;5.0;95.2;26.6;100;6.6;5.2;44.1;2.7;41.4;28.1;0.6;12.0;3.3
4;Total institutional investors;2000;830.1;65.6;45.2;355.5;29.4;326.2;246.9;5.2;78.9;32.7;100;7.9;5.4;42.8;3.5;39.3;29.7;0.6;9.5;3.9
5;Total institutional investors;2001;831.2;72.0;47.3;343.1;29.4;313.7;260.7;5.3;72.4;30.4;100;8.7;5.7;41.3;3.5;37.7;31.4;0.6;8.7;3.7
6;Total institutional investors;2002;779.4;61.7;47.8;277.7;26.7;250.9;281.9;6.9;63.4;40.1;100;7.9;6.1;35.6;3.4;32.2;36.2;0.9;8.1;5.1
7;Total institutional investors;2003;854.9;60.0;44.2;332.0;30.0;302.0;309.0;10.4;59.3;40.0;100;7.0;5.2;38.8;3.5;35.3;36.1;1.2;6.9;4.7
8;Total institutional investors;2004;933.0;59.2;40.3;372.2;36.3;335.9;362.2;12.9;47.3;38.7;100;6.4;4.3;39.9;3.9;36.0;38.8;1.4;5.1;4.1
9;Total institutional investors;2005 1st quarter;956.3;57.3;40.9;393.4;;;371.5;7.0;43.5;42.7;100;6.0;4.3;41.1;;;38.9;0.7;4.6;4.5
10;Total institutional investors;2005 2nd quarter;1007.9;57.7;37.9;426.1;;;396.2;5.1;42.9;42.0;100;5.7;3.8;42.3;;;39.3;0.5;4.3;4.2
11;Total institutional investors;2005 3rd quarter;1041.6;58.4;38.7;450.2;;;400.1;7.8;43.0;43.5;100;5.6;3.7;43.2;;;38.4;0.7;4.1;4.2
12;Total institutional investors;2005 4th quarter;1069.9;60.6;38.4;468.1;45.6;422.4;406.5;6.1;44.6;45.6;100;5.7;3.6;43.7;4.3;39.5;38.0;0.6;4.2;4.3
13;Total institutional investors;2005;1069.9;60.6;38.4;468.1;45.6;422.4;406.5;6.1;44.6;45.6;100;5.7;3.6;43.7;4.3;39.5;38.0;0.6;4.2;4.3
14;Total institutional investors;2006 1st quarter;1116.0;58.7;38.1;495.7;;;410.2;4.8;45.7;62.9;100;5.3;3.4;44.4;;;36.8;0.4;4.1;5.6
15;Total institutional investors;2006 2nd quarter;1090.2;59.9;37.0;466.7;;;413.2;1.7;45.3;66.5;100;5.5;3.4;42.8;;;37.9;0.2;4.2;6.1
16;Total institutional investors;2006 3rd quarter;1134.8;60.4;36.2;493.8;;;431.5;3.7;45.1;64.1;100;5.3;3.2;43.5;;;38.0;0.3;4.0;5.6
17;Total institutional investors;2006 4th quarter;1156.4;61.3;36.3;517.7;60.8;456.8;427.9;8.6;44.0;60.6;100;5.3;3.1;44.8;5.3;39.5;37.0;0.7;3.8;5.2
18;Total institutional investors;2006;1156.4;61.3;36.3;517.7;60.8;456.8;427.9;8.6;44.0;60.6;100;5.3;3.1;44.8;5.3;39.5;37.0;0.7;3.8;5.2
19;Total institutional investors;2007 1st quarter;1179.3;62.5;38.1;527.6;;;439.9;5.5;46.1;59.6;100;5.3;3.2;44.7;;;37.3;0.5;3.9;5.1
20;Total institutional investors;2007 2nd quarter;1174.6;51.4;35.7;550.4;;;436.9;-2.1;45.1;57.2;100;4.4;3.0;46.9;;;37.2;-0.2;3.8;4.9
21;Total institutional investors;2007 3rd quarter;1191.5;52.2;37.2;555.6;;;436.7;6.1;41.5;62.2;100;4.4;3.1;46.6;;;36.7;0.5;3.5;5.2
22;Total institutional investors;2007 4th quarter;1170.3;50.9;36.1;534.6;58.0;476.6;439.9;1.3;42.2;65.2;100;4.3;3.1;45.7;5.0;40.7;37.6;0.1;3.6;5.6
23;Total institutional investors;2007;1170.3;50.9;36.1;534.6;58.0;476.6;439.9;1.3;42.2;65.2;100;4.3;3.1;45.7;5.0;40.7;37.6;0.1;3.6;5.6
24;Total institutional investors;2008 1st quarter;1150.0;51.4;36.7;491.5;;;423.8;17.4;44.8;84.5;100;4.5;3.2;42.7;;;36.8;1.5;3.9;7.3
25;Total institutional investors;2008 2nd quarter;1111.1;50.8;36.5;485.8;;;419.1;5.6;39.5;73.8;100;4.6;3.3;43.7;;;37.7;0.5;3.6;6.6
26;Total institutional investors;2008 3rd quarter;1078.3;50.4;34.9;447.1;;;441.1;1.9;37.8;65.1;100;4.7;3.2;41.5;;;40.9;0.2;3.5;6.0
27;Total institutional investors;2008 4th quarter;1043.9;48.5;34.8;361.2;50.4;310.9;421.7;45.5;38.8;93.4;100;4.6;3.3;34.6;4.8;29.8;40.4;4.4;3.7;8.9
28;Total institutional investors;2008;1043.9;48.5;34.8;361.2;50.4;310.9;421.7;45.5;38.8;93.4;100;4.6;3.3;34.6;4.8;29.8;40.4;4.4;3.7;8.9
