ID;Geslacht;Leeftijd;Onderwijssoort;BedrijfstakkenBranchesSBI2008;StartkwalificatieOpPeilmoment;Peilmoment;Perioden;Schoolverlaters_1;VoortijdigSchoolverlaters_2;SchoolverlatersMetStartkwalificatie_3
0;Totaal schoolverlaters;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;Direct na verlaten onderwijs;2007/'08;85380.0;29290.0;56100.0
1;Totaal schoolverlaters;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;Direct na verlaten onderwijs;2008/'09;76560.0;23610.0;52950.0
2;Totaal schoolverlaters;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;Direct na verlaten onderwijs;2009/'10;77660.0;22510.0;55150.0
3;Totaal schoolverlaters;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;Direct na verlaten onderwijs;2010/'11;77950.0;21410.0;56540.0
4;Totaal schoolverlaters;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;Direct na verlaten onderwijs;2011/'12;77980.0;19200.0;58780.0
5;Totaal schoolverlaters;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;Direct na verlaten onderwijs;2012/'13;69220.0;15650.0;53570.0
6;Totaal schoolverlaters;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;Direct na verlaten onderwijs;2013/'14;67130.0;14470.0;52660.0
7;Totaal schoolverlaters;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;Direct na verlaten onderwijs;2014/'15;75170.0;14660.0;60500.0
8;Totaal schoolverlaters;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;Direct na verlaten onderwijs;2015/'16;75280.0;14910.0;60360.0
9;Totaal schoolverlaters;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;Direct na verlaten onderwijs;2016/'17;80200.0;16570.0;63630.0
10;Totaal schoolverlaters;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;Direct na verlaten onderwijs;2017/'18;82720.0;18750.0;63970.0
11;Totaal schoolverlaters;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;Direct na verlaten onderwijs;2018/'19;86500.0;19840.0;66650.0
12;Totaal schoolverlaters;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;Direct na verlaten onderwijs;2019/'20;76980.0;15540.0;61440.0
13;Totaal schoolverlaters;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;Direct na verlaten onderwijs;2020/'21;83800.0;18470.0;65330.0
