ID;Functions;Financing;Periods;ExpenditureOnHealthAndSocialCare_1
0;Total health, social care and welfare;Total financ schemes health,social care;1998;39380.0
1;Total health, social care and welfare;Total financ schemes health,social care;1999;42394.0
2;Total health, social care and welfare;Total financ schemes health,social care;2000;45361.0
3;Total health, social care and welfare;Total financ schemes health,social care;2001;50767.0
4;Total health, social care and welfare;Total financ schemes health,social care;2002;56663.0
5;Total health, social care and welfare;Total financ schemes health,social care;2003;60888.0
6;Total health, social care and welfare;Total financ schemes health,social care;2004;63003.0
7;Total health, social care and welfare;Total financ schemes health,social care;2005;65424.0
8;Total health, social care and welfare;Total financ schemes health,social care;2006;68495.0
9;Total health, social care and welfare;Total financ schemes health,social care;2007;72713.0
10;Total health, social care and welfare;Total financ schemes health,social care;2008;77705.0
11;Total health, social care and welfare;Total financ schemes health,social care;2009;82298.0
12;Total health, social care and welfare;Total financ schemes health,social care;2010;85790.0
13;Total health, social care and welfare;Total financ schemes health,social care;2011;88125.0
14;Total health, social care and welfare;Total financ schemes health,social care;2012;90622.0
15;Total health, social care and welfare;Total financ schemes health,social care;2013;90954.0
16;Total health, social care and welfare;Total financ schemes health,social care;2014;91927.0
17;Total health, social care and welfare;Total financ schemes health,social care;2015;92323.0
18;Total health, social care and welfare;Total financ schemes health,social care;2016;94842.0
19;Total health, social care and welfare;Total financ schemes health,social care;2017;96972.0
20;Total health, social care and welfare;Total financ schemes health,social care;2018;101031.0
21;Total health, social care and welfare;Total financ schemes health,social care;2019;107429.0
22;Total health, social care and welfare;Total financ schemes health,social care;2020;116306.0
23;Total health, social care and welfare;Total financ schemes health,social care;2021;124691.0
24;Total health, social care and welfare;Total financ schemes health,social care;2022;126197.0
25;Total health, social care and welfare;Total financing of residents;1998;39258.0
26;Total health, social care and welfare;Total financing of residents;1999;42269.0
27;Total health, social care and welfare;Total financing of residents;2000;45232.0
28;Total health, social care and welfare;Total financing of residents;2001;50632.0
29;Total health, social care and welfare;Total financing of residents;2002;56498.0
30;Total health, social care and welfare;Total financing of residents;2003;60730.0
31;Total health, social care and welfare;Total financing of residents;2004;62840.0
32;Total health, social care and welfare;Total financing of residents;2005;65253.0
33;Total health, social care and welfare;Total financing of residents;2006;68330.0
34;Total health, social care and welfare;Total financing of residents;2007;72549.0
35;Total health, social care and welfare;Total financing of residents;2008;77539.0
36;Total health, social care and welfare;Total financing of residents;2009;82116.0
37;Total health, social care and welfare;Total financing of residents;2010;85599.0
38;Total health, social care and welfare;Total financing of residents;2011;87921.0
39;Total health, social care and welfare;Total financing of residents;2012;90410.0
40;Total health, social care and welfare;Total financing of residents;2013;90748.0
41;Total health, social care and welfare;Total financing of residents;2014;91731.0
42;Total health, social care and welfare;Total financing of residents;2015;92115.0
43;Total health, social care and welfare;Total financing of residents;2016;94634.0
44;Total health, social care and welfare;Total financing of residents;2017;96761.0
45;Total health, social care and welfare;Total financing of residents;2018;100813.0
