ID;Geslacht;Arbeidsduur;Persoonskenmerken;PositieInDeWerkkring;Perioden;WerkzameBeroepsbevolking_1;WerkzameBeroepsbevolkingMetInkomen_2;GemiddeldPersoonlijkPrimairInkomen_3;GemiddeldPersoonlijkInkomen_4;GemiddeldGestandaardiseerdInkomen_5;WerkzameBeroepsbevolkingInkOnbekend_6
0;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;2011;8280.0;8132.0;39.7;34.6;29.4;148.0
1;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;2012;8330.0;8166.0;40.0;34.8;29.5;163.0
2;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;2013;8266.0;8010.0;40.8;35.8;30.1;256.0
3;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;2014;8214.0;7900.0;41.7;36.6;31.9;314.0
4;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;2015;8294.0;8039.0;41.4;37.0;31.7;255.0
5;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;2016;8403.0;8051.0;42.4;37.9;33.5;352.0
6;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;2017;8579.0;8052.0;43.3;38.8;34.5;527.0
7;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;2018;8774.0;8297.0;44.2;39.1;34.8;478.0
8;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;2019;8953.0;8455.0;46.0;40.4;38.0;498.0
9;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;2020;8951.0;8342.0;47.7;41.8;39.2;609.0
10;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer;2011;7031.0;6908.0;40.4;34.1;28.9;122.0
11;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer;2012;7057.0;6922.0;40.8;34.4;28.9;134.0
12;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer;2013;6947.0;6738.0;41.9;35.5;29.7;209.0
13;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer;2014;6860.0;6598.0;42.7;36.1;31.1;262.0
14;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer;2015;6909.0;6700.0;42.5;36.7;31.3;209.0
15;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer;2016;7000.0;6712.0;43.1;37.2;32.7;288.0
16;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer;2017;7154.0;6717.0;43.8;37.7;33.7;438.0
17;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer;2018;7322.0;6932.0;44.7;38.3;33.9;390.0
18;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer;2019;7475.0;7067.0;46.6;39.5;36.6;409.0
19;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer;2020;7421.0;6930.0;49.1;41.4;38.1;491.0
20;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer met vaste arbeidsrelatie;2011;5560.0;5479.0;46.3;38.4;29.8;80.0
21;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer met vaste arbeidsrelatie;2012;5501.0;5412.0;47.1;38.8;29.9;88.0
22;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer met vaste arbeidsrelatie;2013;5309.0;5164.0;49.0;40.6;30.8;145.0
23;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer met vaste arbeidsrelatie;2014;5172.0;4989.0;50.3;41.4;32.2;183.0
24;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer met vaste arbeidsrelatie;2015;5143.0;4996.0;50.3;42.6;32.7;146.0
