ID;Geslacht;Leeftijd;Geboortegeneratie;NettoArbeidsparticipatie_1;Deeltijd0Tot12Uur_2;Deeltijd12Tot35Uur_3;Voltijders_4;GemiddeldeArbeidsduur_5;Baan12UurPerWeek_6;Baan12UurPerWeek_7;Baan1UurPerWeek_8;TotaalWerknemers_9;VasteArbeidsrelatie_10;FlexibeleArbeidsrelatie_11;VasteArbeidsrelatie_12;FlexibeleArbeidsrelatie_13;TotaalZelfstandigen_14;MetPersoneel_15;ZonderPersoneel_16;MetPersoneel_17;ZonderPersoneel_18;PersonenMetVoortdurendEenBaan_19;PersonenMetMeerDanEenBaan_20;PersonenMetUitkering_21
0;Totaal mannen en vrouwen;15 jaar;1910 tot 1915;;;;;;;;;;;;;;;;;;;;;
1;Totaal mannen en vrouwen;15 jaar;1915 tot 1920;;;;;;;;;;;;;;;;;;;;;
2;Totaal mannen en vrouwen;15 jaar;1920 tot 1925;;;;;;;;;;;;;;;;;;;;;
3;Totaal mannen en vrouwen;15 jaar;1925 tot 1930;;;;;;;;;;;;;;;;;;;;;
4;Totaal mannen en vrouwen;15 jaar;1930 tot 1935;;;;;;;;;;;;;;;;;;;;;
5;Totaal mannen en vrouwen;15 jaar;1935 tot 1940;;;;;;;;;;;;;;;;;;;;;
6;Totaal mannen en vrouwen;15 jaar;1940 tot 1945;;;;;;;;;;;;;;;;;;;;;
7;Totaal mannen en vrouwen;15 jaar;1945 tot 1950;;;;;;;;;;;;;;;;;;;;;
8;Totaal mannen en vrouwen;15 jaar;1950 tot 1955;;;;;;;;;;;;;;;;;;;;;
9;Totaal mannen en vrouwen;15 jaar;1955 tot 1960;;;;;;;;;;;;;;;;;;;;;
10;Totaal mannen en vrouwen;15 jaar;1960 tot 1965;;;;;;;;;;;;;;;;;;;;;
11;Totaal mannen en vrouwen;15 jaar;1965 tot 1970;;;;;;;;;;;;;;;;;;;;;
12;Totaal mannen en vrouwen;15 jaar;1970 tot 1975;15.2;82.1;9.8;8.2;9.6;;;;83.7;;;;;16.3;;;;;;;
13;Totaal mannen en vrouwen;15 jaar;1975 tot 1980;21.0;90.2;6.2;3.6;7.1;;;;89.6;31.7;58.7;35.1;64.9;10.4;;9.0;;;;;
14;Totaal mannen en vrouwen;15 jaar;1980 tot 1985;29.7;87.0;10.5;2.5;7.5;;;;92.8;26.1;66.7;28.1;71.9;7.2;;6.7;;;;;
15;Totaal mannen en vrouwen;15 jaar;1985 tot 1990;34.0;87.9;10.4;1.7;7.2;;;;93.0;28.2;64.8;30.3;69.7;7.0;1.1;5.9;15.6;84.4;0.0;20.0;0.0
