ID;Geslacht;Leeftijden;TypeZorg;Stedelijkheid;Perioden;AantalInVerslagjaar_1;PercentageInVerslagjaar_2;TotaalUrenInVerslagjaar_3;GemiddeldPerPersoonInVerslagjaar_4;GemiddeldInBevolkingInVerslagjaar_5
0;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Totaal stedelijkheid;2004;608095;4.77;89515;147;7.02
1;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Totaal stedelijkheid;2005;595375;4.66;90493;152;7.08
2;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Totaal stedelijkheid;2006;607575;4.74;95031;156;7.42
3;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Totaal stedelijkheid;2007;610180;4.76;95279;156;7.43
4;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Totaal stedelijkheid;2008;620190;4.79;96447;156;7.44
5;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Totaal stedelijkheid;2009;620890;4.76;99194;160;7.6
6;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Totaal stedelijkheid;2010;629155;4.79;101725;162;7.74
7;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Zeer sterk stedelijk;2004;126365;5.06;18287;145;7.33
8;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Zeer sterk stedelijk;2005;122280;4.93;18380;150;7.41
9;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Zeer sterk stedelijk;2006;123610;4.99;19061;154;7.7
10;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Zeer sterk stedelijk;2007;108280;4.7;16712;154;7.25
11;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Zeer sterk stedelijk;2008;106110;4.53;16287;153;6.96
12;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Zeer sterk stedelijk;2009;111965;4.43;17247;154;6.83
13;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Zeer sterk stedelijk;2010;112595;4.36;18093;161;7.01
14;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Sterk stedelijk;2004;161620;5.45;22769;141;7.68
15;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Sterk stedelijk;2005;160685;5.32;23733;148;7.86
16;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Sterk stedelijk;2006;165850;5.4;25409;153;8.27
17;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Sterk stedelijk;2007;176465;4.83;25944;147;7.1
18;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Sterk stedelijk;2008;182785;4.86;26763;146;7.11
19;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Sterk stedelijk;2009;177960;4.83;26953;151;7.32
