ID;LandVanUiteindelijkeZeggenschap;BedrijfstakkenBranchesSBI2008;Bedrijfsgrootte;Perioden;Patentaanvragers_1;Patentaanvragen_2;AanvragersMetSamenwerkingBuitenland_3;AanvragenMetSamenwerkingBuitenland_4;Patentaanvragers_5;Patentaanvragen_6;AanvragersMetSamenwerkingBuitenland_7;AanvragenMetSamenwerkingBuitenland_8
0;Totaal binnen- en buitenland;A-U Alle economische activiteiten;Totaal werkzame personen;2013;910.0;4130.0;70.0;545.0;1160.0;1490.0;0.0;0.0
1;Totaal binnen- en buitenland;A-U Alle economische activiteiten;Totaal werkzame personen;2014;910.0;4385.0;70.0;440.0;1175.0;1660.0;15.0;15.0
2;Totaal binnen- en buitenland;A-U Alle economische activiteiten;Totaal werkzame personen;2015;925.0;4585.0;70.0;455.0;1135.0;1705.0;10.0;10.0
3;Totaal binnen- en buitenland;A-U Alle economische activiteiten;Totaal werkzame personen;2016;910.0;4195.0;65.0;455.0;1115.0;1615.0;10.0;10.0
4;Totaal binnen- en buitenland;A-U Alle economische activiteiten;Totaal werkzame personen;2017;905.0;4260.0;50.0;365.0;1100.0;1665.0;10.0;10.0
5;Totaal binnen- en buitenland;A-U Alle economische activiteiten;Totaal werkzame personen;2018;900.0;4195.0;80.0;365.0;1075.0;1635.0;15.0;15.0
6;Totaal binnen- en buitenland;A-U Alle economische activiteiten;Totaal werkzame personen;2019;935.0;4270.0;75.0;380.0;1065.0;1720.0;15.0;15.0
7;Totaal binnen- en buitenland;A-U Alle economische activiteiten;Totaal werkzame personen;2020;975.0;4245.0;85.0;485.0;1105.0;1645.0;20.0;20.0
8;Totaal binnen- en buitenland;A-U Alle economische activiteiten;Totaal werkzame personen;2021;830.0;3465.0;60.0;375.0;1100.0;1635.0;20.0;15.0
9;Totaal binnen- en buitenland;A-U Alle economische activiteiten;0 tot 50 werkzame personen;2013;305.0;560.0;15.0;50.0;570.0;720.0;0.0;0.0
10;Totaal binnen- en buitenland;A-U Alle economische activiteiten;0 tot 50 werkzame personen;2014;360.0;615.0;15.0;40.0;580.0;715.0;10.0;10.0
11;Totaal binnen- en buitenland;A-U Alle economische activiteiten;0 tot 50 werkzame personen;2015;350.0;540.0;20.0;35.0;580.0;700.0;5.0;5.0
12;Totaal binnen- en buitenland;A-U Alle economische activiteiten;0 tot 50 werkzame personen;2016;370.0;545.0;15.0;20.0;570.0;695.0;5.0;5.0
13;Totaal binnen- en buitenland;A-U Alle economische activiteiten;0 tot 50 werkzame personen;2017;365.0;615.0;5.0;20.0;495.0;635.0;5.0;5.0
14;Totaal binnen- en buitenland;A-U Alle economische activiteiten;0 tot 50 werkzame personen;2018;355.0;480.0;15.0;25.0;475.0;625.0;5.0;5.0
15;Totaal binnen- en buitenland;A-U Alle economische activiteiten;0 tot 50 werkzame personen;2019;400.0;600.0;20.0;40.0;515.0;690.0;5.0;5.0
16;Totaal binnen- en buitenland;A-U Alle economische activiteiten;0 tot 50 werkzame personen;2020;410.0;580.0;20.0;25.0;545.0;685.0;10.0;10.0
17;Totaal binnen- en buitenland;A-U Alle economische activiteiten;0 tot 50 werkzame personen;2021;395.0;515.0;20.0;20.0;590.0;770.0;10.0;5.0
18;Totaal binnen- en buitenland;A-U Alle economische activiteiten;50 tot 250 werkzame personen;2013;120.0;285.0;5.0;10.0;110.0;190.0;0.0;0.0
19;Totaal binnen- en buitenland;A-U Alle economische activiteiten;50 tot 250 werkzame personen;2014;130.0;295.0;0.0;0.0;120.0;190.0;0.0;0.0
20;Totaal binnen- en buitenland;A-U Alle economische activiteiten;50 tot 250 werkzame personen;2015;135.0;405.0;10.0;15.0;125.0;235.0;0.0;0.0
21;Totaal binnen- en buitenland;A-U Alle economische activiteiten;50 tot 250 werkzame personen;2016;155.0;370.0;5.0;10.0;150.0;250.0;0.0;0.0
22;Totaal binnen- en buitenland;A-U Alle economische activiteiten;50 tot 250 werkzame personen;2017;130.0;415.0;5.0;80.0;145.0;215.0;0.0;0.0
23;Totaal binnen- en buitenland;A-U Alle economische activiteiten;50 tot 250 werkzame personen;2018;140.0;485.0;10.0;60.0;135.0;220.0;0.0;0.0
24;Totaal binnen- en buitenland;A-U Alle economische activiteiten;50 tot 250 werkzame personen;2019;155.0;470.0;10.0;115.0;135.0;230.0;0.0;0.0
25;Totaal binnen- en buitenland;A-U Alle economische activiteiten;50 tot 250 werkzame personen;2020;160.0;485.0;10.0;140.0;145.0;235.0;0.0;0.0
26;Totaal binnen- en buitenland;A-U Alle economische activiteiten;50 tot 250 werkzame personen;2021;125.0;385.0;5.0;100.0;135.0;250.0;0.0;0.0
27;Totaal binnen- en buitenland;A-U Alle economische activiteiten;250 of meer werkzame personen;2013;135.0;2810.0;25.0;465.0;95.0;235.0;0.0;0.0
28;Totaal binnen- en buitenland;A-U Alle economische activiteiten;250 of meer werkzame personen;2014;145.0;3040.0;35.0;375.0;95.0;370.0;5.0;0.0
29;Totaal binnen- en buitenland;A-U Alle economische activiteiten;250 of meer werkzame personen;2015;140.0;3175.0;25.0;340.0;105.0;450.0;5.0;5.0
30;Totaal binnen- en buitenland;A-U Alle economische activiteiten;250 of meer werkzame personen;2016;145.0;2985.0;30.0;385.0;105.0;375.0;0.0;0.0
31;Totaal binnen- en buitenland;A-U Alle economische activiteiten;250 of meer werkzame personen;2017;165.0;2860.0;25.0;135.0;115.0;465.0;0.0;0.0
32;Totaal binnen- en buitenland;A-U Alle economische activiteiten;250 of meer werkzame personen;2018;140.0;2640.0;30.0;120.0;100.0;440.0;5.0;10.0
33;Totaal binnen- en buitenland;A-U Alle economische activiteiten;250 of meer werkzame personen;2019;160.0;2700.0;40.0;70.0;115.0;510.0;5.0;5.0
34;Totaal binnen- en buitenland;A-U Alle economische activiteiten;250 of meer werkzame personen;2020;170.0;2695.0;40.0;90.0;115.0;410.0;5.0;5.0
35;Totaal binnen- en buitenland;A-U Alle economische activiteiten;250 of meer werkzame personen;2021;160.0;2315.0;30.0;220.0;120.0;355.0;5.0;5.0
36;Totaal binnen- en buitenland;A-U Alle economische activiteiten;Werkzame personen: onbekend;2013;345.0;480.0;25.0;25.0;385.0;345.0;0.0;0.0
37;Totaal binnen- en buitenland;A-U Alle economische activiteiten;Werkzame personen: onbekend;2014;275.0;440.0;20.0;20.0;385.0;390.0;5.0;0.0
38;Totaal binnen- en buitenland;A-U Alle economische activiteiten;Werkzame personen: onbekend;2015;300.0;465.0;20.0;60.0;330.0;325.0;5.0;5.0
39;Totaal binnen- en buitenland;A-U Alle economische activiteiten;Werkzame personen: onbekend;2016;235.0;290.0;10.0;35.0;290.0;295.0;0.0;0.0
40;Totaal binnen- en buitenland;A-U Alle economische activiteiten;Werkzame personen: onbekend;2017;245.0;370.0;15.0;130.0;345.0;350.0;5.0;5.0
41;Totaal binnen- en buitenland;A-U Alle economische activiteiten;Werkzame personen: onbekend;2018;265.0;590.0;25.0;165.0;365.0;355.0;5.0;5.0
42;Totaal binnen- en buitenland;A-U Alle economische activiteiten;Werkzame personen: onbekend;2019;220.0;500.0;10.0;160.0;300.0;290.0;5.0;5.0
43;Totaal binnen- en buitenland;A-U Alle economische activiteiten;Werkzame personen: onbekend;2020;240.0;485.0;20.0;230.0;295.0;315.0;5.0;5.0
44;Totaal binnen- en buitenland;A-U Alle economische activiteiten;Werkzame personen: onbekend;2021;150.0;250.0;10.0;40.0;255.0;255.0;5.0;5.0
45;Totaal binnen- en buitenland;Totaal (ex. financieel en nutsbedrijven);Totaal werkzame personen;2013;;;;;;;;
46;Totaal binnen- en buitenland;Totaal (ex. financieel en nutsbedrijven);Totaal werkzame personen;2014;;;;;;;;
47;Totaal binnen- en buitenland;Totaal (ex. financieel en nutsbedrijven);Totaal werkzame personen;2015;;;;;;;;
48;Totaal binnen- en buitenland;Totaal (ex. financieel en nutsbedrijven);Totaal werkzame personen;2016;;;;;;;;
49;Totaal binnen- en buitenland;Totaal (ex. financieel en nutsbedrijven);Totaal werkzame personen;2017;;;;;;;;
50;Totaal binnen- en buitenland;Totaal (ex. financieel en nutsbedrijven);Totaal werkzame personen;2018;;;;;;;;
51;Totaal binnen- en buitenland;Totaal (ex. financieel en nutsbedrijven);Totaal werkzame personen;2019;;;;;;;;
52;Totaal binnen- en buitenland;Totaal (ex. financieel en nutsbedrijven);Totaal werkzame personen;2020;;;;;;;;
53;Totaal binnen- en buitenland;Totaal (ex. financieel en nutsbedrijven);Totaal werkzame personen;2021;;;;;;;;
54;Totaal binnen- en buitenland;Totaal (ex. financieel en nutsbedrijven);0 tot 50 werkzame personen;2013;;;;;;;;
55;Totaal binnen- en buitenland;Totaal (ex. financieel en nutsbedrijven);0 tot 50 werkzame personen;2014;;;;;;;;
56;Totaal binnen- en buitenland;Totaal (ex. financieel en nutsbedrijven);0 tot 50 werkzame personen;2015;;;;;;;;
57;Totaal binnen- en buitenland;Totaal (ex. financieel en nutsbedrijven);0 tot 50 werkzame personen;2016;;;;;;;;
58;Totaal binnen- en buitenland;Totaal (ex. financieel en nutsbedrijven);0 tot 50 werkzame personen;2017;;;;;;;;
59;Totaal binnen- en buitenland;Totaal (ex. financieel en nutsbedrijven);0 tot 50 werkzame personen;2018;;;;;;;;
60;Totaal binnen- en buitenland;Totaal (ex. financieel en nutsbedrijven);0 tot 50 werkzame personen;2019;;;;;;;;
61;Totaal binnen- en buitenland;Totaal (ex. financieel en nutsbedrijven);0 tot 50 werkzame personen;2020;;;;;;;;
62;Totaal binnen- en buitenland;Totaal (ex. financieel en nutsbedrijven);0 tot 50 werkzame personen;2021;;;;;;;;
63;Totaal binnen- en buitenland;Totaal (ex. financieel en nutsbedrijven);50 tot 250 werkzame personen;2013;;;;;;;;
64;Totaal binnen- en buitenland;Totaal (ex. financieel en nutsbedrijven);50 tot 250 werkzame personen;2014;;;;;;;;
65;Totaal binnen- en buitenland;Totaal (ex. financieel en nutsbedrijven);50 tot 250 werkzame personen;2015;;;;;;;;
66;Totaal binnen- en buitenland;Totaal (ex. financieel en nutsbedrijven);50 tot 250 werkzame personen;2016;;;;;;;;
67;Totaal binnen- en buitenland;Totaal (ex. financieel en nutsbedrijven);50 tot 250 werkzame personen;2017;;;;;;;;
