ID;GeslachtWerknemer;Dienstverband;KenmerkenBaan;BedrijfstakkenBranchesSBI2008;Perioden;Banen_1;Arbeidsvolume_2;Uurloon_3;MaandloonInclusiefOverwerk_4;MaandloonExclusiefOverwerk_5;JaarloonInclusiefBijzondereBeloning_6;JaarloonExclusiefBijzondereBeloning_7;BijzondereBeloning_8;BijtellingAutoVanDeZaak_9;PerBaanPerWeekInclusiefOverwerk_10;PerBaanPerWeekExclusiefOverwerk_11;PerBaanPerJaar_12;PerArbeidsjaar_13
0;Totaal mannen en vrouwen;Totaal;Totaal;A-U Alle economische activiteiten;2009;7820.0;5925.0;20.02;2225.0;2195.0;30650.0;26710.0;3940.0;510.0;29.1;28.8;1315.0;1736.0
1;Totaal mannen en vrouwen;Totaal;Totaal;A-U Alle economische activiteiten;2010 voor methodewijziging;7774.0;5870.0;20.39;2245.0;2214.0;30960.0;26940.0;4020.0;490.0;29.0;28.6;1303.0;1725.0
2;Totaal mannen en vrouwen;Totaal;Totaal;A-U Alle economische activiteiten;2010 na methodewijziging;7860.0;5924.0;20.41;2245.0;2214.0;30990.0;26940.0;4050.0;500.0;28.9;28.5;1301.0;1727.0
3;Totaal mannen en vrouwen;Totaal;Totaal;A-U Alle economische activiteiten;2011;7926.0;5926.0;20.62;2266.0;2234.0;31340.0;27200.0;4140.0;470.0;28.7;28.3;1300.0;1739.0
4;Totaal mannen en vrouwen;Totaal;Totaal;A-U Alle economische activiteiten;2012;7872.0;5868.0;21.16;2302.0;2271.0;31740.0;27630.0;4120.0;480.0;28.6;28.3;1288.0;1728.0
5;Totaal mannen en vrouwen;Totaal;Totaal;A-U Alle economische activiteiten;2013;7746.0;5773.0;21.48;2337.0;2306.0;32430.0;28050.0;4380.0;460.0;28.8;28.4;1288.0;1729.0
6;Totaal mannen en vrouwen;Totaal;Totaal;A-U Alle economische activiteiten;2014;7706.0;5740.0;21.58;2359.0;2328.0;32590.0;28310.0;4270.0;430.0;28.8;28.4;1294.0;1738.0
7;Totaal mannen en vrouwen;Totaal;Totaal;A-U Alle economische activiteiten;2015;7783.0;5794.0;22.08;2405.0;2373.0;33200.0;28860.0;4340.0;390.0;28.8;28.4;1290.0;1732.0
8;Totaal mannen en vrouwen;Totaal;Totaal;A-U Alle economische activiteiten;2016;7893.0;5902.0;22.13;2436.0;2404.0;33730.0;29230.0;4500.0;390.0;29.0;28.6;1303.0;1743.0
9;Totaal mannen en vrouwen;Totaal;Totaal;A-U Alle economische activiteiten;2017;8096.0;6045.0;22.23;2460.0;2427.0;34090.0;29520.0;4570.0;400.0;29.0;28.7;1310.0;1754.0
10;Totaal mannen en vrouwen;Totaal;Totaal;A-U Alle economische activiteiten;2018;8324.0;6237.0;22.69;2508.0;2474.0;34670.0;30090.0;4580.0;420.0;29.1;28.8;1309.0;1747.0
11;Totaal mannen en vrouwen;Totaal;Totaal;A-U Alle economische activiteiten;2019;8501.0;6381.0;23.14;2575.0;2543.0;35630.0;30900.0;4740.0;440.0;29.2;28.9;1318.0;1756.0
12;Totaal mannen en vrouwen;Totaal;Totaal;A-U Alle economische activiteiten;2020;8391.0;6356.0;24.07;2692.0;2663.0;37280.0;32310.0;4970.0;470.0;29.5;29.2;1328.0;1753.0
13;Totaal mannen en vrouwen;Totaal;Totaal;A-U Alle economische activiteiten;2021;8561.0;6507.0;24.45;2761.0;2730.0;38380.0;33130.0;5250.0;470.0;29.5;29.2;1340.0;1763.0
14;Totaal mannen en vrouwen;Totaal;Totaal;A-U Alle economische activiteiten;2022;8868.0;6723.0;25.32;2852.0;2822.0;39940.0;34230.0;5710.0;480.0;29.5;29.2;1337.0;1764.0
15;Totaal mannen en vrouwen;Totaal;Totaal;A-U Alle economische activiteiten;2023;8979.0;6826.0;27.12;3045.0;3015.0;42380.0;36540.0;5840.0;520.0;29.5;29.2;1334.0;1755.0
16;Totaal mannen en vrouwen;Totaal;Totaal;A-F Landbouw en nijverheid;2009;1351.0;1197.0;20.07;2695.0;2640.0;36640.0;32340.0;4290.0;700.0;35.1;34.5;1579.0;1783.0
17;Totaal mannen en vrouwen;Totaal;Totaal;A-F Landbouw en nijverheid;2010 voor methodewijziging;1308.0;1161.0;20.44;2744.0;2685.0;37210.0;32920.0;4290.0;720.0;35.1;34.5;1576.0;1776.0
18;Totaal mannen en vrouwen;Totaal;Totaal;A-F Landbouw en nijverheid;2010 na methodewijziging;1322.0;1170.0;20.45;2739.0;2680.0;37180.0;32860.0;4320.0;730.0;35.1;34.4;1573.0;1778.0
19;Totaal mannen en vrouwen;Totaal;Totaal;A-F Landbouw en nijverheid;2011;1313.0;1157.0;20.78;2796.0;2733.0;38010.0;33550.0;4470.0;710.0;34.9;34.3;1578.0;1790.0
20;Totaal mannen en vrouwen;Totaal;Totaal;A-F Landbouw en nijverheid;2012;1290.0;1137.0;21.35;2850.0;2788.0;38720.0;34200.0;4510.0;730.0;35.0;34.3;1567.0;1778.0
21;Totaal mannen en vrouwen;Totaal;Totaal;A-F Landbouw en nijverheid;2013;1243.0;1097.0;21.6;2904.0;2838.0;39810.0;34850.0;4960.0;720.0;35.4;34.6;1577.0;1787.0
22;Totaal mannen en vrouwen;Totaal;Totaal;A-F Landbouw en nijverheid;2014;1220.0;1076.0;21.8;2942.0;2876.0;40270.0;35310.0;4960.0;690.0;35.3;34.6;1583.0;1795.0
23;Totaal mannen en vrouwen;Totaal;Totaal;A-F Landbouw en nijverheid;2015;1208.0;1067.0;22.44;3015.0;2946.0;41260.0;36180.0;5080.0;590.0;35.3;34.6;1575.0;1783.0
24;Totaal mannen en vrouwen;Totaal;Totaal;A-F Landbouw en nijverheid;2016;1212.0;1072.0;22.7;3064.0;2996.0;42110.0;36770.0;5340.0;580.0;35.3;34.6;1583.0;1791.0
25;Totaal mannen en vrouwen;Totaal;Totaal;A-F Landbouw en nijverheid;2017;1225.0;1086.0;22.93;3108.0;3037.0;42790.0;37290.0;5490.0;610.0;35.4;34.7;1589.0;1793.0
26;Totaal mannen en vrouwen;Totaal;Totaal;A-F Landbouw en nijverheid;2018;1253.0;1112.0;23.48;3176.0;3106.0;43590.0;38120.0;5470.0;640.0;35.5;34.8;1587.0;1789.0
27;Totaal mannen en vrouwen;Totaal;Totaal;A-F Landbouw en nijverheid;2019;1284.0;1141.0;24.01;3264.0;3195.0;44680.0;39170.0;5520.0;680.0;35.5;34.9;1597.0;1797.0
28;Totaal mannen en vrouwen;Totaal;Totaal;A-F Landbouw en nijverheid;2020;1287.0;1144.0;24.79;3352.0;3293.0;45780.0;40230.0;5550.0;710.0;35.5;34.9;1594.0;1792.0
29;Totaal mannen en vrouwen;Totaal;Totaal;A-F Landbouw en nijverheid;2021;1300.0;1154.0;25.14;3421.0;3357.0;47120.0;41050.0;6080.0;740.0;35.4;34.8;1602.0;1805.0
30;Totaal mannen en vrouwen;Totaal;Totaal;A-F Landbouw en nijverheid;2022;1322.0;1174.0;26.09;3547.0;3485.0;49120.0;42560.0;6560.0;760.0;35.4;34.8;1603.0;1805.0
31;Totaal mannen en vrouwen;Totaal;Totaal;A-F Landbouw en nijverheid;2023;1342.0;1194.0;27.82;3770.0;3707.0;51860.0;45240.0;6620.0;820.0;35.4;34.9;1599.0;1796.0
32;Totaal mannen en vrouwen;Totaal;Totaal;A Landbouw, bosbouw en visserij;2009;105.0;71.0;14.38;1482.0;1439.0;19380.0;17790.0;1600.0;280.0;26.7;26.2;1201.0;1792.0
33;Totaal mannen en vrouwen;Totaal;Totaal;A Landbouw, bosbouw en visserij;2010 voor methodewijziging;103.0;70.0;14.6;1515.0;1470.0;19820.0;18180.0;1640.0;290.0;27.0;26.4;1208.0;1777.0
