ID;Geslacht;Leeftijd;BurgerlijkeStaat;CaribischNederland;Perioden;Overledenen_1
0;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Caribisch Nederland;2011;139.0
1;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Caribisch Nederland;2012;95.0
2;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Caribisch Nederland;2013;109.0
3;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Caribisch Nederland;2014;136.0
4;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Caribisch Nederland;2015;122.0
5;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Caribisch Nederland;2016;99.0
6;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Caribisch Nederland;2017;134.0
7;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Caribisch Nederland;2018;102.0
8;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Caribisch Nederland;2019;125.0
9;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Caribisch Nederland;2020;143.0
10;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Caribisch Nederland;2021;162.0
11;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Caribisch Nederland;2022;196.0
12;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Caribisch Nederland;2023;169.0
13;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Bonaire;2011;109.0
14;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Bonaire;2012;70.0
15;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Bonaire;2013;79.0
16;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Bonaire;2014;98.0
17;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Bonaire;2015;102.0
18;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Bonaire;2016;76.0
19;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Bonaire;2017;99.0
20;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Bonaire;2018;73.0
21;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Bonaire;2019;97.0
22;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Bonaire;2020;111.0
23;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Bonaire;2021;124.0
24;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Bonaire;2022;156.0
25;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Bonaire;2023;139.0
26;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Sint Eustatius;2011;13.0
27;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Sint Eustatius;2012;12.0
28;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Sint Eustatius;2013;18.0
29;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Sint Eustatius;2014;22.0
30;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Sint Eustatius;2015;11.0
31;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Sint Eustatius;2016;13.0
32;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Sint Eustatius;2017;22.0
33;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Sint Eustatius;2018;18.0
34;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Sint Eustatius;2019;15.0
35;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Sint Eustatius;2020;16.0
36;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Sint Eustatius;2021;18.0
37;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Sint Eustatius;2022;25.0
38;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Sint Eustatius;2023;17.0
39;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Saba;2011;17.0
40;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Saba;2012;13.0
41;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Saba;2013;12.0
42;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Saba;2014;16.0
43;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Saba;2015;9.0
44;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Saba;2016;10.0
45;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Saba;2017;13.0
46;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Saba;2018;11.0
47;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Saba;2019;13.0
48;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Saba;2020;16.0
49;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Saba;2021;20.0
50;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Saba;2022;15.0
51;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Saba;2023;13.0
52;Totaal mannen en vrouwen;Totaal;Ongehuwd;Caribisch Nederland;2011;41.0
53;Totaal mannen en vrouwen;Totaal;Ongehuwd;Caribisch Nederland;2012;22.0
54;Totaal mannen en vrouwen;Totaal;Ongehuwd;Caribisch Nederland;2013;31.0
55;Totaal mannen en vrouwen;Totaal;Ongehuwd;Caribisch Nederland;2014;37.0
56;Totaal mannen en vrouwen;Totaal;Ongehuwd;Caribisch Nederland;2015;24.0
57;Totaal mannen en vrouwen;Totaal;Ongehuwd;Caribisch Nederland;2016;24.0
58;Totaal mannen en vrouwen;Totaal;Ongehuwd;Caribisch Nederland;2017;26.0
59;Totaal mannen en vrouwen;Totaal;Ongehuwd;Caribisch Nederland;2018;27.0
60;Totaal mannen en vrouwen;Totaal;Ongehuwd;Caribisch Nederland;2019;34.0
61;Totaal mannen en vrouwen;Totaal;Ongehuwd;Caribisch Nederland;2020;42.0
62;Totaal mannen en vrouwen;Totaal;Ongehuwd;Caribisch Nederland;2021;38.0
63;Totaal mannen en vrouwen;Totaal;Ongehuwd;Caribisch Nederland;2022;46.0
64;Totaal mannen en vrouwen;Totaal;Ongehuwd;Caribisch Nederland;2023;44.0
