ID;Geslacht;BedrijfstakkenBranches;Peilmoment;Studiekenmerken;Persoonskenmerken;Perioden;HboTotaal_1;HboVoltijd_2;HboDeeltijd_3;HboTotaal_4;HboVoltijd_5;HboDeeltijd_6;HboTotaal_7;HboTotaalVoltijd_8;HboTotaalDeeltijd_9;HboBachelorTotaal_10;HboBachelorVoltijd_11;HboBachelorDeeltijd_12;HboMasterTotaal_13;HboMasterVoltijd_14;HboMasterDeeltijd_15;HboAssociateDegreeTotaal_16;HboAssociateDegreeVoltijd_17;HboAssociateDegreeDeeltijd_18
0;Mannen en vrouwen;A-U Alle economische activiteiten ;1;0;0;2006/'07;72330.0;51850.0;20480.0;27200.0;17990.0;9210.0;45140.0;33860.0;11270.0;41510.0;33150.0;8350.0;3630.0;710.0;2920.0;;;0.0
1;Mannen en vrouwen;A-U Alle economische activiteiten ;1;0;0;2007/'08;74280.0;53840.0;20440.0;28080.0;19280.0;8800.0;46210.0;34560.0;11640.0;41880.0;33720.0;8160.0;4200.0;770.0;3430.0;140.0;80.0;60.0
2;Mannen en vrouwen;A-U Alle economische activiteiten ;1;0;0;2008/'09;69260.0;50050.0;19210.0;24310.0;16120.0;8190.0;44960.0;33930.0;11020.0;41150.0;33050.0;8100.0;3330.0;700.0;2630.0;470.0;180.0;290.0
3;Mannen en vrouwen;A-U Alle economische activiteiten ;1;0;0;2009/'10;72090.0;52650.0;19440.0;26430.0;17880.0;8550.0;45670.0;34770.0;10890.0;41710.0;33850.0;7860.0;3400.0;630.0;2770.0;550.0;290.0;270.0
4;Mannen en vrouwen;A-U Alle economische activiteiten ;1;0;0;2010/'11;75630.0;55350.0;20280.0;28660.0;19970.0;8690.0;46980.0;35380.0;11590.0;42260.0;34380.0;7870.0;4150.0;710.0;3450.0;570.0;300.0;270.0
5;Mannen en vrouwen;A-U Alle economische activiteiten ;1;0;0;2011/'12;79480.0;58990.0;20490.0;30100.0;21270.0;8820.0;49390.0;37720.0;11670.0;44620.0;36460.0;8150.0;4090.0;840.0;3250.0;680.0;420.0;260.0
6;Mannen en vrouwen;A-U Alle economische activiteiten ;1;0;0;2012/'13;67240.0;51890.0;15360.0;23640.0;17410.0;6230.0;43610.0;34470.0;9130.0;39940.0;33320.0;6610.0;2920.0;690.0;2230.0;750.0;460.0;300.0
7;Mannen en vrouwen;A-U Alle economische activiteiten ;1;0;0;2013/'14;71670.0;56490.0;15190.0;26730.0;20160.0;6570.0;44950.0;36320.0;8620.0;41140.0;35070.0;6070.0;3020.0;810.0;2220.0;790.0;450.0;340.0
8;Mannen en vrouwen;A-U Alle economische activiteiten ;1;0;1;2006/'07;2830.0;2820.0;;2830.0;2820.0;;;;0.0;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
9;Mannen en vrouwen;A-U Alle economische activiteiten ;1;0;1;2007/'08;2950.0;2940.0;10.0;2950.0;2940.0;10.0;;;0.0;;;0.0;0.0;0.0;0.0;;;0.0
10;Mannen en vrouwen;A-U Alle economische activiteiten ;1;0;1;2008/'09;2480.0;2470.0;20.0;2480.0;2460.0;20.0;;;0.0;;;0.0;0.0;0.0;0.0;;;0.0
11;Mannen en vrouwen;A-U Alle economische activiteiten ;1;0;1;2009/'10;2640.0;2620.0;20.0;2640.0;2620.0;20.0;;;0.0;;;0.0;0.0;0.0;0.0;;;0.0
12;Mannen en vrouwen;A-U Alle economische activiteiten ;1;0;1;2010/'11;2600.0;2590.0;10.0;2600.0;2590.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13;Mannen en vrouwen;A-U Alle economische activiteiten ;1;0;1;2011/'12;2620.0;2610.0;;2610.0;2600.0;;;;0.0;;;0.0;0.0;0.0;0.0;;;0.0
14;Mannen en vrouwen;A-U Alle economische activiteiten ;1;0;1;2012/'13;2010.0;2000.0;10.0;2010.0;2000.0;10.0;;;0.0;;;0.0;0.0;0.0;0.0;;;0.0
15;Mannen en vrouwen;A-U Alle economische activiteiten ;1;0;1;2013/'14;2130.0;2120.0;10.0;2120.0;2110.0;10.0;;;0.0;;;0.0;0.0;0.0;0.0;;;0.0
16;Mannen en vrouwen;A-U Alle economische activiteiten ;1;0;2;2006/'07;27590.0;26540.0;1050.0;10430.0;9690.0;750.0;17160.0;16860.0;300.0;16900.0;16650.0;240.0;260.0;200.0;60.0;;;0.0
17;Mannen en vrouwen;A-U Alle economische activiteiten ;1;0;2;2007/'08;28810.0;27590.0;1220.0;11290.0;10460.0;840.0;17520.0;17130.0;390.0;17160.0;16900.0;260.0;330.0;210.0;120.0;30.0;30.0;
18;Mannen en vrouwen;A-U Alle economische activiteiten ;1;0;2;2008/'09;25570.0;24380.0;1190.0;9170.0;8310.0;860.0;16400.0;16070.0;330.0;16160.0;15850.0;300.0;180.0;160.0;20.0;70.0;60.0;
19;Mannen en vrouwen;A-U Alle economische activiteiten ;1;0;2;2009/'10;26810.0;25450.0;1360.0;10260.0;9280.0;980.0;16550.0;16170.0;380.0;16320.0;15980.0;340.0;120.0;100.0;30.0;110.0;100.0;10.0
20;Mannen en vrouwen;A-U Alle economische activiteiten ;1;0;2;2010/'11;28350.0;27090.0;1260.0;11190.0;10280.0;910.0;17160.0;16810.0;350.0;16920.0;16610.0;310.0;130.0;110.0;30.0;110.0;100.0;20.0
21;Mannen en vrouwen;A-U Alle economische activiteiten ;1;0;2;2011/'12;29820.0;28710.0;1110.0;11740.0;10920.0;820.0;18080.0;17800.0;280.0;17810.0;17560.0;240.0;160.0;130.0;30.0;110.0;100.0;10.0
22;Mannen en vrouwen;A-U Alle economische activiteiten ;1;0;2;2012/'13;27090.0;26210.0;890.0;9880.0;9210.0;670.0;17210.0;16990.0;220.0;16950.0;16770.0;180.0;130.0;100.0;20.0;140.0;120.0;10.0
23;Mannen en vrouwen;A-U Alle economische activiteiten ;1;0;2;2013/'14;28230.0;27400.0;830.0;11290.0;10680.0;610.0;16940.0;16720.0;220.0;16590.0;16430.0;160.0;160.0;120.0;30.0;200.0;170.0;30.0
24;Mannen en vrouwen;A-U Alle economische activiteiten ;1;0;3;2006/'07;21300.0;17430.0;3870.0;5650.0;3770.0;1870.0;15660.0;13660.0;1990.0;15000.0;13480.0;1510.0;660.0;170.0;490.0;0.0;0.0;0.0
25;Mannen en vrouwen;A-U Alle economische activiteiten ;1;0;3;2007/'08;22000.0;18000.0;4000.0;5920.0;4050.0;1870.0;16080.0;13950.0;2130.0;15210.0;13730.0;1470.0;840.0;190.0;650.0;40.0;30.0;
26;Mannen en vrouwen;A-U Alle economische activiteiten ;1;0;3;2008/'09;21000.0;17530.0;3470.0;5060.0;3450.0;1610.0;15940.0;14080.0;1860.0;15330.0;13860.0;1470.0;530.0;170.0;350.0;90.0;50.0;40.0
27;Mannen en vrouwen;A-U Alle economische activiteiten ;1;0;3;2009/'10;22250.0;18570.0;3680.0;5690.0;3920.0;1780.0;16560.0;14660.0;1900.0;15890.0;14420.0;1470.0;520.0;140.0;380.0;150.0;100.0;50.0
28;Mannen en vrouwen;A-U Alle economische activiteiten ;1;0;3;2010/'11;23280.0;19420.0;3860.0;6550.0;4730.0;1820.0;16740.0;14690.0;2040.0;15930.0;14400.0;1520.0;670.0;200.0;470.0;140.0;90.0;50.0
29;Mannen en vrouwen;A-U Alle economische activiteiten ;1;0;3;2011/'12;24770.0;20660.0;4110.0;7010.0;5060.0;1950.0;17770.0;15600.0;2160.0;16930.0;15280.0;1640.0;680.0;220.0;460.0;160.0;110.0;60.0
30;Mannen en vrouwen;A-U Alle economische activiteiten ;1;0;3;2012/'13;21350.0;18240.0;3110.0;5610.0;4250.0;1360.0;15740.0;14000.0;1750.0;14980.0;13670.0;1320.0;550.0;190.0;370.0;210.0;140.0;60.0
31;Mannen en vrouwen;A-U Alle economische activiteiten ;1;0;3;2013/'14;23920.0;20920.0;3000.0;6490.0;5140.0;1360.0;17430.0;15790.0;1650.0;16620.0;15420.0;1200.0;590.0;220.0;370.0;220.0;150.0;80.0
32;Mannen en vrouwen;A-U Alle economische activiteiten ;1;0;4;2006/'07;5600.0;2590.0;3010.0;2260.0;850.0;1410.0;3350.0;1740.0;1610.0;2920.0;1660.0;1260.0;420.0;80.0;340.0;0.0;0.0;0.0
33;Mannen en vrouwen;A-U Alle economische activiteiten ;1;0;4;2007/'08;5830.0;2850.0;2980.0;2190.0;900.0;1280.0;3640.0;1950.0;1690.0;3130.0;1860.0;1280.0;490.0;90.0;400.0;20.0;;10.0
34;Mannen en vrouwen;A-U Alle economische activiteiten ;1;0;4;2008/'09;5960.0;3070.0;2890.0;2180.0;950.0;1220.0;3780.0;2120.0;1660.0;3280.0;2010.0;1270.0;450.0;90.0;360.0;50.0;20.0;30.0
35;Mannen en vrouwen;A-U Alle economische activiteiten ;1;0;4;2009/'10;6240.0;3310.0;2930.0;2310.0;1060.0;1250.0;3930.0;2250.0;1680.0;3320.0;2130.0;1190.0;550.0;100.0;450.0;70.0;20.0;40.0
36;Mannen en vrouwen;A-U Alle economische activiteiten ;1;0;4;2010/'11;6390.0;3400.0;2990.0;2460.0;1220.0;1240.0;3940.0;2180.0;1750.0;3270.0;2070.0;1210.0;600.0;90.0;510.0;60.0;30.0;30.0
37;Mannen en vrouwen;A-U Alle economische activiteiten ;1;0;4;2011/'12;7030.0;3890.0;3140.0;2760.0;1470.0;1290.0;4270.0;2420.0;1850.0;3560.0;2260.0;1290.0;650.0;120.0;530.0;70.0;40.0;30.0
38;Mannen en vrouwen;A-U Alle economische activiteiten ;1;0;4;2012/'13;5410.0;3050.0;2350.0;2000.0;1120.0;880.0;3400.0;1930.0;1470.0;2860.0;1780.0;1080.0;460.0;100.0;360.0;80.0;50.0;30.0
39;Mannen en vrouwen;A-U Alle economische activiteiten ;1;0;4;2013/'14;6000.0;3640.0;2360.0;2340.0;1390.0;950.0;3660.0;2250.0;1410.0;3080.0;2090.0;1000.0;480.0;110.0;370.0;90.0;50.0;40.0
40;Mannen en vrouwen;A-U Alle economische activiteiten ;1;0;5;2006/'07;7310.0;1430.0;5880.0;3020.0;510.0;2510.0;4290.0;930.0;3370.0;3610.0;820.0;2790.0;680.0;110.0;570.0;;;0.0
41;Mannen en vrouwen;A-U Alle economische activiteiten ;1;0;5;2007/'08;7380.0;1530.0;5850.0;3050.0;610.0;2440.0;4340.0;930.0;3410.0;3520.0;800.0;2720.0;780.0;120.0;670.0;30.0;10.0;20.0
42;Mannen en vrouwen;A-U Alle economische activiteiten ;1;0;5;2008/'09;7070.0;1590.0;5480.0;2830.0;600.0;2230.0;4240.0;990.0;3250.0;3440.0;840.0;2600.0;700.0;120.0;580.0;100.0;30.0;70.0
43;Mannen en vrouwen;A-U Alle economische activiteiten ;1;0;5;2009/'10;7000.0;1670.0;5330.0;2740.0;580.0;2160.0;4250.0;1080.0;3170.0;3350.0;910.0;2440.0;780.0;130.0;650.0;120.0;50.0;80.0
