ID;Geslacht;Migratieachtergrond;VoortijdigSchoolverlater;Perioden;Jongeren18Tot25Jaar_1
0;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;2003;1340.0
1;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;2004;1345.0
2;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;2005;1349.0
3;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;2006;1348.0
4;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;2007;1354.0
5;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;2008;1376.0
6;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;2009;1399.0
7;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;2010;1413.0
8;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;2011;1423.0
9;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;2012;1439.0
10;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;2013;1454.0
11;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;2014;1452.0
12;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;2015;1445.0
13;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;2016;1452.0
14;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;2017;1470.0
15;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;2018;1484.0
16;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;2019;1503.0
17;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal;2020;1523.0
18;Totaal mannen en vrouwen;Totaal migratieachtergrond;Voortijdig schoolverlaters;2003;193.0
19;Totaal mannen en vrouwen;Totaal migratieachtergrond;Voortijdig schoolverlaters;2004;190.0
20;Totaal mannen en vrouwen;Totaal migratieachtergrond;Voortijdig schoolverlaters;2005;182.0
21;Totaal mannen en vrouwen;Totaal migratieachtergrond;Voortijdig schoolverlaters;2006;173.0
22;Totaal mannen en vrouwen;Totaal migratieachtergrond;Voortijdig schoolverlaters;2007;164.0
23;Totaal mannen en vrouwen;Totaal migratieachtergrond;Voortijdig schoolverlaters;2008;161.0
24;Totaal mannen en vrouwen;Totaal migratieachtergrond;Voortijdig schoolverlaters;2009;157.0
25;Totaal mannen en vrouwen;Totaal migratieachtergrond;Voortijdig schoolverlaters;2010;139.0
26;Totaal mannen en vrouwen;Totaal migratieachtergrond;Voortijdig schoolverlaters;2011;129.0
27;Totaal mannen en vrouwen;Totaal migratieachtergrond;Voortijdig schoolverlaters;2012;126.0
28;Totaal mannen en vrouwen;Totaal migratieachtergrond;Voortijdig schoolverlaters;2013;131.0
29;Totaal mannen en vrouwen;Totaal migratieachtergrond;Voortijdig schoolverlaters;2014;126.0
30;Totaal mannen en vrouwen;Totaal migratieachtergrond;Voortijdig schoolverlaters;2015;118.0
31;Totaal mannen en vrouwen;Totaal migratieachtergrond;Voortijdig schoolverlaters;2016;115.0
32;Totaal mannen en vrouwen;Totaal migratieachtergrond;Voortijdig schoolverlaters;2017;103.0
33;Totaal mannen en vrouwen;Totaal migratieachtergrond;Voortijdig schoolverlaters;2018;108.0
