ID;Geslacht;Leeftijd;GeneesmiddelengroepATC;Perioden;PersonenMetVerstrekteGeneesmiddelen_1;PersonenMetGeneesmiddelenRelatief_2;GedefinieerdeDagdosesDDD_3;GedefinieerdeDagdosesDDDRelatief_4
0;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2006;11241725.0;67.54;;
1;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2007;11320680.0;67.86;;
2;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2008;11704500.0;69.83;;
3;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2009;11803505.0;70.09;;
4;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2010;11859005.0;70.05;;
5;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2011;11696090.0;68.74;;
6;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2012;11587020.0;67.85;;
7;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2013;11439885.0;66.78;;
8;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2014;11420305.0;66.4;;
9;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2015;11454920.0;66.26;;
10;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2016;11517975.0;66.24;;
11;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2017;11482350.0;65.65;;
12;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2018;11591535.0;65.87;;
13;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2019;11591365.0;65.4;;
14;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2020;11177900.0;62.8;9042636.0;508053.0
15;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2021;11341405.0;63.33;9177238.0;512472.0
16;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2022;11617275.0;63.99;9277338.0;510975.0
17;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2023;11715720.0;64.01;8786468.0;480027.0
18;Totaal mannen en vrouwen;Totaal leeftijd;A Maagdarmkanaal en metabolisme;2006;3127780.0;18.79;;
19;Totaal mannen en vrouwen;Totaal leeftijd;A Maagdarmkanaal en metabolisme;2007;3369155.0;20.2;;
20;Totaal mannen en vrouwen;Totaal leeftijd;A Maagdarmkanaal en metabolisme;2008;3588285.0;21.41;;
21;Totaal mannen en vrouwen;Totaal leeftijd;A Maagdarmkanaal en metabolisme;2009;3812715.0;22.64;;
22;Totaal mannen en vrouwen;Totaal leeftijd;A Maagdarmkanaal en metabolisme;2010;4053230.0;23.94;;
23;Totaal mannen en vrouwen;Totaal leeftijd;A Maagdarmkanaal en metabolisme;2011;4239530.0;24.92;;
24;Totaal mannen en vrouwen;Totaal leeftijd;A Maagdarmkanaal en metabolisme;2012;3567995.0;20.89;;
25;Totaal mannen en vrouwen;Totaal leeftijd;A Maagdarmkanaal en metabolisme;2013;3695510.0;21.57;;
26;Totaal mannen en vrouwen;Totaal leeftijd;A Maagdarmkanaal en metabolisme;2014;3888135.0;22.61;;
27;Totaal mannen en vrouwen;Totaal leeftijd;A Maagdarmkanaal en metabolisme;2015;4056530.0;23.47;;
28;Totaal mannen en vrouwen;Totaal leeftijd;A Maagdarmkanaal en metabolisme;2016;4205595.0;24.19;;
29;Totaal mannen en vrouwen;Totaal leeftijd;A Maagdarmkanaal en metabolisme;2017;4300740.0;24.59;;
30;Totaal mannen en vrouwen;Totaal leeftijd;A Maagdarmkanaal en metabolisme;2018;4407310.0;25.04;;
31;Totaal mannen en vrouwen;Totaal leeftijd;A Maagdarmkanaal en metabolisme;2019;4381755.0;24.72;;
32;Totaal mannen en vrouwen;Totaal leeftijd;A Maagdarmkanaal en metabolisme;2020;4314580.0;24.24;2089376.0;117390.0
33;Totaal mannen en vrouwen;Totaal leeftijd;A Maagdarmkanaal en metabolisme;2021;4466230.0;24.94;2147242.0;119905.0
34;Totaal mannen en vrouwen;Totaal leeftijd;A Maagdarmkanaal en metabolisme;2022;4516000.0;24.87;2193286.0;120801.0
35;Totaal mannen en vrouwen;Totaal leeftijd;A Maagdarmkanaal en metabolisme;2023;3955890.0;21.61;1582135.0;86436.0
36;Totaal mannen en vrouwen;Totaal leeftijd;A01 Mondpreparaten;2006;135560.0;0.81;;
37;Totaal mannen en vrouwen;Totaal leeftijd;A01 Mondpreparaten;2007;145735.0;0.87;;
38;Totaal mannen en vrouwen;Totaal leeftijd;A01 Mondpreparaten;2008;147900.0;0.88;;
39;Totaal mannen en vrouwen;Totaal leeftijd;A01 Mondpreparaten;2009;149050.0;0.89;;
40;Totaal mannen en vrouwen;Totaal leeftijd;A01 Mondpreparaten;2010;154710.0;0.91;;
41;Totaal mannen en vrouwen;Totaal leeftijd;A01 Mondpreparaten;2011;96590.0;0.57;;
42;Totaal mannen en vrouwen;Totaal leeftijd;A01 Mondpreparaten;2012;38160.0;0.22;;
43;Totaal mannen en vrouwen;Totaal leeftijd;A01 Mondpreparaten;2013;37720.0;0.22;;
44;Totaal mannen en vrouwen;Totaal leeftijd;A01 Mondpreparaten;2014;38925.0;0.23;;
45;Totaal mannen en vrouwen;Totaal leeftijd;A01 Mondpreparaten;2015;38365.0;0.22;;
46;Totaal mannen en vrouwen;Totaal leeftijd;A01 Mondpreparaten;2016;38155.0;0.22;;
47;Totaal mannen en vrouwen;Totaal leeftijd;A01 Mondpreparaten;2017;36165.0;0.21;;
48;Totaal mannen en vrouwen;Totaal leeftijd;A01 Mondpreparaten;2018;35780.0;0.2;;
