ID;WerknemerWelNietIngezeten;KenmerkenWerknemer;BedrijfstakkenBranchesSBI2008;KenmerkenBaan;MigratieachtergrondNationaliteit;Perioden;BanenWerknemersUitBuitenland_1
0;Totaal banen;Totaal werknemers;A-U Alle economische activiteiten;Totaal kenmerken baan;Totaal;2010 1e kwartaal;648.6
1;Totaal banen;Totaal werknemers;A-U Alle economische activiteiten;Totaal kenmerken baan;Totaal;2010 2e kwartaal;680.5
2;Totaal banen;Totaal werknemers;A-U Alle economische activiteiten;Totaal kenmerken baan;Totaal;2010 3e kwartaal;693.7
3;Totaal banen;Totaal werknemers;A-U Alle economische activiteiten;Totaal kenmerken baan;Totaal;2010 4e kwartaal;689.8
4;Totaal banen;Totaal werknemers;A-U Alle economische activiteiten;Totaal kenmerken baan;Totaal;2010;678.3
5;Totaal banen;Totaal werknemers;A-U Alle economische activiteiten;Totaal kenmerken baan;Totaal;2011 1e kwartaal;678.3
6;Totaal banen;Totaal werknemers;A-U Alle economische activiteiten;Totaal kenmerken baan;Totaal;2011 2e kwartaal;710.4
7;Totaal banen;Totaal werknemers;A-U Alle economische activiteiten;Totaal kenmerken baan;Totaal;2011 3e kwartaal;717.3
8;Totaal banen;Totaal werknemers;A-U Alle economische activiteiten;Totaal kenmerken baan;Totaal;2011 4e kwartaal;704.1
9;Totaal banen;Totaal werknemers;A-U Alle economische activiteiten;Totaal kenmerken baan;Totaal;2011;702.6
10;Totaal banen;Totaal werknemers;A-U Alle economische activiteiten;Totaal kenmerken baan;Totaal;2012 1e kwartaal;689.2
11;Totaal banen;Totaal werknemers;A-U Alle economische activiteiten;Totaal kenmerken baan;Totaal;2012 2e kwartaal;716.0
12;Totaal banen;Totaal werknemers;A-U Alle economische activiteiten;Totaal kenmerken baan;Totaal;2012 3e kwartaal;718.7
13;Totaal banen;Totaal werknemers;A-U Alle economische activiteiten;Totaal kenmerken baan;Totaal;2012 4e kwartaal;704.0
14;Totaal banen;Totaal werknemers;A-U Alle economische activiteiten;Totaal kenmerken baan;Totaal;2012;707.0
15;Totaal banen;Totaal werknemers;A-U Alle economische activiteiten;Totaal kenmerken baan;Totaal;2013 1e kwartaal;684.5
16;Totaal banen;Totaal werknemers;A-U Alle economische activiteiten;Totaal kenmerken baan;Totaal;2013 2e kwartaal;704.1
17;Totaal banen;Totaal werknemers;A-U Alle economische activiteiten;Totaal kenmerken baan;Totaal;2013 3e kwartaal;706.6
18;Totaal banen;Totaal werknemers;A-U Alle economische activiteiten;Totaal kenmerken baan;Totaal;2013 4e kwartaal;695.4
19;Totaal banen;Totaal werknemers;A-U Alle economische activiteiten;Totaal kenmerken baan;Totaal;2013;697.7
20;Totaal banen;Totaal werknemers;A-U Alle economische activiteiten;Totaal kenmerken baan;Totaal;2014 1e kwartaal;675.4
21;Totaal banen;Totaal werknemers;A-U Alle economische activiteiten;Totaal kenmerken baan;Totaal;2014 2e kwartaal;706.4
22;Totaal banen;Totaal werknemers;A-U Alle economische activiteiten;Totaal kenmerken baan;Totaal;2014 3e kwartaal;717.9
23;Totaal banen;Totaal werknemers;A-U Alle economische activiteiten;Totaal kenmerken baan;Totaal;2014 4e kwartaal;711.2
24;Totaal banen;Totaal werknemers;A-U Alle economische activiteiten;Totaal kenmerken baan;Totaal;2014;702.8
25;Totaal banen;Totaal werknemers;A-U Alle economische activiteiten;Totaal kenmerken baan;Totaal;2015 1e kwartaal;700.3
26;Totaal banen;Totaal werknemers;A-U Alle economische activiteiten;Totaal kenmerken baan;Totaal;2015 2e kwartaal;733.0
27;Totaal banen;Totaal werknemers;A-U Alle economische activiteiten;Totaal kenmerken baan;Totaal;2015 3e kwartaal;748.2
28;Totaal banen;Totaal werknemers;A-U Alle economische activiteiten;Totaal kenmerken baan;Totaal;2015 4e kwartaal;746.2
29;Totaal banen;Totaal werknemers;A-U Alle economische activiteiten;Totaal kenmerken baan;Totaal;2015;732.1
30;Totaal banen;Totaal werknemers;A-U Alle economische activiteiten;Totaal kenmerken baan;Totaal;2016 1e kwartaal;729.0
31;Totaal banen;Totaal werknemers;A-U Alle economische activiteiten;Totaal kenmerken baan;Totaal;2016 2e kwartaal;768.4
32;Totaal banen;Totaal werknemers;A-U Alle economische activiteiten;Totaal kenmerken baan;Totaal;2016 3e kwartaal;788.0
33;Totaal banen;Totaal werknemers;A-U Alle economische activiteiten;Totaal kenmerken baan;Totaal;2016 4e kwartaal;792.8
34;Totaal banen;Totaal werknemers;A-U Alle economische activiteiten;Totaal kenmerken baan;Totaal;2016;769.7
