ID;Perioden;TotaalBedrijfsopbrengsten_1;VanZiekenfondsen_2;VanNietZiekenfondsverzekerden_3;OverigeOpbrengsten_4;TotaalBedrijfslasten_5;Personeelskosten_6;AfschrijvingenVasteActiva_7;BetaaldeRente_8;OverigeKosten_9;Exploitatiesaldo_10
0;1986;;20.4;6.4;;7.7;1.4;;;;
1;1987;;25.0;7.7;;8.2;1.4;;;;
2;1988;;28.1;8.2;;9.1;1.8;;;;
3;1989;;28.6;9.5;;9.1;1.4;;;;
4;1990;;32.2;10.0;;9.1;2.3;;;;
5;1991;;32.7;10.4;;9.5;1.8;;;;
6;1992;;33.6;11.5;;10.3;2.9;;;;
7;1993;;35.5;12.2;;11.9;3.9;;;;
8;1994;52.9;39.0;13.3;0.6;12.2;3.6;;;;40.7
9;1995;56.0;41.9;13.2;0.9;13.7;5.1;1.4;0.3;6.9;42.3
10;1996;59.0;44.5;13.5;1.0;14.4;5.3;1.3;0.3;7.5;44.6
11;1997;64.2;48.7;14.7;0.8;14.6;5.0;1.2;0.2;8.2;49.6
12;1998;68.0;52.3;14.3;1.4;14.8;5.1;1.5;0.4;7.9;53.2
13;1999;72.3;54.8;16.6;1.0;16.4;5.7;1.5;0.4;8.8;56.0
14;2000;85.7;66.0;18.5;1.1;19.2;7.4;1.8;0.4;9.6;66.5
15;2001;101.2;;;1.3;24.0;10.0;1.6;0.3;12.1;77.2
16;2002;112.2;;;1.4;26.6;11.1;1.8;0.3;13.4;85.5
17;2003;120.1;;;1.2;37.3;18.4;2.6;0.5;15.8;82.8
