ID;Regio;SoortCijfer;RoomsKatholiek_1;Gereformeerd_2;NederlandsHervormd_3;Islam_4;GeenKerkelijkeGezindte_5
0;Totaal Nederland;Percentages;30.4;6.7;13.1;5.7;40.7
1;Totaal Nederland;Standaardfout;0.2;0.1;0.1;0.0;0.2
2;Noord Nederland;Percentages;7.7;15.5;17.9;2.0;51.8
3;Noord Nederland;Standaardfout;0.3;0.4;0.4;0.0;0.5
4;Oost Nederland;Percentages;26.1;8.8;20.0;4.4;36.8
5;Oost Nederland;Standaardfout;0.3;0.2;0.3;0.0;0.4
6;West Nederland;Percentages;19.1;6.3;13.5;7.8;49.2
7;West Nederland;Standaardfout;0.2;0.1;0.2;0.0;0.3
8;Zuid Nederland;Percentages;69.0;1.4;3.4;4.2;21.2
9;Zuid Nederland;Standaardfout;0.3;0.1;0.1;0.0;0.3
10;Groningen;Percentages;6.3;14.7;12.9;2.5;58.9
11;Groningen;Standaardfout;0.4;0.6;0.6;0.0;0.9
12;Friesland;Percentages;7.6;18.4;18.5;1.9;47.9
13;Friesland;Standaardfout;0.5;0.7;0.7;0.0;0.9
14;Drenthe;Percentages;9.6;12.6;23.1;1.7;48.6
15;Drenthe;Standaardfout;0.6;0.7;0.8;0.0;1.0
16;Overijssel;Percentages;26.6;10.0;19.7;4.5;34.7
17;Overijssel;Standaardfout;0.6;0.4;0.5;0.0;0.6
18;Flevoland;Percentages;13.6;11.7;10.1;6.0;53.5
19;Flevoland;Standaardfout;0.8;0.8;0.7;0.0;1.2
20;Gelderland;Percentages;27.9;7.6;21.8;4.0;35.2
21;Gelderland;Standaardfout;0.4;0.3;0.4;0.0;0.5
22;Utrecht;Percentages;20.7;8.4;16.5;7.0;43.7
23;Utrecht;Standaardfout;0.5;0.4;0.5;0.0;0.6
24;Noord Holland;Percentages;19.8;3.5;7.3;8.3;57.8
25;Noord Holland;Standaardfout;0.3;0.2;0.2;0.0;0.4
26;Zuid Holland;Percentages;18.0;7.1;16.1;8.3;46.0
27;Zuid Holland;Standaardfout;0.3;0.2;0.3;0.0;0.4
28;Zeeland;Percentages;20.8;12.3;23.8;2.3;36.4
29;Zeeland;Standaardfout;0.9;0.7;1.0;0.0;1.1
30;Noord Brabant;Percentages;64.4;1.8;4.3;4.5;24.2
31;Noord Brabant;Standaardfout;0.4;0.1;0.2;0.0;0.4
32;Limburg;Percentages;78.4;0.7;1.4;3.5;14.8
33;Limburg;Standaardfout;0.5;0.1;0.2;0.0;0.5
34;Oost-Groningen;Percentages;6.4;9.6;16.1;1.9;60.9
35;Oost-Groningen;Standaardfout;0.9;1.0;1.3;0.0;1.7
36;Delfzijl en omgeving;Percentages;2.8;14.9;17.8;3.0;56.6
37;Delfzijl en omgeving;Standaardfout;1.0;2.1;2.3;0.0;3.0
38;Overig Groningen;Percentages;6.7;16.8;10.8;2.6;58.5
39;Overig Groningen;Standaardfout;0.6;0.9;0.7;0.0;1.1
40;Noord-Friesland;Percentages;5.6;21.0;18.2;1.9;47.3
41;Noord-Friesland;Standaardfout;0.5;1.0;0.9;0.0;1.2
42;Zuidwest-Friesland;Percentages;10.8;14.1;26.6;1.5;40.9
43;Zuidwest-Friesland;Standaardfout;1.3;1.5;1.9;0.0;2.1
44;Zuidoost-Friesland;Percentages;9.5;15.9;14.8;1.9;52.8
45;Zuidoost-Friesland;Standaardfout;0.9;1.2;1.1;0.0;1.6
46;Noord-Drenthe;Percentages;5.8;14.3;19.8;1.6;54.2
47;Noord-Drenthe;Standaardfout;0.8;1.2;1.3;0.0;1.7
48;Zuidoost-Drenthe;Percentages;16.4;6.7;22.3;1.7;48.5
