ID;Geslacht;Opleidingsclusters;Vooropleiding;Perioden;TotaalAantalStudenten_1;Na3Jaar_2;Na4Jaar_3;Na5Jaar_4;Na6Jaar_5;Na7Jaar_6;Na8Jaar_7;Na9Jaar_8;Na3Jaar_9;Na4Jaar_10;Na5Jaar_11;Na6Jaar_12;Na7Jaar_13;Na8Jaar_14;Na9Jaar_15;Na3Jaar_16;Na4Jaar_17;Na5Jaar_18;Na6Jaar_19;Na7Jaar_20;Na8Jaar_21;Na9Jaar_22;Na3Jaar_23;Na4Jaar_24;Na5Jaar_25;Na6Jaar_26;Na7Jaar_27;Na8Jaar_28;Na9Jaar_29;Na3Jaar_30;Na4Jaar_31;Na5Jaar_32;Na6Jaar_33;Na7Jaar_34;Na8Jaar_35;Na9Jaar_36;Na1Jaar_37;Na2Jaar_38;Na3Jaar_39;Na4Jaar_40;Na5Jaar_41;Na6Jaar_42;Na7Jaar_43;Na8Jaar_44;InJaar2_45;InJaar3_46;InJaar4_47;InJaar5_48;InJaar6_49;InJaar7_50;InJaar8_51;InJaar9_52;InJaar2_53;InJaar3_54;InJaar4_55;InJaar5_56;InJaar6_57;InJaar7_58;InJaar8_59;InJaar9_60;InJaar2_61;InJaar3_62;InJaar4_63;InJaar5_64;InJaar6_65;InJaar7_66;InJaar8_67;InJaar9_68;InJaar2_69;InJaar3_70;InJaar4_71;InJaar5_72;InJaar6_73;InJaar7_74;InJaar8_75;InJaar9_76;InJaar2_77;InJaar3_78;InJaar4_79;InJaar5_80;InJaar6_81;InJaar7_82;InJaar8_83;InJaar9_84
0;Totaal mannen en vrouwen;0;Totaal vooropleiding;Cohort 1995;6800.0;22.0;40.0;49.0;53.0;55.0;56.0;56.0;21.0;39.0;48.0;52.0;54.0;55.0;56.0;21.0;39.0;47.0;51.0;52.0;53.0;54.0;0.0;1.0;1.0;1.0;2.0;2.0;2.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;22.0;31.0;35.0;37.0;39.0;39.0;40.0;40.0;74.0;58.0;43.0;23.0;12.0;8.0;5.0;4.0;74.0;57.0;42.0;22.0;12.0;8.0;5.0;4.0;73.0;55.0;40.0;21.0;11.0;7.0;4.0;3.0;1.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0
1;Totaal mannen en vrouwen;0;Totaal vooropleiding;Cohort 1996;7800.0;22.0;40.0;48.0;52.0;54.0;56.0;57.0;22.0;40.0;48.0;52.0;54.0;55.0;56.0;22.0;39.0;47.0;51.0;53.0;54.0;55.0;0.0;0.0;1.0;1.0;1.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23.0;32.0;35.0;38.0;39.0;40.0;40.0;40.0;74.0;57.0;42.0;22.0;13.0;8.0;6.0;4.0;73.0;57.0;42.0;22.0;12.0;8.0;5.0;4.0;72.0;55.0;40.0;20.0;11.0;7.0;5.0;3.0;1.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
2;Totaal mannen en vrouwen;0;Totaal vooropleiding;Cohort 1997;8170.0;20.0;38.0;47.0;51.0;53.0;54.0;55.0;20.0;38.0;47.0;50.0;52.0;53.0;54.0;20.0;37.0;46.0;49.0;51.0;52.0;53.0;0.0;0.0;1.0;1.0;1.0;1.0;2.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;24.0;34.0;38.0;40.0;41.0;41.0;42.0;42.0;73.0;57.0;42.0;22.0;12.0;8.0;6.0;4.0;73.0;56.0;42.0;22.0;12.0;7.0;5.0;4.0;71.0;55.0;40.0;20.0;10.0;6.0;4.0;3.0;1.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0
3;Totaal mannen en vrouwen;0;Totaal vooropleiding;Cohort 1998;10300.0;22.0;41.0;49.0;52.0;54.0;55.0;;22.0;40.0;48.0;52.0;53.0;54.0;;22.0;40.0;48.0;51.0;52.0;53.0;;0.0;0.0;1.0;1.0;1.0;1.0;;0.0;0.0;0.0;0.0;0.0;1.0;;25.0;33.0;37.0;39.0;40.0;41.0;41.0;41.0;73.0;57.0;41.0;20.0;11.0;7.0;5.0;4.0;72.0;57.0;40.0;20.0;10.0;7.0;5.0;3.0;71.0;55.0;38.0;18.0;9.0;6.0;4.0;3.0;1.0;1.0;2.0;2.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0
4;Totaal mannen en vrouwen;0;Totaal vooropleiding;Cohort 1999;12010.0;22.0;40.0;46.0;50.0;52.0;;;22.0;39.0;46.0;49.0;51.0;;;22.0;39.0;45.0;48.0;50.0;;;0.0;0.0;1.0;1.0;1.0;;;0.0;0.0;0.0;0.0;1.0;;;28.0;36.0;41.0;42.0;43.0;44.0;44.0;;70.0;55.0;37.0;18.0;10.0;6.0;4.0;;70.0;54.0;36.0;17.0;10.0;6.0;4.0;;68.0;53.0;35.0;16.0;9.0;5.0;3.0;;1.0;1.0;1.0;1.0;1.0;1.0;;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;
5;Totaal mannen en vrouwen;0;Totaal vooropleiding;Cohort 2000;12510.0;21.0;39.0;46.0;49.0;;;;21.0;39.0;46.0;49.0;;;;21.0;38.0;45.0;48.0;;;;0.0;0.0;1.0;1.0;;;;0.0;0.0;0.0;0.0;;;;29.0;39.0;41.0;43.0;44.0;44.0;;;70.0;53.0;37.0;18.0;11.0;6.0;;;69.0;53.0;37.0;18.0;10.0;6.0;;;68.0;51.0;35.0;16.0;9.0;5.0;;;2.0;1.0;2.0;1.0;1.0;1.0;;;0.0;1.0;1.0;1.0;1.0;0.0;;
6;Totaal mannen en vrouwen;0;Totaal vooropleiding;Cohort 2001;12770.0;20.0;39.0;45.0;;;;;20.0;39.0;45.0;;;;;19.0;38.0;44.0;;;;;0.0;0.0;1.0;;;;;0.0;0.0;0.0;;;;;33.0;40.0;42.0;44.0;45.0;;;;65.0;54.0;38.0;17.0;10.0;;;;64.0;53.0;37.0;17.0;10.0;;;;63.0;52.0;36.0;16.0;9.0;;;;1.0;2.0;2.0;1.0;1.0;;;;0.0;1.0;1.0;0.0;0.0;;;
7;Totaal mannen en vrouwen;0;Totaal vooropleiding;Cohort 2002;11680.0;23.0;43.0;;;;;;22.0;43.0;;;;;;22.0;42.0;;;;;;0.0;1.0;;;;;;0.0;0.0;;;;;;24.0;32.0;35.0;37.0;;;;;74.0;60.0;42.0;20.0;;;;;74.0;60.0;42.0;19.0;;;;;72.0;58.0;40.0;18.0;;;;;2.0;2.0;2.0;1.0;;;;;0.0;1.0;1.0;1.0;;;;
8;Totaal mannen en vrouwen;0;Totaal vooropleiding;Cohort 2003;11100.0;23.0;;;;;;;23.0;;;;;;;23.0;;;;;;;0.0;;;;;;;0.0;;;;;;;25.0;32.0;36.0;;;;;;74.0;61.0;41.0;;;;;;73.0;60.0;40.0;;;;;;72.0;59.0;38.0;;;;;;1.0;1.0;2.0;;;;;;1.0;1.0;1.0;;;;;
9;Totaal mannen en vrouwen;0;Totaal vooropleiding;Cohort 2004;9670.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24.0;32.0;;;;;;;74.0;60.0;;;;;;;74.0;60.0;;;;;;;73.0;58.0;;;;;;;1.0;2.0;;;;;;;1.0;0.0;;;;;;
10;Totaal mannen en vrouwen;0;Totaal vooropleiding;Cohort 2005;9630.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25.0;;;;;;;;74.0;;;;;;;;74.0;;;;;;;;72.0;;;;;;;;2.0;;;;;;;;1.0;;;;;;;
11;Totaal mannen en vrouwen;0;MBO;Cohort 1995;2070.0;9.0;30.0;42.0;47.0;50.0;52.0;53.0;9.0;30.0;42.0;47.0;50.0;51.0;53.0;9.0;30.0;41.0;45.0;48.0;49.0;50.0;0.0;1.0;1.0;2.0;2.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.0;35.0;39.0;41.0;42.0;43.0;44.0;43.0;75.0;65.0;52.0;29.0;16.0;10.0;6.0;5.0;75.0;64.0;52.0;29.0;16.0;9.0;6.0;5.0;73.0;62.0;49.0;27.0;14.0;9.0;5.0;4.0;1.0;2.0;3.0;2.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12;Totaal mannen en vrouwen;0;MBO;Cohort 1996;2250.0;11.0;32.0;43.0;48.0;51.0;52.0;54.0;11.0;32.0;43.0;48.0;51.0;52.0;53.0;11.0;31.0;42.0;47.0;49.0;50.0;52.0;0.0;0.0;1.0;1.0;1.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.0;33.0;37.0;40.0;41.0;42.0;42.0;42.0;75.0;65.0;52.0;29.0;16.0;10.0;7.0;6.0;75.0;65.0;51.0;28.0;16.0;10.0;7.0;5.0;74.0;63.0;50.0;26.0;14.0;8.0;6.0;4.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13;Totaal mannen en vrouwen;0;MBO;Cohort 1997;2900.0;17.0;37.0;47.0;51.0;53.0;55.0;56.0;17.0;37.0;47.0;51.0;53.0;55.0;56.0;16.0;37.0;46.0;50.0;52.0;54.0;54.0;0.0;0.0;1.0;1.0;1.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24.0;33.0;37.0;39.0;40.0;41.0;41.0;41.0;75.0;63.0;46.0;24.0;13.0;8.0;6.0;4.0;75.0;63.0;46.0;24.0;13.0;8.0;6.0;4.0;74.0;61.0;45.0;23.0;12.0;7.0;5.0;3.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
14;Totaal mannen en vrouwen;0;MBO;Cohort 1998;3250.0;15.0;37.0;46.0;50.0;52.0;54.0;;15.0;37.0;46.0;50.0;52.0;54.0;;15.0;36.0;45.0;49.0;51.0;52.0;;0.0;0.0;1.0;1.0;2.0;2.0;;0.0;0.0;0.0;0.0;0.0;0.0;;26.0;33.0;37.0;39.0;40.0;41.0;41.0;41.0;74.0;64.0;48.0;24.0;14.0;9.0;6.0;4.0;74.0;64.0;48.0;24.0;13.0;9.0;6.0;4.0;72.0;62.0;45.0;22.0;12.0;7.0;5.0;3.0;1.0;2.0;2.0;2.0;2.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
15;Totaal mannen en vrouwen;0;MBO;Cohort 1999;3140.0;19.0;40.0;48.0;53.0;55.0;;;19.0;40.0;48.0;53.0;55.0;;;19.0;40.0;48.0;52.0;53.0;;;0.0;0.0;1.0;1.0;2.0;;;0.0;0.0;0.0;0.0;0.0;;;27.0;34.0;37.0;38.0;39.0;39.0;40.0;;73.0;62.0;44.0;22.0;13.0;8.0;5.0;;73.0;61.0;43.0;21.0;12.0;8.0;5.0;;72.0;60.0;41.0;19.0;10.0;6.0;4.0;;1.0;2.0;2.0;2.0;2.0;2.0;;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
16;Totaal mannen en vrouwen;0;MBO;Cohort 2000;3570.0;17.0;38.0;47.0;52.0;;;;17.0;38.0;47.0;52.0;;;;17.0;37.0;46.0;50.0;;;;0.0;1.0;1.0;2.0;;;;0.0;0.0;0.0;0.0;;;;27.0;34.0;36.0;38.0;39.0;40.0;;;73.0;64.0;46.0;24.0;14.0;9.0;;;73.0;64.0;46.0;24.0;14.0;8.0;;;71.0;62.0;44.0;22.0;12.0;7.0;;;2.0;2.0;2.0;2.0;2.0;1.0;;;0.0;0.0;0.0;0.0;0.0;0.0;;
17;Totaal mannen en vrouwen;0;MBO;Cohort 2001;3930.0;20.0;42.0;49.0;;;;;20.0;42.0;49.0;;;;;20.0;41.0;48.0;;;;;0.0;0.0;1.0;;;;;0.0;0.0;0.0;;;;;26.0;33.0;35.0;36.0;38.0;;;;73.0;65.0;44.0;22.0;13.0;;;;73.0;64.0;44.0;22.0;13.0;;;;72.0;63.0;42.0;20.0;12.0;;;;1.0;2.0;2.0;2.0;1.0;;;;0.0;0.0;0.0;0.0;0.0;;;
18;Totaal mannen en vrouwen;0;MBO;Cohort 2002;4020.0;20.0;41.0;;;;;;20.0;41.0;;;;;;20.0;40.0;;;;;;0.0;1.0;;;;;;0.0;0.0;;;;;;24.0;31.0;34.0;36.0;;;;;75.0;66.0;46.0;22.0;;;;;75.0;66.0;45.0;22.0;;;;;73.0;64.0;43.0;21.0;;;;;2.0;2.0;2.0;2.0;;;;;0.0;0.0;0.0;0.0;;;;
19;Totaal mannen en vrouwen;0;MBO;Cohort 2003;3970.0;21.0;;;;;;;21.0;;;;;;;21.0;;;;;;;0.0;;;;;;;0.0;;;;;;;25.0;32.0;35.0;;;;;;75.0;65.0;44.0;;;;;;75.0;65.0;44.0;;;;;;73.0;63.0;41.0;;;;;;1.0;2.0;3.0;;;;;;0.0;0.0;0.0;;;;;
20;Totaal mannen en vrouwen;0;MBO;Cohort 2004;3490.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26.0;33.0;;;;;;;74.0;65.0;;;;;;;74.0;65.0;;;;;;;73.0;63.0;;;;;;;1.0;2.0;;;;;;;0.0;0.0;;;;;;
21;Totaal mannen en vrouwen;0;MBO;Cohort 2005;3820.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26.0;;;;;;;;74.0;;;;;;;;74.0;;;;;;;;72.0;;;;;;;;2.0;;;;;;;;0.0;;;;;;;
